experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,head_noun,agreement,quant,head_case,head_gender
Dorofeeva_2023,"Каждого приглашённого, о ком вспомнил рассеянному хозяин, уведомляет быстроногий гонец.",1.8979591836734693,2.0,bad,filler,37,514,,,,,
Dorofeeva_2023,"Каждая, кто взошла на пик Эвереста, уважает бывалых скалолазов.",5.714285714285714,6.0,relative_clauses,stimul,33,141,no,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую учительницу, кто преподавала в классе коррекции, ценит школьное руководство.",4.0,4.0,relative_clauses,stimul,21,237,yes,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждого, кто участвовал в конференции института, привлекает теоретическая физика.",4.375,4.0,relative_clauses,stimul,3,399,no,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждый, кто пришёл на выставку собак, держит померанского шпица.",5.769230769230769,6.0,relative_clauses,stimul,12,336,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждого, кто приехал на шоу талантов, поддерживает понимающий ведущий.",5.615384615384615,6.0,relative_clauses,stimul,10,406,no,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждую, кто пришла на выставку собак, сопровождает померанский шпиц.",3.2857142857142856,3.0,relative_clauses,stimul,12,264,no,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждый, кто позанимался в студии йоги, обретает душевное равновесие.",6.1,6.0,relative_clauses,stimul,4,328,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждая женщина, кто позанимался в студии йоги, обретает душевное равновесие.",3.2857142857142856,3.0,relative_clauses,stimul,4,4,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждого актёра, кто сыграл в картине режиссёра, награждает Американская киноакадемия.",4.625,5.0,relative_clauses,stimul,1,361,yes,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждую, кто пришёл на выставку собак, сопровождает померанский шпиц.",4.111111111111111,4.0,relative_clauses,stimul,12,192,no,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая заводчица, кто пришёл на выставку собак, держит померанского шпица.",2.5,2.0,relative_clauses,stimul,12,12,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую, кто явился на собрание родителей, расспрашивает классный руководитель.",4.666666666666667,5.0,relative_clauses,stimul,34,214,no,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждую, кто бывал в столице Китая, восхищает местная кухня.",5.5,6.0,relative_clauses,stimul,15,195,no,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая сотрудница, кто поступила на должность бухгалтера, осваивает новую программу.",3.692307692307693,4.0,relative_clauses,stimul,7,79,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждого, кто жил в центре города, раздражает ночной шум.",7.0,7.0,relative_clauses,stimul,8,404,no,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждый заводчик, кто пришёл на выставку собак, держит померанского шпица.",3.625,4.0,relative_clauses,stimul,12,300,yes,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждую, к кому пришла страшная беда, поддерживает опытный психолог.",5.212121212121212,5.0,good,filler,37,523,,,,,
Dorofeeva_2023,"Каждую пострадавшую, в кого врезался пьяный водитель, осматривает молодому травматолог.",1.87,2.0,bad,filler,37,526,,,,,
Dorofeeva_2023,"Каждую туристку, кто ночевала в общежитии университета, возмущает любое неудобство.",3.4285714285714284,3.0,relative_clauses,stimul,6,222,yes,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждый мужчина, кто позанимался в студии йоги, обретает душевное равновесие.",4.428571428571429,4.0,relative_clauses,stimul,4,292,yes,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждая мать, кто явилась на собрание родителей, расспрашивает классного руководителя.",4.142857142857143,4.0,relative_clauses,stimul,34,106,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый пациент, кто лежал в отделении кардиологии, соблюдает врачебные предписания.",5.5,6.0,relative_clauses,stimul,24,312,yes,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждую, кто участвовала в конференции института, привлекает теоретическая физика.",3.333333333333333,3.0,relative_clauses,stimul,3,255,no,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждого аспиранта, кто сходил на семинар профессора, смущает изложенная теория.",5.166666666666667,5.0,relative_clauses,stimul,26,386,yes,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждая преступница, кто воровала в магазине продуктов, отрицает совершённое преступление.",4.142857142857143,4.0,relative_clauses,stimul,14,86,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый, кто отобрался в сборную страны, выбирает опытного тренера.",5.375,5.0,relative_clauses,stimul,11,335,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждая, кто служила в редакции издания, комментирует сложившуюся ситуацию.",5.25,5.0,relative_clauses,stimul,16,124,no,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая, кто прокатился на спине гиппопотама, хочет игрушечного бегемота.",4.25,4.0,relative_clauses,stimul,32,68,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый медбрат, кто дежурил на месте катастрофы, демонстрирует невероятную смелость.",4.8,5.0,relative_clauses,stimul,5,293,yes,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждую, кто готовила на кухне детсада, хвалит проголодавшийся воспитатель.",3.125,3.0,relative_clauses,stimul,13,265,no,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждый секретарь, кто уволился из отдела кадров, ругает жестокого начальника.",4.857142857142857,5.0,relative_clauses,stimul,35,323,yes,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждую художницу, кто заходил на аукцион антиквариата, украшает необычный шарф.",3.625,4.0,relative_clauses,stimul,31,175,yes,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая магистрантка, кто отучилась на факультете политики, помнит молодого преподавателя.",4.0,4.0,relative_clauses,stimul,9,81,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую школьницу, кто был на уроке труда, радует приготовленный суп.",4.75,5.0,relative_clauses,stimul,22,166,yes,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая продавщица, кто подрабатывала в отделе игрушек, распознаёт китайскую подделку.",4.0,4.0,relative_clauses,stimul,36,108,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый, кто сходил на семинар профессора, критикует изложенную теорию.",6.0,6.0,relative_clauses,stimul,26,350,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждая, кто пришла на вечер танцев, сопровождает изящного кавалера.",4.0,4.0,relative_clauses,stimul,25,133,no,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую спортсменку, кто отобралась в сборную страны, готовит опытный тренер.",4.125,4.0,relative_clauses,stimul,11,227,yes,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждую, кто служил в редакции издания, удручает сложившаяся ситуация.",3.615384615384616,4.0,relative_clauses,stimul,16,196,no,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая спортсменка, кто отобралась в сборную страны, выбирает опытного тренера.",3.6,4.0,relative_clauses,stimul,11,83,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждого прихожанина, кто исповедовался в присутствии настоятеля, мучает тяжкий грех.",5.888888888888889,6.0,relative_clauses,stimul,27,387,yes,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждый, кто преуспел в пошиве халатов, ожидает досрочное освобождение.",3.875,4.0,relative_clauses,stimul,23,347,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждый заключённый, кто преуспел в пошиве халатов, ожидает досрочное освобождения.",2.4285714285714284,2.0,relative_clauses,stimul,23,311,yes,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждая массажистка, на кого была подана длинная жалоба, обвиняет недовольному клиента.",2.13265306122449,2.0,bad,filler,37,530,,,,,
Dorofeeva_2023,"Каждая журналистка, кто служила в редакции издания, комментирует сложившуюся ситуацию.",3.857142857142857,4.0,relative_clauses,stimul,16,88,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая участница, кто прошёл в финал конкурса, выигрывает гарантированный приз.",3.5,4.0,relative_clauses,stimul,2,2,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждого секретаря, кто уволился из отдела кадров, бранит жестокий начальник.",5.384615384615385,5.0,relative_clauses,stimul,35,395,yes,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждая, кто готовил на кухне детсада, делает изумительную кашу.",2.875,3.0,relative_clauses,stimul,13,49,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая пациентка, кто лежал в отделении кардиологии, соблюдает врачебные предписания.",5.333333333333333,5.0,relative_clauses,stimul,24,24,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая, кто воровал в магазине продуктов, отрицает совершённое преступление.",2.4444444444444446,2.0,relative_clauses,stimul,14,50,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую, кто дежурила на месте катастрофы, выделяет невероятная смелость.",3.7142857142857135,4.0,relative_clauses,stimul,5,257,no,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждую москвичку, кто жила в центре города, раздражает ночной шум.",2.5,2.0,relative_clauses,stimul,8,224,yes,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждого, кто взошёл на пик Эвереста, уважают бывалые скалолазы.",6.5,6.0,relative_clauses,stimul,33,429,no,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждый, кто поступил на должность бухгалтера, осваивает новую программу.",6.428571428571429,6.0,relative_clauses,stimul,7,331,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждая, кто заходил на аукцион антиквариата, носит необычный шарф.",4.125,4.0,relative_clauses,stimul,31,67,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую секретаршу, кто уволился из отдела кадров, бранит жестокий начальник.",3.6666666666666665,4.0,relative_clauses,stimul,35,179,yes,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждую, кто публиковалась в спецвыпуске журнала, отличает оригинальный стиль.",5.428571428571429,5.0,relative_clauses,stimul,29,281,no,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждую, кто жил в центре города, раздражает ночной шум.",4.1,4.0,relative_clauses,stimul,8,188,no,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждую, кто был на уроке труда, радует приготовленный суп.",4.0,4.0,relative_clauses,stimul,22,202,no,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждую девушку, кто пострадал от чистки лица, беспокоит новый косметолог.",4.333333333333333,4.0,relative_clauses,stimul,18,162,yes,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждого, благодаря кому прошла предвыборная кампания, благодарит победивший кандидат.",4.597938144329897,5.0,good,filler,37,503,,,,,
Dorofeeva_2023,"Каждая, кто осталась в поселении старообрядцев, ведёт собственное хозяйство.",5.0,5.0,relative_clauses,stimul,28,136,no,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую актрису, кто сыграл в картине режиссёра, награждает Американская киноакадемия.",3.6666666666666665,4.0,relative_clauses,stimul,1,145,yes,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждого пользователя, кто зарегистрировался на сайте знакомств, устраивает подобранный партнёр.",5.666666666666667,6.0,relative_clauses,stimul,19,379,yes,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждая аспирантка, кто сходила на семинар профессора, критикует изложенную теорию.",4.428571428571429,4.0,relative_clauses,stimul,26,98,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая, кто поступил на должность бухгалтера, осваивает новую программу.",4.25,4.0,relative_clauses,stimul,7,43,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая продавщица, кто подрабатывал в отделе игрушек, распознаёт китайскую подделку.",5.142857142857143,5.0,relative_clauses,stimul,36,36,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая журналистка, кто служил в редакции издания, комментирует сложившуюся ситуацию.",3.571428571428572,4.0,relative_clauses,stimul,16,16,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый, о ком вспомнил старый командир, выручает больного товарища.",4.806122448979592,5.0,good,filler,37,515,,,,,
Dorofeeva_2023,"Каждую, кто опоздал к началу урока, выгоняет сердитая учительница.",4.5,4.0,relative_clauses,stimul,30,210,no,masculine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая альпинистка, кто взошёл на пик Эвереста, уважает бывалых скалолазов.",4.0,4.0,relative_clauses,stimul,33,33,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую, кто подрабатывала в отделе игрушек, настораживает китайская подделка.",4.714285714285714,5.0,relative_clauses,stimul,36,288,no,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая старушка, кто остался в поселении старообрядцев, ведёт собственное хозяйство.",5.285714285714286,5.0,relative_clauses,stimul,28,28,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая, кто подрабатывал в отделе игрушек, распознаёт китайскую подделку.",4.5,4.0,relative_clauses,stimul,36,72,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую участницу, кто прошла в финал конкурса, ждёт гарантированный приз.",4.375,4.0,relative_clauses,stimul,2,218,yes,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждую, кто взошла на пик Эвереста, уважают бывалые скалолазы.",5.0,5.0,relative_clauses,stimul,33,285,no,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая москвичка, кто жил в центре города, ненавидит ночной шум.",4.428571428571429,4.0,relative_clauses,stimul,8,8,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждого юношу, кто пострадал от чистки лица, беспокоит новый косметолог.",3.857142857142857,4.0,relative_clauses,stimul,18,378,yes,masculine,kazhdyj,accusative,masculine
Dorofeeva_2023,"Каждую журналистку, кто служила в редакции издания, удручает сложившаяся ситуация.",3.4285714285714284,3.0,relative_clauses,stimul,16,232,yes,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждая мать, кто явился на собрание родителей, расспрашивает классного руководителя.",2.6666666666666665,3.0,relative_clauses,stimul,34,34,yes,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая дама, кто пришла на вечер танцев, сопровождает изящного кавалера.",3.6666666666666665,4.0,relative_clauses,stimul,25,97,yes,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый, к кому обращалась несчастная девушка, читает ненужные морали.",5.71,6.0,good,filler,37,519,,,,,
Dorofeeva_2023,"Каждая, кто отучилась на факультете политики, помнит молодого преподавателя.",4.857142857142857,5.0,relative_clauses,stimul,9,117,no,feminine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждую девушку, кто пострадала от чистки лица, беспокоит новый косметолог.",3.2857142857142856,3.0,relative_clauses,stimul,18,234,yes,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждый, кто лежал в отделении кардиологии, соблюдает врачебные предписания.",6.461538461538462,6.0,relative_clauses,stimul,24,348,no,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждая, кто преподавал в классе коррекции, имеет медицинское образование.",4.428571428571429,4.0,relative_clauses,stimul,21,57,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждая, кто пострадал от чистки лица, проклинает нового косметолога.",5.142857142857143,5.0,relative_clauses,stimul,18,54,no,masculine,kazhdyj,nominative,feminine
Dorofeeva_2023,"Каждый актёр, кто сыграл в картине режиссёра, получает золотую статуэтку.",5.076923076923077,5.0,relative_clauses,stimul,1,289,yes,masculine,kazhdyj,nominative,masculine
Dorofeeva_2023,"Каждую, кто прошла в финал конкурса, ждёт гарантированный приз.",4.846153846153846,5.0,relative_clauses,stimul,2,254,no,feminine,kazhdyj,accusative,feminine
Dorofeeva_2023,"Каждый, кто исповедовался в присутствии настоятеля, замаливает тяжкий грех.",6.142857142857143,6.0,relative_clauses,stimul,27,351,no,masculine,kazhdyj,nominative,masculine
