experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,agreement,head,noun_type,order,case
Pasko_2024,По утрам пациентов обходят большинство врачей.,3.875,4.0,quantitative_nouns,stimul,8,64,pl,noun,bolshinstvo,VS,nominative
Pasko_2024,На репетиции реплики забывают девять актеров.,4.5,4.0,quantitative_nouns,stimul,6,44,pl,num,9.0,VS,nominative
Pasko_2024,Треть почтальонов разносит письма по понедельникам.,5.888888888888889,6.0,quantitative_nouns,stimul,28,221,sg,noun,tret,SV,nominative
Pasko_2024,В автобусе музыку слушают тридцать пассажиров.,6.0,6.0,quantitative_nouns,stimul,21,164,pl,num,30.0,VS,nominative
Pasko_2024,Четыреста выпускников получают дипломы во вторник.,6.571428571428571,7.0,quantitative_nouns,stimul,30,234,pl,num,400.0,SV,nominative
Pasko_2024,Девять пенсионеров ловит рыбу на берегу.,3.625,4.0,quantitative_nouns,stimul,12,89,sg,num,9.0,SV,nominative
Pasko_2024,Большинство слушателей ведут конспекты на лекции.,5.5,6.0,quantitative_nouns,stimul,4,30,pl,noun,bolshinstvo,SV,nominative
Pasko_2024,Большинство первокурсников сдает экзамен в мае.,5.666666666666667,6.0,quantitative_nouns,stimul,1,5,sg,noun,bolshinstvo,SV,nominative
Pasko_2024,Половина пассажиров слушают музыку в автобусе.,5.875,6.0,quantitative_nouns,stimul,21,166,pl,noun,polovina,SV,nominative
Pasko_2024,Во дворе автомобили паркуют треть соседей.,4.777777777777778,5.0,quantitative_nouns,stimul,25,200,pl,noun,tret,VS,nominative
Pasko_2024,Из партии сто компьютерам тестирует эксперт.,1.8656716417910448,2.0,bad,filler,505,526,sg,num,100.0,VS,
Pasko_2024,В квартиру мебель переносит восемь грузчиков.,3.5,4.0,quantitative_nouns,stimul,15,115,sg,num,8.0,VS,nominative
Pasko_2024,В автобусе музыку слушает половина пассажиров.,6.375,6.0,quantitative_nouns,stimul,21,167,sg,noun,polovina,VS,nominative
Pasko_2024,Половина студентов прогуливает занятия в субботу.,6.666666666666667,7.0,quantitative_nouns,stimul,16,125,sg,noun,polovina,SV,nominative
Pasko_2024,У выхода артиста ждет сто фанатов.,5.25,5.0,quantitative_nouns,stimul,20,155,sg,num,100.0,VS,nominative
Pasko_2024,Треть соседей паркуют автомобили во дворе.,5.4,5.0,quantitative_nouns,stimul,25,198,pl,noun,tret,SV,nominative
Pasko_2024,Во дворе автомобили паркуют двенадцать соседей.,5.25,5.0,quantitative_nouns,stimul,25,196,pl,num,12.0,VS,nominative
Pasko_2024,Двенадцать маляров красят стены на улице.,6.25,6.0,quantitative_nouns,stimul,27,210,pl,num,12.0,SV,nominative
Pasko_2024,На заводе забастовку планирует половина рабочих.,4.75,5.0,quantitative_nouns,stimul,17,135,sg,noun,polovina,VS,nominative
Pasko_2024,Половина рабочих планирует забастовку на заводе.,5.6,6.0,quantitative_nouns,stimul,17,133,sg,noun,polovina,SV,nominative
Pasko_2024,Из прибыли десять процентов забирает директор.,6.144927536231884,6.0,good,filler,505,502,sg,num,10.0,VS,
Pasko_2024,Половина отличников обсуждают контрольную на перемене.,5.888888888888889,6.0,quantitative_nouns,stimul,18,142,pl,noun,polovina,SV,nominative
Pasko_2024,Девять актеров забывает реплики на репетиции.,3.8,4.0,quantitative_nouns,stimul,6,41,sg,num,9.0,SV,nominative
Pasko_2024,В автобусе музыку слушают половина пассажиров.,3.625,4.0,quantitative_nouns,stimul,21,168,pl,noun,polovina,VS,nominative
Pasko_2024,Секретари печатают триста знаков в минуту.,6.0285714285714285,6.0,good,filler,505,525,pl,num,300.0,SV,
Pasko_2024,Двенадцать сотрудников отправляют отчеты по пятницам.,6.571428571428571,7.0,quantitative_nouns,stimul,9,66,pl,num,12.0,SV,nominative
Pasko_2024,Пятнадцать родителей убирает листья на субботнике.,3.4285714285714284,3.0,quantitative_nouns,stimul,31,241,sg,num,15.0,SV,nominative
Pasko_2024,Сто музыкантов готовят номера для фестиваля.,6.333333333333333,6.0,quantitative_nouns,stimul,22,170,pl,num,100.0,SV,nominative
Pasko_2024,Курьеры несут семь пакетов в подъезду.,2.7285714285714286,3.0,bad,filler,505,501,pl,num,7.0,SV,
Pasko_2024,Шестьдесят учителей проходит переподготовку в июне.,4.333333333333333,4.0,quantitative_nouns,stimul,29,225,sg,num,60.0,SV,nominative
Pasko_2024,По праздникам церковь посещают большинство прихожан.,6.4,6.0,quantitative_nouns,stimul,7,56,pl,noun,bolshinstvo,VS,nominative
Pasko_2024,В субботу занятия прогуливают тридцать студентов.,6.375,6.0,quantitative_nouns,stimul,16,124,pl,num,30.0,VS,nominative
Pasko_2024,На конкурсе романсы исполняют большинство певцов.,5.0,5.0,quantitative_nouns,stimul,3,24,pl,noun,bolshinstvo,VS,nominative
Pasko_2024,С детства китайский знает половина переводчиков.,5.6,6.0,quantitative_nouns,stimul,24,191,sg,noun,polovina,VS,nominative
Pasko_2024,В квартиру мебель переносит пара грузчиков.,6.111111111111111,6.0,quantitative_nouns,stimul,15,119,sg,noun,para,VS,nominative
Pasko_2024,Пара туристов ждет багаж в аэропорту.,6.6,7.0,quantitative_nouns,stimul,10,77,sg,noun,para,SV,nominative
Pasko_2024,На заводе забастовку планирует семьдесят рабочих.,4.857142857142857,5.0,quantitative_nouns,stimul,17,131,sg,num,70.0,VS,nominative
Pasko_2024,В университеты документы подает треть одноклассников.,5.375,5.0,quantitative_nouns,stimul,26,207,sg,noun,tret,VS,nominative
Pasko_2024,На берегу рыбу ловит девять пенсионеров.,4.6,5.0,quantitative_nouns,stimul,12,91,sg,num,9.0,VS,nominative
Pasko_2024,У выхода артиста ждут сто фанатов.,5.888888888888889,6.0,quantitative_nouns,stimul,20,156,pl,num,100.0,VS,nominative
Pasko_2024,Триста депутатов поддерживают законопроект в столице.,6.0,6.0,quantitative_nouns,stimul,2,10,pl,num,300.0,SV,nominative
Pasko_2024,Сорок первокурсников сдают экзамен в мае.,5.875,6.0,quantitative_nouns,stimul,1,2,pl,num,40.0,SV,nominative
Pasko_2024,В гимназии французский учит шестьдесят семиклассников.,5.0,5.0,quantitative_nouns,stimul,19,147,sg,num,60.0,VS,nominative
Pasko_2024,Тридцать студентов прогуливают занятия в субботу.,6.375,6.0,quantitative_nouns,stimul,16,122,pl,num,30.0,SV,nominative
Pasko_2024,Двадцать слушателей ведут конспекты на лекции.,6.555555555555555,7.0,quantitative_nouns,stimul,4,26,pl,num,20.0,SV,nominative
Pasko_2024,Половина отличников обсуждает контрольную на перемене.,6.375,6.0,quantitative_nouns,stimul,18,141,sg,noun,polovina,SV,nominative
Pasko_2024,Пара филологов представляет доклады на конференции.,5.125,5.0,quantitative_nouns,stimul,15,117,sg,noun,para,SV,nominative
Pasko_2024,Пятьдесят покупателей выбирает овощи на рынке.,3.875,4.0,quantitative_nouns,stimul,11,81,sg,num,50.0,SV,nominative
Pasko_2024,Треть учителей проходит переподготовку в июне.,5.4,5.0,quantitative_nouns,stimul,29,229,sg,noun,tret,SV,nominative
Pasko_2024,Десять певцов исполняет романсы на конкурсе.,4.5,4.0,quantitative_nouns,stimul,3,17,sg,num,10.0,SV,nominative
Pasko_2024,Тридцать студентов прогуливает занятия в субботу.,4.3,4.0,quantitative_nouns,stimul,16,121,sg,num,30.0,SV,nominative
Pasko_2024,На конкурсе романсы исполняют десять певцов.,4.4,4.0,quantitative_nouns,stimul,3,20,pl,num,10.0,VS,nominative
Pasko_2024,По утрам пациентов обходит большинство врачей.,5.1,5.0,quantitative_nouns,stimul,8,63,sg,noun,bolshinstvo,VS,nominative
Pasko_2024,На конференции доклады представляет пара филологов.,5.5,6.0,quantitative_nouns,stimul,15,119,sg,noun,para,VS,nominative
Pasko_2024,Пара туристов ждут багаж в аэропорту.,4.5,4.0,quantitative_nouns,stimul,10,78,pl,noun,para,SV,nominative
Pasko_2024,Восемнадцать врачей обходит пациентов по утрам.,2.888888888888889,3.0,quantitative_nouns,stimul,8,57,sg,num,18.0,SV,nominative
Pasko_2024,Триста депутатов поддерживает законопроект в столице.,3.625,4.0,quantitative_nouns,stimul,2,9,sg,num,300.0,SV,nominative
Pasko_2024,Большинство врачей обходит пациентов по утрам.,4.625,5.0,quantitative_nouns,stimul,8,61,sg,noun,bolshinstvo,SV,nominative
Pasko_2024,За границей жилье содержат большинство министров.,3.25,3.0,quantitative_nouns,stimul,5,40,pl,noun,bolshinstvo,VS,nominative
Pasko_2024,Восемь отличников обсуждают контрольную на перемене.,6.125,6.0,quantitative_nouns,stimul,18,138,pl,num,8.0,SV,nominative
Pasko_2024,На берегу рыбу ловит пара пенсионеров.,5.875,6.0,quantitative_nouns,stimul,12,95,sg,noun,para,VS,nominative
Pasko_2024,Пара грузчиков переносят мебель в квартиру.,4.714285714285714,5.0,quantitative_nouns,stimul,15,118,pl,noun,para,SV,nominative
Pasko_2024,На перемене контрольную обсуждает половина отличников.,5.1,5.0,quantitative_nouns,stimul,18,143,sg,noun,polovina,VS,nominative
Pasko_2024,На улице стены красят двенадцать маляров.,6.6,7.0,quantitative_nouns,stimul,27,212,pl,num,12.0,VS,nominative
Pasko_2024,На заводе забастовку планируют половина рабочих.,4.1,4.0,quantitative_nouns,stimul,17,136,pl,noun,polovina,VS,nominative
Pasko_2024,Пятнадцать прохожих пережидает дождь под навесом.,3.5,4.0,quantitative_nouns,stimul,13,97,sg,num,15.0,SV,nominative
Pasko_2024,Среди населения семьдесят процента составляют русские.,3.128571428571429,3.0,bad,filler,505,519,pl,num,70.0,VS,
Pasko_2024,На конференции доклады представляет семнадцать филологов.,5.25,5.0,quantitative_nouns,stimul,15,115,sg,num,17.0,VS,nominative
Pasko_2024,Восемь механиков чинят двигатели в автосервисе.,5.875,6.0,quantitative_nouns,stimul,14,106,pl,num,8.0,SV,nominative
Pasko_2024,В гимназии французский учат шестьдесят семиклассников.,5.875,6.0,quantitative_nouns,stimul,19,148,pl,num,60.0,VS,nominative
Pasko_2024,Треть соседей паркует автомобили во дворе.,6.111111111111111,6.0,quantitative_nouns,stimul,25,197,sg,noun,tret,SV,nominative
Pasko_2024,После доклада пару вопросов задает профессор.,5.357142857142857,5.0,good,filler,505,514,sg,noun,para,VS,
Pasko_2024,За границей жилье содержит десять министров.,2.75,3.0,quantitative_nouns,stimul,5,35,sg,num,10.0,VS,nominative
Pasko_2024,На лекции конспекты ведут двадцать слушателей.,5.75,6.0,quantitative_nouns,stimul,4,28,pl,num,20.0,VS,nominative
Pasko_2024,На рынке овощи выбирает пятьдесят покупателей.,4.333333333333333,4.0,quantitative_nouns,stimul,11,83,sg,num,50.0,VS,nominative
Pasko_2024,Репортеры делают большинство фотографий на телефон.,5.970588235294118,6.0,good,filler,505,505,pl,noun,bolshinstvo,SV,
Pasko_2024,Пара покупателей выбирают овощи на рынке.,5.333333333333333,5.0,quantitative_nouns,stimul,11,86,pl,noun,para,SV,nominative
Pasko_2024,Под навесом дождь пережидает пара прохожих.,5.875,6.0,quantitative_nouns,stimul,13,103,sg,noun,para,VS,nominative
Pasko_2024,Во дворе автомобили паркует двенадцать соседей.,4.75,5.0,quantitative_nouns,stimul,25,195,sg,num,12.0,VS,nominative
Pasko_2024,Пара филологов представляют доклады на конференции.,5.777777777777778,6.0,quantitative_nouns,stimul,15,118,pl,noun,para,SV,nominative
Pasko_2024,Двенадцать сотрудников отправляет отчеты по пятницам.,3.4,3.0,quantitative_nouns,stimul,9,65,sg,num,12.0,SV,nominative
Pasko_2024,По утрам пациентов обходит восемнадцать врачей.,3.875,4.0,quantitative_nouns,stimul,8,59,sg,num,18.0,VS,nominative
Pasko_2024,Большинство прихожан посещает церковь по праздникам.,6.5,6.0,quantitative_nouns,stimul,7,53,sg,noun,bolshinstvo,SV,nominative
Pasko_2024,В июне переподготовку проходят треть учителей.,4.571428571428571,5.0,quantitative_nouns,stimul,29,232,pl,noun,tret,VS,nominative
Pasko_2024,В гимназии французский учат половина семиклассников.,4.25,4.0,quantitative_nouns,stimul,19,152,pl,noun,polovina,VS,nominative
Pasko_2024,На праздник три салатом приносят гости.,1.7,2.0,bad,filler,505,503,pl,num,3.0,VS,
Pasko_2024,С детства китайский знает шестнадцать переводчиков.,4.75,5.0,quantitative_nouns,stimul,24,187,sg,num,16.0,VS,nominative
Pasko_2024,На свадьбу половину гостей приглашаю жених.,1.8115942028985508,2.0,bad,filler,505,522,sg,noun,polovina,VS,
Pasko_2024,В столице законопроект поддерживают триста депутатов.,6.111111111111111,6.0,quantitative_nouns,stimul,2,12,pl,num,300.0,VS,nominative
Pasko_2024,Десять министров содержит жилье за границей.,3.375,3.0,quantitative_nouns,stimul,5,33,sg,num,10.0,SV,nominative
Pasko_2024,Шестьдесят семиклассников учат французский в гимназии.,7.0,7.0,quantitative_nouns,stimul,19,146,pl,num,60.0,SV,nominative
Pasko_2024,Полиглоты выучивают пять языков в годом.,1.7647058823529411,2.0,bad,filler,505,517,pl,num,5.0,SV,
Pasko_2024,В мае экзамен сдает большинство первокурсников.,6.0,6.0,quantitative_nouns,stimul,1,7,sg,noun,bolshinstvo,VS,nominative
Pasko_2024,Сто фанатов ждут артиста у выхода.,6.1,6.0,quantitative_nouns,stimul,20,154,pl,num,100.0,SV,nominative
Pasko_2024,Под навесом дождь пережидает пятнадцать прохожих.,4.5,4.0,quantitative_nouns,stimul,13,99,sg,num,15.0,VS,nominative
Pasko_2024,На лекции конспекты ведут большинство слушателей.,5.25,5.0,quantitative_nouns,stimul,4,32,pl,noun,bolshinstvo,VS,nominative
Pasko_2024,В аэропорту багаж ждут двадцать туристов.,6.111111111111111,6.0,quantitative_nouns,stimul,10,76,pl,num,20.0,VS,nominative
Pasko_2024,Шестнадцать переводчиков знает китайский с детства.,4.555555555555555,5.0,quantitative_nouns,stimul,24,185,sg,num,16.0,SV,nominative
Pasko_2024,На перемене контрольную обсуждают половина отличников.,3.5,4.0,quantitative_nouns,stimul,18,144,pl,noun,polovina,VS,nominative
Pasko_2024,По понедельникам письма разносит сорок почтальонов.,4.2,4.0,quantitative_nouns,stimul,28,219,sg,num,40.0,VS,nominative
Pasko_2024,Большинство актеров забывает реплики на репетиции.,4.625,5.0,quantitative_nouns,stimul,6,45,sg,noun,bolshinstvo,SV,nominative
Pasko_2024,Треть родителей убирают листья на субботнике.,5.25,5.0,quantitative_nouns,stimul,31,246,pl,noun,tret,SV,nominative
Pasko_2024,Для фестиваля номера готовит сто музыкантов.,4.222222222222222,4.0,quantitative_nouns,stimul,22,171,sg,num,100.0,VS,nominative
Pasko_2024,Тринадцать детей читают стихи на концерте.,5.6,6.0,quantitative_nouns,stimul,32,250,pl,num,13.0,SV,nominative
Pasko_2024,С детства китайский знают половина переводчиков.,4.75,5.0,quantitative_nouns,stimul,24,192,pl,noun,polovina,VS,nominative
Pasko_2024,Дизайнер покупает семь люстр для квартирой.,2.057142857142857,2.0,bad,filler,505,508,sg,num,7.0,SV,
Pasko_2024,В июне переподготовку проходят шестьдесят учителей.,6.666666666666667,7.0,quantitative_nouns,stimul,29,228,pl,num,60.0,VS,nominative
Pasko_2024,Во вторник дипломы получает треть выпускников.,6.125,6.0,quantitative_nouns,stimul,30,239,sg,noun,tret,VS,nominative
Pasko_2024,На рынке овощи выбирают пятьдесят покупателей.,4.8,5.0,quantitative_nouns,stimul,11,84,pl,num,50.0,VS,nominative
Pasko_2024,Половина семиклассников учит французский в гимназии.,5.777777777777778,6.0,quantitative_nouns,stimul,19,149,sg,noun,polovina,SV,nominative
Pasko_2024,По понедельникам письма разносят сорок почтальонов.,6.25,6.0,quantitative_nouns,stimul,28,220,pl,num,40.0,VS,nominative
Pasko_2024,Поэт декламирует пять стихотворений по память.,2.557142857142857,3.0,bad,filler,505,524,sg,num,5.0,SV,
Pasko_2024,Большинство первокурсников сдают экзамен в мае.,5.8,6.0,quantitative_nouns,stimul,1,6,pl,noun,bolshinstvo,SV,nominative
Pasko_2024,Шестьдесят семиклассников учит французский в гимназии.,4.285714285714286,4.0,quantitative_nouns,stimul,19,145,sg,num,60.0,SV,nominative
Pasko_2024,У выхода артиста ждет половина фанатов.,4.875,5.0,quantitative_nouns,stimul,20,159,sg,noun,polovina,VS,nominative
Pasko_2024,В аэропорту багаж ждут пара туристов.,4.6,5.0,quantitative_nouns,stimul,10,80,pl,noun,para,VS,nominative
Pasko_2024,Половина рабочих планируют забастовку на заводе.,4.5,4.0,quantitative_nouns,stimul,17,134,pl,noun,polovina,SV,nominative
Pasko_2024,Большинство депутатов поддерживает законопроект в столице.,6.1,6.0,quantitative_nouns,stimul,2,13,sg,noun,bolshinstvo,SV,nominative
Pasko_2024,На конкурсе романсы исполняет большинство певцов.,4.111111111111111,4.0,quantitative_nouns,stimul,3,23,sg,noun,bolshinstvo,VS,nominative
Pasko_2024,В городе семь улиц патрулируют дружинники.,5.892307692307693,6.0,good,filler,505,527,pl,num,7.0,VS,
Pasko_2024,По праздникам церковь посещает большинство прихожан.,6.888888888888889,7.0,quantitative_nouns,stimul,7,55,sg,noun,bolshinstvo,VS,nominative
Pasko_2024,Официант ставит шесть бокалов на стол.,6.4,6.0,good,filler,505,500,sg,num,6.0,SV,
Pasko_2024,Половина переводчиков знают китайский с детства.,6.111111111111111,6.0,quantitative_nouns,stimul,24,190,pl,noun,polovina,SV,nominative
Pasko_2024,Семнадцать филологов представляет доклады на конференции.,3.0,3.0,quantitative_nouns,stimul,15,113,sg,num,17.0,SV,nominative
Pasko_2024,На перемене контрольную обсуждает восемь отличников.,4.555555555555555,5.0,quantitative_nouns,stimul,18,139,sg,num,8.0,VS,nominative
Pasko_2024,Во вторник дипломы получает четыреста выпускников.,4.0,4.0,quantitative_nouns,stimul,30,235,sg,num,400.0,VS,nominative
Pasko_2024,На лекции конспекты ведет двадцать слушателей.,3.7777777777777777,4.0,quantitative_nouns,stimul,4,27,sg,num,20.0,VS,nominative
Pasko_2024,На конференции доклады представляют пара филологов.,4.625,5.0,quantitative_nouns,stimul,15,120,pl,noun,para,VS,nominative
Pasko_2024,Художник выставляет двенадцать картин в галерее.,6.428571428571429,6.0,good,filler,505,516,sg,num,12.0,SV,
Pasko_2024,Треть выпускников получает дипломы во вторник.,6.125,6.0,quantitative_nouns,stimul,30,237,sg,noun,tret,SV,nominative
Pasko_2024,Восемнадцать врачей обходят пациентов по утрам.,5.5,6.0,quantitative_nouns,stimul,8,58,pl,num,18.0,SV,nominative
Pasko_2024,Треть маляров красит стены на улице.,4.625,5.0,quantitative_nouns,stimul,27,213,sg,noun,tret,SV,nominative
Pasko_2024,Во вторник дипломы получают четыреста выпускников.,5.3,5.0,quantitative_nouns,stimul,30,236,pl,num,400.0,VS,nominative
Pasko_2024,В мае экзамен сдают сорок первокурсников.,6.625,7.0,quantitative_nouns,stimul,1,4,pl,num,40.0,VS,nominative
Pasko_2024,Половина семиклассников учат французский в гимназии.,5.444444444444445,5.0,quantitative_nouns,stimul,19,150,pl,noun,polovina,SV,nominative
