experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,premodifier_number,agreement,noun_type,case
Krainova_2023,Моя куча песен играла на вечеринке.,2.6666666666666665,3.0,quantitative_nouns,stimul,9.0,73,sg,sg,adjectival,nominative
Krainova_2023,Эта тысяча преподавателей выступала за реформу.,6.111111111111111,6.0,quantitative_nouns,stimul,10.0,10,sg,sg,numeral,nominative
Krainova_2023,Спутник сделал миллион кругах вокруг Земли.,1.1219512195121952,1.0,bad,filler,501.0,715,,,,
Krainova_2023,Эти миллион рукописей хранился в библиотеке.,2.0,2.0,quantitative_nouns,stimul,16.0,144,pl,sg,numeral,nominative
Krainova_2023,Эта тысяча правок осталась без внимания.,6.7,7.0,quantitative_nouns,stimul,26.0,26,sg,sg,numeral,nominative
Krainova_2023,Эта дюжина последователей ошиблись в выводах.,1.5555555555555556,2.0,quantitative_nouns,stimul,23.0,55,sg,pl,numeral,nominative
Krainova_2023,Эти миллион объявлений висел на сайте.,1.9,2.0,quantitative_nouns,stimul,4.0,132,pl,sg,numeral,nominative
Krainova_2023,Официанты обслужили тысячу гостей на юбилеем.,1.475609756097561,1.0,bad,filler,501.0,709,,,,
Krainova_2023,Эти десяток песен играли на вечеринке.,3.125,3.0,quantitative_nouns,stimul,9.0,169,pl,pl,numeral,nominative
Krainova_2023,Моя масса репортажей попала в газеты.,2.888888888888889,3.0,quantitative_nouns,stimul,31.0,95,sg,sg,adjectival,nominative
Krainova_2023,Эта дюжина однокурсников пошла в кино.,4.444444444444445,4.0,quantitative_nouns,stimul,3.0,3,sg,sg,numeral,nominative
Krainova_2023,Эти тысяча учеников отправились на экзамен.,3.071428571428572,3.0,quantitative_nouns,stimul,2.0,162,pl,pl,numeral,nominative
Krainova_2023,Стажер выполнил большинство задач по проекта.,1.654320987654321,2.0,bad,filler,501.0,711,,,,
Krainova_2023,Моё множество препаратов продавалось по рецепту.,2.0,2.0,quantitative_nouns,stimul,1.0,65,sg,sg,adjectival,nominative
Krainova_2023,Мои масса коллег уходила в отпуск.,1.5454545454545454,2.0,quantitative_nouns,stimul,15.0,207,pl,sg,adjectival,nominative
Krainova_2023,Мои куча рукописей хранилась в библиотеке.,3.125,3.0,quantitative_nouns,stimul,16.0,208,pl,sg,adjectival,nominative
Krainova_2023,Мои куча товарищей играл в баскетбол.,1.25,1.0,quantitative_nouns,stimul,25.0,217,pl,sg,adjectival,nominative
Krainova_2023,Фермер убил дюжину коз для продажи.,6.296296296296297,6.0,good,filler,501.0,510,,,,
Krainova_2023,Пара позвала тысячу человек на свадьбу.,6.271604938271605,6.0,good,filler,501.0,508,,,,
Krainova_2023,Эта дюжина последователей ошиблась в выводах.,4.5,4.0,quantitative_nouns,stimul,23.0,23,sg,sg,numeral,nominative
Krainova_2023,Эти миллион экземпляров продавались в магазинах.,3.090909090909091,3.0,quantitative_nouns,stimul,8.0,168,pl,pl,numeral,nominative
Krainova_2023,Эти тысяча учеников отправилась на экзамен.,2.625,3.0,quantitative_nouns,stimul,2.0,130,pl,sg,numeral,nominative
Krainova_2023,Моя куча книг лежала на полу.,4.727272727272728,5.0,quantitative_nouns,stimul,19.0,83,sg,sg,adjectival,nominative
Krainova_2023,Эти десяток цветов росли на даче.,1.7,2.0,quantitative_nouns,stimul,21.0,181,pl,pl,numeral,nominative
Krainova_2023,Эта дюжина репортажей попала в газеты.,4.785714285714286,5.0,quantitative_nouns,stimul,31.0,31,sg,sg,numeral,nominative
Krainova_2023,Эта тысяча писем пришла в редакцию.,4.5,4.0,quantitative_nouns,stimul,30.0,30,sg,sg,numeral,nominative
Krainova_2023,Этот миллион марок хранился в альбомах.,4.545454545454546,5.0,quantitative_nouns,stimul,28.0,28,sg,sg,numeral,nominative
Krainova_2023,Грибы имеют тысячу корнях под землёй.,1.2592592592592593,1.0,bad,filler,501.0,710,,,,
Krainova_2023,Моя куча выпускников поступала в университет.,2.6666666666666665,3.0,quantitative_nouns,stimul,32.0,96,sg,sg,adjectival,nominative
Krainova_2023,Мои ряд объявлений висел на сайте.,1.8,2.0,quantitative_nouns,stimul,4.0,196,pl,sg,adjectival,nominative
Krainova_2023,Мои ряд издателей экономили на бумаге.,1.3636363636363635,1.0,quantitative_nouns,stimul,29.0,253,pl,pl,adjectival,nominative
Krainova_2023,Мой ряд издателей экономили на бумаге.,1.2,1.0,quantitative_nouns,stimul,29.0,125,sg,pl,adjectival,nominative
Krainova_2023,Мои куча товарищей играла в баскетбол.,1.8,2.0,quantitative_nouns,stimul,25.0,217,pl,sg,adjectival,nominative
Krainova_2023,Эти десяток вопросов поступили в разработку.,2.3,2.0,quantitative_nouns,stimul,13.0,173,pl,pl,numeral,nominative
Krainova_2023,Петя прошёл кучу этапах в конкурсе.,1.271604938271605,1.0,bad,filler,501.0,702,,,,
Krainova_2023,Мои ряд преподавателей выступал за реформу.,1.8,2.0,quantitative_nouns,stimul,10.0,202,pl,sg,adjectival,nominative
Krainova_2023,Мои куча однокурсников пошли в кино.,2.5,2.0,quantitative_nouns,stimul,3.0,227,pl,pl,adjectival,nominative
Krainova_2023,Этот миллион пациентов выздоровел от инфекции.,3.1818181818181817,3.0,quantitative_nouns,stimul,12.0,12,sg,sg,numeral,nominative
Krainova_2023,Моряки увидели миллион звезд на небе.,6.695121951219512,7.0,good,filler,501.0,516,,,,
Krainova_2023,Мои куча заказчиков настаивали на рассрочке.,2.1818181818181817,2.0,quantitative_nouns,stimul,6.0,230,pl,pl,adjectival,nominative
Krainova_2023,Люди разделяют ряд мифов про магию.,4.853658536585366,5.0,good,filler,501.0,513,,,,
Krainova_2023,Эти десяток товарищей играли в баскетбол.,2.0,2.0,quantitative_nouns,stimul,25.0,185,pl,pl,numeral,nominative
Krainova_2023,Мои ряд последователей ошиблись в выводах.,3.0,3.0,quantitative_nouns,stimul,23.0,247,pl,pl,adjectival,nominative
Krainova_2023,Моя куча трав хранились в гербарии.,2.5,2.0,quantitative_nouns,stimul,22.0,86,sg,sg,adjectival,nominative
Krainova_2023,Мои масса репортажей попали в газеты.,2.625,3.0,quantitative_nouns,stimul,31.0,255,pl,pl,adjectival,nominative
Krainova_2023,Мои куча книг лежала на полу.,2.111111111111111,2.0,quantitative_nouns,stimul,19.0,211,pl,sg,adjectival,nominative
Krainova_2023,Этот миллион объявлений висели на сайте.,2.090909090909091,2.0,quantitative_nouns,stimul,4.0,36,sg,pl,numeral,nominative
Krainova_2023,Этот миллион клиентов торговал на бирже.,3.1818181818181817,3.0,quantitative_nouns,stimul,20.0,20,sg,sg,numeral,nominative
Krainova_2023,Этот десяток издателей экономил на бумаге.,3.5454545454545454,4.0,quantitative_nouns,stimul,29.0,29,sg,sg,numeral,nominative
Krainova_2023,Мои ряд объявлений висели на сайте.,1.75,2.0,quantitative_nouns,stimul,4.0,228,pl,pl,adjectival,nominative
Krainova_2023,Мой ряд объявлений висел на сайте.,2.875,3.0,quantitative_nouns,stimul,4.0,68,sg,sg,adjectival,nominative
Krainova_2023,Моя масса репортажей попали в газеты.,1.6,2.0,quantitative_nouns,stimul,31.0,127,sg,pl,adjectival,nominative
Krainova_2023,Эти дюжина книг лежали на полу.,1.8,2.0,quantitative_nouns,stimul,19.0,179,pl,pl,numeral,nominative
Krainova_2023,Моя масса друзей поехала за город.,2.0,2.0,quantitative_nouns,stimul,5.0,69,sg,sg,adjectival,nominative
Krainova_2023,Эти десяток препаратов продавался по рецепту.,1.2,1.0,quantitative_nouns,stimul,1.0,129,pl,sg,numeral,nominative
Krainova_2023,Мой ряд тем снялись с обсуждения.,2.2,2.0,quantitative_nouns,stimul,7.0,103,sg,pl,adjectival,nominative
Krainova_2023,Мои куча однокурсников пошла в кино.,1.6666666666666667,2.0,quantitative_nouns,stimul,3.0,195,pl,sg,adjectival,nominative
Krainova_2023,Эти миллион объявлений висели на сайте.,3.6666666666666665,4.0,quantitative_nouns,stimul,4.0,164,pl,pl,numeral,nominative
Krainova_2023,Мой ряд правок остались без внимания.,1.7,2.0,quantitative_nouns,stimul,26.0,122,sg,pl,adjectival,nominative
Krainova_2023,Эти дюжина тем снялась с обсуждения.,2.2222222222222223,2.0,quantitative_nouns,stimul,7.0,135,pl,sg,numeral,nominative
Krainova_2023,Эти тысяча писем пришли в редакцию.,3.333333333333333,3.0,quantitative_nouns,stimul,30.0,190,pl,pl,numeral,nominative
Krainova_2023,Моя масса коллег уходили в отпуск.,2.1,2.0,quantitative_nouns,stimul,15.0,111,sg,pl,adjectival,nominative
Krainova_2023,Этот миллион студентов выпустился из университета.,4.8,5.0,quantitative_nouns,stimul,24.0,24,sg,sg,numeral,nominative
Krainova_2023,Эта тысяча преподавателей выступали за реформу.,4.428571428571429,4.0,quantitative_nouns,stimul,10.0,42,sg,pl,numeral,nominative
Krainova_2023,Мои множество просьб привело к отказу.,2.0,2.0,quantitative_nouns,stimul,11.0,203,pl,sg,adjectival,nominative
Krainova_2023,Моя масса цветов росли на даче.,1.3333333333333333,1.0,quantitative_nouns,stimul,21.0,117,sg,pl,adjectival,nominative
Krainova_2023,Эти миллион клиентов торговали на бирже.,4.0,4.0,quantitative_nouns,stimul,20.0,180,pl,pl,numeral,nominative
Krainova_2023,Мои масса статей находилась на рецензировании.,1.7,2.0,quantitative_nouns,stimul,18.0,210,pl,sg,adjectival,nominative
Krainova_2023,Эта дюжина тем снялась с обсуждения.,3.071428571428572,3.0,quantitative_nouns,stimul,7.0,7,sg,sg,numeral,nominative
Krainova_2023,Моя масса статей находилась на рецензировании.,3.5454545454545454,4.0,quantitative_nouns,stimul,18.0,82,sg,sg,adjectival,nominative
Krainova_2023,Мои множество студентов выпустилось из университета.,1.5,2.0,quantitative_nouns,stimul,24.0,216,pl,sg,adjectival,nominative
Krainova_2023,Моя масса марок хранились в альбомах.,2.142857142857143,2.0,quantitative_nouns,stimul,28.0,124,sg,pl,adjectival,nominative
Krainova_2023,Этот миллион марок хранились в альбомах.,1.6363636363636365,2.0,quantitative_nouns,stimul,28.0,60,sg,pl,numeral,nominative
Krainova_2023,Этот миллион выпускников поступал в университет.,3.7777777777777777,4.0,quantitative_nouns,stimul,32.0,32,sg,sg,numeral,nominative
Krainova_2023,Эти миллион студентов выпустился из университета.,1.7272727272727273,2.0,quantitative_nouns,stimul,24.0,152,pl,sg,numeral,nominative
Krainova_2023,Мои масса коллег уходили в отпуск.,2.25,2.0,quantitative_nouns,stimul,15.0,239,pl,pl,adjectival,nominative
Krainova_2023,Этот десяток препаратов продавались по рецепту.,3.8,4.0,quantitative_nouns,stimul,1.0,33,sg,pl,numeral,nominative
Krainova_2023,Мой ряд издателей экономил на бумаге.,2.5384615384615383,3.0,quantitative_nouns,stimul,29.0,93,sg,sg,adjectival,nominative
Krainova_2023,Эти десяток препаратов продавались по рецепту.,3.142857142857143,3.0,quantitative_nouns,stimul,1.0,161,pl,pl,numeral,nominative
Krainova_2023,Эта тысяча заказчиков настаивала на рассрочке.,5.0,5.0,quantitative_nouns,stimul,6.0,6,sg,sg,numeral,nominative
Krainova_2023,Эти миллион выпускников поступал в университет.,1.0909090909090908,1.0,quantitative_nouns,stimul,32.0,160,pl,sg,numeral,nominative
Krainova_2023,Этот десяток издателей экономили на бумаге.,2.0,2.0,quantitative_nouns,stimul,29.0,61,sg,pl,numeral,nominative
Krainova_2023,Моя куча заказчиков настаивали на рассрочке.,3.0,3.0,quantitative_nouns,stimul,6.0,102,sg,pl,adjectival,nominative
Krainova_2023,Этот десяток песен играли на вечеринке.,3.6666666666666665,4.0,quantitative_nouns,stimul,9.0,41,sg,pl,numeral,nominative
Krainova_2023,Моё множество односельчан вступили в кооператив.,1.7,2.0,quantitative_nouns,stimul,17.0,113,sg,pl,adjectival,nominative
Krainova_2023,Эта тысяча учеников отправились на экзамен.,2.333333333333333,2.0,quantitative_nouns,stimul,2.0,34,sg,pl,numeral,nominative
Krainova_2023,Моё множество односельчан вступило в кооператив.,3.2222222222222223,3.0,quantitative_nouns,stimul,17.0,81,sg,sg,adjectival,nominative
Krainova_2023,Эта дюжина тем снялись с обсуждения.,1.5,2.0,quantitative_nouns,stimul,7.0,39,sg,pl,numeral,nominative
Krainova_2023,Мои ряд последователей ошибся в выводах.,1.0909090909090908,1.0,quantitative_nouns,stimul,23.0,215,pl,sg,adjectival,nominative
Krainova_2023,Этот десяток цветов росли на даче.,2.75,3.0,quantitative_nouns,stimul,21.0,53,sg,pl,numeral,nominative
Krainova_2023,Ваня купил дюжину крысах для опытов.,1.1829268292682926,1.0,bad,filler,501.0,707,,,,
Krainova_2023,Моя куча рукописей хранились в библиотеке.,2.4444444444444446,2.0,quantitative_nouns,stimul,16.0,112,sg,pl,adjectival,nominative
Krainova_2023,Мой ряд вопросов поступил в разработку.,3.7857142857142856,4.0,quantitative_nouns,stimul,13.0,77,sg,sg,adjectival,nominative
Krainova_2023,Моя масса пациентов выздоровела от инфекции.,2.5,2.0,quantitative_nouns,stimul,12.0,76,sg,sg,adjectival,nominative
Krainova_2023,Эта дюжина коллег уходили в отпуск.,1.6,2.0,quantitative_nouns,stimul,15.0,47,sg,pl,numeral,nominative
Krainova_2023,Моё множество экземпляров продавались в магазинах.,2.4444444444444446,2.0,quantitative_nouns,stimul,8.0,104,sg,pl,adjectival,nominative
Krainova_2023,Фильм покорил миллион зрителей после премьере.,1.3902439024390243,1.0,bad,filler,501.0,716,,,,
Krainova_2023,Моя масса статей находились на рецензировании.,2.5454545454545454,3.0,quantitative_nouns,stimul,18.0,114,sg,pl,adjectival,nominative
Krainova_2023,Эти дюжина репортажей попала в газеты.,3.333333333333333,3.0,quantitative_nouns,stimul,31.0,159,pl,sg,numeral,nominative
Krainova_2023,Этот десяток друзей поехали за город.,2.0,2.0,quantitative_nouns,stimul,5.0,37,sg,pl,numeral,nominative
Krainova_2023,Моё множество писем пришла в редакцию.,1.2222222222222223,1.0,quantitative_nouns,stimul,30.0,94,sg,sg,adjectival,nominative
Krainova_2023,Мои ряд тем снялись с обсуждения.,3.375,3.0,quantitative_nouns,stimul,7.0,231,pl,pl,adjectival,nominative
Krainova_2023,Мои масса друзей поехали за город.,1.5454545454545454,2.0,quantitative_nouns,stimul,5.0,229,pl,pl,adjectival,nominative
Krainova_2023,Эти тысяча писем пришла в редакцию.,1.9,2.0,quantitative_nouns,stimul,30.0,158,pl,sg,numeral,nominative
Krainova_2023,Эти дюжина просьб привели к отказу.,1.8888888888888888,2.0,quantitative_nouns,stimul,11.0,171,pl,pl,numeral,nominative
Krainova_2023,Моя куча товарищей играли в баскетбол.,1.7272727272727273,2.0,quantitative_nouns,stimul,25.0,121,sg,pl,adjectival,nominative
Krainova_2023,Моё множество студентов выпустились из университета.,2.555555555555556,3.0,quantitative_nouns,stimul,24.0,120,sg,pl,adjectival,nominative
Krainova_2023,Поэт исписал тысячу листов в черновиках.,6.2,6.0,good,filler,501.0,507,,,,
Krainova_2023,Эти миллион клиентов торговал на бирже.,1.1111111111111112,1.0,quantitative_nouns,stimul,20.0,148,pl,sg,numeral,nominative
Krainova_2023,Эта дюжина приятелей поднялись на Эверест.,2.0,2.0,quantitative_nouns,stimul,27.0,59,sg,pl,numeral,nominative
Krainova_2023,Эти десяток друзей поехали за город.,2.0,2.0,quantitative_nouns,stimul,5.0,165,pl,pl,numeral,nominative
Krainova_2023,Мои ряд клиентов торговали на бирже.,2.0,2.0,quantitative_nouns,stimul,20.0,244,pl,pl,adjectival,nominative
Krainova_2023,Эта тысяча заказчиков настаивали на рассрочке.,2.571428571428572,3.0,quantitative_nouns,stimul,6.0,38,sg,pl,numeral,nominative
Krainova_2023,Мой ряд последователей ошибся в выводах.,3.555555555555556,4.0,quantitative_nouns,stimul,23.0,87,sg,sg,adjectival,nominative
Krainova_2023,Эти десяток вопросов поступил в разработку.,2.2222222222222223,2.0,quantitative_nouns,stimul,13.0,141,pl,sg,numeral,nominative
Krainova_2023,Мои куча выпускников поступала в университет.,1.375,1.0,quantitative_nouns,stimul,32.0,224,pl,sg,adjectival,nominative
Krainova_2023,Мои масса пациентов выздоровели от инфекции.,1.2857142857142858,1.0,quantitative_nouns,stimul,12.0,236,pl,pl,adjectival,nominative
Krainova_2023,Мои масса друзей поехала за город.,1.4444444444444444,1.0,quantitative_nouns,stimul,5.0,197,pl,sg,adjectival,nominative
Krainova_2023,Оркестр сыграл множество вальсов на концерте.,6.050632911392405,6.0,good,filler,501.0,512,,,,
Krainova_2023,Эти миллион марок хранились в альбомах.,3.875,4.0,quantitative_nouns,stimul,28.0,188,pl,pl,numeral,nominative
Krainova_2023,Ректорат ввел ряд изменениях в студсовет.,1.5432098765432098,2.0,bad,filler,501.0,713,,,,
Krainova_2023,Мои множество препаратов продавалось по рецепту.,1.9285714285714288,2.0,quantitative_nouns,stimul,1.0,193,pl,sg,adjectival,nominative
Krainova_2023,Моя куча заказчиков настаивала на рассрочке.,3.7,4.0,quantitative_nouns,stimul,6.0,70,sg,sg,adjectival,nominative
Krainova_2023,Этот миллион рукописей хранился в библиотеке.,5.2,5.0,quantitative_nouns,stimul,16.0,16,sg,sg,numeral,nominative
Krainova_2023,Эти десяток односельчан вступили в кооператив.,2.7142857142857144,3.0,quantitative_nouns,stimul,17.0,177,pl,pl,numeral,nominative
Krainova_2023,Мои масса учеников отправились на экзамен.,2.111111111111111,2.0,quantitative_nouns,stimul,2.0,226,pl,pl,adjectival,nominative
Krainova_2023,Эти тысяча поклонников приехало на встречу.,2.0,2.0,quantitative_nouns,stimul,14.0,142,pl,sg,numeral,nominative
Krainova_2023,Эти десяток издателей экономил на бумаге.,2.2222222222222223,2.0,quantitative_nouns,stimul,29.0,157,pl,sg,numeral,nominative
Krainova_2023,Моё множество просьб привело к отказу.,3.8181818181818175,4.0,quantitative_nouns,stimul,11.0,75,sg,sg,adjectival,nominative
Krainova_2023,Мои куча товарищей играли в баскетбол.,1.6,2.0,quantitative_nouns,stimul,25.0,249,pl,pl,adjectival,nominative
Krainova_2023,Этот миллион пациентов выздоровели от инфекции.,2.2,2.0,quantitative_nouns,stimul,12.0,44,sg,pl,numeral,nominative
Krainova_2023,Оля обняла массу знакомых на мероприятием.,1.617283950617284,2.0,bad,filler,501.0,703,,,,
Krainova_2023,Эта тысяча писем пришли в редакцию.,1.7142857142857142,2.0,quantitative_nouns,stimul,30.0,62,sg,pl,numeral,nominative
Krainova_2023,Активисты посадили миллион деревьев в лесах.,6.395061728395062,6.0,good,filler,501.0,515,,,,
Krainova_2023,Этот десяток друзей поехал за город.,3.0,3.0,quantitative_nouns,stimul,5.0,5,sg,sg,numeral,nominative
Krainova_2023,Моя куча однокурсников пошли в кино.,1.7142857142857142,2.0,quantitative_nouns,stimul,3.0,99,sg,pl,adjectival,nominative
Krainova_2023,Эти миллион рукописей хранились в библиотеке.,3.363636363636364,3.0,quantitative_nouns,stimul,16.0,176,pl,pl,numeral,nominative
Krainova_2023,Эти миллион марок хранился в альбомах.,1.8,2.0,quantitative_nouns,stimul,28.0,156,pl,sg,numeral,nominative
Krainova_2023,Моя куча книг лежали на полу.,1.75,2.0,quantitative_nouns,stimul,19.0,115,sg,pl,adjectival,nominative
Krainova_2023,Мои масса репортажей попала в газеты.,1.6363636363636365,2.0,quantitative_nouns,stimul,31.0,223,pl,sg,adjectival,nominative
Krainova_2023,Мои ряд вопросов поступили в разработку.,1.6363636363636365,2.0,quantitative_nouns,stimul,13.0,237,pl,pl,adjectival,nominative
Krainova_2023,Продавец обслужил множество покупателей в субботу.,6.476923076923077,6.0,good,filler,501.0,511,,,,
Krainova_2023,Эти дюжина однокурсников пошла в кино.,2.0,2.0,quantitative_nouns,stimul,3.0,131,pl,sg,numeral,nominative
Krainova_2023,Эта тысяча поклонников приехали на встречу.,2.2142857142857144,2.0,quantitative_nouns,stimul,14.0,46,sg,pl,numeral,nominative
Krainova_2023,Эти дюжина приятелей поднялись на Эверест.,1.8,2.0,quantitative_nouns,stimul,27.0,187,pl,pl,numeral,nominative
Krainova_2023,Маша увидела массу детей на площадке.,5.65,6.0,good,filler,501.0,503,,,,
Krainova_2023,Этот миллион студентов выпустились из университета.,3.125,3.0,quantitative_nouns,stimul,24.0,56,sg,pl,numeral,nominative
Krainova_2023,Этот десяток вопросов поступили в разработку.,2.857142857142857,3.0,quantitative_nouns,stimul,13.0,45,sg,pl,numeral,nominative
Krainova_2023,Мои куча трав хранилась в гербарии.,1.5454545454545454,2.0,quantitative_nouns,stimul,22.0,214,pl,sg,adjectival,nominative
Krainova_2023,Эти дюжина коллег уходила в отпуск.,2.888888888888889,3.0,quantitative_nouns,stimul,15.0,143,pl,sg,numeral,nominative
Krainova_2023,Ведущий познакомил большинство участниках с правилами.,1.475609756097561,1.0,bad,filler,501.0,712,,,,
Krainova_2023,Моя масса учеников отправились на экзамен.,1.7272727272727273,2.0,quantitative_nouns,stimul,2.0,98,sg,pl,adjectival,nominative
Krainova_2023,Мои масса марок хранилась в альбомах.,1.4,1.0,quantitative_nouns,stimul,28.0,220,pl,sg,adjectival,nominative
Krainova_2023,Эта тысяча правок остались без внимания.,2.7777777777777777,3.0,quantitative_nouns,stimul,26.0,58,sg,pl,numeral,nominative
Krainova_2023,Эта дюжина книг лежали на полу.,1.4545454545454546,1.0,quantitative_nouns,stimul,19.0,51,sg,pl,numeral,nominative
Krainova_2023,Эти дюжина книг лежала на полу.,2.071428571428572,2.0,quantitative_nouns,stimul,19.0,147,pl,sg,numeral,nominative
Krainova_2023,Эти миллион пациентов выздоровел от инфекции.,2.7777777777777777,3.0,quantitative_nouns,stimul,12.0,140,pl,sg,numeral,nominative
Krainova_2023,Моё множество студентов выпустилось из университета.,3.2,3.0,quantitative_nouns,stimul,24.0,88,sg,sg,adjectival,nominative
Krainova_2023,Мои ряд издателей экономил на бумаге.,1.0,1.0,quantitative_nouns,stimul,29.0,221,pl,sg,adjectival,nominative
Krainova_2023,Моё множество просьб привели к отказу.,2.75,3.0,quantitative_nouns,stimul,11.0,107,sg,pl,adjectival,nominative
Krainova_2023,Моё множество писем пришли в редакцию.,3.625,4.0,quantitative_nouns,stimul,30.0,126,sg,pl,adjectival,nominative
Krainova_2023,Этот миллион объявлений висел на сайте.,4.454545454545454,4.0,quantitative_nouns,stimul,4.0,4,sg,sg,numeral,nominative
Krainova_2023,Эти тысяча правок осталась без внимания.,2.0,2.0,quantitative_nouns,stimul,26.0,154,pl,sg,numeral,nominative
Krainova_2023,Мои ряд правок остались без внимания.,2.888888888888889,3.0,quantitative_nouns,stimul,26.0,250,pl,pl,adjectival,nominative
Krainova_2023,Эти тысяча статей находились на рецензировании.,2.5,2.0,quantitative_nouns,stimul,18.0,178,pl,pl,numeral,nominative
Krainova_2023,Мои ряд клиентов торговал на бирже.,1.7,2.0,quantitative_nouns,stimul,20.0,212,pl,sg,adjectival,nominative
Krainova_2023,Мои множество односельчан вступили в кооператив.,1.4,1.0,quantitative_nouns,stimul,17.0,241,pl,pl,adjectival,nominative
Krainova_2023,Эти дюжина коллег уходили в отпуск.,1.9090909090909087,2.0,quantitative_nouns,stimul,15.0,175,pl,pl,numeral,nominative
Krainova_2023,Ученые представили ряд феноменов для исследования.,6.271604938271605,6.0,good,filler,501.0,514,,,,
Krainova_2023,Мои масса учеников отправилась на экзамен.,1.8888888888888888,2.0,quantitative_nouns,stimul,2.0,194,pl,sg,adjectival,nominative
Krainova_2023,Моя масса цветов росла на даче.,2.0,2.0,quantitative_nouns,stimul,21.0,85,sg,sg,adjectival,nominative
Krainova_2023,Эти тысяча преподавателей выступала за реформу.,1.625,2.0,quantitative_nouns,stimul,10.0,138,pl,sg,numeral,nominative
