experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,agreement,order,gender,animacy,condition
Orlov_2023,"На газовой плите, соседствующей с раковиной, стояли две кастрюли.",5.214285714285714,5.0,quantitative_nouns,stimul,16,125,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"На оживлённую улицу, проходившую через центр, выходило три веранды.",5.461538461538462,5.0,quantitative_nouns,stimul,9,70,singular verb,VS,feminine noun,inanimate,"singular verb, VS, feminine noun"
Orlov_2023,"В большой палате, находившейся напротив медпоста, cтояли два зеркала.",5.818181818181818,6.0,quantitative_nouns,stimul,4,31,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"Три кресла стояли в летней беседке, примыкавшей к забору.",5.461538461538462,5.0,quantitative_nouns,stimul,30,235,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"Три табуретки стояли в летней беседке, примыкавшей к забору.",5.785714285714286,6.0,quantitative_nouns,stimul,30,233,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"На высоком буфете, стоявшем в гостиной, лежало четыре письма.",5.909090909090909,6.0,quantitative_nouns,stimul,26,208,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"На дубовом шкафу, примыкавшем к камину, стояли два стакана.",4.75,5.0,quantitative_nouns,stimul,1,7,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"В маленькой аудитории, соседствующей с лекторием, стояли четыре кресла.",5.615384615384615,6.0,quantitative_nouns,stimul,20,159,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"Две наволочки находилось в большом сундуке, помещенном в кладовку.",3.8333333333333335,4.0,quantitative_nouns,stimul,28,218,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"В старой сумке, висевшей в гардеробе, лежало четыре открытки.",5.916666666666667,6.0,quantitative_nouns,stimul,14,110,singular verb,VS,feminine noun,inanimate,"singular verb, VS, feminine noun"
Orlov_2023,"В фруктовой вазе, стоявшей посреди стола, лежало четыре яблока.",6.333333333333333,6.0,quantitative_nouns,stimul,2,16,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"Три кресла стояло в летней беседке, примыкавшей к забору.",4.818181818181818,5.0,quantitative_nouns,stimul,30,236,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"В пригородных поселениях, расстилающихся по равнине, заработало две шахты.",4.083333333333333,4.0,quantitative_nouns,stimul,13,102,singular verb,VS,feminine noun,inanimate,"singular verb, VS, feminine noun"
Orlov_2023,"Две вазы стояли на дубовом шкафу, примыкавшем к камину.",5.454545454545454,5.0,quantitative_nouns,stimul,1,1,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"Два платья появились в модном бутике, открывшемся в центре.",5.076923076923077,5.0,quantitative_nouns,stimul,22,171,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"Четыре подушки лежало на большой кровати, находящейся в спальне.",4.857142857142857,5.0,quantitative_nouns,stimul,11,82,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"Четыре письма лежали на высоком буфете, стоявшем в гостиной.",5.142857142857143,5.0,quantitative_nouns,stimul,26,203,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"Две наволочки находились в большом сундуке, помещенном в кладовку.",4.785714285714286,5.0,quantitative_nouns,stimul,28,217,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"Четыре газеты лежало на зеленой скамейке, стоящей у подъезда.",4.0,4.0,quantitative_nouns,stimul,23,178,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"На зеленой скамейке, стоящей у подъезда, лежали четыре газеты.",6.076923076923077,6.0,quantitative_nouns,stimul,23,181,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"На оживлённую улицу, проходившую через центр, выходили три окна.",5.615384615384615,6.0,quantitative_nouns,stimul,9,71,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"В модном бутике, открывшемся в центре города, появились два платья.",5.461538461538462,5.0,quantitative_nouns,stimul,22,175,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"Два покрывала находились в большом сундуке, помещенном в кладовку.",5.214285714285714,5.0,quantitative_nouns,stimul,28,219,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"Три дуба росли на дачном участке, выходящем к реке.",6.076923076923077,6.0,quantitative_nouns,stimul,21,163,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"В фруктовой вазе, стоявшей посреди стола, лежали четыре яблока.",4.923076923076923,5.0,quantitative_nouns,stimul,2,15,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"Два предприятия заработало в пригородных поселениях, расстилающихся по равнине.",3.5,4.0,quantitative_nouns,stimul,13,100,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"По железной дороге, ведущей в Тулу, ехали четыре вагонетки.",5.75,6.0,quantitative_nouns,stimul,29,229,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"В летней беседке, примыкавшей к забору, стояли три табуретки.",6.307692307692308,6.0,quantitative_nouns,stimul,30,237,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"В жестяной раковине, крепившейся к стене, лежали четыре ножа.",5.615384615384615,6.0,quantitative_nouns,stimul,8,63,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"В жестяной раковине, крепившейся к стене, лежало четыре ножа.",5.769230769230769,6.0,quantitative_nouns,stimul,8,64,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"На большой кровати, находящейся в спальне, лежало четыре одеяла.",6.076923076923077,6.0,quantitative_nouns,stimul,11,88,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"Два астероида летели к спутнику, вращающемуся вокруг Марса.",5.571428571428571,6.0,quantitative_nouns,stimul,10,75,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"Три веранды выходили на оживлённую улицу, проходившую через центр.",5.083333333333333,5.0,quantitative_nouns,stimul,9,65,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"Три провода валялись на верхней антресоли, располагавшейся в прихожей.",5.333333333333333,5.0,quantitative_nouns,stimul,27,211,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"Четыре вагонетки ехало по железной дороге, ведущей в Тулу.",4.642857142857143,5.0,quantitative_nouns,stimul,29,226,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"Два чайника стояло на газовой плите, соседствующей с раковиной.",5.461538461538462,5.0,quantitative_nouns,stimul,16,124,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"Три веранды выходило на оживлённую улицу, проходившую через центр.",3.1538461538461537,3.0,quantitative_nouns,stimul,9,66,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"Четыре кресла стояло в маленькой аудитории, соседствующей с лекторием.",5.615384615384615,6.0,quantitative_nouns,stimul,20,156,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"На широкой набережной, пролегающей вдоль океана, росли четыре пальмы.",5.153846153846154,5.0,quantitative_nouns,stimul,17,133,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"Два штатива оказалось в маленькой студии, расположенной в кинопавильоне.",3.1538461538461537,3.0,quantitative_nouns,stimul,31,244,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"В большой палате, находившейся напротив медпоста, cтояли две кровати.",5.846153846153846,6.0,quantitative_nouns,stimul,4,29,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"Четыре журнала лежало на зеленой скамейке, стоящей у подъезда.",5.076923076923077,5.0,quantitative_nouns,stimul,23,180,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"Четыре яблока лежали в фруктовой вазе, стоявшей посреди стола.",5.428571428571429,5.0,quantitative_nouns,stimul,2,11,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"Четыре открытки лежали в старой сумке, висевшей в гардеробе.",5.6923076923076925,6.0,quantitative_nouns,stimul,14,105,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"В компьютерном классе, находящемся напротив лектория, стояли два стола.",5.636363636363637,6.0,quantitative_nouns,stimul,25,199,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"Два стакана стояло на дубовом шкафу, примыкавшем к камину.",4.571428571428571,5.0,quantitative_nouns,stimul,1,4,,SV,non-feminine noun,inanimate,
Orlov_2023,"На газовой плите, соседствующей с раковиной, стояло два чайника.",5.384615384615385,5.0,quantitative_nouns,stimul,16,128,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"На верхней антресоли, располагавшейся в прихожей, валялось три провода.",5.416666666666667,5.0,quantitative_nouns,stimul,27,216,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"Четыре вагона ехали по железной дороге, ведущей в Тулу.",5.923076923076923,6.0,quantitative_nouns,stimul,29,227,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"В гостиной, совмещенной с кухней, висело три картины.",5.6923076923076925,6.0,quantitative_nouns,stimul,3,22,singular verb,VS,feminine noun,inanimate,"singular verb, VS, feminine noun"
Orlov_2023,"На широкой набережной, пролегающей вдоль океана, росло четыре пальмы.",5.0,5.0,quantitative_nouns,stimul,17,134,singular verb,VS,feminine noun,inanimate,"singular verb, VS, feminine noun"
Orlov_2023,"На высоком буфете, стоявшем в гостиной, лежали четыре посылки.",5.571428571428571,6.0,quantitative_nouns,stimul,26,205,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"В большом шкафу, достающем до потолка, висело три галстука.",6.333333333333333,6.0,quantitative_nouns,stimul,18,144,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"В большом сундуке, помещенном в кладовку, находились две наволочки.",5.769230769230769,6.0,quantitative_nouns,stimul,28,221,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"Две книги лежало на дубовой полке, висевшей на стене.",3.8461538461538463,4.0,quantitative_nouns,stimul,7,50,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"В маленькой студии, расположенной в кинопавильоне, оказались два штатива.",5.083333333333333,5.0,quantitative_nouns,stimul,31,247,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"В большом шкафу, достающем до потолка, висело три рубашки.",5.923076923076923,6.0,quantitative_nouns,stimul,18,142,singular verb,VS,feminine noun,inanimate,"singular verb, VS, feminine noun"
Orlov_2023,"Две шахты заработало в пригородных поселениях, расстилающихся по равнине.",4.25,4.0,quantitative_nouns,stimul,13,98,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"Четыре здания стояло в узком переулке, прилегавшем к скверу.",4.538461538461538,5.0,quantitative_nouns,stimul,32,252,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"В фруктовой вазе, стоявшей посреди стола, лежало четыре груши.",5.461538461538462,5.0,quantitative_nouns,stimul,2,14,singular verb,VS,feminine noun,inanimate,"singular verb, VS, feminine noun"
Orlov_2023,"Две юбки появились в модном бутике, открывшемся в центре.",4.714285714285714,5.0,quantitative_nouns,stimul,22,169,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"Три дуба упало на узкую тропу, проходящую через лес.",5.333333333333333,5.0,quantitative_nouns,stimul,15,116,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"На круглом столе, прилегавшем к стене, лежало три таблетки.",6.0,6.0,quantitative_nouns,stimul,6,46,singular verb,VS,feminine noun,inanimate,"singular verb, VS, feminine noun"
Orlov_2023,"Две ручки лежало в маленьком пенале, валявшемся в портфеле.",4.428571428571429,4.0,quantitative_nouns,stimul,19,146,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"Три березы упали на узкую тропу, проходящую через лес.",5.615384615384615,6.0,quantitative_nouns,stimul,15,113,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"Три яхты приплыло к восточному порту, расположенному в пригороде.",4.5,4.0,quantitative_nouns,stimul,12,90,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"В гостиной, совмещенной с кухней, висели три портрета.",6.0,6.0,quantitative_nouns,stimul,3,23,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"К спутнику, вращающемуся вокруг Марса, летело две кометы.",5.846153846153846,6.0,quantitative_nouns,stimul,10,78,singular verb,VS,feminine noun,inanimate,"singular verb, VS, feminine noun"
Orlov_2023,"Три картины висели в гостиной, совмещенной с кухней.",5.461538461538462,5.0,quantitative_nouns,stimul,3,17,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"Два реферата лежало на дубовой полке, висевшей на стене.",3.25,3.0,quantitative_nouns,stimul,7,52,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"На дубовой полке, висевшей на стене, лежало два реферата.",5.583333333333333,6.0,quantitative_nouns,stimul,7,56,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"Четыре письма лежало на высоком буфете, стоявшем в гостиной.",5.0,5.0,quantitative_nouns,stimul,26,204,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"В пригородных поселениях, расстилающихся по равнине, заработало два предприятия.",4.538461538461538,5.0,quantitative_nouns,stimul,13,104,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"Две шахты заработали в пригородных поселениях, расстилающихся по равнине.",4.166666666666667,4.0,quantitative_nouns,stimul,13,97,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"Три окна выходило на оживлённую улицу, проходившую через центр.",3.7857142857142856,4.0,quantitative_nouns,stimul,9,68,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"В маленькой студии, расположенной в кинопавильоне, оказались две камеры.",5.6923076923076925,6.0,quantitative_nouns,stimul,31,245,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"Три табуретки стояло в летней беседке, примыкавшей к забору.",4.538461538461538,5.0,quantitative_nouns,stimul,30,234,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"Две камеры оказались в маленькой студии, расположенной в кинопавильоне.",5.384615384615385,5.0,quantitative_nouns,stimul,31,241,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"В старой сумке, висевшей в гардеробе, лежали четыре ключа.",5.857142857142857,6.0,quantitative_nouns,stimul,14,111,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"Четыре табуретки стояло в маленькой аудитории, соседствующей с лекторием.",4.333333333333333,4.0,quantitative_nouns,stimul,20,154,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"На дачном участке, выходящем к реке, росли три елки.",5.363636363636363,5.0,quantitative_nouns,stimul,21,165,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"На дачном участке, выходящем к реке, росли три дуба.",6.083333333333333,6.0,quantitative_nouns,stimul,21,167,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"В летней беседке, примыкавшей к забору, стояло три кресла.",5.833333333333333,6.0,quantitative_nouns,stimul,30,240,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"Четыре машины ехали по скоростной дороге,  проходящей через мегаполис.",5.75,6.0,quantitative_nouns,stimul,5,33,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"Два платья появилось в модном бутике, открывшемся в центре.",5.583333333333333,6.0,quantitative_nouns,stimul,22,172,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"Три рубашки висело в большом шкафу, достающем до потолка.",4.538461538461538,5.0,quantitative_nouns,stimul,18,138,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"Четыре одеяла лежало на большой кровати, находящейся в спальне.",4.5,4.0,quantitative_nouns,stimul,11,84,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"Четыре груши лежали в фруктовой вазе, стоявшей посреди стола.",6.25,6.0,quantitative_nouns,stimul,2,9,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"К восточному порту, расположенному в пригороде, приплыло три танкера.",6.538461538461538,7.0,quantitative_nouns,stimul,12,96,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"На круглом столе, прилегавшем к стене, лежало три яйца.",5.090909090909091,5.0,quantitative_nouns,stimul,6,48,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"Четыре скамейки стояло в узком переулке, прилегавшем к скверу.",4.75,5.0,quantitative_nouns,stimul,32,250,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"К восточному порту, расположенному в пригороде, приплыли три танкера.",6.666666666666667,7.0,quantitative_nouns,stimul,12,95,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"На узкую тропу, проходящую через равнину, упали три дуба.",5.583333333333333,6.0,quantitative_nouns,stimul,15,119,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"Две кровати стоял в большой палате, находившейся напротив медпоста.",3.8333333333333335,4.0,quantitative_nouns,stimul,4,26,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"Два кольца лежало в маленьком пенале, валявшемся в портфеле.",4.714285714285714,5.0,quantitative_nouns,stimul,19,148,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"Две юбки появилось в модном бутике, открывшемся в центре.",5.307692307692308,5.0,quantitative_nouns,stimul,22,170,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"К восточному порту, расположенному в пригороде, приплыло три яхты.",6.083333333333333,6.0,quantitative_nouns,stimul,12,94,singular verb,VS,feminine noun,inanimate,"singular verb, VS, feminine noun"
Orlov_2023,"На дубовом шкафу, примыкавшем к камину, стояли две вазы.",5.333333333333333,5.0,quantitative_nouns,stimul,1,5,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"На зеленой скамейке, стоящей у подъезда, лежали четыре журнала.",5.666666666666667,6.0,quantitative_nouns,stimul,23,183,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"Две зеркала стояло в большой палате, находившейся напротив медпоста.",4.0,4.0,quantitative_nouns,stimul,4,28,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"Три занятия проходило в поточных аудиториях, относящихся к лекторию.",4.538461538461538,5.0,quantitative_nouns,stimul,24,188,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"Четыре ножа лежали в жестяной раковине, крепившейся к стене.",6.153846153846154,6.0,quantitative_nouns,stimul,8,59,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"К восточному порту, расположенному в пригороде, приплыли три яхты.",6.076923076923077,6.0,quantitative_nouns,stimul,12,93,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"Четыре посылки лежали на высоком буфете, стоявшем в гостиной.",6.076923076923077,6.0,quantitative_nouns,stimul,26,201,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"Два астероида летело к спутнику, вращающемуся вокруг Марса.",3.9166666666666665,4.0,quantitative_nouns,stimul,10,76,singular verb,SV,non-feminine noun,inanimate,"singular verb, SV, non-feminine noun"
Orlov_2023,"В летней беседке, примыкавшей к забору, стояли три кресла.",5.642857142857143,6.0,quantitative_nouns,stimul,30,239,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"Три яхты приплыли к восточному порту, расположенному в пригороде.",5.857142857142857,6.0,quantitative_nouns,stimul,12,89,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"Три елки росло на дачном участке, выходящем к реке.",4.857142857142857,5.0,quantitative_nouns,stimul,21,162,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"Две кружки стояло в компьютерном классе, находящемся напротив лектория.",4.076923076923077,4.0,quantitative_nouns,stimul,25,194,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"На узкую тропу, проходящую через равнину, упало три дуба.",5.714285714285714,6.0,quantitative_nouns,stimul,15,120,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"Три окна выходили на оживлённую улицу, проходившую через центр.",6.230769230769231,6.0,quantitative_nouns,stimul,9,67,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"Четыре газеты лежали на зеленой скамейке, стоящей у подъезда.",5.923076923076923,6.0,quantitative_nouns,stimul,23,177,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"По скоростной дороге, проходящей через мегаполис, ехало четыре машины.",5.846153846153846,6.0,quantitative_nouns,stimul,5,38,singular verb,VS,feminine noun,inanimate,"singular verb, VS, feminine noun"
Orlov_2023,"В фруктовой вазе, стоявшей посреди стола, лежали четыре груши.",6.230769230769231,6.0,quantitative_nouns,stimul,2,13,plural verb,VS,feminine noun,inanimate,"plural verb, VS, feminine noun"
Orlov_2023,"Три таблетки лежало на круглом столе, прилегавшем к стене.",4.25,4.0,quantitative_nouns,stimul,6,42,singular verb,SV,feminine noun,inanimate,"singular verb, SV, feminine noun"
Orlov_2023,"Два стакана стояли на дубовом шкафу, примыкавшем к камину.",5.615384615384615,6.0,quantitative_nouns,stimul,1,3,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"Три веревки валялись на верхней антресоли, располагавшейся в прихожей.",5.846153846153846,6.0,quantitative_nouns,stimul,27,209,plural verb,SV,feminine noun,inanimate,"plural verb, SV, feminine noun"
Orlov_2023,"В большом сундуке, помещенном в кладовку, находилось две наволочки.",6.583333333333333,7.0,quantitative_nouns,stimul,28,222,singular verb,VS,feminine noun,inanimate,"singular verb, VS, feminine noun"
Orlov_2023,"В маленькой аудитории, соседствующей с лекторием, стояло четыре кресла.",5.769230769230769,6.0,quantitative_nouns,stimul,20,160,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
Orlov_2023,"В компьютерном классе, находящемся напротив лектория, стояло две кружки.",5.285714285714286,5.0,quantitative_nouns,stimul,25,198,singular verb,VS,feminine noun,inanimate,"singular verb, VS, feminine noun"
Orlov_2023,"На газовой плите, соседствующей с раковиной, стояли два чайника.",4.833333333333333,5.0,quantitative_nouns,stimul,16,127,plural verb,VS,non-feminine noun,inanimate,"plural verb, VS, non-feminine noun"
Orlov_2023,"Три портрета висели в гостиной, совмещенной с кухней.",5.0,5.0,quantitative_nouns,stimul,3,19,plural verb,SV,non-feminine noun,inanimate,"plural verb, SV, non-feminine noun"
Orlov_2023,"На дачном участке, выходящем к реке, росло три дуба.",4.928571428571429,5.0,quantitative_nouns,stimul,21,168,singular verb,VS,non-feminine noun,inanimate,"singular verb, VS, non-feminine noun"
