author,sentence,response,group,lexicalization,case,type,animacy,filler_type,stype,response_round,condition
Krainova_2024,Зрители ждали этих пары актеров.,2.333333333333333,A,23,gen,para,animated,,stimul,2.0,"gen, animated"
Krainova_2024,Из больницы выписали этих дюжину пациентов.,2.333333333333333,A,8,acc,dyuzina,animated,,stimul,2.0,"acc, animated"
Krainova_2024,Издатели потребовали этих сотни экземпляров.,2.5,D,22,gen,sotnya,unanimated,,stimul,2.0,"gen, unanimated"
Krainova_2024,Инструктор обучил этих десяток водителей.,2.833333333333333,C,6,acc,desyatok,animated,,stimul,3.0,"acc, animated"
Krainova_2024,История придумана этими дюжиной приятелей.,2.25,A,18,ins,dyuzina,animated,,stimul,2.0,"ins, animated"
Krainova_2024,Клиенты требовали этих пары встреч.,3.6666666666666665,C,5,gen,para,unanimated,,stimul,4.0,"gen, unanimated"
Krainova_2024,Коллекционер радуется этим сотне книг.,1.8333333333333333,B,3,dat,sotnya,unanimated,,stimul,2.0,"dat, unanimated"
Krainova_2024,Команда гордилась этими десятком наград.,2.9166666666666665,D,13,ins,desyatok,unanimated,,stimul,3.0,"ins, unanimated"
Krainova_2024,Компания лишилась этих тысячи заказчиков.,5.0,D,10,gen,tisyacha,animated,,stimul,5.0,"gen, animated"
Krainova_2024,Кризис коснулся этих дюжины заводов.,3.75,C,17,gen,dyuzina,unanimated,,stimul,4.0,"gen, unanimated"
Krainova_2024,Критики манипулировали этими парой ошибок.,3.0,C,24,ins,para,unanimated,,stimul,3.0,"ins, unanimated"
Krainova_2024,Лекарство помогло этим дюжине пациентов.,2.6666666666666665,C,8,dat,dyuzina,animated,,stimul,3.0,"dat, animated"
Krainova_2024,Лесники вырубили эти тысячу деревьев.,3.1666666666666665,B,9,acc,tisyacha,unanimated,,stimul,3.0,"acc, unanimated"
Krainova_2024,Лингвист изучил эти дюжину языков.,2.583333333333333,B,1,acc,dyuzina,unanimated,,stimul,3.0,"acc, unanimated"
Krainova_2024,Мальчик поймал этих десяток бабочек.,2.583333333333333,D,15,acc,desyatok,animated,,stimul,3.0,"acc, animated"
Krainova_2024,Мастерская отказала этим тысяче заказчиков.,2.333333333333333,A,10,dat,tisyacha,animated,,stimul,2.0,"dat, animated"
Krainova_2024,Меломан увлекся этими десятком песен.,2.333333333333333,A,14,ins,desyatok,unanimated,,stimul,2.0,"ins, unanimated"
Krainova_2024,Менеджер позвонил этим паре коллег.,4.166666666666667,C,4,dat,para,animated,,stimul,4.0,"dat, animated"
Krainova_2024,Музыкант сочинил эти десяток песен.,3.25,C,14,acc,desyatok,unanimated,,stimul,3.0,"acc, unanimated"
Krainova_2024,На водопой пришли эти сотня животных.,2.833333333333333,D,20,nom,sotnya,animated,,stimul,3.0,"nom, animated"
Krainova_2024,На выпускном танцуют эти тысяча школьников.,4.833333333333333,D,12,nom,tisyacha,animated,,stimul,5.0,"nom, animated"
Krainova_2024,На замене настаивали эти тысяча заказчиков.,3.6666666666666665,B,10,nom,tisyacha,animated,,stimul,4.0,"nom, animated"
Krainova_2024,На конкурсе завидовали этим тысяче школьников.,3.363636363636364,C,12,dat,tisyacha,animated,,stimul,3.0,"dat, animated"
Krainova_2024,На лечении находились эти дюжина пациентов.,3.333333333333333,D,8,nom,dyuzina,animated,,stimul,3.0,"nom, animated"
Krainova_2024,На мероприятии присутствовали эти дюжина журналистов.,3.1666666666666665,C,19,nom,dyuzina,animated,,stimul,3.0,"nom, animated"
Krainova_2024,На небе светили эти тысяча звезд.,4.25,C,7,nom,tisyacha,unanimated,,stimul,4.0,"nom, unanimated"
Krainova_2024,На полке стояли эти десяток наград.,2.6666666666666665,A,13,nom,desyatok,unanimated,,stimul,3.0,"nom, unanimated"
Krainova_2024,На репетиции произошли эти пара ошибок.,4.083333333333333,D,24,nom,para,unanimated,,stimul,4.0,"nom, unanimated"
Krainova_2024,На сделку повлияли эти пара встреч.,4.916666666666667,A,5,nom,para,unanimated,,stimul,5.0,"nom, unanimated"
Krainova_2024,На совещание опоздали эти пара коллег.,4.583333333333333,D,4,nom,para,animated,,stimul,5.0,"nom, animated"
Krainova_2024,На церемонию пригласили этих дюжину журналистов.,2.6666666666666665,D,19,acc,dyuzina,animated,,stimul,3.0,"acc, animated"
Krainova_2024,На экзамен привели этих тысячу школьников.,2.75,A,12,acc,tisyacha,animated,,stimul,3.0,"acc, animated"
Krainova_2024,Над цветами летали эти десяток бабочек.,3.0,C,15,nom,desyatok,animated,,stimul,3.0,"nom, animated"
Krainova_2024,Названия придумали этим тысяче звезд.,1.818181818181818,B,7,dat,tisyacha,unanimated,,stimul,2.0,"dat, unanimated"
Krainova_2024,Нововведения коснулись этих тысячи школьников.,3.083333333333333,B,12,gen,tisyacha,animated,,stimul,3.0,"gen, animated"
Krainova_2024,Обстоятельства способствовали этим паре встреч.,2.333333333333333,D,5,dat,para,unanimated,,stimul,2.0,"dat, unanimated"
Krainova_2024,Оранжерея лишилась этих сотни трав.,4.545454545454546,C,21,gen,sotnya,unanimated,,stimul,5.0,"gen, unanimated"
Krainova_2024,Оранжерея лишилась%09этих сотни трав.,7.0,C,21,gen,sotnya,unanimated,,stimul,7.0,"gen, unanimated"
Krainova_2024,От поклонников пришли эти тысяча писем .,3.6666666666666665,C,11,nom,tisyacha,unanimated,,stimul,4.0,"nom, unanimated"
Krainova_2024,Певец боялся этих дюжины журналистов.,2.25,A,19,gen,dyuzina,animated,,stimul,2.0,"gen, animated"
Krainova_2024,Переводчики избегают этих дюжины языков.,3.083333333333333,C,1,gen,dyuzina,unanimated,,stimul,3.0,"gen, unanimated"
Krainova_2024,Пешеходы сторонились этих десятка водителей.,3.583333333333333,D,6,gen,desyatok,animated,,stimul,4.0,"gen, animated"
Krainova_2024,Поклонники восхищались этими парой актеров.,1.4545454545454546,B,23,ins,para,animated,,stimul,1.0,"ins, animated"
Krainova_2024,Полиглот научился этим дюжине языков.,3.4166666666666665,D,1,dat,dyuzina,unanimated,,stimul,3.0,"dat, unanimated"
Krainova_2024,Почта ждала этих тысячи писем.,3.1666666666666665,A,11,gen,tisyacha,unanimated,,stimul,3.0,"gen, unanimated"
Krainova_2024,Предложение %09привлекло этих тысячу заказчиков.,2.0,C,10,acc,tisyacha,animated,,stimul,2.0,"acc, animated"
Krainova_2024,Предложение привлекло этих тысячу заказчиков.,3.636363636363636,C,10,acc,tisyacha,animated,,stimul,4.0,"acc, animated"
Krainova_2024,Прививку поставили этим сотне собак.,2.333333333333333,A,2,dat,sotnya,animated,,stimul,2.0,"dat, animated"
Krainova_2024,Природу загрязняли эти дюжина заводов.,3.25,A,17,nom,dyuzina,unanimated,,stimul,3.0,"nom, unanimated"
Krainova_2024,Репортеры сфотографировали этих пару актеров.,4.083333333333333,D,23,acc,para,animated,,stimul,4.0,"acc, animated"
Krainova_2024,Соперники опасались этих десятка игроков.,2.75,B,16,gen,desyatok,animated,,stimul,3.0,"gen, animated"
Krainova_2024,Соревнования принесли эти десяток наград.,3.25,B,13,acc,desyatok,unanimated,,stimul,3.0,"acc, unanimated"
Krainova_2024,Спортсмен желал этих десятка наград.,3.4166666666666665,C,13,gen,desyatok,unanimated,,stimul,3.0,"gen, unanimated"
Krainova_2024,Студент допустил эти пару ошибок.,4.333333333333333,A,24,acc,para,unanimated,,stimul,4.0,"acc, unanimated"
Krainova_2024,Типография напечатала эти сотню экземпляров.,3.6666666666666665,C,22,acc,sotnya,unanimated,,stimul,4.0,"acc, unanimated"
Krainova_2024,Тренер похвастался этими десятком игроков.,2.4166666666666665,C,16,ins,desyatok,animated,,stimul,2.0,"ins, animated"
Krainova_2024,Ураган не повалил этих тысячи деревьев.,3.583333333333333,C,9,gen,tisyacha,unanimated,,stimul,4.0,"gen, unanimated"
Krainova_2024,Ученый не описал этих десятка бабочек.,2.1666666666666665,A,15,gen,desyatok,animated,,stimul,2.0,"gen, animated"
Krainova_2024,Фанаты попросили этих десятка песен.,1.5,D,14,gen,desyatok,unanimated,,stimul,2.0,"gen, unanimated"
Krainova_2024,Фотограф запечатлел этих дюжину приятелей.,2.75,C,18,acc,dyuzina,animated,,stimul,3.0,"acc, animated"
Krainova_2024,Целительница пользовалась этими сотней трав.,2.333333333333333,D,21,ins,sotnya,unanimated,,stimul,2.0,"ins, unanimated"
Krainova_2024,Адвокат добились десятка побед.,1.4375,E,501,,,,bad,filler,1.0,bad
Krainova_2024,В саду рос сотня тюльпанов.,1.1666666666666667,E,501,,,,bad,filler,1.0,bad
Krainova_2024,Гимнастка пользовался парой булав.,2.1666666666666665,E,501,,,,bad,filler,2.0,bad
Krainova_2024,Доказательства убедил сотню человек.,1.25,E,501,,,,bad,filler,1.0,bad
Krainova_2024,Заяц не заметило пары капканов.,1.0625,E,501,,,,bad,filler,1.0,bad
Krainova_2024,Мальчик испугался дюжины пауков.,6.708333333333333,E,501,,,,good,filler,7.0,good
Krainova_2024,Мальчик подражал паре друзей.,6.479166666666667,E,501,,,,good,filler,6.0,good
Krainova_2024,На верхней полке стоял десяток банок.,5.333333333333333,E,501,,,,good,filler,5.0,good
Krainova_2024,На диване лежит пара подушек.,6.914893617021277,E,501,,,,good,filler,7.0,good
Krainova_2024,На юбилей пришел тысяча гостей.,1.375,E,501,,,,bad,filler,1.0,bad
Krainova_2024,Начальник руководит десятком отделов.,6.791666666666667,E,501,,,,good,filler,7.0,good
Krainova_2024,Обманщики притворялись парой влюбленных.,6.770833333333333,E,501,,,,good,filler,7.0,good
Krainova_2024,Попытки увенчалась сотней неудач.,3.0,E,501,,,,bad,filler,3.0,bad
Krainova_2024,Ребенок подражало десятку знакомых.,1.1875,E,501,,,,bad,filler,1.0,bad
Krainova_2024,Редактор добился сотни правок.,6.666666666666667,E,501,,,,good,filler,7.0,good
Krainova_2024,Рыбак продал сотню окуней.,6.6875,E,501,,,,good,filler,7.0,good
Krainova_2024,Священник поверил дюжине клятв.,6.617021276595745,E,501,,,,good,filler,7.0,good
Krainova_2024,Скрипач заслужили сотню похвал.,2.382978723404255,E,501,,,,bad,filler,2.0,bad
Krainova_2024,Следователь опросил десяток свидетелей.,6.916666666666667,E,501,,,,good,filler,7.0,good
Krainova_2024,Туристы любовались тысячей картин.,6.1875,E,501,,,,good,filler,6.0,good
Krainova_2024,Фокусник жонглировали дюжиной факелов.,2.270833333333333,E,501,,,,bad,filler,2.0,bad
Krainova_2024,Шум мешало паре отдыхающих.,1.0625,E,501,,,,bad,filler,1.0,bad
