experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,agreement,head,noun_type,order,case,condition
Pasko_2024,Восемь механиков чинит двигатели в автосервисе.,4.0,4.0,quantitative_nouns,stimul,14,105,singular verb,numeral head,8.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,Треть детей читают стихи на концерте.,5.333333333333333,5.0,quantitative_nouns,stimul,32,254,plural verb,noun head,tret,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,На перемене контрольную обсуждают восемь отличников.,6.4,6.0,quantitative_nouns,stimul,18,140,plural verb,numeral head,8.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,На рынке овощи выбирает пара покупателей.,4.5,4.0,quantitative_nouns,stimul,11,87,singular verb,noun head,para,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,В университеты документы подают тринадцать одноклассников.,6.0,6.0,quantitative_nouns,stimul,26,204,plural verb,numeral head,13.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,Для фестиваля номера готовят половина музыкантов.,4.0,4.0,quantitative_nouns,stimul,22,176,plural verb,noun head,polovina,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,По праздникам церковь посещает двести прихожан.,5.333333333333333,5.0,quantitative_nouns,stimul,7,51,singular verb,numeral head,200.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,На субботнике листья убирает треть родителей.,5.333333333333333,5.0,quantitative_nouns,stimul,31,247,singular verb,noun head,tret,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,Семьдесят рабочих планируют забастовку на заводе.,5.75,6.0,quantitative_nouns,stimul,17,130,plural verb,numeral head,70.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,По понедельникам письма разносят треть почтальонов.,3.25,3.0,quantitative_nouns,stimul,28,224,plural verb,noun head,tret,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,Пара пенсионеров ловят рыбу на берегу.,5.2,5.0,quantitative_nouns,stimul,12,94,plural verb,noun head,para,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,С детства китайский знают шестнадцать переводчиков.,3.75,4.0,quantitative_nouns,stimul,24,188,plural verb,numeral head,16.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,На репетиции реплики забывает большинство актеров.,5.285714285714286,5.0,quantitative_nouns,stimul,6,47,singular verb,noun head,bolshinstvo,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,Половина музыкантов готовят номера для фестиваля.,4.625,5.0,quantitative_nouns,stimul,22,174,plural verb,noun head,polovina,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,На берегу рыбу ловят пара пенсионеров.,4.125,4.0,quantitative_nouns,stimul,12,96,plural verb,noun head,para,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,Пара механиков чинит двигатели в автосервисе.,6.0,6.0,quantitative_nouns,stimul,14,109,singular verb,noun head,para,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,Треть одноклассников подают документы в университеты.,5.25,5.0,quantitative_nouns,stimul,26,206,plural verb,noun head,tret,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,На субботнике листья убирают пятнадцать родителей.,6.25,6.0,quantitative_nouns,stimul,31,244,plural verb,numeral head,15.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,На концерте стихи читают треть детей.,4.75,5.0,quantitative_nouns,stimul,32,256,plural verb,noun head,tret,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,В гимназии французский учит половина семиклассников.,6.125,6.0,quantitative_nouns,stimul,19,151,singular verb,noun head,polovina,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,В автосервисе двигатели чинят восемь механиков.,4.6,5.0,quantitative_nouns,stimul,14,108,plural verb,numeral head,8.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,В аэропорту багаж ждет двадцать туристов.,5.25,5.0,quantitative_nouns,stimul,10,75,singular verb,numeral head,20.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,На улице стены красит треть маляров.,3.6,4.0,quantitative_nouns,stimul,27,215,singular verb,noun head,tret,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,На репетиции реплики забывает девять актеров.,3.2222222222222223,3.0,quantitative_nouns,stimul,6,43,singular verb,numeral head,9.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,Пара пенсионеров ловит рыбу на берегу.,6.0,6.0,quantitative_nouns,stimul,12,93,singular verb,noun head,para,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,Сорок почтальонов разносит письма по понедельникам.,4.75,5.0,quantitative_nouns,stimul,28,217,singular verb,numeral head,40.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,Треть одноклассников подает документы в университеты.,6.2,6.0,quantitative_nouns,stimul,26,205,singular verb,noun head,tret,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,Десять певцов исполняют романсы на конкурсе.,5.125,5.0,quantitative_nouns,stimul,3,18,plural verb,numeral head,10.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,Половина переводчиков знает китайский с детства.,5.5,6.0,quantitative_nouns,stimul,24,189,singular verb,noun head,polovina,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,Пара сотрудников отправляет отчеты по пятницам.,5.333333333333333,5.0,quantitative_nouns,stimul,9,69,singular verb,noun head,para,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,Большинство министров содержат жилье за границей.,4.5,4.0,quantitative_nouns,stimul,5,38,plural verb,noun head,bolshinstvo,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,Девять пенсионеров ловят рыбу на берегу.,6.666666666666667,7.0,quantitative_nouns,stimul,12,90,plural verb,numeral head,9.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,Во дворе автомобили паркует треть соседей.,4.571428571428571,5.0,quantitative_nouns,stimul,25,199,singular verb,noun head,tret,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,Во вторник дипломы получают треть выпускников.,4.888888888888889,5.0,quantitative_nouns,stimul,30,240,plural verb,noun head,tret,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,Двадцать туристов ждет багаж в аэропорту.,4.375,4.0,quantitative_nouns,stimul,10,73,singular verb,numeral head,20.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,В аэропорту багаж ждет пара туристов.,5.0,5.0,quantitative_nouns,stimul,10,79,singular verb,noun head,para,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,По утрам пациентов обходят большинство врачей.,3.875,4.0,quantitative_nouns,stimul,8,64,plural verb,noun head,bolshinstvo,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,На репетиции реплики забывают девять актеров.,4.5,4.0,quantitative_nouns,stimul,6,44,plural verb,numeral head,9.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,Треть почтальонов разносит письма по понедельникам.,5.888888888888889,6.0,quantitative_nouns,stimul,28,221,singular verb,noun head,tret,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,В автобусе музыку слушают тридцать пассажиров.,6.0,6.0,quantitative_nouns,stimul,21,164,plural verb,numeral head,30.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,Четыреста выпускников получают дипломы во вторник.,6.571428571428571,7.0,quantitative_nouns,stimul,30,234,plural verb,numeral head,400.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,Девять пенсионеров ловит рыбу на берегу.,3.625,4.0,quantitative_nouns,stimul,12,89,singular verb,numeral head,9.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,Большинство слушателей ведут конспекты на лекции.,5.5,6.0,quantitative_nouns,stimul,4,30,plural verb,noun head,bolshinstvo,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,Большинство первокурсников сдает экзамен в мае.,5.666666666666667,6.0,quantitative_nouns,stimul,1,5,singular verb,noun head,bolshinstvo,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,Половина пассажиров слушают музыку в автобусе.,5.875,6.0,quantitative_nouns,stimul,21,166,plural verb,noun head,polovina,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,Во дворе автомобили паркуют треть соседей.,4.777777777777778,5.0,quantitative_nouns,stimul,25,200,plural verb,noun head,tret,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,В квартиру мебель переносит восемь грузчиков.,3.5,4.0,quantitative_nouns,stimul,15,115,singular verb,numeral head,8.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,В автобусе музыку слушает половина пассажиров.,6.375,6.0,quantitative_nouns,stimul,21,167,singular verb,noun head,polovina,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,Половина студентов прогуливает занятия в субботу.,6.666666666666667,7.0,quantitative_nouns,stimul,16,125,singular verb,noun head,polovina,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,У выхода артиста ждет сто фанатов.,5.25,5.0,quantitative_nouns,stimul,20,155,singular verb,numeral head,100.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,Треть соседей паркуют автомобили во дворе.,5.4,5.0,quantitative_nouns,stimul,25,198,plural verb,noun head,tret,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,Во дворе автомобили паркуют двенадцать соседей.,5.25,5.0,quantitative_nouns,stimul,25,196,plural verb,numeral head,12.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,Двенадцать маляров красят стены на улице.,6.25,6.0,quantitative_nouns,stimul,27,210,plural verb,numeral head,12.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,На заводе забастовку планирует половина рабочих.,4.75,5.0,quantitative_nouns,stimul,17,135,singular verb,noun head,polovina,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,Половина рабочих планирует забастовку на заводе.,5.6,6.0,quantitative_nouns,stimul,17,133,singular verb,noun head,polovina,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,Половина отличников обсуждают контрольную на перемене.,5.888888888888889,6.0,quantitative_nouns,stimul,18,142,plural verb,noun head,polovina,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,Девять актеров забывает реплики на репетиции.,3.8,4.0,quantitative_nouns,stimul,6,41,singular verb,numeral head,9.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,В автобусе музыку слушают половина пассажиров.,3.625,4.0,quantitative_nouns,stimul,21,168,plural verb,noun head,polovina,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,Двенадцать сотрудников отправляют отчеты по пятницам.,6.571428571428571,7.0,quantitative_nouns,stimul,9,66,plural verb,numeral head,12.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,Пятнадцать родителей убирает листья на субботнике.,3.4285714285714284,3.0,quantitative_nouns,stimul,31,241,singular verb,numeral head,15.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,Сто музыкантов готовят номера для фестиваля.,6.333333333333333,6.0,quantitative_nouns,stimul,22,170,plural verb,numeral head,100.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,Шестьдесят учителей проходит переподготовку в июне.,4.333333333333333,4.0,quantitative_nouns,stimul,29,225,singular verb,numeral head,60.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,По праздникам церковь посещают большинство прихожан.,6.4,6.0,quantitative_nouns,stimul,7,56,plural verb,noun head,bolshinstvo,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,В субботу занятия прогуливают тридцать студентов.,6.375,6.0,quantitative_nouns,stimul,16,124,plural verb,numeral head,30.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,На конкурсе романсы исполняют большинство певцов.,5.0,5.0,quantitative_nouns,stimul,3,24,plural verb,noun head,bolshinstvo,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,С детства китайский знает половина переводчиков.,5.6,6.0,quantitative_nouns,stimul,24,191,singular verb,noun head,polovina,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,В квартиру мебель переносит пара грузчиков.,6.111111111111111,6.0,quantitative_nouns,stimul,15,119,singular verb,noun head,para,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,Пара туристов ждет багаж в аэропорту.,6.6,7.0,quantitative_nouns,stimul,10,77,singular verb,noun head,para,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,На заводе забастовку планирует семьдесят рабочих.,4.857142857142857,5.0,quantitative_nouns,stimul,17,131,singular verb,numeral head,70.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,В университеты документы подает треть одноклассников.,5.375,5.0,quantitative_nouns,stimul,26,207,singular verb,noun head,tret,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,На берегу рыбу ловит девять пенсионеров.,4.6,5.0,quantitative_nouns,stimul,12,91,singular verb,numeral head,9.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,У выхода артиста ждут сто фанатов.,5.888888888888889,6.0,quantitative_nouns,stimul,20,156,plural verb,numeral head,100.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,Триста депутатов поддерживают законопроект в столице.,6.0,6.0,quantitative_nouns,stimul,2,10,plural verb,numeral head,300.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,Сорок первокурсников сдают экзамен в мае.,5.875,6.0,quantitative_nouns,stimul,1,2,plural verb,numeral head,40.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,В гимназии французский учит шестьдесят семиклассников.,5.0,5.0,quantitative_nouns,stimul,19,147,singular verb,numeral head,60.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,Тридцать студентов прогуливают занятия в субботу.,6.375,6.0,quantitative_nouns,stimul,16,122,plural verb,numeral head,30.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,Двадцать слушателей ведут конспекты на лекции.,6.555555555555555,7.0,quantitative_nouns,stimul,4,26,plural verb,numeral head,20.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,Половина отличников обсуждает контрольную на перемене.,6.375,6.0,quantitative_nouns,stimul,18,141,singular verb,noun head,polovina,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,Пара филологов представляет доклады на конференции.,5.125,5.0,quantitative_nouns,stimul,15,117,singular verb,noun head,para,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,Пятьдесят покупателей выбирает овощи на рынке.,3.875,4.0,quantitative_nouns,stimul,11,81,singular verb,numeral head,50.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,Треть учителей проходит переподготовку в июне.,5.4,5.0,quantitative_nouns,stimul,29,229,singular verb,noun head,tret,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,Десять певцов исполняет романсы на конкурсе.,4.5,4.0,quantitative_nouns,stimul,3,17,singular verb,numeral head,10.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,Тридцать студентов прогуливает занятия в субботу.,4.3,4.0,quantitative_nouns,stimul,16,121,singular verb,numeral head,30.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,На конкурсе романсы исполняют десять певцов.,4.4,4.0,quantitative_nouns,stimul,3,20,plural verb,numeral head,10.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,По утрам пациентов обходит большинство врачей.,5.1,5.0,quantitative_nouns,stimul,8,63,singular verb,noun head,bolshinstvo,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,На конференции доклады представляет пара филологов.,5.5,6.0,quantitative_nouns,stimul,15,119,singular verb,noun head,para,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,Пара туристов ждут багаж в аэропорту.,4.5,4.0,quantitative_nouns,stimul,10,78,plural verb,noun head,para,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,Восемнадцать врачей обходит пациентов по утрам.,2.888888888888889,3.0,quantitative_nouns,stimul,8,57,singular verb,numeral head,18.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,Триста депутатов поддерживает законопроект в столице.,3.625,4.0,quantitative_nouns,stimul,2,9,singular verb,numeral head,300.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,Большинство врачей обходит пациентов по утрам.,4.625,5.0,quantitative_nouns,stimul,8,61,singular verb,noun head,bolshinstvo,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,За границей жилье содержат большинство министров.,3.25,3.0,quantitative_nouns,stimul,5,40,plural verb,noun head,bolshinstvo,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,Восемь отличников обсуждают контрольную на перемене.,6.125,6.0,quantitative_nouns,stimul,18,138,plural verb,numeral head,8.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,На берегу рыбу ловит пара пенсионеров.,5.875,6.0,quantitative_nouns,stimul,12,95,singular verb,noun head,para,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,Пара грузчиков переносят мебель в квартиру.,4.714285714285714,5.0,quantitative_nouns,stimul,15,118,plural verb,noun head,para,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,На перемене контрольную обсуждает половина отличников.,5.1,5.0,quantitative_nouns,stimul,18,143,singular verb,noun head,polovina,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,На улице стены красят двенадцать маляров.,6.6,7.0,quantitative_nouns,stimul,27,212,plural verb,numeral head,12.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,На заводе забастовку планируют половина рабочих.,4.1,4.0,quantitative_nouns,stimul,17,136,plural verb,noun head,polovina,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,Пятнадцать прохожих пережидает дождь под навесом.,3.5,4.0,quantitative_nouns,stimul,13,97,singular verb,numeral head,15.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,На конференции доклады представляет семнадцать филологов.,5.25,5.0,quantitative_nouns,stimul,15,115,singular verb,numeral head,17.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,Восемь механиков чинят двигатели в автосервисе.,5.875,6.0,quantitative_nouns,stimul,14,106,plural verb,numeral head,8.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,В гимназии французский учат шестьдесят семиклассников.,5.875,6.0,quantitative_nouns,stimul,19,148,plural verb,numeral head,60.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,Треть соседей паркует автомобили во дворе.,6.111111111111111,6.0,quantitative_nouns,stimul,25,197,singular verb,noun head,tret,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,За границей жилье содержит десять министров.,2.75,3.0,quantitative_nouns,stimul,5,35,singular verb,numeral head,10.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,На лекции конспекты ведут двадцать слушателей.,5.75,6.0,quantitative_nouns,stimul,4,28,plural verb,numeral head,20.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,На рынке овощи выбирает пятьдесят покупателей.,4.333333333333333,4.0,quantitative_nouns,stimul,11,83,singular verb,numeral head,50.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,Пара покупателей выбирают овощи на рынке.,5.333333333333333,5.0,quantitative_nouns,stimul,11,86,plural verb,noun head,para,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,Под навесом дождь пережидает пара прохожих.,5.875,6.0,quantitative_nouns,stimul,13,103,singular verb,noun head,para,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,Во дворе автомобили паркует двенадцать соседей.,4.75,5.0,quantitative_nouns,stimul,25,195,singular verb,numeral head,12.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,Пара филологов представляют доклады на конференции.,5.777777777777778,6.0,quantitative_nouns,stimul,15,118,plural verb,noun head,para,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,Двенадцать сотрудников отправляет отчеты по пятницам.,3.4,3.0,quantitative_nouns,stimul,9,65,singular verb,numeral head,12.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,По утрам пациентов обходит восемнадцать врачей.,3.875,4.0,quantitative_nouns,stimul,8,59,singular verb,numeral head,18.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,Большинство прихожан посещает церковь по праздникам.,6.5,6.0,quantitative_nouns,stimul,7,53,singular verb,noun head,bolshinstvo,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,В июне переподготовку проходят треть учителей.,4.571428571428571,5.0,quantitative_nouns,stimul,29,232,plural verb,noun head,tret,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,В гимназии французский учат половина семиклассников.,4.25,4.0,quantitative_nouns,stimul,19,152,plural verb,noun head,polovina,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,С детства китайский знает шестнадцать переводчиков.,4.75,5.0,quantitative_nouns,stimul,24,187,singular verb,numeral head,16.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,В столице законопроект поддерживают триста депутатов.,6.111111111111111,6.0,quantitative_nouns,stimul,2,12,plural verb,numeral head,300.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,Десять министров содержит жилье за границей.,3.375,3.0,quantitative_nouns,stimul,5,33,singular verb,numeral head,10.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,Шестьдесят семиклассников учат французский в гимназии.,7.0,7.0,quantitative_nouns,stimul,19,146,plural verb,numeral head,60.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,В мае экзамен сдает большинство первокурсников.,6.0,6.0,quantitative_nouns,stimul,1,7,singular verb,noun head,bolshinstvo,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,Сто фанатов ждут артиста у выхода.,6.1,6.0,quantitative_nouns,stimul,20,154,plural verb,numeral head,100.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,Под навесом дождь пережидает пятнадцать прохожих.,4.5,4.0,quantitative_nouns,stimul,13,99,singular verb,numeral head,15.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,На лекции конспекты ведут большинство слушателей.,5.25,5.0,quantitative_nouns,stimul,4,32,plural verb,noun head,bolshinstvo,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,В аэропорту багаж ждут двадцать туристов.,6.111111111111111,6.0,quantitative_nouns,stimul,10,76,plural verb,numeral head,20.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,Шестнадцать переводчиков знает китайский с детства.,4.555555555555555,5.0,quantitative_nouns,stimul,24,185,singular verb,numeral head,16.0,SV,nominative,"numeral head, singular verb, SV"
Pasko_2024,На перемене контрольную обсуждают половина отличников.,3.5,4.0,quantitative_nouns,stimul,18,144,plural verb,noun head,polovina,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,По понедельникам письма разносит сорок почтальонов.,4.2,4.0,quantitative_nouns,stimul,28,219,singular verb,numeral head,40.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,Большинство актеров забывает реплики на репетиции.,4.625,5.0,quantitative_nouns,stimul,6,45,singular verb,noun head,bolshinstvo,SV,nominative,"noun head, singular verb, SV"
Pasko_2024,Треть родителей убирают листья на субботнике.,5.25,5.0,quantitative_nouns,stimul,31,246,plural verb,noun head,tret,SV,nominative,"noun head, plural verb, SV"
Pasko_2024,Для фестиваля номера готовит сто музыкантов.,4.222222222222222,4.0,quantitative_nouns,stimul,22,171,singular verb,numeral head,100.0,VS,nominative,"numeral head, singular verb, VS"
Pasko_2024,Тринадцать детей читают стихи на концерте.,5.6,6.0,quantitative_nouns,stimul,32,250,plural verb,numeral head,13.0,SV,nominative,"numeral head, plural verb, SV"
Pasko_2024,С детства китайский знают половина переводчиков.,4.75,5.0,quantitative_nouns,stimul,24,192,plural verb,noun head,polovina,VS,nominative,"noun head, plural verb, VS"
Pasko_2024,В июне переподготовку проходят шестьдесят учителей.,6.666666666666667,7.0,quantitative_nouns,stimul,29,228,plural verb,numeral head,60.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,Во вторник дипломы получает треть выпускников.,6.125,6.0,quantitative_nouns,stimul,30,239,singular verb,noun head,tret,VS,nominative,"noun head, singular verb, VS"
Pasko_2024,На рынке овощи выбирают пятьдесят покупателей.,4.8,5.0,quantitative_nouns,stimul,11,84,plural verb,numeral head,50.0,VS,nominative,"numeral head, plural verb, VS"
Pasko_2024,Половина семиклассников учит французский в гимназии.,5.777777777777778,6.0,quantitative_nouns,stimul,19,149,singular verb,noun head,polovina,SV,nominative,"noun head, singular verb, SV"
