author,sentence,response,response_round,subtype,type,lexicalization,condition,predicate_type,agreement,order
Pasko_2022,Икс и игрек вычитается на следующем шаге.,3.142857142857143,3.0,coordination,stimul,11,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,Крючок и кольцо сцепляется в серебряной застежке.,4.5,4.0,coordination,stimul,6,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,В современном мире разобщаются интеллигенция и пролетариат.,5.142857142857143,5.0,coordination,stimul,12,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,В усадебном стиле выделяются новаторство и традиция.,6.6,7.0,coordination,stimul,18,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,В причудливом узоре закрашивается сердце и круг.,5.0,5.0,coordination,stimul,32,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,В ходе обсуждения коллегах выражают сомнение и недоверие.,2.185185185185185,2.0,bad,filler,501,bad,,,
Pasko_2022,Теория и практика освещаются в новом курсе.,6.428571428571429,6.0,coordination,stimul,7,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,Поэзия и проза теряется в великом романе.,4.285714285714286,4.0,coordination,stimul,13,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,В классическом искусстве сочетается порядок и хаос.,5.3,5.0,coordination,stimul,25,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,В примитивном механизме перетирается провод и ремень.,4.666666666666667,5.0,coordination,stimul,29,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,Оригинал и подделка сравнивается на музейной экспертизе.,4.5,4.0,coordination,stimul,20,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,В этой точке встречается прошлое и настоящее.,5.5,6.0,coordination,stimul,9,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,Лицо и фон стирается на старой фотографии.,4.25,4.0,coordination,stimul,2,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,Протез и кость срастается в левом бедре.,3.75,4.0,coordination,stimul,30,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,В религиозных текстах противопоставляются смирение и тщеславие.,6.166666666666667,6.0,coordination,stimul,15,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,Актриса порицает самоуверенностью и наглость в молодых артистах.,3.78,4.0,bad,filler,501,bad,,,
Pasko_2022,В его поведении люди видят лицемерие и заносчивость.,6.345454545454546,6.0,good,filler,501,good,,,
Pasko_2022,В годовом отчете складываются расход и прибыль.,5.142857142857143,5.0,coordination,stimul,16,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,Прядь и лента используются в модной прическе.,5.666666666666667,6.0,coordination,stimul,31,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,Смирение и тщеславие противопоставляется в религиозных текстах.,4.142857142857143,4.0,coordination,stimul,15,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,Соль и сахар кладутся в глубокую емкость.,5.75,6.0,coordination,stimul,4,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,Лицо и фон сливаются на старой фотографии.,6.777777777777778,7.0,coordination,stimul,2,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,В модной прическе сплетаются прядь и лента.,4.833333333333333,5.0,coordination,stimul,31,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,В оригинальном сценарии отображаются долг и зло.,5.714285714285714,6.0,coordination,stimul,28,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,Стекло и рама производятся на первом этапе.,5.875,6.0,coordination,stimul,24,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,На нижнем рисунке пересекаются окружность и отрезок.,5.571428571428571,6.0,coordination,stimul,26,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,В новом курсе совмещаются теория и практика.,6.166666666666667,6.0,coordination,stimul,7,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,В годовом отчете учитывается расход и прибыль.,4.4,4.0,coordination,stimul,16,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,Город и деревня сближаются в отдаленном регионе.,4.4,4.0,coordination,stimul,10,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,Вера и религия игнорируется в этой теории.,5.4,5.0,coordination,stimul,23,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,Даша оставляет пальто и зонтик в главном гардеробе.,5.818181818181818,6.0,good,filler,501,good,,,
Pasko_2022,Провод и ремень спутываются в примитивном механизме.,5.2,5.0,coordination,stimul,29,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,В правом углу соприкасаются дом и изгородь.,5.4,5.0,coordination,stimul,14,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,Море и солнце объединяются в известном стихотворении.,6.0,6.0,coordination,stimul,27,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,Теория и практика освещается в новом курсе.,4.8,5.0,coordination,stimul,7,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,Сердце и круг закрашиваются в причудливом узоре.,5.125,5.0,coordination,stimul,32,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,В мамином характере соединяется мягкость и строгость.,5.9,6.0,coordination,stimul,1,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,Порядок и хаос сочетается в классическом искусстве.,4.285714285714286,4.0,coordination,stimul,25,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,На следующем шаге вычитается икс и игрек.,4.75,5.0,coordination,stimul,11,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,Прошлое и настоящее заканчиваются в этой точке.,5.6,6.0,coordination,stimul,9,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,Рабочие едят кашу и запеканку в заводской столовой.,6.2727272727272725,6.0,good,filler,501,good,,,
Pasko_2022,Туристы занимают партером и ложу в Большом театре.,1.7272727272727273,2.0,bad,filler,501,bad,,,
Pasko_2022,Расход и прибыль учитываются в годовом отчете.,6.111111111111111,6.0,coordination,stimul,16,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,Протез и кость разрушаются в левом бедре.,5.8,6.0,coordination,stimul,30,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,В следующем месяце сестрой сдает экзамен и зачет.,1.6181818181818182,2.0,bad,filler,501,bad,,,
Pasko_2022,В годовом отчете учитываются расход и прибыль.,6.571428571428571,7.0,coordination,stimul,16,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,В усадебном стиле смыкается новаторство и традиция.,4.142857142857143,4.0,coordination,stimul,18,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,Карьера и образование анализируются в последнем докладе.,5.888888888888889,6.0,coordination,stimul,8,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,В последнем докладе анализируется карьера и образование.,5.6,6.0,coordination,stimul,8,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,Люди покупают золото и серебро в ювелирном магазина.,3.1666666666666665,3.0,bad,filler,501,bad,,,
Pasko_2022,Стекло и рама производится на первом этапе.,4.0,4.0,coordination,stimul,24,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,Ваня кладет компьютер и зарядку в походный рюкзак.,5.849056603773585,6.0,good,filler,501,good,,,
Pasko_2022,На следующем шаге перемножается икс и игрек.,5.444444444444445,5.0,coordination,stimul,11,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,Соль и сахар ссыпается в глубокую емкость.,4.0,4.0,coordination,stimul,4,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,В официальной версии скрываются правда и ложь.,5.0,5.0,coordination,stimul,5,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,Оригинал и подделка изучается на музейной экспертизе.,4.2,4.0,coordination,stimul,20,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,Существительное и местоимение сочиняются в первом предложении.,3.6,4.0,coordination,stimul,21,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,В новом зданием люди путают холл и библиотеку.,2.7777777777777777,3.0,bad,filler,501,bad,,,
Pasko_2022,Сердце и круг чередуются в причудливом узоре.,6.0,6.0,coordination,stimul,32,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,В первом предложении склоняются существительное и местоимение.,5.75,6.0,coordination,stimul,21,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,Новаторство и традиция выделяются в усадебном стиле.,4.833333333333333,5.0,coordination,stimul,18,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,Город и деревня развивается в отдаленном регионе.,2.75,3.0,coordination,stimul,10,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,Крючок и кольцо сцепляются в серебряной застежке.,5.333333333333333,5.0,coordination,stimul,6,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,На следующем шаге перемножаются икс и игрек.,5.1,5.0,coordination,stimul,11,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,Окружность и отрезок пересекаются на нижнем рисунке.,5.9,6.0,coordination,stimul,26,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,В человеческом общении различаются честность и прямолинейность.,4.2,4.0,coordination,stimul,3,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,В оригинальном сценарии переплетаются долг и зло.,5.571428571428571,6.0,coordination,stimul,28,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,Смирение и тщеславие обсуждается в религиозных текстах.,5.2,5.0,coordination,stimul,15,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,На далеком горизонте размываются земля и небо.,5.142857142857143,5.0,coordination,stimul,22,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,Окружность и отрезок пересекается на нижнем рисунке.,4.555555555555555,5.0,coordination,stimul,26,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,На музейной экспертизе сравниваются оригинал и подделка.,5.714285714285714,6.0,coordination,stimul,20,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,Дети хотят конструктор и паззлом на Новый год.,1.8,2.0,bad,filler,501,bad,,,
Pasko_2022,В великом романе сопрягаются поэзия и проза.,5.555555555555555,6.0,coordination,stimul,13,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,В правом углу обваливается дом и изгородь.,3.2857142857142856,3.0,coordination,stimul,14,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,На старой фотографии сливаются лицо и фон.,6.0,6.0,coordination,stimul,2,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,В современном мире осуждаются интеллигенция и пролетариат.,6.2,6.0,coordination,stimul,12,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,Долг и зло отображается в оригинальном сценарии.,3.1,3.0,coordination,stimul,28,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,Город и деревня развиваются в отдаленном регионе.,4.333333333333333,4.0,coordination,stimul,10,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,Земля и небо сходятся на далеком горизонте.,5.833333333333333,6.0,coordination,stimul,22,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,В человеческом общении ценится честность и прямолинейность.,6.25,6.0,coordination,stimul,3,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,В левом бедре срастаются протез и кость.,6.0,6.0,coordination,stimul,30,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,На нижнем рисунке находится окружность и отрезок.,4.428571428571429,4.0,coordination,stimul,26,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,На старой фотографии стирается лицо и фон.,5.428571428571429,5.0,coordination,stimul,2,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,Труд и досуг недооценивается в ежедневном распорядке.,3.142857142857143,3.0,coordination,stimul,19,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,На старой фотографии стираются лицо и фон.,5.0,5.0,coordination,stimul,2,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,В усадебном стиле выделяется новаторство и традиция.,5.142857142857143,5.0,coordination,stimul,18,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,Труд и досуг разделяется в ежедневном распорядке.,4.6,5.0,coordination,stimul,19,"symmetric, singular verb, SV",symmetric,singular verb,SV
Pasko_2022,Прядь и лента используется в модной прическе.,5.4,5.0,coordination,stimul,31,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,Оригинал и подделка изучаются на музейной экспертизе.,4.5,4.0,coordination,stimul,20,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,Бумага и обложка склеиваются в дешевом блокноте.,4.857142857142857,5.0,coordination,stimul,17,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,В известном стихотворении описывается море и солнце.,6.0,6.0,coordination,stimul,27,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,На старой даче соседи ремонтируют дом и сарай.,6.3090909090909095,6.0,good,filler,501,good,,,
Pasko_2022,Бумага и обложка рвется в дешевом блокноте.,4.0,4.0,coordination,stimul,17,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,В дешевом блокноте склеивается бумага и обложка.,5.1,5.0,coordination,stimul,17,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,В современном мире разобщается интеллигенция и пролетариат.,4.8,5.0,coordination,stimul,12,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,На первом этапе производится стекло и рама.,4.2,4.0,coordination,stimul,24,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,В серебряной застежке сцепляются крючок и кольцо.,5.2,5.0,coordination,stimul,6,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,В этой теории игнорируется вера и религия.,5.888888888888889,6.0,coordination,stimul,23,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,Для бальному платья королева выбирает бархат и шелк.,1.981818181818182,2.0,bad,filler,501,bad,,,
Pasko_2022,В ежедневном распорядке недооцениваются труд и досуг.,5.333333333333333,5.0,coordination,stimul,19,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,Прошлое и настоящее встречаются в этой точке.,5.666666666666667,6.0,coordination,stimul,9,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,В мамином характере соединяются мягкость и строгость.,7.0,7.0,coordination,stimul,1,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,Маша ценит доброту и честность в других людях.,6.574074074074074,7.0,good,filler,501,good,,,
Pasko_2022,Поэзия и проза теряются в великом романе.,6.142857142857143,6.0,coordination,stimul,13,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,Во встроенном шкафу жильцы хранят одежду и обувь.,6.472727272727273,6.0,good,filler,501,good,,,
Pasko_2022,В новом курсе совмещается теория и практика.,6.0,6.0,coordination,stimul,7,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,Новаторство и традиция выделяется в усадебном стиле.,4.0,4.0,coordination,stimul,18,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,В этой точке заканчивается прошлое и настоящее.,4.6,5.0,coordination,stimul,9,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,В годовом отчете складывается расход и прибыль.,4.857142857142857,5.0,coordination,stimul,16,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,В отдаленном регионе развиваются город и деревня.,5.6,6.0,coordination,stimul,10,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
Pasko_2022,Соль и сахар ссыпаются в глубокую емкость.,5.0,5.0,coordination,stimul,4,"symmetric, plural verb, SV",symmetric,plural verb,SV
Pasko_2022,В дешевом блокноте склеиваются бумага и обложка.,6.25,6.0,coordination,stimul,17,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,Прошлое и настоящее заканчивается в этой точке.,4.0,4.0,coordination,stimul,9,"nonsymmetric, singular verb, SV",nonsymmetric,singular verb,SV
Pasko_2022,В этой точке встречаются прошлое и настоящее.,7.0,7.0,coordination,stimul,9,"symmetric, plural verb, VS",symmetric,plural verb,VS
Pasko_2022,В школьном дневнике первоклассник указывает день и месяц.,6.056603773584905,6.0,good,filler,501,good,,,
Pasko_2022,В маленькой сумке Аня носит паспорт и кошелек.,6.555555555555555,7.0,good,filler,501,good,,,
Pasko_2022,В отдаленном регионе развивается город и деревня.,4.142857142857143,4.0,coordination,stimul,10,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,В великом романе сопрягается поэзия и проза.,5.0,5.0,coordination,stimul,13,"symmetric, singular verb, VS",symmetric,singular verb,VS
Pasko_2022,В великом романе теряется поэзия и проза.,5.2,5.0,coordination,stimul,13,"nonsymmetric, singular verb, VS",nonsymmetric,singular verb,VS
Pasko_2022,Икс и игрек вычитаются на следующем шаге.,6.285714285714286,6.0,coordination,stimul,11,"nonsymmetric, plural verb, SV",nonsymmetric,plural verb,SV
Pasko_2022,На музейной экспертизе изучаются оригинал и подделка.,4.714285714285714,5.0,coordination,stimul,20,"nonsymmetric, plural verb, VS",nonsymmetric,plural verb,VS
