author,sentence,response,response_round,subtype,type,lexicalization,condition,conjunction_strategy,pron_person
Manina_2022_1,Теперь он и Дима изучают законы Ньютона.,5.0,5.0,coordination,stimul,6,"conjunction, 3rd person pronoun",conjunction,3rd person pronoun
Manina_2022_1,Теперь я с Димой изучаю законы Ньютона.,5.3,5.0,coordination,stimul,6,"comitative, 1st person pronoun",comitative,1st person pronoun
Manina_2022_1,Завтра мы с Лизой измеряем скорость чтения.,5.416666666666667,5.0,coordination,stimul,14,"inclusory comitative, 1st person pronoun",inclusory comitative,1st person pronoun
Manina_2022_1,Часто я и Лена посещаем Дворец Творчества.,5.833333333333333,6.0,coordination,stimul,25,"conjunction, 1st person pronoun",conjunction,1st person pronoun
Manina_2022_1,Теперь ты с Юлей пишешь детскую книжку.,5.5,6.0,coordination,stimul,11,"comitative, 2nd person pronoun",comitative,2nd person pronoun
Manina_2022_1,Сегодня вы с Максимом рисуете эскизы костюмов.,5.285714285714286,5.0,coordination,stimul,26,"inclusory comitative, 2nd person pronoun",inclusory comitative,2nd person pronoun
Manina_2022_1,Вечером они с Петей отправляют очередное письмо.,4.8,5.0,coordination,stimul,3,"inclusory comitative, 3rd person pronoun",inclusory comitative,3rd person pronoun
Manina_2022_1,Теперь Лера и Ника благодарят родителям.,2.1785714285714284,2.0,bad,filler,28,bad,,
Manina_2022_1,Сегодня он с Дашей празднуют рождение дочери.,3.6666666666666665,4.0,coordination,stimul,24,"comitative, 3rd person pronoun",comitative,3rd person pronoun
Manina_2022_1,Скоро ты и Серёжа получаете первую зарплату.,3.375,3.0,coordination,stimul,17,"conjunction, 2nd person pronoun",conjunction,2nd person pronoun
Manina_2022_1,Весной вы с Ксюшей планируете предстоящий отпуск.,3.75,4.0,coordination,stimul,20,"inclusory comitative, 2nd person pronoun",inclusory comitative,2nd person pronoun
Manina_2022_1,Сегодня Лёня и Марта печатают раздаточный материал.,5.814814814814815,6.0,good,filler,28,good,,
Manina_2022_1,Обычно вы с Соней осознаёте возможные риски.,5.733333333333333,6.0,coordination,stimul,15,"inclusory comitative, 2nd person pronoun",inclusory comitative,2nd person pronoun
Manina_2022_1,Завтра они с Карина оценивают доклады участников.,1.6666666666666667,2.0,bad,filler,28,bad,,
Manina_2022_1,Часто он и Катя танцуют финское танго.,5.142857142857143,5.0,coordination,stimul,2,"conjunction, 3rd person pronoun",conjunction,3rd person pronoun
Manina_2022_1,Летом я с Настей делаю холодные коктейли.,5.2,5.0,coordination,stimul,23,"comitative, 1st person pronoun",comitative,1st person pronoun
Manina_2022_1,Завтра вы с Борей исполняете вариации Баха.,5.125,5.0,coordination,stimul,1,"inclusory comitative, 2nd person pronoun",inclusory comitative,2nd person pronoun
Manina_2022_1,Завтра я с Лизой измеряю скорость чтения.,5.0,5.0,coordination,stimul,14,"comitative, 1st person pronoun",comitative,1st person pronoun
Manina_2022_1,Сегодня я и Максим рисуем эскизы костюмов.,5.142857142857143,5.0,coordination,stimul,26,"conjunction, 1st person pronoun",conjunction,1st person pronoun
Manina_2022_1,Утром они с Сашей обсуждают планы занятий.,6.0,6.0,coordination,stimul,9,"inclusory comitative, 3rd person pronoun",inclusory comitative,3rd person pronoun
Manina_2022_1,Скоро я и Серёжа получаем первую зарплату.,4.0,4.0,coordination,stimul,17,"conjunction, 1st person pronoun",conjunction,1st person pronoun
Manina_2022_1,Утром я и Даня решаем задачи менеджмента.,5.545454545454546,6.0,coordination,stimul,19,"conjunction, 1st person pronoun",conjunction,1st person pronoun
Manina_2022_1,Весной ты и Таня покупаете новую одежду.,4.428571428571429,4.0,coordination,stimul,5,"conjunction, 2nd person pronoun",conjunction,2nd person pronoun
Manina_2022_1,Утром Надя и Игорь бегаешь километровый кросс.,1.6746987951807228,2.0,bad,filler,28,bad,,
Manina_2022_1,Вечером Тася и Кирилл анализируют биржевые котировки.,5.975609756097561,6.0,good,filler,28,good,,
Manina_2022_1,Вечером они со Стёпой слушают иностранные песни.,6.1,6.0,coordination,stimul,18,"inclusory comitative, 3rd person pronoun",inclusory comitative,3rd person pronoun
Manina_2022_1,Теперь я и Юля пишем детскую книжку.,5.5,6.0,coordination,stimul,11,"conjunction, 1st person pronoun",conjunction,1st person pronoun
Manina_2022_1,Весной он и Ксюша планируют предстоящий отпуск.,4.846153846153846,5.0,coordination,stimul,20,"conjunction, 3rd person pronoun",conjunction,3rd person pronoun
Manina_2022_1,Осенью он и Костя засушивают кленовые листья.,5.285714285714286,5.0,coordination,stimul,10,"conjunction, 3rd person pronoun",conjunction,3rd person pronoun
