sentence,response,response_round,type,lexicalization,condition
В деревянном пенале Саша хранит карандашу и ручку.,2.888888888888889,3.0,filler,501.0,bad
Кирилл помоет тарелку и чашку.,6.379746835443038,6.0,filler,33.0,good
Кеша заправит этот грузовую автомобиль.,2.85,3.0,filler,33.0,bad
Трое из нас съездим в отдалённые деревни.,2.25,2.0,stimul,20.0,"we, elect, 1pl"
В научных журналах опубликуются все из нас.,2.7777777777777777,3.0,stimul,2.0,"we, elect, 3pl"
Мы шестеро ответят за поломанные инструменты.,1.6,2.0,stimul,35.0,"we, nom, 3pl"
В отдаленном регионе сближается город и деревня.,4.142857142857143,4.0,stimul,10.0,"symmetric, singular verb, VS"
Андрей установил пять аналоговых и три цифровых прибора для замера показаний.,6.111111111111111,6.0,stimul,6.0,"different, singular, numeral_yes"
Я или Гоша начнут этот непростой разговор.,3.6,4.0,stimul,28.0,"3pl, or"
Вы с Мариной останетесь в лагере ещё на неделю.,6.223404255319149,6.0,filler,,good
Они все остановятся в дешёвых хостелах.,5.5,6.0,stimul,7.0,"they, oni, 3pl"
"Каждая, кто бывал в столице Китая, любит местную кухню.",5.0,5.0,stimul,15.0,"no head noun, feminine head, masculine verb"
"Или Вова, или Серёжа примем это непростое решение.",2.925,3.0,filler,33.0,bad
"Те отдыхающие, кто заплывут за буйки, заплатят  штраф.",5.25,5.0,stimul,31.0,"with head noun, plural verb"
"Те актеры, кто выступят на вечере, прочтут стихи.",4.111111111111111,4.0,stimul,4.0,"with head noun, plural verb"
Теория и практика совмещается в новом курсе.,4.857142857142857,5.0,stimul,7.0,"symmetric, singular verb, SV"
Новаторство и традиция смыкаются в усадебном стиле.,4.4,4.0,stimul,18.0,"symmetric, plural verb, SV"
"В большой палате, находившейся напротив медпоста, cтояли два зеркала.",5.818181818181818,6.0,stimul,4.0,"plural verb, VS, non-feminine noun"
В карнавальные костюмы переоденется семеро из нас.,4.888888888888889,5.0,stimul,6.0,"we, elect, 3sg"
Мы трое съездят в отдалённые деревни.,2.75,3.0,stimul,20.0,"we, nom, 3pl"
На нижнем рисунке находятся окружность и отрезок.,5.8,6.0,stimul,26.0,"nonsymmetric, plural verb, VS"
На нижнем рисунке находится окружность и отрезок.,4.428571428571429,4.0,stimul,26.0,"nonsymmetric, singular verb, VS"
"Все, кто ответит на экзамене, получат пятерки.",4.823529411764706,5.0,stimul,5.0,"no head noun, singular verb"
В этой теории игнорируются вера и религия.,6.222222222222222,6.0,stimul,23.0,"nonsymmetric, plural verb, VS"
Я или Игорь совершим это далёкое путешествие.,4.7,5.0,stimul,13.0,"1pl, or"
Руководитель распорядится месячным или квартальным бюджетами.,4.785714285714286,5.0,stimul,32.0,"plural, or"
Я и Никита внесу небольшой аванс.,3.0,3.0,stimul,31.0,"1sg, and"
Поездку на дачу планирую ты и я.,2.6875,3.0,stimul,16.0,"you_I, 1sg"
Они все поучаствуют в социальных опросах.,6.333333333333333,6.0,stimul,48.0,"they, oni, 3pl"
В новом курсе освещаются теория и практика.,5.444444444444445,5.0,stimul,7.0,"nonsymmetric, plural verb, VS"
На старой фотографии сливаются лицо и фон.,6.0,6.0,stimul,2.0,"symmetric, plural verb, VS"
Для бальному платья королева выбирает бархат и шелк.,1.981818181818182,2.0,filler,501.0,bad
В больших палатках переночуют мы все.,2.625,3.0,stimul,19.0,"we, nom, 3pl"
Саша или я отнесём это тяжёлое ведро.,4.8,5.0,stimul,32.0,"1pl, or"
В разные аэропорты прилетим мы все.,2.875,3.0,stimul,8.0,"we, nom, 1pl"
Виталий распланировал пять будних и шесть выходных дней для совместного досуга.,5.375,5.0,stimul,5.0,"same, plural, numeral_yes"
Валентин заговорил о трех новых одноклассниках со своими друзьями.,5.776470588235294,6.0,filler,,good
Кирилл взвесит посылку или бандероль.,6.3,6.0,filler,33.0,good
Перекус из овощей готовят я и ты.,2.7142857142857144,3.0,stimul,31.0,"I_you, 3pl"
Покупатель приобретёт деловой и спортивный костюмы.,6.133333333333334,6.0,stimul,8.0,"plural, and"
Бумага и обложка склеиваются в дешевом блокноте.,4.857142857142857,5.0,stimul,17.0,"symmetric, plural verb, SV"
Искусствовед будет исследовать католический и протестантский храмы.,5.933333333333334,6.0,stimul,16.0,"plural, and"
В крещенской проруби искупаются все из них.,4.222222222222222,4.0,stimul,4.0,"they, elect, 3pl"
Часто мы с ней смотрим семейные фотографии.,5.892857142857143,6.0,filler,28.0,good
Я и Вова споём весёлую песню.,5.6,6.0,stimul,7.0,"1pl, and"
Утром я с Сашей обсуждаю планы занятий.,5.428571428571429,5.0,stimul,9.0,"comitative, 1st person pronoun"
Цементный раствор и щебень пригодились при строительстве.,6.394366197183099,6.0,filler,68.0,good
Вчера Яна опоздали на поезд и самолёте.,1.465648854961832,1.0,filler,,bad
В известном стихотворении объединяется море и солнце.,5.444444444444445,5.0,stimul,27.0,"symmetric, singular verb, VS"
Мы семеро запишемся в спортивные секции.,4.666666666666667,5.0,stimul,12.0,"we, nom, 1pl"
Люди покупают золото и серебро в ювелирном магазина.,3.1666666666666665,3.0,filler,501.0,bad
Целительница пользовалась этими сотней трав.,2.333333333333333,2.0,sotnya,21.0,"ins, unanimated"
Эти дюжина коллег уходили в отпуск.,1.9090909090909087,2.0,stimul,15.0,"plural premodifier, plural verb"
Духовку от жира отмываешь ты и я.,3.5,4.0,stimul,10.0,"you_I, 2sg"
Никита покрасит эту дубовую дверь.,6.417721518987341,6.0,filler,33.0,good
"Или Лёва, или я произнесём эту торжественную речь.",5.111111111111111,5.0,stimul,30.0,"1pl, or_or"
Я или Митя составлю этот длинный список.,3.3,3.0,stimul,29.0,"1sg, or"
На концерте Степа спел дореволюционную и советскую песню.,3.4166666666666665,3.0,stimul,21.0,"singular, and"
Скоро я с Серёжей получаю первую зарплату.,4.333333333333333,4.0,stimul,17.0,"comitative, 1st person pronoun"
"За выходные Вика заштопала и лыжную, и охотничью куртки.",6.2727272727272725,6.0,stimul,23.0,"plural, and…and"
К новым поликлиникам прикрепимся пятеро из нас.,2.333333333333333,2.0,stimul,40.0,"we, elect, 1pl"
"На каникулах Света перешила и шелковую, и ситцевую блузки.",6.636363636363637,7.0,stimul,29.0,"plural, and…and"
Телевизор для бабушки покупают ты и я.,2.210526315789474,2.0,stimul,1.0,"you_I, 3pl"
Мы все приберутся в старых кладовках.,1.5,2.0,stimul,47.0,"we, nom, 3pl"
"Каждая, кто приехал на шоу талантов, благодарит понимающего ведущего.",3.375,3.0,stimul,10.0,"no head noun, feminine head, masculine verb"
Медлительный и шустрый студент подготовились к экзамену.,4.352941176470588,4.0,stimul,23.0,"singular, regular"
В этой точке заканчивается прошлое и настоящее.,4.6,5.0,stimul,9.0,"nonsymmetric, singular verb, VS"
"Каждая, кто был на уроке труда, ест приготовленный суп.",3.625,4.0,stimul,22.0,"no head noun, feminine head, masculine verb"
"Каждого, за кого голосовал российский электорат, расспрашивает политический журналист.",5.010309278350515,5.0,filler,37.0,good
Валерий заполнил электронный и бумажный журнал в конце четверти.,5.222222222222222,5.0,stimul,26.0,"same, singular, numeral_no"
Штрафы за парковку платишь я и ты.,2.6,3.0,stimul,28.0,"I_you, 2sg"
Я и ты варят гречку на костре.,3.1818181818181817,3.0,stimul,13.0,"I_you, 3pl"
"Каждый россиянин, кто бывал в столице Китая, любит местную кухню.",4.5,4.0,stimul,15.0,"with head noun, masculine head, masculine verb"
Мы шестеро приедет на утренних поездах.,3.0,3.0,stimul,5.0,"we, nom, 3sg"
"Каждый москвич, кто жил в центре города, ненавидит ночной шум.",5.142857142857143,5.0,stimul,8.0,"with head noun, masculine head, masculine verb"
"Колонки, привезенную из магазина, стояла в четырех местах.",2.323529411764706,2.0,filler,500.0,bad
"Каждая туристка, кто ночевал в общежитии университета, терпит любое неудобство.",2.25,2.0,stimul,6.0,"with head noun, feminine head, masculine verb"
"Или я, или Юра устроит этот детский праздник.",2.8,3.0,stimul,12.0,"3sg, or_or"
Мастерская отказала этим тысяче заказчиков.,2.333333333333333,2.0,tisyacha,10.0,"dat, animated"
О скорых отставках объявит семеро из нас.,4.666666666666667,5.0,stimul,36.0,"we, elect, 3sg"
В больших палатках переночуем двое из нас.,2.4444444444444446,2.0,stimul,19.0,"we, elect, 1pl"
"В летней беседке, примыкавшей к забору, стояли три кресла.",5.642857142857143,6.0,stimul,30.0,"plural verb, VS, non-feminine noun"
Алексей похвалил пять квартальных и три годовых отчета на итоговом совещании.,5.555555555555555,6.0,stimul,3.0,"different, singular, numeral_yes"
Мои куча песен играла на вечеринке.,1.6428571428571428,2.0,stimul,9.0,"plural premodifier, singular verb"
С нынешних позиций уволится семеро из нас.,5.666666666666667,6.0,stimul,18.0,"we, elect, 3sg"
Эти десяток товарищей играли в баскетбол.,2.0,2.0,stimul,25.0,"plural premodifier, plural verb"
В карнавальные костюмы переоденутся семеро из них.,5.444444444444445,5.0,stimul,6.0,"they, elect, 3pl"
Мы шестеро справимся с заменой лампочек.,5.0,5.0,stimul,11.0,"we, nom, 1pl"
Зимой он с Сашей пропивает курс витаминов.,4.8,5.0,stimul,4.0,"comitative, 3rd person pronoun"
Осенью он и Костя засушивают кленовые листья.,5.285714285714286,5.0,stimul,10.0,"conjunction, 3rd person pronoun"
При переезде Даня помял картонную и жестяную коробки.,5.545454545454546,6.0,stimul,31.0,"plural, and"
На первом этапе производятся стекло и рама.,4.857142857142857,5.0,stimul,24.0,"nonsymmetric, plural verb, VS"
Ваня или я отправит это заказное письмо.,3.6,4.0,stimul,18.0,"3sg, or"
В ходе обсуждения коллегах выражают сомнение и недоверие.,2.185185185185185,2.0,filler,501.0,bad
Соревнования принесли эти десяток наград.,3.25,3.0,desyatok,13.0,"acc, unanimated"
Плотник починит обеденный или компьютерный стол.,4.666666666666667,5.0,stimul,13.0,"singular, or"
"Каждый актёр, кто сыграл в картине режиссёра, получает золотую статуэтку.",5.076923076923077,5.0,stimul,1.0,"with head noun, masculine head, masculine verb"
Стекло и рама скрепляются на первом этапе.,5.25,5.0,stimul,24.0,"symmetric, plural verb, SV"
В лесных озёрах порыбачат двое из нас.,5.111111111111111,5.0,stimul,31.0,"we, elect, 3pl"
В отдаленном регионе сближаются город и деревня.,4.142857142857143,4.0,stimul,10.0,"symmetric, plural verb, VS"
Теория и практика совмещается в новом курсе.,4.857142857142857,5.0,stimul,7.0,"symmetric, singular verb, SV"
"Каждая школьница, кто был на уроке труда, ест приготовленный суп.",2.0,2.0,stimul,22.0,"with head noun, feminine head, masculine verb"
Они пятеро женятся в течение месяца.,2.8,3.0,stimul,16.0,"they, nom, 3pl"
Вдвоём мы сможем переправиться на другом берега.,2.0412371134020617,2.0,filler,,bad
Я или Митя составим этот длинный список.,5.3,5.0,stimul,29.0,"1pl, or"
Сосед купит хрустальный и фарфоровый сервиз.,3.941176470588236,4.0,stimul,10.0,"singular, and"
Моё множество односельчан вступило в кооператив.,3.2222222222222223,3.0,stimul,17.0,"singular premodifier, singular verb"
Окружность и отрезок пересекаются на нижнем рисунке.,5.9,6.0,stimul,26.0,"symmetric, plural verb, SV"
"Или Илья, или я выполню это срочное задание.",4.2,4.0,stimul,7.0,"1sg, or_or"
Слава или я купит эту известную картину.,2.8,3.0,stimul,19.0,"3sg, or"
Труд и досуг разделяется в ежедневном распорядке.,4.6,5.0,stimul,19.0,"symmetric, singular verb, SV"
Моя масса учеников отправились на экзамен.,1.7272727272727273,2.0,stimul,2.0,"singular premodifier, plural verb"
Утром Надя и Игорь бегаешь километровый кросс.,1.6746987951807228,2.0,filler,28.0,bad
Честность и прямолинейность ценятся в человеческом общении.,6.0,6.0,stimul,3.0,"nonsymmetric, plural verb, SV"
Семеро из нас отдохнёт на южных курортах.,5.75,6.0,stimul,24.0,"we, elect, 3sg"
Бумага и обложка склеивается в дешевом блокноте.,4.285714285714286,4.0,stimul,17.0,"symmetric, singular verb, SV"
"После представления Егор оставила шнурки и ботинок, и туфель.",1.553191489361702,2.0,filler,33.0,bad
Ты и я пишешь заявление на увольнение.,2.4285714285714284,2.0,stimul,15.0,"you_I, 2sg"
Мы шестеро поступят в столичные вузы.,1.3333333333333333,1.0,stimul,17.0,"we, nom, 3pl"
Я и ты забираем машину из сервиса.,4.6923076923076925,5.0,stimul,29.0,"I_you, 1pl"
"Каждого россиянина, кто бывал в столице Китая, восхищает местная кухня.",5.8,6.0,stimul,15.0,"with head noun, masculine head, masculine verb"
Мы семеро запишутся в спортивные секции.,1.3333333333333333,1.0,stimul,12.0,"we, nom, 3pl"
В первом предложении сочиняется существительное и местоимение.,3.333333333333333,3.0,stimul,21.0,"symmetric, singular verb, VS"
"Многие, кто выйдут на сцену, споют романсы.",5.333333333333333,5.0,stimul,24.0,"no head noun, plural verb"
"Многие, кто отдохнет перед игрой, улучшат результаты.",5.545454545454546,6.0,stimul,18.0,"no head noun, singular verb"
В дешёвых хостелах остановится двое из нас.,4.333333333333333,4.0,stimul,7.0,"we, elect, 3sg"
В ежедневном распорядке недооцениваются труд и досуг.,5.333333333333333,5.0,stimul,19.0,"nonsymmetric, plural verb, VS"
Я и Вадим соберу нужный материал.,2.1,2.0,stimul,23.0,"1sg, and"
"После теста Люба порвала листы и черновой, и чистовой тетради.",5.2727272727272725,5.0,stimul,10.0,"singular, and…and"
Врач будет пользоваться стерильным или нестерильным бинтом.,5.3125,5.0,stimul,2.0,"singular, or"
Интеллигенция и пролетариат разобщаются в современном мире.,5.875,6.0,stimul,12.0,"symmetric, plural verb, SV"
На первом этапе производится стекло и рама.,4.2,4.0,stimul,24.0,"nonsymmetric, singular verb, VS"
В оригинальном сценарии отображаются долг и зло.,5.714285714285714,6.0,stimul,28.0,"nonsymmetric, plural verb, VS"
Они четверо отправятся в байдарочные походы.,5.2,5.0,stimul,27.0,"they, nom, 3pl"
В последнем докладе анализируются карьера и образование.,6.666666666666667,7.0,stimul,8.0,"nonsymmetric, plural verb, VS"
Аркадий узнал о трех художественных выставке в картинной галерее.,2.211764705882353,2.0,filler,,bad
Сотрудница настраивает принтер и сканером для двусторонней печати.,2.685185185185185,3.0,filler,501.0,bad
Владимир отправил пять карандашных и шесть акварельных рисунков на конкурс талантов.,5.888888888888889,6.0,stimul,11.0,"same, plural, numeral_yes"
"И Костя, и я расскажу интересную историю.",1.4,1.0,stimul,22.0,"1sg, and_and"
"И я, и Володя приобрету ценный опыт.",2.2,2.0,stimul,16.0,"1sg, and_and"
Костя или я расскажу эту интересную историю.,4.777777777777778,5.0,stimul,8.0,"1sg, or"
Я и Костя расскажет интересную историю.,2.9,3.0,stimul,22.0,"3sg, and"
Поездку на дачу планируем ты и я.,4.733333333333333,5.0,stimul,16.0,"you_I, 1pl"
"И Гена, и я продолжат заочное обучение.",2.9,3.0,stimul,15.0,"3pl, and_and"
Илья нашел два марлевых и три эластичных бинта в дорожной аптечке.,6.0,6.0,stimul,19.0,"same, singular, numeral_yes"
К новым поликлиникам прикрепятся все из нас.,3.888888888888889,4.0,stimul,40.0,"we, elect, 3pl"
В отдалённые деревни съездят все из нас.,3.6666666666666665,4.0,stimul,20.0,"we, elect, 3pl"
"Каждую, благодаря кому получилось великолепное платье, хвалит ведущий дизайнер.",4.3125,4.0,filler,37.0,good
На небе светили эти тысяча звезд.,4.25,4.0,tisyacha,7.0,"nom, unanimated"
Духовку от жира отмываешь я и ты.,2.6666666666666665,3.0,stimul,10.0,"I_you, 2sg"
Лаборант воспользуется импортным и отечественным реагентами.,5.1875,5.0,stimul,21.0,"plural, and"
Семеро из нас позаботятся о нужных продуктах.,5.0,5.0,stimul,30.0,"we, elect, 3pl"
Они шестеро вмешается в важные переговоры.,2.5454545454545454,3.0,stimul,29.0,"they, nom, 3sg"
Они семеро возьмутся за новые проекты.,3.6666666666666665,4.0,stimul,42.0,"they, nom, 3pl"
"И Гена, и я продолжит заочное обучение.",2.6,3.0,stimul,15.0,"3sg, and_and"
"Те, кто опоздают на урок, напишут объяснительные.",5.9,6.0,stimul,19.0,"no head noun, plural verb"
"Или я, или Никита побелят этот высокий потолок.",2.888888888888889,3.0,stimul,20.0,"3pl, or_or"
Инженер возглавит вагоноремонтный и вагоностроительный заводы.,6.0,6.0,stimul,14.0,"plural, and"
Константин опубликовал пять простых и три сложных рецепта в кулинарном блоге.,6.333333333333333,6.0,stimul,2.0,"different, singular, numeral_yes"
"Каждую девочку, кто прокатился на спине гиппопотама, привлекает игрушечный бегемот.",5.571428571428571,6.0,stimul,32.0,"with head noun, feminine head, masculine verb"
В примитивном механизме спутываются провод и ремень.,5.0,5.0,stimul,29.0,"symmetric, plural verb, VS"
Часто мы с Леной посещаем Дворец Творчества.,5.714285714285714,6.0,stimul,25.0,"inclusory comitative, 1st person pronoun"
"Перед спектаклем Петя вымыл и черную, и парадную лестницы.",6.181818181818182,6.0,stimul,15.0,"plural, and…and"
"Каждую девушку, кто пострадала от чистки лица, беспокоит новый косметолог.",3.2857142857142856,3.0,stimul,18.0,"with head noun, feminine head, feminine verb"
Смирение и тщеславие обсуждается в религиозных текстах.,5.2,5.0,stimul,15.0,"nonsymmetric, singular verb, SV"
Все из них переедут в соседние страны.,5.454545454545454,5.0,stimul,32.0,"they, elect, 3pl"
Денис и я пропустят финальный матч.,3.1,3.0,stimul,12.0,"3pl, and"
Мы семеро отдохнёт на южных курортах.,1.4444444444444444,1.0,stimul,24.0,"we, nom, 3sg"
Трое фокусника будут приглашен на день рождения.,2.0510204081632653,2.0,filler,,bad
Завтра он с Никитой заполняет бумаги дедушки.,4.066666666666666,4.0,stimul,27.0,"comitative, 3rd person pronoun"
На пятничную вечеринку придём все из нас.,2.2222222222222223,2.0,stimul,1.0,"we, elect, 1pl"
В зоопарке Женя увидел слона и жирафа.,6.519083969465649,7.0,filler,,good
Менеджер возглавит большой и маленький магазины.,5.705882352941177,6.0,stimul,30.0,"plural, and"
Этот миллион выпускников поступали в университет.,2.25,2.0,stimul,32.0,"singular premodifier, plural verb"
Следователь опросил десяток свидетелей.,6.916666666666667,7.0,,501.0,good
"За обедом Костя съел остатки и капустного, и яблочного пирогов.",5.909090909090909,6.0,stimul,27.0,"plural, and…and"
"Многие бизнесмены, кто пострадают из-за кризиса, получат компенсацию.",4.428571428571429,4.0,stimul,16.0,"with head noun, plural verb"
"Каждая, кто дежурил на месте катастрофы, демонстрирует невероятную смелость.",3.625,4.0,stimul,5.0,"no head noun, feminine head, masculine verb"
В соседние страны переедут они трое.,3.0,3.0,stimul,32.0,"they, nom, 3pl"
"Те артисты, кто приедет на фестиваль, исполнят песни.",3.6666666666666665,4.0,stimul,2.0,"with head noun, singular verb"
Высокий и низкий люди перебежали через дорогу.,2.4166666666666665,2.0,stimul,13.0,"plural, stem"
Порядок и хаос сочетается в классическом искусстве.,4.285714285714286,4.0,stimul,25.0,"symmetric, singular verb, SV"
"Все, кто отступит от правил, покинут команду.",6.333333333333333,6.0,stimul,25.0,"no head noun, singular verb"
Во время уборки Таня почистила подлокотники кожаного и плюшевого дивана.,4.181818181818182,4.0,stimul,6.0,"singular, and"
Стёпа или я исполнят эту оперную арию.,3.7,4.0,stimul,4.0,"3pl, or"
В первом предложении склоняются существительное и местоимение.,5.75,6.0,stimul,21.0,"nonsymmetric, plural verb, VS"
"Каждая, кто прошёл в финал конкурса, выигрывает гарантированный приз.",4.0,4.0,stimul,2.0,"no head noun, feminine head, masculine verb"
За поломанные инструменты ответит мы шестеро.,2.0,2.0,stimul,35.0,"we, nom, 3sg"
Мы четверо помогут с проведением экзаменов.,3.5,4.0,stimul,3.0,"we, nom, 3pl"
Сантехник и уборщица искали золотое кольцо.,6.459677419354839,6.0,filler,42.0,good
Максим и я сделаем домашнее задание.,4.7,5.0,stimul,3.0,"1pl, and"
"На празднике Катя прочитала и латинскую, и древнегреческую оду.",4.583333333333333,5.0,stimul,4.0,"singular, and…and"
Петя привлечёт молодые публику.,2.5316455696202533,3.0,filler,33.0,bad
Мы с Егором внесёт аванс за квартирами.,2.021582733812949,2.0,filler,,bad
В левом бедре разрушаются протез и кость.,5.0,5.0,stimul,30.0,"nonsymmetric, plural verb, VS"
Правда и ложь скрывается в официальной версии.,4.857142857142857,5.0,stimul,5.0,"nonsymmetric, singular verb, SV"
Сосед одолжит столярный или слесарный молотки.,3.1538461538461537,3.0,stimul,17.0,"plural, or"
В официальной версии скрываются правда и ложь.,5.0,5.0,stimul,5.0,"nonsymmetric, plural verb, VS"
Ты и я готовишь перекус из овощей.,2.769230769230769,3.0,stimul,31.0,"you_I, 2sg"
Обстоятельства способствовали этим паре встреч.,2.333333333333333,2.0,para,5.0,"dat, unanimated"
Владимир отправил карандашный и акварельные рисунки на конкурс талантов.,4.571428571428571,5.0,stimul,11.0,"different, plural, numeral_no"
Все из них согласятся на предложения конкурентов.,4.25,4.0,stimul,14.0,"they, elect, 3pl"
Петя пишет сочинение и диктант на этом уроком.,2.3703703703703702,2.0,filler,501.0,bad
Мы все прикрепимся к новым поликлиникам.,6.0,6.0,stimul,40.0,"we, nom, 1pl"
Семеро из нас объявим о скорых отставках.,1.5,2.0,stimul,36.0,"we, elect, 1pl"
Моя куча выпускников поступала в университет.,2.6666666666666665,3.0,stimul,32.0,"singular premodifier, singular verb"
Начальник возглавит новосибирский или екатеринбургский филиал.,5.611111111111111,6.0,stimul,20.0,"singular, or"
В годовом отчете складывается расход и прибыль.,4.857142857142857,5.0,stimul,16.0,"symmetric, singular verb, VS"
На далеком горизонте сходятся земля и небо.,5.8,6.0,stimul,22.0,"symmetric, plural verb, VS"
На первом этапе производится стекло и рама.,4.2,4.0,stimul,24.0,"nonsymmetric, singular verb, VS"
В отдаленном регионе развивается город и деревня.,4.142857142857143,4.0,stimul,10.0,"nonsymmetric, singular verb, VS"
"И я, и Ваня возьмёт краткосрочный отпуск.",2.1,2.0,stimul,6.0,"3sg, and_and"
В перспективные акции вложатся мы все.,2.571428571428572,3.0,stimul,44.0,"we, nom, 3pl"
"Каждую пациентку, кто лежала в отделении кардиологии, ограничивают врачебные предписания.",3.5,4.0,stimul,24.0,"with head noun, feminine head, feminine verb"
"Или Лёва, или я решу эту сложную задачу.",4.3,4.0,stimul,11.0,"1sg, or_or"
Николай рассмотрел два древних и шесть современных экспонатов в историческом музее.,6.0,6.0,stimul,15.0,"different, plural, numeral_yes"
Билет на самолёт берут ты и я.,2.1875,2.0,stimul,14.0,"you_I, 3pl"
Мы все согласимся на предложения конкурентов.,6.125,6.0,stimul,14.0,"we, nom, 1pl"
Игорь или я совершат это далёкое путешествие.,4.2,4.0,stimul,13.0,"3pl, or"
Прядь и лента используется в модной прическе.,5.4,5.0,stimul,31.0,"nonsymmetric, singular verb, SV"
Григорий завершил пять региональных и шесть международных проектов с большим успехом.,6.0,6.0,stimul,21.0,"same, plural, numeral_yes"
"В пятницу Коля перекрасил и спальную, и детскую комнату.",5.083333333333333,5.0,stimul,12.0,"singular, and…and"
Они пятеро перезвонят по незнакомым номерам.,3.4,3.0,stimul,22.0,"they, nom, 3pl"
Мои ряд правок остались без внимания.,2.888888888888889,3.0,stimul,26.0,"plural premodifier, plural verb"
Максим или я приобретёт этот старинный дом.,4.111111111111111,4.0,stimul,22.0,"3sg, or"
Владимир отправил карандашный и акварельный рисунок на конкурс талантов.,5.75,6.0,stimul,11.0,"same, singular, numeral_no"
С заменой лампочек справимся все из нас.,2.555555555555556,3.0,stimul,11.0,"we, elect, 1pl"
Бумага и обложка склеиваются в дешевом блокноте.,4.857142857142857,5.0,stimul,17.0,"symmetric, plural verb, SV"
Зимой они со Светой читают рассказы Брэдбери.,6.333333333333333,6.0,stimul,21.0,"inclusory comitative, 3rd person pronoun"
Весной я с Таней покупаю новую одежду.,5.25,5.0,stimul,5.0,"comitative, 1st person pronoun"
В старых кладовках приберутся они все.,4.333333333333333,4.0,stimul,47.0,"they, oni, 3pl"
Этот десяток цветов росли на даче.,2.75,3.0,stimul,21.0,"singular premodifier, plural verb"
В классическом искусстве сочетается порядок и хаос.,5.3,5.0,stimul,25.0,"symmetric, singular verb, VS"
"Две зеркала стояло в большой палате, находившейся напротив медпоста.",4.0,4.0,stimul,4.0,"singular verb, SV, non-feminine noun"
Ваня и я возьмёт краткосрочный отпуск.,3.2,3.0,stimul,6.0,"3sg, and"
Ты и я отмываю духовку от жира.,3.6666666666666665,4.0,stimul,10.0,"you_I, 1sg"
Завтра ты и Боря исполняете вариации Баха.,4.636363636363637,5.0,stimul,1.0,"conjunction, 2nd person pronoun"
"Те пользователи, кто заплатит за подписку, продлят доступ.",4.428571428571429,4.0,stimul,7.0,"with head noun, singular verb"
Летом он с Настей делает холодные коктейли.,5.090909090909091,5.0,stimul,23.0,"comitative, 3rd person pronoun"
Я или Илья выполню это срочное задание.,4.0,4.0,stimul,7.0,"1sg, or"
Протез и кость разрушается в левом бедре.,2.888888888888889,3.0,stimul,30.0,"nonsymmetric, singular verb, SV"
С кредитными долгами рассчитаются мы шестеро.,2.0,2.0,stimul,23.0,"we, nom, 3pl"
