experiment,sentence,response,response_round,subtype,type,lexicalization
Belova_2022,Ты и я читаешь письмо от ректора.,1.5,2.0,coordination,stimul,11.0
Belova_2022,Стены под покраску ровняю я и ты.,3.1875,3.0,coordination,stimul,21.0
Belova_2022,Диван в гараж отвозят я и ты.,3.2,3.0,coordination,stimul,17.0
Belova_2022,Ты и я чиню шкафчик для посуды.,2.142857142857143,2.0,coordination,stimul,4.0
Belova_2022,Я и ты сдаю коробки в макулатуру.,2.769230769230769,3.0,coordination,stimul,19.0
Belova_2022,Ты и я варим гречку на костре.,5.75,6.0,coordination,stimul,13.0
Belova_2022,Ты и я закрываю долги за семестр.,3.2666666666666666,3.0,coordination,stimul,27.0
Belova_2022,Стены под покраску ровняем я и ты.,5.0,5.0,coordination,stimul,21.0
Belova_2022,Грядку под редис копают я и ты.,3.1666666666666665,3.0,coordination,stimul,24.0
Belova_2022,Билет на самолёт берут ты и я.,2.1875,2.0,coordination,stimul,14.0
Belova_2022,Поездку на дачу планируешь ты и я.,3.1578947368421053,3.0,coordination,stimul,16.0
Belova_2022,Аванс за квартиру вношу ты и я.,3.0,3.0,coordination,stimul,25.0
Belova_2022,Зачёт по истории не сдали Витя и Настя.,6.396946564885496,6.0,good,filler,
Belova_2022,Ключи от квартиры ищешь я и ты.,2.473684210526316,2.0,coordination,stimul,12.0
Belova_2022,Марина предложила гостям кофе и шарлотку.,6.323529411764706,6.0,good,filler,
Belova_2022,Я и ты планирую поездку на дачу.,2.5,2.0,coordination,stimul,16.0
Belova_2022,Поездку на дачу планирую я и ты.,2.85,3.0,coordination,stimul,16.0
Belova_2022,Переезд за границу намечаю я и ты.,2.833333333333333,3.0,coordination,stimul,26.0
Belova_2022,Книги в библиотеку отдаю ты и я.,2.4285714285714284,2.0,coordination,stimul,18.0
Belova_2022,Шкафчик для посуды чинят я и ты.,3.0,3.0,coordination,stimul,4.0
Belova_2022,Ты и я читают письмо от ректора.,2.4285714285714284,2.0,coordination,stimul,11.0
Belova_2022,Перекус из овощей готовим я и ты.,4.25,4.0,coordination,stimul,31.0
Belova_2022,Я и ты покупаю телевизор для бабушки.,2.75,3.0,coordination,stimul,1.0
Belova_2022,Сергей напечатала сборник рассказы и рецензия.,1.7623762376237624,2.0,bad,filler,
Belova_2022,Вечер у соседей провожу я и ты.,2.857142857142857,3.0,coordination,stimul,6.0
Belova_2022,Новый телевизор сломали Никита и Юра.,6.030769230769231,6.0,good,filler,
Belova_2022,Машину из сервиса забирают ты и я.,2.9166666666666665,3.0,coordination,stimul,29.0
Belova_2022,Участок под огород арендуют я и ты.,2.9285714285714284,3.0,coordination,stimul,22.0
Belova_2022,Я и ты вносишь аванс за квартиру.,2.4285714285714284,2.0,coordination,stimul,25.0
Belova_2022,Стены под покраску ровняешь ты и я.,2.6666666666666665,3.0,coordination,stimul,21.0
Belova_2022,Духовку от жира отмываем ты и я.,5.0,5.0,coordination,stimul,10.0
Belova_2022,Галстук под пиджак подбирают я и ты.,2.473684210526316,2.0,coordination,stimul,23.0
Belova_2022,Шкафчик для посуды чиню ты и я.,2.6666666666666665,3.0,coordination,stimul,4.0
Belova_2022,Долги за семестр закрываю я и ты.,3.238095238095238,3.0,coordination,stimul,27.0
Belova_2022,Аванс за квартиру вносишь ты и я.,3.3157894736842106,3.0,coordination,stimul,25.0
Belova_2022,Я и ты готовим реквизит для спектакля.,5.307692307692308,5.0,coordination,stimul,3.0
Belova_2022,Я и ты передают подарок для подруги.,2.4,2.0,coordination,stimul,2.0
Belova_2022,Рассвет у озера встречаю ты и я.,2.4375,2.0,coordination,stimul,7.0
Belova_2022,Я и ты сдаём коробки в макулатуру.,4.785714285714286,5.0,coordination,stimul,19.0
Belova_2022,Комнату у метро снимаем я и ты.,4.777777777777778,5.0,coordination,stimul,5.0
Belova_2022,Долги за семестр закрываю ты и я.,3.071428571428572,3.0,coordination,stimul,27.0
Belova_2022,Сапоги от грязи чистишь я и ты.,2.2,2.0,coordination,stimul,9.0
Belova_2022,Участок под огород арендую я и ты.,3.5789473684210527,4.0,coordination,stimul,22.0
Belova_2022,Ты и я сдаёшь коробки в макулатуру.,2.5454545454545454,3.0,coordination,stimul,19.0
Belova_2022,Билет на самолёт берут я и ты.,2.263157894736842,2.0,coordination,stimul,14.0
Belova_2022,Ты и я пишут заявление на увольнение.,2.6,3.0,coordination,stimul,15.0
Belova_2022,Я и ты ищешь ключи от квартиры.,1.8,2.0,coordination,stimul,12.0
Belova_2022,Вася и Петя на каникулах съездили на море.,6.247524752475248,6.0,good,filler,
Belova_2022,Оля покаталась на колесе обозрения и на карусели.,6.0,6.0,good,filler,
Belova_2022,Я и ты намечаем переезд за границу.,5.166666666666667,5.0,coordination,stimul,26.0
Belova_2022,Ты и я забираем машину из сервиса.,4.733333333333333,5.0,coordination,stimul,29.0
Belova_2022,Машину из сервиса забираешь я и ты.,2.0625,2.0,coordination,stimul,29.0
Belova_2022,Ты и я чистишь сапоги от грязи.,2.363636363636364,2.0,coordination,stimul,9.0
Belova_2022,Коробки в макулатуру сдаёшь ты и я.,3.5,4.0,coordination,stimul,19.0
Belova_2022,Подарок для подруги передают ты и я.,2.75,3.0,coordination,stimul,2.0
Belova_2022,Духовку от жира отмываю ты и я.,3.0,3.0,coordination,stimul,10.0
Belova_2022,Снежинки из бумаги вырезают ты и я.,2.466666666666667,2.0,coordination,stimul,32.0
Belova_2022,Реквизит для спектакля готовим я и ты.,5.666666666666667,6.0,coordination,stimul,3.0
Belova_2022,Ты и я проводишь вечер у соседей.,2.5,2.0,coordination,stimul,6.0
Belova_2022,Билет на самолёт беру я и ты.,3.2857142857142856,3.0,coordination,stimul,14.0
Belova_2022,Я и ты чистим сапоги от грязи.,5.285714285714286,5.0,coordination,stimul,9.0
Belova_2022,Я и ты отдаю книги в библиотеку.,2.6923076923076925,3.0,coordination,stimul,18.0
Belova_2022,Ты и я отдаём книги в библиотеку.,4.0,4.0,coordination,stimul,18.0
Belova_2022,Духовку от жира отмываешь ты и я.,3.5,4.0,coordination,stimul,10.0
Belova_2022,Бабушка сделала прически мне и Любе.,5.941176470588236,6.0,good,filler,
Belova_2022,Лера и Артём не подобрала шторы к диваном.,1.7058823529411764,2.0,bad,filler,
Belova_2022,Ты и я готовлю перекус из овощей.,2.230769230769231,2.0,coordination,stimul,31.0
Belova_2022,Я и ты ищем ключи от квартиры.,5.230769230769231,5.0,coordination,stimul,12.0
Belova_2022,Книги в библиотеку отдаю я и ты.,3.789473684210526,4.0,coordination,stimul,18.0
Belova_2022,Ты и я закрываешь долги за семестр.,2.4545454545454546,2.0,coordination,stimul,27.0
Belova_2022,Рассвет у озера встречаю я и ты.,3.2,3.0,coordination,stimul,7.0
Belova_2022,Реквизит для спектакля готовишь ты и я.,3.1666666666666665,3.0,coordination,stimul,3.0
Belova_2022,На сцену подрался гитарист и ударник.,1.83206106870229,2.0,bad,filler,
Belova_2022,Я и ты сдаёшь коробки в макулатуру.,1.8461538461538465,2.0,coordination,stimul,19.0
Belova_2022,Крепость из строю снега ты и я.,1.55,2.0,coordination,stimul,30.0
Belova_2022,Долги за семестр закрываешь я и ты.,2.7333333333333334,3.0,coordination,stimul,27.0
Belova_2022,Ты и я ищем ключи от квартиры.,4.727272727272728,5.0,coordination,stimul,12.0
Belova_2022,Я и ты готовят перекус из овощей.,2.909090909090909,3.0,coordination,stimul,31.0
Belova_2022,Я и ты вырезают снежинки из бумаги.,3.1666666666666665,3.0,coordination,stimul,32.0
Belova_2022,Я и ты отдаём книги в библиотеку.,4.357142857142857,4.0,coordination,stimul,18.0
Belova_2022,Письмо от ректора читаем я и ты.,4.975,5.0,coordination,stimul,11.0
Belova_2022,Я и ты строишь крепость из снега.,2.0,2.0,coordination,stimul,30.0
Belova_2022,Рассвет у озера встречаем ты и я.,5.4,5.0,coordination,stimul,7.0
Belova_2022,Долги за семестр закрываем я и ты.,4.333333333333333,4.0,coordination,stimul,27.0
Belova_2022,Телевизор для бабушки покупают ты и я.,2.210526315789474,2.0,coordination,stimul,1.0
Belova_2022,Костя и Денис на рыбалке поймали щуку.,6.490196078431373,6.0,good,filler,
Belova_2022,Цепочку у ломбарда выкупают ты и я.,1.9285714285714288,2.0,coordination,stimul,8.0
Belova_2022,Диван в гараж отвозим я и ты.,4.65,5.0,coordination,stimul,17.0
Belova_2022,Подарок для подруги передаю ты и я.,2.142857142857143,2.0,coordination,stimul,2.0
Belova_2022,Деньги в акции вкладывают ты и я.,3.0,3.0,coordination,stimul,20.0
Belova_2022,Переезд за границу намечаем ты и я.,3.9375,4.0,coordination,stimul,26.0
Belova_2022,Деньги в акции вкладываешь я и ты.,2.4375,2.0,coordination,stimul,20.0
Belova_2022,Билет на самолёт берёшь я и ты.,2.7142857142857144,3.0,coordination,stimul,14.0
Belova_2022,Я и ты подбирают галстук под пиджак.,3.25,3.0,coordination,stimul,23.0
Belova_2022,Крепость из снега строят ты и я.,3.0,3.0,coordination,stimul,30.0
Belova_2022,Ты и я проводят вечер у соседей.,2.2,2.0,coordination,stimul,6.0
Belova_2022,Я и ты отдаёшь книги в библиотеку.,1.7692307692307692,2.0,coordination,stimul,18.0
Belova_2022,Духовку от жира отмывают ты и я.,2.6,3.0,coordination,stimul,10.0
Belova_2022,Ты и я читаю письмо от ректора.,2.636363636363636,3.0,coordination,stimul,11.0
Belova_2022,Комнату у метро снимаем ты и я.,3.9166666666666665,4.0,coordination,stimul,5.0
Belova_2022,Ты и я чинят шкафчик для посуды.,2.5384615384615383,3.0,coordination,stimul,4.0
Belova_2022,Ты и я провожу вечер у соседей.,1.9230769230769231,2.0,coordination,stimul,6.0
Belova_2022,Галстук под пиджак подбираем я и ты.,4.888888888888889,5.0,coordination,stimul,23.0
Belova_2022,Аванс за квартиру вносим ты и я.,5.333333333333333,5.0,coordination,stimul,25.0
Belova_2022,Яна пересадила в горшки астрами и фиалки.,2.5392156862745097,3.0,good,filler,
Belova_2022,Я и ты отвозишь диван в гараж.,2.1666666666666665,2.0,coordination,stimul,17.0
Belova_2022,Я и ты готовишь перекус из овощей.,3.466666666666667,3.0,coordination,stimul,31.0
Belova_2022,Реквизит для спектакля готовишь я и ты.,2.5789473684210527,3.0,coordination,stimul,3.0
Belova_2022,В четверг Вася и Дима сделали генеральную уборку.,6.661538461538462,7.0,good,filler,
Belova_2022,Ты и я ищу ключи от квартиры.,1.9166666666666667,2.0,coordination,stimul,12.0
Belova_2022,Телевизор для бабушки покупаю ты и я.,2.2857142857142856,2.0,coordination,stimul,1.0
Belova_2022,Духовку от жира отмывают я и ты.,2.6875,3.0,coordination,stimul,10.0
Belova_2022,Я и ты проводишь вечер у соседей.,2.1666666666666665,2.0,coordination,stimul,6.0
Belova_2022,По утрам Денис завтракал кашей и чаем.,5.728682170542636,6.0,good,filler,
Belova_2022,В кафе Кристина заказали лазанья и коктейля.,1.5725190839694656,2.0,bad,filler,
Belova_2022,Цепочку у ломбарда выкупаешь ты и я.,3.0,3.0,coordination,stimul,8.0
Belova_2022,Ты и я ищешь ключи от квартиры.,2.2142857142857144,2.0,coordination,stimul,12.0
Belova_2022,Машину из сервиса забираешь ты и я.,2.45,2.0,coordination,stimul,29.0
Belova_2022,Ты и я берёшь билет на самолёт.,1.6153846153846154,2.0,coordination,stimul,14.0
Belova_2022,Телевизор для бабушки покупаем я и ты.,4.181818181818182,4.0,coordination,stimul,1.0
Belova_2022,Я и ты пишут заявление на увольнение.,2.5,2.0,coordination,stimul,15.0
Belova_2022,Шкафчик для посуды чинишь ты и я.,3.333333333333333,3.0,coordination,stimul,4.0
Belova_2022,Подарок для подруги передают я и ты.,2.526315789473684,3.0,coordination,stimul,2.0
Belova_2022,Я и ты варишь гречку на костре.,3.066666666666667,3.0,coordination,stimul,13.0
Belova_2022,Грядку под редис копают ты и я.,2.736842105263158,3.0,coordination,stimul,24.0
Belova_2022,Ты и я платят штрафы за парковку.,3.0,3.0,coordination,stimul,28.0
Belova_2022,Гречку на костре варят ты и я.,3.4,3.0,coordination,stimul,13.0
Belova_2022,Заявление на увольнение пишешь ты и я.,2.6875,3.0,coordination,stimul,15.0
Belova_2022,Ты и я сдают коробки в макулатуру.,3.1666666666666665,3.0,coordination,stimul,19.0
Belova_2022,Ключи от квартиры ищут я и ты.,2.3846153846153846,2.0,coordination,stimul,12.0
Belova_2022,Телевизор для бабушки покупаешь я и ты.,1.7333333333333334,2.0,coordination,stimul,1.0
Belova_2022,Ты и я пишешь заявление на увольнение.,2.4285714285714284,2.0,coordination,stimul,15.0
Belova_2022,Я и ты платим штрафы за парковку.,4.785714285714286,5.0,coordination,stimul,28.0
Belova_2022,Ты и я забирают машину из сервиса.,2.142857142857143,2.0,coordination,stimul,29.0
Belova_2022,Реквизит для спектакля готовлю ты и я.,2.526315789473684,3.0,coordination,stimul,3.0
Belova_2022,Ты и я вносишь аванс за квартиру.,2.3,2.0,coordination,stimul,25.0
Belova_2022,Ты и я отдаёшь книги в библиотеку.,2.090909090909091,2.0,coordination,stimul,18.0
Belova_2022,Ты и я намечаешь переезд за границу.,3.2,3.0,coordination,stimul,26.0
Belova_2022,Я и ты ровняешь стены под покраску.,2.1,2.0,coordination,stimul,21.0
Belova_2022,Стас и Лёша смастерила кормушкой для птиц.,1.7058823529411764,2.0,bad,filler,
Belova_2022,Диван в гараж отвозишь ты и я.,3.2857142857142856,3.0,coordination,stimul,17.0
Belova_2022,Участок под огород арендуешь я и ты.,2.5,2.0,coordination,stimul,22.0
Belova_2022,Письмо от ректора читаешь ты и я.,2.35,2.0,coordination,stimul,11.0
Belova_2022,Штрафы за парковку плачу ты и я.,2.857142857142857,3.0,coordination,stimul,28.0
Belova_2022,Ты и я проводим вечер у соседей.,4.333333333333333,4.0,coordination,stimul,6.0
Belova_2022,Машину из сервиса забирают я и ты.,2.736842105263158,3.0,coordination,stimul,29.0
Belova_2022,Комнату у метро снимают я и ты.,2.0,2.0,coordination,stimul,5.0
Belova_2022,Ты и я намечают переезд за границу.,3.090909090909091,3.0,coordination,stimul,26.0
Belova_2022,Поездку на дачу планируют ты и я.,2.5,2.0,coordination,stimul,16.0
Belova_2022,Цепочку у ломбарда выкупаем я и ты.,4.526315789473684,5.0,coordination,stimul,8.0
Belova_2022,Аркадий заехал в магазину и на работой.,1.6764705882352942,2.0,bad,filler,
Belova_2022,Ты и я передают подарок для подруги.,2.357142857142857,2.0,coordination,stimul,2.0
Belova_2022,Я и ты арендуем участок под огород.,5.357142857142857,5.0,coordination,stimul,22.0
Belova_2022,Ты и я читаем письмо от ректора.,5.066666666666666,5.0,coordination,stimul,11.0
Belova_2022,Ты и я отвозят диван в гараж.,2.8181818181818183,3.0,coordination,stimul,17.0
Belova_2022,Ты и я арендую участок под огород.,2.7142857142857144,3.0,coordination,stimul,22.0
Belova_2022,Книги в библиотеку отдаём я и ты.,4.333333333333333,4.0,coordination,stimul,18.0
Belova_2022,Крепость из строю снега я и ты.,1.4375,1.0,coordination,stimul,30.0
Belova_2022,Ты и я вырезаем снежинки из бумаги.,4.571428571428571,5.0,coordination,stimul,32.0
Belova_2022,Аванс за квартиру вношу я и ты.,3.15,3.0,coordination,stimul,25.0
Belova_2022,Я и ты ищут ключи от квартиры.,3.4,3.0,coordination,stimul,12.0
Belova_2022,В марте и апрелю Тася прошли стажировку.,1.916030534351145,2.0,bad,filler,
Belova_2022,Перекус из овощей готовят ты и я.,3.2,3.0,coordination,stimul,31.0
Belova_2022,Я и ты чистят сапоги от грязи.,3.071428571428572,3.0,coordination,stimul,9.0
Belova_2022,Дашину и Митину комнату отремонтировали за лето.,6.419847328244275,6.0,good,filler,
Belova_2022,Маша и Дима в четверг прогуляли все уроки.,6.480392156862745,6.0,good,filler,
Belova_2022,Школа провели родительский собрание и экзамены.,1.8137254901960784,2.0,bad,filler,
Belova_2022,Ты и я покупаешь телевизор для бабушки.,2.1818181818181817,2.0,coordination,stimul,1.0
Belova_2022,Я и ты отмываем духовку от жира.,5.142857142857143,5.0,coordination,stimul,10.0
Belova_2022,Штрафы за парковку платишь ты и я.,3.2142857142857144,3.0,coordination,stimul,28.0
Belova_2022,Грядку под редис копаем я и ты.,4.214285714285714,4.0,coordination,stimul,24.0
Belova_2022,Я и ты планируешь поездку на дачу.,2.0,2.0,coordination,stimul,16.0
Belova_2022,Вечер у соседей проводишь ты и я.,2.4375,2.0,coordination,stimul,6.0
Belova_2022,Ты и я покупают телевизор для бабушки.,2.25,2.0,coordination,stimul,1.0
Belova_2022,Ты и я намечаю переезд за границу.,1.7,2.0,coordination,stimul,26.0
Belova_2022,Ты и я выкупаю цепочку у ломбарда.,1.5,2.0,coordination,stimul,8.0
Belova_2022,Гречку на костре варишь ты и я.,3.4285714285714284,3.0,coordination,stimul,13.0
Belova_2022,Я и ты пишем заявление на увольнение.,4.866666666666666,5.0,coordination,stimul,15.0
Belova_2022,Снежинки из бумаги вырезаешь я и ты.,2.642857142857143,3.0,coordination,stimul,32.0
Belova_2022,Ты и я встречают рассвет у озера.,3.466666666666667,3.0,coordination,stimul,7.0
Belova_2022,Ты и я отдаю книги в библиотеку.,3.037037037037037,3.0,coordination,stimul,18.0
Belova_2022,Ты и я арендуем участок под огород.,5.583333333333333,6.0,coordination,stimul,22.0
Belova_2022,На фестиваль и концерте приехали фанаты.,2.1615384615384614,2.0,bad,filler,
Belova_2022,Коробки в макулатуру сдаю ты и я.,2.5,2.0,coordination,stimul,19.0
Belova_2022,Я и ты отмываешь духовку от жира.,2.5,2.0,coordination,stimul,10.0
Belova_2022,Ты и я отмываем духовку от жира.,3.7,4.0,coordination,stimul,10.0
Belova_2022,Ты и я отмывают духовку от жира.,2.5,2.0,coordination,stimul,10.0
Belova_2022,Письма и открыток отправили Арсений.,1.6717557251908397,2.0,bad,filler,
Belova_2022,Вчера Яна опоздали на поезд и самолёте.,1.465648854961832,1.0,bad,filler,
Belova_2022,Книги в библиотеку отдаём ты и я.,4.842105263157895,5.0,coordination,stimul,18.0
Belova_2022,Я и ты готовишь реквизит для спектакля.,1.7,2.0,coordination,stimul,3.0
Belova_2022,Перекус из овощей готовят я и ты.,2.7142857142857144,3.0,coordination,stimul,31.0
Belova_2022,Я и ты читаю письмо от ректора.,2.769230769230769,3.0,coordination,stimul,11.0
Belova_2022,Снежинки из бумаги вырезаешь ты и я.,3.466666666666667,3.0,coordination,stimul,32.0
Belova_2022,Деньги в акции вкладываем ты и я.,3.923076923076923,4.0,coordination,stimul,20.0
Belova_2022,Я и ты пишешь заявление на увольнение.,2.0,2.0,coordination,stimul,15.0
Belova_2022,Сапоги от грязи чищу я и ты.,2.9047619047619047,3.0,coordination,stimul,9.0
Belova_2022,Вечер у соседей проводим я и ты.,3.857142857142857,4.0,coordination,stimul,6.0
Belova_2022,В зоопарке Женя увидел слона и жирафа.,6.519083969465649,7.0,good,filler,
Belova_2022,Шкафчик для посуды чиним я и ты.,4.133333333333334,4.0,coordination,stimul,4.0
Belova_2022,Диван в гараж отвожу я и ты.,3.0,3.0,coordination,stimul,17.0
Belova_2022,Шкафчик для посуды чиню я и ты.,3.526315789473684,4.0,coordination,stimul,4.0
Belova_2022,Ты и я вносим аванс за квартиру.,4.384615384615385,4.0,coordination,stimul,25.0
Belova_2022,Я и ты вкладываешь деньги в акции.,2.7142857142857144,3.0,coordination,stimul,20.0
Belova_2022,Я и ты плачу штрафы за парковку.,2.0,2.0,coordination,stimul,28.0
Belova_2022,Поездку на дачу планируем ты и я.,4.733333333333333,5.0,coordination,stimul,16.0
Belova_2022,Я и ты выкупаешь цепочку у ломбарда.,2.230769230769231,2.0,coordination,stimul,8.0
Belova_2022,Ты и я покупаю телевизор для бабушки.,3.066666666666667,3.0,coordination,stimul,1.0
Belova_2022,Саша подарил по букету маме и сестре.,6.254901960784314,6.0,good,filler,
Belova_2022,Ты и я покупаем телевизор для бабушки.,3.8,4.0,coordination,stimul,1.0
Belova_2022,Заявление на увольнение пишешь я и ты.,1.8,2.0,coordination,stimul,15.0
Belova_2022,Письмо от ректора читаю я и ты.,3.2857142857142856,3.0,coordination,stimul,11.0
Belova_2022,Телевизор для бабушки покупаю я и ты.,3.5294117647058822,4.0,coordination,stimul,1.0
Belova_2022,Я и ты готовлю реквизит для спектакля.,2.857142857142857,3.0,coordination,stimul,3.0
Belova_2022,Заявление на увольнение пишем я и ты.,5.0,5.0,coordination,stimul,15.0
Belova_2022,Вечер у соседей проводим ты и я.,4.523809523809524,5.0,coordination,stimul,6.0
Belova_2022,Я и ты арендуешь участок под огород.,3.2,3.0,coordination,stimul,22.0
Belova_2022,Ты и я вырезаешь снежинки из бумаги.,2.076923076923077,2.0,coordination,stimul,32.0
Belova_2022,Я и ты закрывают долги за семестр.,3.071428571428572,3.0,coordination,stimul,27.0
Belova_2022,Штрафы за парковку платишь я и ты.,2.6,3.0,coordination,stimul,28.0
Belova_2022,Аванс за квартиру вносят я и ты.,2.7142857142857144,3.0,coordination,stimul,25.0
Belova_2022,Книги в библиотеку отдаёшь я и ты.,2.571428571428572,3.0,coordination,stimul,18.0
Belova_2022,Гречку на костре варю я и ты.,3.8947368421052633,4.0,coordination,stimul,13.0
Belova_2022,Сапоги от грязи чистят я и ты.,2.125,2.0,coordination,stimul,9.0
Belova_2022,Ты и я ищут ключи от квартиры.,2.3846153846153846,2.0,coordination,stimul,12.0
Belova_2022,Я и ты передаём подарок для подруги.,4.0,4.0,coordination,stimul,2.0
Belova_2022,Я и ты покупаешь телевизор для бабушки.,2.6153846153846154,3.0,coordination,stimul,1.0
Belova_2022,Брюк и блузку утром погладили Полина.,1.6412213740458017,2.0,bad,filler,
Belova_2022,Грядку под редис копаем ты и я.,5.333333333333333,5.0,coordination,stimul,24.0
Belova_2022,Ты и я встречаешь рассвет у озера.,1.5,2.0,coordination,stimul,7.0
Belova_2022,Я и ты встречаешь рассвет у озера.,1.9285714285714288,2.0,coordination,stimul,7.0
Belova_2022,Аванс за квартиру вносишь я и ты.,2.833333333333333,3.0,coordination,stimul,25.0
Belova_2022,Я и ты сдают коробки в макулатуру.,2.857142857142857,3.0,coordination,stimul,19.0
Belova_2022,Я и ты отвожу диван в гараж.,2.142857142857143,2.0,coordination,stimul,17.0
Belova_2022,Снежинки из бумаги вырезаем ты и я.,4.416666666666667,4.0,coordination,stimul,32.0
Belova_2022,Вечер у соседей проводишь я и ты.,2.1,2.0,coordination,stimul,6.0
Belova_2022,Грядку под редис копаешь ты и я.,2.6875,3.0,coordination,stimul,24.0
Belova_2022,Снежинки из бумаги вырезаю ты и я.,2.952380952380953,3.0,coordination,stimul,32.0
Belova_2022,Галстук под пиджак подбираю я и ты.,3.071428571428572,3.0,coordination,stimul,23.0
Belova_2022,Перед сном Алина умывалась и наносила крем.,6.282442748091603,6.0,good,filler,
Belova_2022,Стены под покраску ровняю ты и я.,2.3,2.0,coordination,stimul,21.0
Belova_2022,Я и ты вношу аванс за квартиру.,2.4166666666666665,2.0,coordination,stimul,25.0
Belova_2022,Письмо от ректора читаем ты и я.,4.269230769230769,4.0,coordination,stimul,11.0
Belova_2022,Ты и я сдаю коробки в макулатуру.,3.533333333333333,4.0,coordination,stimul,19.0
Belova_2022,Ты и я отвозишь диван в гараж.,2.7333333333333334,3.0,coordination,stimul,17.0
Belova_2022,Поездку на дачу планирую ты и я.,2.6875,3.0,coordination,stimul,16.0
Belova_2022,Я и ты готовим перекус из овощей.,5.642857142857143,6.0,coordination,stimul,31.0
Belova_2022,Диван в гараж отвозим ты и я.,4.3125,4.0,coordination,stimul,17.0
Belova_2022,Я и ты копаю грядку под редис.,2.8181818181818183,3.0,coordination,stimul,24.0
Belova_2022,Перекус из овощей готовишь ты и я.,3.4285714285714284,3.0,coordination,stimul,31.0
Belova_2022,Ты и я подбираешь галстук под пиджак.,2.076923076923077,2.0,coordination,stimul,23.0
Belova_2022,Я и ты вырезаю снежинки из бумаги.,3.333333333333333,3.0,coordination,stimul,32.0
Belova_2022,Поездку на дачу планируешь я и ты.,2.75,3.0,coordination,stimul,16.0
Belova_2022,На рыбалке Костя поймал щуку и окуня.,6.458015267175573,6.0,good,filler,
Belova_2022,Ты и я вношу аванс за квартиру.,3.0,3.0,coordination,stimul,25.0
Belova_2022,Ты и я берём билет на самолёт.,4.357142857142857,4.0,coordination,stimul,14.0
Belova_2022,Ты и я чиним шкафчик для посуды.,5.2,5.0,coordination,stimul,4.0
Belova_2022,Я и ты передаёшь подарок для подруги.,2.2857142857142856,2.0,coordination,stimul,2.0
Belova_2022,Ключи от квартиры ищешь ты и я.,3.1666666666666665,3.0,coordination,stimul,12.0
Belova_2022,Ты и я пишем заявление на увольнение.,4.615384615384615,5.0,coordination,stimul,15.0
Belova_2022,Долги за семестр закрываем ты и я.,4.421052631578948,4.0,coordination,stimul,27.0
Belova_2022,Я и ты забираю машину из сервиса.,2.5384615384615383,3.0,coordination,stimul,29.0
Belova_2022,Я и ты вкладываю деньги в акции.,2.8461538461538463,3.0,coordination,stimul,20.0
Belova_2022,Комнату у метро снимаешь ты и я.,3.533333333333333,4.0,coordination,stimul,5.0
