author,sentence,response,response_round,subtype,type,lexicalization,condition,head_noun,agreement
Golovnina_2022,"Все, кто зайдет в бухгалтерию, получат зарплату.",5.066666666666666,5.0,relative_clauses,stimul,1.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Все, кто переедут в санаторий, продолжат лечение.",5.3,5.0,relative_clauses,stimul,15.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Все, кто заплатит за подписку, продлят доступ.",4.222222222222222,4.0,relative_clauses,stimul,7.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Многие мальчики, кто побегут в эстафете, пропустят уроки.",6.0,6.0,relative_clauses,stimul,28.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Многие посетители, приходящие в больницу, принесет цветы.",2.4302325581395348,2.0,bad,filler,501.0,bad,,
Golovnina_2022,"Многие, кто побежит в эстафете, пропустят уроки.",5.222222222222222,5.0,relative_clauses,stimul,28.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те дети, кто устанут на экскурсии, проспят завтрак.",3.2,3.0,relative_clauses,stimul,22.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Многие путешественники, гуляющие по городу, купит карты.",2.3176470588235296,2.0,bad,filler,501.0,bad,,
Golovnina_2022,"Те фотографы, кто успеет к началу, снимут режиссера.",4.0,4.0,relative_clauses,stimul,29.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Все пользователи, кто заплатит за подписку, продлят доступ.",3.5294117647058822,4.0,relative_clauses,stimul,7.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те, кто побывают на открытии, заметят подмену.",5.866666666666666,6.0,relative_clauses,stimul,12.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те, кто проникнут на территорию, оставят следы.",5.1,5.0,relative_clauses,stimul,3.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те исполнители, кто выйдет на сцену, споют романсы.",4.333333333333333,4.0,relative_clauses,stimul,24.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Все пациенты, кто переедут в санаторий, продолжат лечение.",3.0,3.0,relative_clauses,stimul,15.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те, кто приплывет на корабле, пройдут проверку.",4.294117647058823,4.0,relative_clauses,stimul,17.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Все фотографы, кто успеют к началу, снимут режиссера.",3.7777777777777777,4.0,relative_clauses,stimul,29.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те политики, кто взойдут на трибуну, произнесут речь.",4.176470588235294,4.0,relative_clauses,stimul,26.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Все, кто переедет в санаторий, продолжат лечение.",5.888888888888889,6.0,relative_clauses,stimul,15.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те, кто пойдут в поход, возьмут палатки.",5.4,5.0,relative_clauses,stimul,20.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Многие, кто пострадает из-за кризиса, получат компенсацию.",5.3,5.0,relative_clauses,stimul,16.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Все, кто ответит на экзамене, получат пятерки.",4.823529411764706,5.0,relative_clauses,stimul,5.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Многие, кто уедет из деревни, продадут дома.",4.285714285714286,4.0,relative_clauses,stimul,30.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Многие спортсмены, кто отдохнет перед игрой, улучшат результаты.",4.1,4.0,relative_clauses,stimul,18.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Многие, кто пойдет в поход, возьмут палатки. ",5.777777777777778,6.0,relative_clauses,stimul,20.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те, кто опоздает на урок, напишут объяснительные.",5.875,6.0,relative_clauses,stimul,19.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те, кто сбежит из тюрьмы, понесут наказание.",5.714285714285714,6.0,relative_clauses,stimul,23.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те, кто выступит на вечере, прочтут стихи.",4.7,5.0,relative_clauses,stimul,4.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Все сотрудники, кто зайдут в бухгалтерию, получат зарплату.",3.7,4.0,relative_clauses,stimul,1.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те мальчики, кто побегут в эстафете, пропустят уроки.",4.777777777777778,5.0,relative_clauses,stimul,28.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Многие, кто прилетят из-за границы, привезут сувениры.",5.533333333333333,6.0,relative_clauses,stimul,8.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Многие экскурсанты, кто последует за гидом, увидят памятник.",4.5,4.0,relative_clauses,stimul,32.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Все сотрудники, кто зайдет в бухгалтерию, получат зарплату.",5.0,5.0,relative_clauses,stimul,1.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те писатели, кто попадут на съезд, выиграют гранты.",4.466666666666667,4.0,relative_clauses,stimul,14.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Все, кто попадет в список, пройдут собеседование.",6.285714285714286,6.0,relative_clauses,stimul,11.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те, кто попадет на премьеру, опубликуют репортаж.",5.285714285714286,5.0,relative_clauses,stimul,10.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Многие спортсмены, кто отдохнут перед игрой, улучшат результаты.",3.866666666666666,4.0,relative_clauses,stimul,18.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те туристы, кто заболеет в дороге, примут лекарства.",3.764705882352941,4.0,relative_clauses,stimul,27.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Многие родственники, кто уедут из деревни, продадут дома.",4.0588235294117645,4.0,relative_clauses,stimul,30.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Все, кто приплывет на корабле, пройдут проверку.",5.0,5.0,relative_clauses,stimul,17.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те, кто отступят от правил, покинут команду.",5.857142857142857,6.0,relative_clauses,stimul,25.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Тот астронавт, кто полетит в космос, завоюют славу.",2.670588235294117,3.0,bad,filler,501.0,bad,,
Golovnina_2022,"Те отдыхающие, кто заплывет за буйки, заплатят  штраф.",4.2,4.0,relative_clauses,stimul,31.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те, кто отдохнут перед игрой, улучшат результаты.",5.375,5.0,relative_clauses,stimul,18.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Все пассажиры, кто полетят на самолете, прослушают инструктаж.",5.375,5.0,relative_clauses,stimul,21.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те участники, кто отступят от правил, покинут команду.",4.777777777777778,5.0,relative_clauses,stimul,25.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те, кто заболеет в дороге, примут лекарства.",5.111111111111111,5.0,relative_clauses,stimul,27.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Все, кто полетит на самолете, прослушают инструктаж.",5.0588235294117645,5.0,relative_clauses,stimul,21.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те студенты, кто ответит на экзамене, получат пятерки.",4.666666666666667,5.0,relative_clauses,stimul,5.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Многие репортеры, кто побывает на открытии, заметят подмену.",4.818181818181818,5.0,relative_clauses,stimul,12.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Многие родственники, кто уедет из деревни, продадут дома.",5.222222222222222,5.0,relative_clauses,stimul,30.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Многие, кто взойдет на трибуну, произнесут речь.",4.916666666666667,5.0,relative_clauses,stimul,26.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Многие хоккеисты, которые играют в сборной, закончит карьеру.",2.409638554216868,2.0,bad,filler,501.0,bad,,
Golovnina_2022,"Те, кто уедут из деревни, продадут дома.",5.0,5.0,relative_clauses,stimul,30.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те, кто отдохнет перед игрой, улучшат результаты.",5.428571428571429,5.0,relative_clauses,stimul,18.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Все туристы, кто заболеют в дороге, примут лекарства.",4.0,4.0,relative_clauses,stimul,27.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те, кто сбегут из тюрьмы, понесут наказание.",6.111111111111111,6.0,relative_clauses,stimul,23.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те, кто успеют к началу, снимут режиссера.",4.166666666666667,4.0,relative_clauses,stimul,29.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Все атлеты, кто добежит до финиша, получат медаль.",4.111111111111111,4.0,relative_clauses,stimul,9.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те геологи, кто пойдет в поход, возьмут палатки. ",3.7142857142857135,4.0,relative_clauses,stimul,20.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Многие артисты, кто приедет на фестиваль, исполнят песни.",4.0,4.0,relative_clauses,stimul,2.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те, кто приедут на фестиваль, исполнят песни.",5.555555555555555,6.0,relative_clauses,stimul,2.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Все астрономы, которые посмотрят на небо, заметит изменения.",2.6627906976744184,3.0,bad,filler,501.0,bad,,
Golovnina_2022,"Те предприниматели, которые попадут под санкции, закроет бизнес.",2.5176470588235293,3.0,bad,filler,501.0,bad,,
Golovnina_2022,"Те, кто взойдет на трибуну, произнесут речь.",3.857142857142857,4.0,relative_clauses,stimul,26.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те преступники, кто сбегут из тюрьмы, понесут наказание.",4.166666666666667,4.0,relative_clauses,stimul,23.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Многие актеры, кто выступят на вечере, прочтут стихи.",5.0,5.0,relative_clauses,stimul,4.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те иностранцы, кто приплывут на корабле, пройдут проверку.",5.5,6.0,relative_clauses,stimul,17.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Многие артисты, кто приедут на фестиваль, исполнят песни.",4.333333333333333,4.0,relative_clauses,stimul,2.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Многие, кто последует за гидом, увидят памятник.",5.2,5.0,relative_clauses,stimul,32.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Многие, кто взойдут на трибуну, произнесут речь.",5.571428571428571,6.0,relative_clauses,stimul,26.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Многие дети, кто устанут на экскурсии, проспят завтрак.",3.7058823529411766,4.0,relative_clauses,stimul,22.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Все, кто заплывет за буйки, заплатят штраф.",5.333333333333333,5.0,relative_clauses,stimul,31.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Все фотографы, кто успеет к началу, снимут режиссера.",5.166666666666667,5.0,relative_clauses,stimul,29.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Все отдыхающие, кто заплывет за буйки, заплатят  штраф.",4.529411764705882,5.0,relative_clauses,stimul,31.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те атлеты, кто добегут до финиша, получат медаль.",3.4444444444444446,3.0,relative_clauses,stimul,9.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Многие, кто прилетит из-за границы, привезут сувениры.",4.111111111111111,4.0,relative_clauses,stimul,8.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те партнеры, которые перейдут к конкуренту, предадут компанию.",5.870588235294117,6.0,good,filler,501.0,good,,
Golovnina_2022,"Те, кто вступит в профсоюз, получат привилегии.",6.2,6.0,relative_clauses,stimul,13.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Многие водители, кто застрянет в пробке, потеряют время.",4.555555555555555,5.0,relative_clauses,stimul,6.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те нарушители,кто проникнет на территорию, оставят следы.",3.5294117647058822,4.0,relative_clauses,stimul,3.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Многие, кто последуют за гидом, увидят памятник.",6.066666666666666,6.0,relative_clauses,stimul,32.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Многие, кто попадут на съезд, выиграют гранты.",5.333333333333333,5.0,relative_clauses,stimul,14.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те экскурсанты, кто последует за гидом, увидят памятник.",4.833333333333333,5.0,relative_clauses,stimul,32.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те, кто пострадает из-за кризиса, получат компенсацию.",5.777777777777778,6.0,relative_clauses,stimul,16.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те родственники, кто уедет из деревни, продадут дома.",4.1,4.0,relative_clauses,stimul,30.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Многие, кто застрянут в пробке, потеряют время.",5.222222222222222,5.0,relative_clauses,stimul,6.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Все гости, которые придут на праздник, скажут тост.",5.552941176470588,6.0,good,filler,501.0,good,,
Golovnina_2022,"Все работники, приходящие с опозданием, получат выговор.",5.743902439024391,6.0,good,filler,501.0,good,,
Golovnina_2022,"Те, кто ответит на экзамене, получат пятерки.",5.428571428571429,5.0,relative_clauses,stimul,5.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те, кто застрянет в пробке, потеряют время.",5.25,5.0,relative_clauses,stimul,6.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Тот спортсмен, кто поедет на олимпиаду, выиграет медаль.",4.988372093023256,5.0,good,filler,501.0,good,,
Golovnina_2022,"Многие журналисты, кто попадут на премьеру, опубликуют репортаж.",4.2,4.0,relative_clauses,stimul,10.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Все, кто опоздают на урок, напишут объяснительные.",5.666666666666667,6.0,relative_clauses,stimul,19.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Все, кто вступит в профсоюз, получат привилегии.",5.764705882352941,6.0,relative_clauses,stimul,13.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Многие исполнители, кто выйдут на сцену, споют романсы.",4.777777777777778,5.0,relative_clauses,stimul,24.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Тот автор, кто напечатается в газете, обойдут цензуру.",2.5232558139534884,3.0,bad,filler,501.0,bad,,
Golovnina_2022,"Многие бизнесмены, кто пострадают из-за кризиса, получат компенсацию.",4.428571428571429,4.0,relative_clauses,stimul,16.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Многие фотографы, снимающие на пленку, откроет мастерские.",2.546511627906977,3.0,bad,filler,501.0,bad,,
Golovnina_2022,"Те сотрудники, кто зайдет в бухгалтерию, получат зарплату.",5.0,5.0,relative_clauses,stimul,1.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те, кто полетит на самолете, прослушают инструктаж.",3.533333333333333,4.0,relative_clauses,stimul,21.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Все, кто приплывут на корабле, пройдут проверку.",5.833333333333333,6.0,relative_clauses,stimul,17.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те геологи, кто пойдут в поход, возьмут палатки. ",4.777777777777778,5.0,relative_clauses,stimul,20.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те, кто пострадают из-за кризиса, получат компенсацию.",5.466666666666667,5.0,relative_clauses,stimul,16.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Тот пожарный, кто приедет на вызов, потушит огонь.",4.976470588235294,5.0,good,filler,501.0,good,,
Golovnina_2022,"Все, кто добегут до финиша, получат медаль.",6.166666666666667,6.0,relative_clauses,stimul,9.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Многие, кто побывают на открытии, заметят подмену.",4.75,5.0,relative_clauses,stimul,12.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Все пациенты, кто переедет в санаторий, продолжат лечение.",3.625,4.0,relative_clauses,stimul,15.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те, кто добегут до финиша, получат медаль.",6.0,6.0,relative_clauses,stimul,9.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те ученики, кто опоздают на урок, напишут объяснительные.",3.7142857142857135,4.0,relative_clauses,stimul,19.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Все, кто вступят в профсоюз, получат привилегии.",5.857142857142857,6.0,relative_clauses,stimul,13.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те фотографы, кто успеют к началу, снимут режиссера.",3.8,4.0,relative_clauses,stimul,29.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те, кто выйдут на сцену, споют романсы.",5.117647058823529,5.0,relative_clauses,stimul,24.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Все кандидаты, кто попадет в список, пройдут собеседование.",4.066666666666666,4.0,relative_clauses,stimul,11.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те работники, кто вступят в профсоюз, получат привилегии.",4.444444444444445,4.0,relative_clauses,stimul,13.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те пациенты, кто переедут в санаторий, продолжат лечение.",4.090909090909091,4.0,relative_clauses,stimul,15.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те туристы, кто заболеют в дороге, примут лекарства.",3.4285714285714284,3.0,relative_clauses,stimul,27.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те пользователи, кто заплатит за подписку, продлят доступ.",4.428571428571429,4.0,relative_clauses,stimul,7.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Тот художник, кто поработает на пленэре, нарисует пейзаж.",4.621951219512195,5.0,good,filler,501.0,good,,
Golovnina_2022,"Многие дети, кто устанет на экскурсии, проспят завтрак.",3.625,4.0,relative_clauses,stimul,22.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те, кто уедет из деревни, продадут дома.",4.25,4.0,relative_clauses,stimul,30.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Многие политики, кто взойдут на трибуну, произнесут речь.",4.142857142857143,4.0,relative_clauses,stimul,26.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те, кто заплывут за буйки, заплатят  штраф.",6.444444444444445,6.0,relative_clauses,stimul,31.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те кандидаты, кто попадет в список, пройдут собеседование.",4.1875,4.0,relative_clauses,stimul,11.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те, кто пойдет в поход, возьмут палатки.",5.1,5.0,relative_clauses,stimul,20.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Все, кто добежит до финиша, получат медаль.",4.533333333333333,5.0,relative_clauses,stimul,9.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Все ученики, кто опоздают на урок, напишут объяснительные.",4.333333333333333,4.0,relative_clauses,stimul,19.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Многие, кто побегут в эстафете, пропустят уроки.",4.764705882352941,5.0,relative_clauses,stimul,28.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те, кто заплатят за подписку, продлят доступ.",5.444444444444445,5.0,relative_clauses,stimul,7.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те, кто прилетит из-за границы, привезут сувениры.",4.666666666666667,5.0,relative_clauses,stimul,8.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Все, кто отступит от правил, покинут команду.",6.333333333333333,6.0,relative_clauses,stimul,25.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те исполнители, кто выйдут на сцену, споют романсы.",4.285714285714286,4.0,relative_clauses,stimul,24.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те, кто ответят на экзамене, получат пятерки.",6.166666666666667,6.0,relative_clauses,stimul,5.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Многие, кто пострадают из-за кризиса, получат компенсацию.",5.533333333333333,6.0,relative_clauses,stimul,16.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те, кто устанет на экскурсии, проспят завтрак.",4.416666666666667,4.0,relative_clauses,stimul,22.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Те атлеты, кто добежит до финиша, получат медаль.",4.428571428571429,4.0,relative_clauses,stimul,9.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Все иностранцы, кто приплывет на корабле, пройдут проверку.",4.666666666666667,5.0,relative_clauses,stimul,17.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те, кто приплывут на корабле, пройдут проверку.",5.833333333333333,6.0,relative_clauses,stimul,17.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Многие абитуриенты, поступающие в вуз, сдадут экзамены.",6.104651162790698,6.0,good,filler,501.0,good,,
Golovnina_2022,"Те, кто выступят на вечере, прочтут стихи.",5.8,6.0,relative_clauses,stimul,4.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Все работники, кто вступит в профсоюз, получат привилегии.",5.833333333333333,6.0,relative_clauses,stimul,13.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те бизнесмены, кто пострадает из-за кризиса, получат компенсацию.",4.636363636363637,5.0,relative_clauses,stimul,16.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те, кто выйдет на сцену, споют романсы.",5.875,6.0,relative_clauses,stimul,24.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Все, кто заплывут за буйки, заплатят штраф.",4.8,5.0,relative_clauses,stimul,31.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Многие репортеры, кто побывают на открытии, заметят подмену.",4.428571428571429,4.0,relative_clauses,stimul,12.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Многие люди, играющие на бирже, потеряют деньги.",6.430232558139535,6.0,good,filler,501.0,good,,
Golovnina_2022,"Те сотрудники, кто зайдут в бухгалтерию, получат зарплату.",5.111111111111111,5.0,relative_clauses,stimul,1.0,"with head noun, plural verb",with head noun,plural verb
Golovnina_2022,"Те водители, кто застрянет в пробке, потеряют время.",3.9,4.0,relative_clauses,stimul,6.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Все, кто заболеют в дороге, примут лекарства.",6.111111111111111,6.0,relative_clauses,stimul,27.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Все друзья, переезжающие в столицу, пришлет подарки.",2.2823529411764705,2.0,bad,filler,501.0,bad,,
Golovnina_2022,"Те, кто приедет на фестиваль, исполнят песни.",4.857142857142857,5.0,relative_clauses,stimul,2.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Многие слушатели, которые побывают на лекции, зададут вопросы.",5.952941176470588,6.0,good,filler,501.0,good,,
Golovnina_2022,"Те, кто побегут в эстафете, пропустят уроки.",5.533333333333333,6.0,relative_clauses,stimul,28.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Те пациенты, кто переедет в санаторий, продолжат лечение.",4.066666666666666,4.0,relative_clauses,stimul,15.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те, кто попадут в список, пройдут собеседование.",5.5,6.0,relative_clauses,stimul,11.0,"no head noun, plural verb",no head noun,plural verb
Golovnina_2022,"Многие писатели, кто попадет на съезд, выиграют гранты.",4.555555555555555,5.0,relative_clauses,stimul,14.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Все ученики, кто опоздает на урок, напишут объяснительные.",5.2,5.0,relative_clauses,stimul,19.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Все участники, кто отступит от правил, покинут команду.",5.0,5.0,relative_clauses,stimul,25.0,"with head noun, singular verb",with head noun,singular verb
Golovnina_2022,"Те, кто побывает на открытии, заметят подмену.",4.7,5.0,relative_clauses,stimul,12.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Многие, кто попадет на премьеру, опубликуют репортаж.",5.0,5.0,relative_clauses,stimul,10.0,"no head noun, singular verb",no head noun,singular verb
Golovnina_2022,"Многие, кто выйдут на сцену, споют романсы.",5.333333333333333,5.0,relative_clauses,stimul,24.0,"no head noun, plural verb",no head noun,plural verb
