experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,head_noun,agreement,quant,is_quantifier
Golovnina_2022,"Те отдыхающие, кто заплывут за буйки, заплатят  штраф.",5.25,5.0,relative_clauses,stimul,31.0,246,yes,pl,-,no
Golovnina_2022,"Те писатели, кто попадет на съезд, выиграют гранты.",4.4,4.0,relative_clauses,stimul,14.0,109,yes,sg,-,no
Golovnina_2022,"Тот автор, кто напечатается в газете, обойдут цензуру.",2.5232558139534884,3.0,bad,filler,501.0,526,,,,
Golovnina_2022,"Все иностранцы, кто приплывет на корабле, пройдут проверку.",4.666666666666667,5.0,relative_clauses,stimul,17.0,129,yes,sg,vse,yes
Golovnina_2022,"Многие писатели, кто попадут на съезд, выиграют гранты.",4.117647058823529,4.0,relative_clauses,stimul,14.0,106,yes,pl,mnogie,yes
Golovnina_2022,"Все, кто проникнет на территорию, оставят следы.",5.714285714285714,6.0,relative_clauses,stimul,3.0,19,no,sg,vse,yes
Golovnina_2022,"Все, кто попадут в список, пройдут собеседование.",5.666666666666667,6.0,relative_clauses,stimul,11.0,84,no,pl,vse,yes
Golovnina_2022,"Многие водители, кто застрянет в пробке, потеряют время.",4.555555555555555,5.0,relative_clauses,stimul,6.0,41,yes,sg,mnogie,yes
Golovnina_2022,"Все работники, кто вступят в профсоюз, получат привилегии.",4.666666666666667,5.0,relative_clauses,stimul,13.0,98,yes,pl,vse,yes
Golovnina_2022,"Те родственники, кто уедет из деревни, продадут дома.",4.1,4.0,relative_clauses,stimul,30.0,237,yes,sg,-,no
Golovnina_2022,"Те актеры, кто выступят на вечере, прочтут стихи.",4.111111111111111,4.0,relative_clauses,stimul,4.0,30,yes,pl,-,no
Golovnina_2022,"Те, кто попадут на премьеру, опубликуют репортаж.",5.666666666666667,6.0,relative_clauses,stimul,10.0,80,no,pl,-,no
Golovnina_2022,"Все пациенты, кто переедут в санаторий, продолжат лечение.",3.0,3.0,relative_clauses,stimul,15.0,114,yes,pl,vse,yes
Golovnina_2022,"Тот инженер, кто выйдет из отпуска, закончит проект.",4.023255813953488,4.0,good,filler,501.0,505,,,,
Golovnina_2022,"Многие писатели, кто попадет на съезд, выиграют гранты.",4.555555555555555,5.0,relative_clauses,stimul,14.0,105,yes,sg,mnogie,yes
Golovnina_2022,"Все пассажиры, кто полетит на самолете, прослушают инструктаж.",5.428571428571429,5.0,relative_clauses,stimul,21.0,161,yes,sg,vse,yes
Golovnina_2022,"Все курьеры, работающие в компании, получат премию.",6.380952380952381,6.0,good,filler,501.0,519,,,,
Golovnina_2022,"Те участники, кто отступят от правил, покинут команду.",4.777777777777778,5.0,relative_clauses,stimul,25.0,198,yes,pl,-,no
Golovnina_2022,"Все, кто сбегут из тюрьмы, понесут наказание.",5.3,5.0,relative_clauses,stimul,23.0,180,no,pl,vse,yes
Golovnina_2022,"Многие творцы, участвующие в выставке, создадут шедевры.",6.151162790697675,6.0,good,filler,501.0,513,,,,
Golovnina_2022,"Все ученики, кто опоздают на урок, напишут объяснительные.",4.333333333333333,4.0,relative_clauses,stimul,19.0,146,yes,pl,vse,yes
Golovnina_2022,"Все пассажиры, кто полетят на самолете, прослушают инструктаж.",5.375,5.0,relative_clauses,stimul,21.0,162,yes,pl,vse,yes
Golovnina_2022,"Те, кто взойдет на трибуну, произнесут речь.",3.857142857142857,4.0,relative_clauses,stimul,26.0,207,no,sg,-,no
Golovnina_2022,"Те, кто успеют к началу, снимут режиссера.",4.166666666666667,4.0,relative_clauses,stimul,29.0,232,no,pl,-,no
Golovnina_2022,"Те, кто пострадают из-за кризиса, получат компенсацию.",5.466666666666667,5.0,relative_clauses,stimul,16.0,128,no,pl,-,no
Golovnina_2022,"Все, кто проникнут на территорию, оставят следы.",5.888888888888889,6.0,relative_clauses,stimul,3.0,20,no,pl,vse,yes
Golovnina_2022,"Многие геологи, кто пойдут в поход, возьмут палатки. ",5.285714285714286,5.0,relative_clauses,stimul,20.0,154,yes,pl,mnogie,yes
Golovnina_2022,"Многие, кто выступят на вечере, прочтут стихи.",5.235294117647059,5.0,relative_clauses,stimul,4.0,28,no,pl,mnogie,yes
Golovnina_2022,"Те фотографы, кто успеет к началу, снимут режиссера.",4.0,4.0,relative_clauses,stimul,29.0,229,yes,sg,-,no
Golovnina_2022,"Многие фотографы, снимающие на пленку, откроет мастерские.",2.546511627906977,3.0,bad,filler,501.0,504,,,,
Golovnina_2022,"Те туристы, кто заболеют в дороге, примут лекарства.",3.4285714285714284,3.0,relative_clauses,stimul,27.0,214,yes,pl,-,no
Golovnina_2022,"Многие мальчики, кто побегут в эстафете, пропустят уроки.",6.0,6.0,relative_clauses,stimul,28.0,218,yes,pl,mnogie,yes
Golovnina_2022,"Все пациенты, кто переедет в санаторий, продолжат лечение.",3.625,4.0,relative_clauses,stimul,15.0,113,yes,sg,vse,yes
Golovnina_2022,"Те, кто застрянут в пробке, потеряют время.",6.714285714285714,7.0,relative_clauses,stimul,6.0,48,no,pl,-,no
Golovnina_2022,"Многие журналисты, кто попадут на премьеру, опубликуют репортаж.",4.2,4.0,relative_clauses,stimul,10.0,74,yes,pl,mnogie,yes
Golovnina_2022,"Те, кто заболеет в дороге, примут лекарства.",5.111111111111111,5.0,relative_clauses,stimul,27.0,215,no,sg,-,no
Golovnina_2022,"Те, кто побежит в эстафете, пропустят уроки.",4.8,5.0,relative_clauses,stimul,28.0,223,no,sg,-,no
Golovnina_2022,"Многие экскурсанты, кто последуют за гидом, увидят памятник.",4.777777777777778,5.0,relative_clauses,stimul,32.0,250,yes,pl,mnogie,yes
Golovnina_2022,"Тот спортсмен, кто поедет на олимпиаду, выиграет медаль.",4.988372093023256,5.0,good,filler,501.0,523,,,,
Golovnina_2022,"Те преступники, кто сбегут из тюрьмы, понесут наказание.",4.166666666666667,4.0,relative_clauses,stimul,23.0,182,yes,pl,-,no
Golovnina_2022,"Все, кто ответят на экзамене, получат пятерки.",5.857142857142857,6.0,relative_clauses,stimul,5.0,36,no,pl,vse,yes
Golovnina_2022,"Многие, кто побежит в эстафете, пропустят уроки.",5.222222222222222,5.0,relative_clauses,stimul,28.0,219,no,sg,mnogie,yes
Golovnina_2022,"Те, кто заплатят за подписку, продлят доступ.",5.444444444444445,5.0,relative_clauses,stimul,7.0,56,no,pl,-,no
Golovnina_2022,"Все фотографы, кто успеет к началу, снимут режиссера.",5.166666666666667,5.0,relative_clauses,stimul,29.0,225,yes,sg,vse,yes
Golovnina_2022,"Те пассажиры, кто полетит на самолете, прослушают инструктаж.",4.285714285714286,4.0,relative_clauses,stimul,21.0,165,yes,sg,-,no
Golovnina_2022,"Многие, кто застрянет в пробке, потеряют время.",4.428571428571429,4.0,relative_clauses,stimul,6.0,43,no,sg,mnogie,yes
Golovnina_2022,"Все, кто отступят от правил, покинут команду.",5.833333333333333,6.0,relative_clauses,stimul,25.0,196,no,pl,vse,yes
Golovnina_2022,"Многие, кто взойдут на трибуну, произнесут речь.",5.571428571428571,6.0,relative_clauses,stimul,26.0,204,no,pl,mnogie,yes
Golovnina_2022,"Те, кто устанут на экскурсии, проспят завтрак.",5.285714285714286,5.0,relative_clauses,stimul,22.0,176,no,pl,-,no
Golovnina_2022,"Те, кто уедут из деревни, продадут дома.",5.0,5.0,relative_clauses,stimul,30.0,240,no,pl,-,no
Golovnina_2022,"Те, кто отдохнут перед игрой, улучшат результаты.",5.375,5.0,relative_clauses,stimul,18.0,144,no,pl,-,no
Golovnina_2022,"Все студенты, кто ответят на экзамене, получат пятерки.",5.0,5.0,relative_clauses,stimul,5.0,34,yes,pl,vse,yes
Golovnina_2022,"Те, кто приплывут на корабле, пройдут проверку.",5.833333333333333,6.0,relative_clauses,stimul,17.0,136,no,pl,-,no
Golovnina_2022,"Многие бизнесмены, кто пострадают из-за кризиса, получат компенсацию.",4.428571428571429,4.0,relative_clauses,stimul,16.0,122,yes,pl,mnogie,yes
Golovnina_2022,"Те туристы, кто заболеет в дороге, примут лекарства.",3.764705882352941,4.0,relative_clauses,stimul,27.0,213,yes,sg,-,no
Golovnina_2022,"Те пациенты, кто переедет в санаторий, продолжат лечение.",4.066666666666666,4.0,relative_clauses,stimul,15.0,117,yes,sg,-,no
Golovnina_2022,"Те, кто зайдет в бухгалтерию, получат зарплату.",4.764705882352941,5.0,relative_clauses,stimul,1.0,7,no,sg,-,no
Golovnina_2022,"Те, кто приедет на фестиваль, исполнят песни.",4.857142857142857,5.0,relative_clauses,stimul,2.0,15,no,sg,-,no
Golovnina_2022,"Многие посетители, приходящие в больницу, принесет цветы.",2.4302325581395348,2.0,bad,filler,501.0,522,,,,
Golovnina_2022,"Те, кто приплывет на корабле, пройдут проверку.",4.294117647058823,4.0,relative_clauses,stimul,17.0,135,no,sg,-,no
Golovnina_2022,"Многие, кто побывает на открытии, заметят подмену.",3.888888888888889,4.0,relative_clauses,stimul,12.0,91,no,sg,mnogie,yes
Golovnina_2022,"Те репортеры, кто побывает на открытии, заметят подмену.",4.428571428571429,4.0,relative_clauses,stimul,12.0,93,yes,sg,-,no
Golovnina_2022,"Многие, кто побывают на открытии, заметят подмену.",4.75,5.0,relative_clauses,stimul,12.0,92,no,pl,mnogie,yes
Golovnina_2022,"Те пассажиры, кто полетят на самолете, прослушают инструктаж.",4.333333333333333,4.0,relative_clauses,stimul,21.0,166,yes,pl,-,no
Golovnina_2022,"Все, кто сбежит из тюрьмы, понесут наказание.",5.5,6.0,relative_clauses,stimul,23.0,179,no,sg,vse,yes
Golovnina_2022,"Те, кто уедет из деревни, продадут дома.",4.25,4.0,relative_clauses,stimul,30.0,239,no,sg,-,no
Golovnina_2022,"Все атлеты, кто добежит до финиша, получат медаль.",4.111111111111111,4.0,relative_clauses,stimul,9.0,65,yes,sg,vse,yes
Golovnina_2022,"Многие слушатели, которые побывают на лекции, зададут вопросы.",5.952941176470588,6.0,good,filler,501.0,515,,,,
Golovnina_2022,"Многие артисты, кто приедут на фестиваль, исполнят песни.",4.333333333333333,4.0,relative_clauses,stimul,2.0,10,yes,pl,mnogie,yes
Golovnina_2022,"Многие, кто выйдет на сцену, споют романсы.",4.9,5.0,relative_clauses,stimul,24.0,187,no,sg,mnogie,yes
Golovnina_2022,"Те исполнители, кто выйдет на сцену, споют романсы.",4.333333333333333,4.0,relative_clauses,stimul,24.0,189,yes,sg,-,no
Golovnina_2022,"Многие, кто прилетит из-за границы, привезут сувениры.",4.111111111111111,4.0,relative_clauses,stimul,8.0,59,no,sg,mnogie,yes
Golovnina_2022,"Те дети, кто устанут на экскурсии, проспят завтрак.",3.2,3.0,relative_clauses,stimul,22.0,174,yes,pl,-,no
Golovnina_2022,"Многие, кто застрянут в пробке, потеряют время.",5.222222222222222,5.0,relative_clauses,stimul,6.0,44,no,pl,mnogie,yes
Golovnina_2022,"Те, кто добегут до финиша, получат медаль.",6.0,6.0,relative_clauses,stimul,9.0,72,no,pl,-,no
Golovnina_2022,"Те, кто переедут в санаторий, продолжат лечение.",5.333333333333333,5.0,relative_clauses,stimul,15.0,120,no,pl,-,no
Golovnina_2022,"Многие, кто пойдет в поход, возьмут палатки. ",5.777777777777778,6.0,relative_clauses,stimul,20.0,155,no,sg,mnogie,yes
Golovnina_2022,"Многие актеры, кто выступят на вечере, прочтут стихи.",5.0,5.0,relative_clauses,stimul,4.0,26,yes,pl,mnogie,yes
Golovnina_2022,"Все сотрудники, приходящие на работу, покажет пропуск.",2.511627906976744,3.0,bad,filler,501.0,528,,,,
Golovnina_2022,"Те, кто пострадает из-за кризиса, получат компенсацию.",5.777777777777778,6.0,relative_clauses,stimul,16.0,127,no,sg,-,no
Golovnina_2022,"Те, кто выйдут на сцену, споют романсы.",5.117647058823529,5.0,relative_clauses,stimul,24.0,192,no,pl,-,no
Golovnina_2022,"Многие студенты, которые попадут на стажировку, пропустят учебу.",6.148148148148148,6.0,good,filler,501.0,527,,,,
Golovnina_2022,"Многие, кто приедет на фестиваль, исполнят песни.",5.571428571428571,6.0,relative_clauses,stimul,2.0,12,no,pl,mnogie,yes
Golovnina_2022,"Те артисты, кто приедут на фестиваль, исполнят песни.",4.1875,4.0,relative_clauses,stimul,2.0,14,yes,pl,-,no
Golovnina_2022,"Те, кто заплатит за подписку, продлят доступ.",4.428571428571429,4.0,relative_clauses,stimul,7.0,55,no,sg,-,no
Golovnina_2022,"Те нарушители,кто проникнет на территорию, оставят следы.",3.5294117647058822,4.0,relative_clauses,stimul,3.0,21,yes,sg,-,no
Golovnina_2022,"Те сотрудники, кто зайдет в бухгалтерию, получат зарплату.",5.0,5.0,relative_clauses,stimul,1.0,5,yes,sg,-,no
Golovnina_2022,"Все, кто приплывут на корабле, пройдут проверку.",5.833333333333333,6.0,relative_clauses,stimul,17.0,132,no,pl,vse,yes
Golovnina_2022,"Те пациенты, кто переедут в санаторий, продолжат лечение.",4.090909090909091,4.0,relative_clauses,stimul,15.0,118,yes,pl,-,no
Golovnina_2022,"Многие журналисты, кто попадет на премьеру, опубликуют репортаж.",3.9,4.0,relative_clauses,stimul,10.0,73,yes,sg,mnogie,yes
Golovnina_2022,"Те репортеры, кто побывают на открытии, заметят подмену.",3.888888888888889,4.0,relative_clauses,stimul,12.0,94,yes,pl,-,no
Golovnina_2022,"Все нарушители, кто проникнут на территорию, оставят следы.",4.363636363636363,4.0,relative_clauses,stimul,3.0,18,yes,pl,vse,yes
Golovnina_2022,"Все участники, кто отступят от правил, покинут команду.",3.7,4.0,relative_clauses,stimul,25.0,194,yes,pl,vse,yes
Golovnina_2022,"Все сотрудники, кто зайдут в бухгалтерию, получат зарплату.",3.7,4.0,relative_clauses,stimul,1.0,2,yes,pl,vse,yes
Golovnina_2022,"Многие, кто уедут из деревни, продадут дома.",4.444444444444445,4.0,relative_clauses,stimul,30.0,236,no,pl,mnogie,yes
Golovnina_2022,"Те, кто заплывет за буйки, заплатят  штраф.",6.0,6.0,relative_clauses,stimul,31.0,247,no,sg,-,no
Golovnina_2022,"Те бизнесмены, кто пострадают из-за кризиса, получат компенсацию.",5.142857142857143,5.0,relative_clauses,stimul,16.0,126,yes,pl,-,no
Golovnina_2022,"Все, кто заплывут за буйки, заплатят штраф.",4.8,5.0,relative_clauses,stimul,31.0,244,no,pl,vse,yes
Golovnina_2022,"Многие политики, кто взойдут на трибуну, произнесут речь.",4.142857142857143,4.0,relative_clauses,stimul,26.0,202,yes,pl,mnogie,yes
Golovnina_2022,"Тот пожарный, кто приедет на вызов, потушит огонь.",4.976470588235294,5.0,good,filler,501.0,531,,,,
Golovnina_2022,"Те спортсмены, кто отдохнут перед игрой, улучшат результаты.",3.941176470588236,4.0,relative_clauses,stimul,18.0,142,yes,pl,-,no
Golovnina_2022,"Все, кто вступят в профсоюз, получат привилегии.",5.857142857142857,6.0,relative_clauses,stimul,13.0,100,no,pl,vse,yes
Golovnina_2022,"Те, кто побывают на открытии, заметят подмену.",5.866666666666666,6.0,relative_clauses,stimul,12.0,96,no,pl,-,no
Golovnina_2022,"Те сотрудники, кто зайдут в бухгалтерию, получат зарплату.",5.111111111111111,5.0,relative_clauses,stimul,1.0,6,yes,pl,-,no
Golovnina_2022,"Многие, кто пострадают из-за кризиса, получат компенсацию.",5.533333333333333,6.0,relative_clauses,stimul,16.0,124,no,pl,mnogie,yes
Golovnina_2022,"Все работники, приходящие с опозданием, получат выговор.",5.743902439024391,6.0,good,filler,501.0,501,,,,
Golovnina_2022,"Тот исследователь, кто задумается о проблеме, проведет опрос.",5.107142857142857,5.0,good,filler,501.0,517,,,,
Golovnina_2022,"Многие, кто уедет из деревни, продадут дома.",4.285714285714286,4.0,relative_clauses,stimul,30.0,235,no,sg,mnogie,yes
Golovnina_2022,"Те писатели, кто попадут на съезд, выиграют гранты.",4.466666666666667,4.0,relative_clauses,stimul,14.0,110,yes,pl,-,no
Golovnina_2022,"Все астрономы, которые посмотрят на небо, заметит изменения.",2.6627906976744184,3.0,bad,filler,501.0,512,,,,
Golovnina_2022,"Те, кто последуют за гидом, увидят памятник.",5.411764705882353,5.0,relative_clauses,stimul,32.0,256,no,pl,-,no
Golovnina_2022,"Многие репортеры, кто побывает на открытии, заметят подмену.",4.818181818181818,5.0,relative_clauses,stimul,12.0,89,yes,sg,mnogie,yes
Golovnina_2022,"Те, кто проникнут на территорию, оставят следы.",5.1,5.0,relative_clauses,stimul,3.0,24,no,pl,-,no
Golovnina_2022,"Те, кто заплывут за буйки, заплатят  штраф.",6.444444444444445,6.0,relative_clauses,stimul,31.0,248,no,pl,-,no
Golovnina_2022,"Многие приятели, кто прилетят из-за границы, привезут сувениры.",4.222222222222222,4.0,relative_clauses,stimul,8.0,58,yes,pl,mnogie,yes
Golovnina_2022,"Все ученики, кто опоздает на урок, напишут объяснительные.",5.2,5.0,relative_clauses,stimul,19.0,145,yes,sg,vse,yes
Golovnina_2022,"Все, кто полетят на самолете, прослушают инструктаж.",5.428571428571429,5.0,relative_clauses,stimul,21.0,164,no,pl,vse,yes
Golovnina_2022,"Те атлеты, кто добежит до финиша, получат медаль.",4.428571428571429,4.0,relative_clauses,stimul,9.0,69,yes,sg,-,no
Golovnina_2022,"Те экскурсанты, кто последуют за гидом, увидят памятник.",6.714285714285714,7.0,relative_clauses,stimul,32.0,254,yes,pl,-,no
Golovnina_2022,"Те политики, кто взойдут на трибуну, произнесут речь.",4.176470588235294,4.0,relative_clauses,stimul,26.0,206,yes,pl,-,no
Golovnina_2022,"Те, кто выступит на вечере, прочтут стихи.",4.7,5.0,relative_clauses,stimul,4.0,31,no,sg,-,no
Golovnina_2022,"Все нарушители, кто проникнет на территорию, оставят следы.",3.5,4.0,relative_clauses,stimul,3.0,17,yes,sg,vse,yes
Golovnina_2022,"Тот руководитель, кто уедет из страны, покинет пост.",4.627906976744186,5.0,good,filler,501.0,529,,,,
Golovnina_2022,"Те, кто успеет к началу, снимут режиссера.",4.333333333333333,4.0,relative_clauses,stimul,29.0,231,no,sg,-,no
Golovnina_2022,"Все сотрудники, кто зайдет в бухгалтерию, получат зарплату.",5.0,5.0,relative_clauses,stimul,1.0,1,yes,sg,vse,yes
Golovnina_2022,"Те фотографы, кто успеют к началу, снимут режиссера.",3.8,4.0,relative_clauses,stimul,29.0,230,yes,pl,-,no
Golovnina_2022,"Все гости, которые придут на праздник, скажут тост.",5.552941176470588,6.0,good,filler,501.0,503,,,,
Golovnina_2022,"Многие, кто отдохнут перед игрой, улучшат результаты.",5.857142857142857,6.0,relative_clauses,stimul,18.0,140,no,pl,mnogie,yes
Golovnina_2022,"Все туристы, кто заболеет в дороге, примут лекарства.",4.333333333333333,4.0,relative_clauses,stimul,27.0,209,yes,sg,vse,yes
Golovnina_2022,"Те пользователи, кто заплатят за подписку, продлят доступ.",4.5,4.0,relative_clauses,stimul,7.0,54,yes,pl,-,no
Golovnina_2022,"Те иностранцы, кто приплывет на корабле, пройдут проверку.",5.285714285714286,5.0,relative_clauses,stimul,17.0,133,yes,sg,-,no
Golovnina_2022,"Те ученики, кто опоздают на урок, напишут объяснительные.",3.7142857142857135,4.0,relative_clauses,stimul,19.0,150,yes,pl,-,no
Golovnina_2022,"Те, кто опоздает на урок, напишут объяснительные.",5.875,6.0,relative_clauses,stimul,19.0,151,no,sg,-,no
Golovnina_2022,"Многие, кто приедут на фестиваль, исполнят песни.",5.25,5.0,relative_clauses,stimul,2.0,11,no,sg,mnogie,yes
Golovnina_2022,"Все, кто попадет в список, пройдут собеседование.",6.285714285714286,6.0,relative_clauses,stimul,11.0,83,no,sg,vse,yes
Golovnina_2022,"Многие, кто пострадает из-за кризиса, получат компенсацию.",5.3,5.0,relative_clauses,stimul,16.0,123,no,sg,mnogie,yes
Golovnina_2022,"Многие, кто пойдут в поход, возьмут палатки. ",5.1875,5.0,relative_clauses,stimul,20.0,156,no,pl,mnogie,yes
