experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,head_noun,agreement,quant,head_case,head_gender,condition
Dorofeeva_2023,"Каждый поэт, кто публиковался в спецвыпуске журнала, демонстрирует оригинальный стиль.",5.7,6.0,relative_clauses,stimul,29,317,with head noun,masculine verb,kazhdyj,nominative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая заводчица, кто пришла на выставку собак, держит померанского шпица.",2.0,2.0,relative_clauses,stimul,12,84,with head noun,feminine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждая поэтесса, кто публиковалась в спецвыпуске журнала, демонстрирует оригинальный стиль.",4.857142857142857,5.0,relative_clauses,stimul,29,101,with head noun,feminine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждый, кто участвовал в конференции института, изучает теоретическую физику.",5.857142857142857,6.0,relative_clauses,stimul,3,327,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждую ученицу, кто опоздал к началу урока, выгоняет сердитая учительница.",3.857142857142857,4.0,relative_clauses,stimul,30,174,with head noun,masculine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая, кто сыграл в картине режиссёра, получает золотую статуэтку.",4.285714285714286,4.0,relative_clauses,stimul,1,37,no head noun,masculine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждую россиянку, кто бывал в столице Китая, восхищает местная кухня.",2.857142857142857,3.0,relative_clauses,stimul,15,159,with head noun,masculine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждую журналистку, кто служил в редакции издания, удручает сложившаяся ситуация.",5.142857142857143,5.0,relative_clauses,stimul,16,160,with head noun,masculine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждого альпиниста, кто взошёл на пик Эвереста, уважают бывалые скалолазы.",6.571428571428571,7.0,relative_clauses,stimul,33,393,with head noun,masculine verb,kazhdyj,accusative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждого поэта, кто публиковался в спецвыпуске журнала, отличает оригинальный стиль.",5.444444444444445,5.0,relative_clauses,stimul,29,389,with head noun,masculine verb,kazhdyj,accusative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждую, кто исповедовался в присутствии настоятеля, мучает тяжкий грех.",5.875,6.0,relative_clauses,stimul,27,207,no head noun,masculine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая, кто поступила на должность бухгалтера, осваивает новую программу.",5.0,5.0,relative_clauses,stimul,7,115,no head noun,feminine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждую туристку, кто ночевал в общежитии университета, возмущает любое неудобство.",3.6666666666666665,4.0,relative_clauses,stimul,6,150,with head noun,masculine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая художница, кто заходила на аукцион антиквариата, носит необычный шарф.",4.461538461538462,4.0,relative_clauses,stimul,31,103,with head noun,feminine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждая, кто жил в центре города, ненавидит ночной шум.",3.0,3.0,relative_clauses,stimul,8,44,no head noun,masculine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая, кто приехал на шоу талантов, благодарит понимающего ведущего.",3.375,3.0,relative_clauses,stimul,10,46,no head noun,masculine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждый сотрудник, кто поступил на должность бухгалтера, осваивает новую программу.",5.0,5.0,relative_clauses,stimul,7,295,with head noun,masculine verb,kazhdyj,nominative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждую прихожанку, кто исповедовался в присутствии настоятеля, мучает тяжкий грех.",5.714285714285714,6.0,relative_clauses,stimul,27,171,with head noun,masculine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждый работник, кто трудился на производстве чугуна, получает большую пенсию.",5.285714285714286,5.0,relative_clauses,stimul,20,308,with head noun,masculine verb,kazhdyj,nominative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждого, кто преуспел в пошиве халатов, ожидает досрочное освобождение.",5.428571428571429,5.0,relative_clauses,stimul,23,419,no head noun,masculine verb,kazhdyj,accusative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая, кто прошла в финал конкурса, выигрывает гарантированный приз.",4.666666666666667,5.0,relative_clauses,stimul,2,110,no head noun,feminine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждая, кто бывала в столице Китая, любит местную кухню.",4.375,4.0,relative_clauses,stimul,15,123,no head noun,feminine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждый, кто дежурил на месте катастрофы, демонстрирует невероятную смелость.",5.25,5.0,relative_clauses,stimul,5,329,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая туристка, кто ночевал в общежитии университета, терпит любое неудобство.",2.25,2.0,relative_clauses,stimul,6,6,with head noun,masculine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая, кто явилась на собрание родителей, расспрашивает классного руководителя.",3.9,4.0,relative_clauses,stimul,34,142,no head noun,feminine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждую ученицу, кто опоздала к началу урока, выгоняет сердитая учительница.",4.857142857142857,5.0,relative_clauses,stimul,30,246,with head noun,feminine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждый, кто сыграл в картине режиссёра, получает золотую статуэтку.",5.285714285714286,5.0,relative_clauses,stimul,1,325,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая, кто взошла на пик Эвереста, уважает бывалых скалолазов.",5.714285714285714,6.0,relative_clauses,stimul,33,141,no head noun,feminine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждую учительницу, кто преподавала в классе коррекции, ценит школьное руководство.",4.0,4.0,relative_clauses,stimul,21,237,with head noun,feminine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждого, кто участвовал в конференции института, привлекает теоретическая физика.",4.375,4.0,relative_clauses,stimul,3,399,no head noun,masculine verb,kazhdyj,accusative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждый, кто пришёл на выставку собак, держит померанского шпица.",5.769230769230769,6.0,relative_clauses,stimul,12,336,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждого, кто приехал на шоу талантов, поддерживает понимающий ведущий.",5.615384615384615,6.0,relative_clauses,stimul,10,406,no head noun,masculine verb,kazhdyj,accusative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждую, кто пришла на выставку собак, сопровождает померанский шпиц.",3.2857142857142856,3.0,relative_clauses,stimul,12,264,no head noun,feminine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждый, кто позанимался в студии йоги, обретает душевное равновесие.",6.1,6.0,relative_clauses,stimul,4,328,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая женщина, кто позанимался в студии йоги, обретает душевное равновесие.",3.2857142857142856,3.0,relative_clauses,stimul,4,4,with head noun,masculine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждого актёра, кто сыграл в картине режиссёра, награждает Американская киноакадемия.",4.625,5.0,relative_clauses,stimul,1,361,with head noun,masculine verb,kazhdyj,accusative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждую, кто пришёл на выставку собак, сопровождает померанский шпиц.",4.111111111111111,4.0,relative_clauses,stimul,12,192,no head noun,masculine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая заводчица, кто пришёл на выставку собак, держит померанского шпица.",2.5,2.0,relative_clauses,stimul,12,12,with head noun,masculine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждую, кто явился на собрание родителей, расспрашивает классный руководитель.",4.666666666666667,5.0,relative_clauses,stimul,34,214,no head noun,masculine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждую, кто бывал в столице Китая, восхищает местная кухня.",5.5,6.0,relative_clauses,stimul,15,195,no head noun,masculine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая сотрудница, кто поступила на должность бухгалтера, осваивает новую программу.",3.692307692307693,4.0,relative_clauses,stimul,7,79,with head noun,feminine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждого, кто жил в центре города, раздражает ночной шум.",7.0,7.0,relative_clauses,stimul,8,404,no head noun,masculine verb,kazhdyj,accusative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждый заводчик, кто пришёл на выставку собак, держит померанского шпица.",3.625,4.0,relative_clauses,stimul,12,300,with head noun,masculine verb,kazhdyj,nominative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждую туристку, кто ночевала в общежитии университета, возмущает любое неудобство.",3.4285714285714284,3.0,relative_clauses,stimul,6,222,with head noun,feminine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждый мужчина, кто позанимался в студии йоги, обретает душевное равновесие.",4.428571428571429,4.0,relative_clauses,stimul,4,292,with head noun,masculine verb,kazhdyj,nominative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая мать, кто явилась на собрание родителей, расспрашивает классного руководителя.",4.142857142857143,4.0,relative_clauses,stimul,34,106,with head noun,feminine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждый пациент, кто лежал в отделении кардиологии, соблюдает врачебные предписания.",5.5,6.0,relative_clauses,stimul,24,312,with head noun,masculine verb,kazhdyj,nominative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждую, кто участвовала в конференции института, привлекает теоретическая физика.",3.333333333333333,3.0,relative_clauses,stimul,3,255,no head noun,feminine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждого аспиранта, кто сходил на семинар профессора, смущает изложенная теория.",5.166666666666667,5.0,relative_clauses,stimul,26,386,with head noun,masculine verb,kazhdyj,accusative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая преступница, кто воровала в магазине продуктов, отрицает совершённое преступление.",4.142857142857143,4.0,relative_clauses,stimul,14,86,with head noun,feminine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждый, кто отобрался в сборную страны, выбирает опытного тренера.",5.375,5.0,relative_clauses,stimul,11,335,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая, кто служила в редакции издания, комментирует сложившуюся ситуацию.",5.25,5.0,relative_clauses,stimul,16,124,no head noun,feminine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждая, кто прокатился на спине гиппопотама, хочет игрушечного бегемота.",4.25,4.0,relative_clauses,stimul,32,68,no head noun,masculine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждый медбрат, кто дежурил на месте катастрофы, демонстрирует невероятную смелость.",4.8,5.0,relative_clauses,stimul,5,293,with head noun,masculine verb,kazhdyj,nominative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждую, кто готовила на кухне детсада, хвалит проголодавшийся воспитатель.",3.125,3.0,relative_clauses,stimul,13,265,no head noun,feminine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждый секретарь, кто уволился из отдела кадров, ругает жестокого начальника.",4.857142857142857,5.0,relative_clauses,stimul,35,323,with head noun,masculine verb,kazhdyj,nominative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждую художницу, кто заходил на аукцион антиквариата, украшает необычный шарф.",3.625,4.0,relative_clauses,stimul,31,175,with head noun,masculine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая магистрантка, кто отучилась на факультете политики, помнит молодого преподавателя.",4.0,4.0,relative_clauses,stimul,9,81,with head noun,feminine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждую школьницу, кто был на уроке труда, радует приготовленный суп.",4.75,5.0,relative_clauses,stimul,22,166,with head noun,masculine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая продавщица, кто подрабатывала в отделе игрушек, распознаёт китайскую подделку.",4.0,4.0,relative_clauses,stimul,36,108,with head noun,feminine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждый, кто сходил на семинар профессора, критикует изложенную теорию.",6.0,6.0,relative_clauses,stimul,26,350,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая, кто пришла на вечер танцев, сопровождает изящного кавалера.",4.0,4.0,relative_clauses,stimul,25,133,no head noun,feminine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждую спортсменку, кто отобралась в сборную страны, готовит опытный тренер.",4.125,4.0,relative_clauses,stimul,11,227,with head noun,feminine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждую, кто служил в редакции издания, удручает сложившаяся ситуация.",3.615384615384616,4.0,relative_clauses,stimul,16,196,no head noun,masculine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая спортсменка, кто отобралась в сборную страны, выбирает опытного тренера.",3.6,4.0,relative_clauses,stimul,11,83,with head noun,feminine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждого прихожанина, кто исповедовался в присутствии настоятеля, мучает тяжкий грех.",5.888888888888889,6.0,relative_clauses,stimul,27,387,with head noun,masculine verb,kazhdyj,accusative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждый, кто преуспел в пошиве халатов, ожидает досрочное освобождение.",3.875,4.0,relative_clauses,stimul,23,347,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждый заключённый, кто преуспел в пошиве халатов, ожидает досрочное освобождения.",2.4285714285714284,2.0,relative_clauses,stimul,23,311,with head noun,masculine verb,kazhdyj,nominative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая журналистка, кто служила в редакции издания, комментирует сложившуюся ситуацию.",3.857142857142857,4.0,relative_clauses,stimul,16,88,with head noun,feminine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждая участница, кто прошёл в финал конкурса, выигрывает гарантированный приз.",3.5,4.0,relative_clauses,stimul,2,2,with head noun,masculine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждого секретаря, кто уволился из отдела кадров, бранит жестокий начальник.",5.384615384615385,5.0,relative_clauses,stimul,35,395,with head noun,masculine verb,kazhdyj,accusative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая, кто готовил на кухне детсада, делает изумительную кашу.",2.875,3.0,relative_clauses,stimul,13,49,no head noun,masculine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая пациентка, кто лежал в отделении кардиологии, соблюдает врачебные предписания.",5.333333333333333,5.0,relative_clauses,stimul,24,24,with head noun,masculine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая, кто воровал в магазине продуктов, отрицает совершённое преступление.",2.4444444444444446,2.0,relative_clauses,stimul,14,50,no head noun,masculine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждую, кто дежурила на месте катастрофы, выделяет невероятная смелость.",3.7142857142857135,4.0,relative_clauses,stimul,5,257,no head noun,feminine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждую москвичку, кто жила в центре города, раздражает ночной шум.",2.5,2.0,relative_clauses,stimul,8,224,with head noun,feminine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждого, кто взошёл на пик Эвереста, уважают бывалые скалолазы.",6.5,6.0,relative_clauses,stimul,33,429,no head noun,masculine verb,kazhdyj,accusative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждый, кто поступил на должность бухгалтера, осваивает новую программу.",6.428571428571429,6.0,relative_clauses,stimul,7,331,no head noun,masculine verb,kazhdyj,nominative,masculine head,"no head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая, кто заходил на аукцион антиквариата, носит необычный шарф.",4.125,4.0,relative_clauses,stimul,31,67,no head noun,masculine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждую секретаршу, кто уволился из отдела кадров, бранит жестокий начальник.",3.6666666666666665,4.0,relative_clauses,stimul,35,179,with head noun,masculine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждую, кто публиковалась в спецвыпуске журнала, отличает оригинальный стиль.",5.428571428571429,5.0,relative_clauses,stimul,29,281,no head noun,feminine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждую, кто жил в центре города, раздражает ночной шум.",4.1,4.0,relative_clauses,stimul,8,188,no head noun,masculine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждую, кто был на уроке труда, радует приготовленный суп.",4.0,4.0,relative_clauses,stimul,22,202,no head noun,masculine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждую девушку, кто пострадал от чистки лица, беспокоит новый косметолог.",4.333333333333333,4.0,relative_clauses,stimul,18,162,with head noun,masculine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая, кто осталась в поселении старообрядцев, ведёт собственное хозяйство.",5.0,5.0,relative_clauses,stimul,28,136,no head noun,feminine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждую актрису, кто сыграл в картине режиссёра, награждает Американская киноакадемия.",3.6666666666666665,4.0,relative_clauses,stimul,1,145,with head noun,masculine verb,kazhdyj,accusative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждого пользователя, кто зарегистрировался на сайте знакомств, устраивает подобранный партнёр.",5.666666666666667,6.0,relative_clauses,stimul,19,379,with head noun,masculine verb,kazhdyj,accusative,masculine head,"with head noun, masculine head, masculine verb"
Dorofeeva_2023,"Каждая аспирантка, кто сходила на семинар профессора, критикует изложенную теорию.",4.428571428571429,4.0,relative_clauses,stimul,26,98,with head noun,feminine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, feminine verb"
Dorofeeva_2023,"Каждая, кто поступил на должность бухгалтера, осваивает новую программу.",4.25,4.0,relative_clauses,stimul,7,43,no head noun,masculine verb,kazhdyj,nominative,feminine head,"no head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая продавщица, кто подрабатывал в отделе игрушек, распознаёт китайскую подделку.",5.142857142857143,5.0,relative_clauses,stimul,36,36,with head noun,masculine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждая журналистка, кто служил в редакции издания, комментирует сложившуюся ситуацию.",3.571428571428572,4.0,relative_clauses,stimul,16,16,with head noun,masculine verb,kazhdyj,nominative,feminine head,"with head noun, feminine head, masculine verb"
Dorofeeva_2023,"Каждую, кто опоздал к началу урока, выгоняет сердитая учительница.",4.5,4.0,relative_clauses,stimul,30,210,no head noun,masculine verb,kazhdyj,accusative,feminine head,"no head noun, feminine head, masculine verb"
