author,sentence,response,response_round,subtype,type,lexicalization,condition,head_noun,head_gender,agreement
Dorofeeva_2023,"Каждая учительница, кто преподавал в классе коррекции, имеет медицинское образование.",4.461538461538462,4.0,relative_clauses,stimul,21,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую танцовщицу, о ком повествовал уволенный костюмер, знает всему город.",1.98,2.0,bad,filler,37,bad,,,
Dorofeeva_2023,"Каждую, кто участвовала в конференции института, привлекает теоретическая физика.",3.333333333333333,3.0,relative_clauses,stimul,3,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая поэтесса, кто публиковалась в спецвыпуске журнала, демонстрирует оригинальный стиль.",4.857142857142857,5.0,relative_clauses,stimul,29,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая, кто подрабатывала в отделе игрушек, распознаёт китайскую подделку.",4.875,5.0,relative_clauses,stimul,36,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждую актрису, кто сыграл в картине режиссёра, награждает Американская киноакадемия.",3.6666666666666665,4.0,relative_clauses,stimul,1,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждого, кто прокатился на спине гиппопотама, привлекает игрушечный бегемот.",6.571428571428571,7.0,relative_clauses,stimul,32,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая, кто воровал в магазине продуктов, отрицает совершённое преступление.",2.4444444444444446,2.0,relative_clauses,stimul,14,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждая заключённая, кто преуспела в пошиве халатов, ожидает досрочное освобождение.",3.1,3.0,relative_clauses,stimul,23,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждый, кто явился на собрание родителей, расспрашивает классного руководителя.",6.142857142857143,6.0,relative_clauses,stimul,34,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая, кто поступила на должность бухгалтера, осваивает новую программу.",5.0,5.0,relative_clauses,stimul,7,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждого москвича, кто жил в центре города, раздражает ночной шум.",5.0,5.0,relative_clauses,stimul,8,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждую, благодаря кому получилось великолепное платье, хвалит ведущий дизайнер.",4.3125,4.0,good,filler,37,good,,,
Dorofeeva_2023,"Каждую магистрантку, кто отучилась на факультете политики, помнит молодой преподаватель.",4.111111111111111,4.0,relative_clauses,stimul,9,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждого отца, кто явился на собрание родителей, расспрашивает классный руководитель.",4.875,5.0,relative_clauses,stimul,34,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая повариха, кто готовил на кухне детсада, делает изумительную кашу.",3.555555555555556,4.0,relative_clauses,stimul,13,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую преступницу, кто воровала в магазине продуктов, допрашивает старший следователь.",3.625,4.0,relative_clauses,stimul,14,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждый, кто заходил на аукцион антиквариата, носит необычный шарф.",5.5,6.0,relative_clauses,stimul,31,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая повариха, кто готовила на кухне детсада, делает изумительную кашу.",3.888888888888889,4.0,relative_clauses,stimul,13,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждый, кто пострадал от чистки лица, проклинает нового косметолога.",6.0,6.0,relative_clauses,stimul,18,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая продавщица, кто подрабатывал в отделе игрушек, распознаёт китайскую подделку.",5.142857142857143,5.0,relative_clauses,stimul,36,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждая преступница, кто воровал в магазине продуктов, отрицает совершённое преступление.",2.0,2.0,relative_clauses,stimul,14,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждый мужчина, кто позанимался в студии йоги, обретает душевное равновесие.",4.428571428571429,4.0,relative_clauses,stimul,4,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждую спортсменку, кто отобралась в сборную страны, готовит опытный тренер.",4.125,4.0,relative_clauses,stimul,11,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждую участницу, кто прошла в финал конкурса, ждёт гарантированный приз.",4.375,4.0,relative_clauses,stimul,2,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждую школьницу, кто была на уроке труда, радует приготовленный суп.",4.428571428571429,4.0,relative_clauses,stimul,22,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждый, кто готовил на кухне детсада, делает изумительную кашу.",4.8,5.0,relative_clauses,stimul,13,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждого, кто был на уроке труда, радует приготовленный суп.",6.615384615384615,7.0,relative_clauses,stimul,22,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждый россиянин, кто бывал в столице Китая, любит местную кухню.",4.5,4.0,relative_clauses,stimul,15,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждую сотрудницу, кто поступила на должность бухгалтера, выручает новая программа.",4.0,4.0,relative_clauses,stimul,7,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждую девушку, кто пострадала от чистки лица, беспокоит новый косметолог.",3.2857142857142856,3.0,relative_clauses,stimul,18,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая, кто служила в редакции издания, комментирует сложившуюся ситуацию.",5.25,5.0,relative_clauses,stimul,16,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждый, в кого была влюблена юная актриса, играет главную роль.",4.96,5.0,bad,filler,37,bad,,,
Dorofeeva_2023,"Каждого актёра, кто сыграл в картине режиссёра, награждает Американская киноакадемия.",4.625,5.0,relative_clauses,stimul,1,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждого, кто опоздал к началу урока, выгоняет сердитая учительница.",5.888888888888889,6.0,relative_clauses,stimul,30,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждого путешественника, кто прибыл на берег океана, охватывает незабываемое ощущение.",5.111111111111111,5.0,relative_clauses,stimul,17,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждый аспирант, кто сходил на семинар профессора, критикует изложенную теорию.",4.857142857142857,5.0,relative_clauses,stimul,26,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждого зрителя, на ком остановился знаменитом гипнотизёр, охватывает странное чувство.",2.673469387755102,3.0,bad,filler,37,bad,,,
Dorofeeva_2023,"Каждую, кто приехала на шоу талантов, поддерживает понимающий ведущий.",4.555555555555555,5.0,relative_clauses,stimul,10,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждую, кто готовила на кухне детсада, хвалит проголодавшийся воспитатель.",3.125,3.0,relative_clauses,stimul,13,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждую мать, кто явилась на собрание родителей, расспрашивает классный руководитель.",3.4285714285714284,3.0,relative_clauses,stimul,34,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждый, кто прокатился на спине гиппопотама, хочет игрушечного бегемота.",6.444444444444445,6.0,relative_clauses,stimul,32,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждый президент, при ком проводились масштабные реформы, внушает большого доверие.",3.204081632653061,3.0,bad,filler,37,bad,,,
Dorofeeva_2023,"Каждая магистрантка, кто отучился на факультете политики, помнит молодого преподавателя.",3.4166666666666665,3.0,relative_clauses,stimul,9,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую медсестру, кто дежурил на месте катастрофы, выделяет невероятная смелость.",4.076923076923077,4.0,relative_clauses,stimul,5,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждый, о ком вспомнил старый командир, выручает больного товарища.",4.806122448979592,5.0,good,filler,37,good,,,
Dorofeeva_2023,"Каждого заводчика, кто пришёл на выставку собак, сопровождает померанский шпиц.",3.7142857142857135,4.0,relative_clauses,stimul,12,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждую студентку, кто участвовал в конференции института, привлекает теоретическая физика.",4.0,4.0,relative_clauses,stimul,3,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждая секретарша, кто уволилась из отдела кадров, ругает жестокого начальника.",4.3,4.0,relative_clauses,stimul,35,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая девочка, кто прокатился на спине гиппопотама, хочет игрушечного бегемота.",5.5,6.0,relative_clauses,stimul,32,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждая, кто дежурил на месте катастрофы, демонстрирует невероятную смелость.",3.625,4.0,relative_clauses,stimul,5,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую старушку, кто осталась в поселении старообрядцев, кормит собственное хозяйство.",3.0,3.0,relative_clauses,stimul,28,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждую учительницу, кто преподавала в классе коррекции, ценит школьное руководство.",4.0,4.0,relative_clauses,stimul,21,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждую спортсменку, кто отобрался в сборную страны, готовит опытный тренер.",3.2222222222222223,3.0,relative_clauses,stimul,11,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую девочку, кто прокатился на спине гиппопотама, привлекает игрушечный бегемот.",5.571428571428571,6.0,relative_clauses,stimul,32,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждая, кто лежал в отделении кардиологии, соблюдает врачебные предписания.",3.9,4.0,relative_clauses,stimul,24,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждая, кто отобрался в сборную страны, выбирает опытного тренера.",3.2857142857142856,3.0,relative_clauses,stimul,11,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую, кто сходила на семинар профессора, смущает изложенная теория.",4.384615384615385,4.0,relative_clauses,stimul,26,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждого пациента, кто лежал в отделении кардиологии, ограничивают врачебные предписания.",5.285714285714286,5.0,relative_clauses,stimul,24,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая, кто позанимался в студии йоги, обретает душевное равновесие.",3.888888888888889,4.0,relative_clauses,stimul,4,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждая путешественница, кто прибыла на берег океана, испытывает незабываемое ощущение.",2.4285714285714284,2.0,relative_clauses,stimul,17,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая девушка, кто пострадала от чистки лица, проклинает нового косметолога.",4.25,4.0,relative_clauses,stimul,18,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая, кто взошёл на пик Эвереста, уважает бывалых скалолазов.",3.0,3.0,relative_clauses,stimul,33,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждая, кто жил в центре города, ненавидит ночной шум.",3.0,3.0,relative_clauses,stimul,8,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую пострадавшую, в кого врезался пьяный водитель, осматривает молодому травматолог.",1.87,2.0,bad,filler,37,bad,,,
Dorofeeva_2023,"Каждую, кто прошла в финал конкурса, ждёт гарантированный приз.",4.846153846153846,5.0,relative_clauses,stimul,2,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая, кто отучилась на факультете политики, помнит молодого преподавателя.",4.857142857142857,5.0,relative_clauses,stimul,9,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждого учителя, кто преподавал в классе коррекции, ценит школьное руководство.",5.142857142857143,5.0,relative_clauses,stimul,21,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая медсестра, кто дежурил на месте катастрофы, демонстрирует невероятную смелость.",4.111111111111111,4.0,relative_clauses,stimul,5,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую мать, кто явился на собрание родителей, расспрашивает классный руководитель.",4.0,4.0,relative_clauses,stimul,34,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждый художник, кто заходил на аукцион антиквариата, носит необычный шарф.",5.111111111111111,5.0,relative_clauses,stimul,31,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждый, кто ночевал в общежитии университета, терпит любое неудобство.",4.888888888888889,5.0,relative_clauses,stimul,6,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждого, кто служил в редакции издания, удручает сложившаяся ситуация.",6.111111111111111,6.0,relative_clauses,stimul,16,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждый работник, кто трудился на производстве чугуна, получает большую пенсию.",5.285714285714286,5.0,relative_clauses,stimul,20,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждую мать, навстречу кому бежал радостном ребёнок, запечатлевает профессиональный фотограф.",2.2857142857142856,2.0,bad,filler,37,bad,,,
Dorofeeva_2023,"Каждая москвичка, кто жил в центре города, ненавидит ночной шум.",4.428571428571429,4.0,relative_clauses,stimul,8,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждого, кто пришёл на вечер танцев, сопровождает изящная дама.",6.571428571428571,7.0,relative_clauses,stimul,25,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждого, кто заходил на аукцион антиквариата, украшает необычный шарф.",5.75,6.0,relative_clauses,stimul,31,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждого, кто участвовал в конференции института, привлекает теоретическая физика.",4.375,4.0,relative_clauses,stimul,3,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждого, кто отобрался в сборную страны, готовит опытный тренер.",4.5,4.0,relative_clauses,stimul,11,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая, при ком происходило ужасного событие, изложила пережитые ощущения.",3.7777777777777777,4.0,bad,filler,37,bad,,,
Dorofeeva_2023,"Каждая секретарша, кто уволился из отдела кадров, ругает жестокого начальника.",4.75,5.0,relative_clauses,stimul,35,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждого россиянина, кто бывал в столице Китая, восхищает местная кухня.",5.8,6.0,relative_clauses,stimul,15,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая актриса, кто сыграл в картине режиссёра, получает золотую статуэтку.",3.0,3.0,relative_clauses,stimul,1,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую, кто явился на собрание родителей, расспрашивает классный руководитель.",4.666666666666667,5.0,relative_clauses,stimul,34,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую москвичку, кто жил в центре города, раздражает ночной шум.",4.0,4.0,relative_clauses,stimul,8,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую школьницу, кто был на уроке труда, радует приготовленный суп.",4.75,5.0,relative_clauses,stimul,22,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждый, кто участвовал в конференции института, изучает теоретическую физику.",5.857142857142857,6.0,relative_clauses,stimul,3,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждую художницу, кто заходил на аукцион антиквариата, украшает необычный шарф.",3.625,4.0,relative_clauses,stimul,31,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждого, кто уволился из отдела кадров, бранит жестокий начальник.",5.0,5.0,relative_clauses,stimul,35,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая, кто пострадала от чистки лица, проклинает нового косметолога.",4.538461538461538,5.0,relative_clauses,stimul,18,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждого, кто публиковался в спецвыпуске журнала, отличает оригинальный стиль.",6.0,6.0,relative_clauses,stimul,29,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждый, на кого легла большая ответственность, теряет спокойный сон.",6.03,6.0,good,filler,37,good,,,
Dorofeeva_2023,"Каждый, кто преуспел в пошиве халатов, ожидает досрочное освобождение.",3.875,4.0,relative_clauses,stimul,23,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая, кто трудилась на производстве чугуна, получает большую пенсию.",5.625,6.0,relative_clauses,stimul,20,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая работница, кто трудилась на производстве чугуна, получает большую пенсию.",3.7142857142857135,4.0,relative_clauses,stimul,20,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждую медсестру, кто дежурила на месте катастрофы, выделяет невероятная смелость.",3.5,4.0,relative_clauses,stimul,5,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая студентка, кто участвовал в конференции института, изучает теоретическую физику.",2.333333333333333,2.0,relative_clauses,stimul,3,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждый журналист, кто служил в редакции издания, комментирует сложившуюся ситуацию.",6.142857142857143,6.0,relative_clauses,stimul,16,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждого мужчину, кто позанимался в студии йоги, отличает душевное равновесие.",4.375,4.0,relative_clauses,stimul,4,"with head noun, masculine head, masculine verb",with head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждого, кто взошёл на пик Эвереста, уважают бывалые скалолазы.",6.5,6.0,relative_clauses,stimul,33,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждую, кто сходил на семинар профессора, смущает изложенная теория.",5.571428571428571,6.0,relative_clauses,stimul,26,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую заключённую, кто преуспела в пошиве халатов, ожидает досрочное освобождение.",4.875,5.0,relative_clauses,stimul,23,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждого, кто трудился на производстве чугуна, ждёт большая пенсия.",7.0,7.0,relative_clauses,stimul,20,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая, кто поступил на должность бухгалтера, осваивает новую программу.",4.25,4.0,relative_clauses,stimul,7,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждую прихожанку, кто исповедовался в присутствии настоятеля, мучает тяжкий грех.",5.714285714285714,6.0,relative_clauses,stimul,27,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждая, кто зарегистрировался на сайте знакомств, ищет подходящего партнёра.",5.875,6.0,relative_clauses,stimul,19,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждая, на ком остановился штатный рекрутер, имеет блестящее портфолио.",5.34,5.0,good,filler,37,good,,,
Dorofeeva_2023,"Каждую участницу, кто прошёл в финал конкурса, ждёт гарантированный приз.",5.0,5.0,relative_clauses,stimul,2,"with head noun, feminine head, masculine verb",with head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждый, кто подрабатывал в отделе игрушек, распознаёт китайскую подделку.",5.769230769230769,6.0,relative_clauses,stimul,36,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждую, кто опоздала к началу урока, выгоняет сердитая учительница.",3.5,4.0,relative_clauses,stimul,30,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждую, кто пришла на выставку собак, сопровождает померанский шпиц.",3.2857142857142856,3.0,relative_clauses,stimul,12,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждую, кто был на уроке труда, радует приготовленный суп.",4.0,4.0,relative_clauses,stimul,22,"no head noun, feminine head, masculine verb",no head noun,feminine head,masculine verb
Dorofeeva_2023,"Каждого, кто исповедовался в присутствии настоятеля, мучает тяжкий грех.",5.428571428571429,5.0,relative_clauses,stimul,27,"no head noun, masculine head, masculine verb",no head noun,masculine head,masculine verb
Dorofeeva_2023,"Каждая пациентка, кто лежала в отделении кардиологии, соблюдает врачебные предписания.",3.125,3.0,relative_clauses,stimul,24,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждая заводчица, кто пришла на выставку собак, держит померанского шпица.",2.0,2.0,relative_clauses,stimul,12,"with head noun, feminine head, feminine verb",with head noun,feminine head,feminine verb
Dorofeeva_2023,"Каждую, кто уволилась из отдела кадров, бранит жестокий начальник.",2.875,3.0,relative_clauses,stimul,35,"no head noun, feminine head, feminine verb",no head noun,feminine head,feminine verb
