experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,quant,strategy,pronoun,agreement,order
Belova_2023,С заменой лампочек справится они шестеро.,1.7777777777777777,2.0,quantiifier,stimul,11.0,170,dvoje,nom,oni,3sg,VS
Belova_2023,Они шестеро поступят в столичные вузы.,5.1,5.0,quantiifier,stimul,17.0,265,dvoje,nom,oni,3pl,SV
Belova_2023,В социальных опросах поучаствуют семеро из нас.,5.888888888888889,6.0,quantiifier,stimul,48.0,754,dvoje,elect,my,3pl,VS
Belova_2023,Они четверо сядет за первые парты.,1.5,2.0,quantiifier,stimul,39.0,618,dvoje,nom,oni,3sg,SV
Belova_2023,Все из них рассчитаются с кредитными долгами.,4.4,4.0,quantiifier,stimul,23.0,365,vse,elect,oni,3pl,SV
Belova_2023,Все из нас рассчитаются с кредитными долгами.,5.2,5.0,quantiifier,stimul,23.0,364,vse,elect,my,3pl,SV
Belova_2023,В учебных кабинетах подметёт шестеро из нас.,4.555555555555555,5.0,quantiifier,stimul,41.0,643,dvoje,elect,my,3sg,VS
Belova_2023,В старых кладовках приберёмся мы шестеро.,4.25,4.0,quantiifier,stimul,47.0,742,dvoje,nom,my,1pl,VS
Belova_2023,Мы двое отчитается за выполненные задачи.,3.333333333333333,3.0,quantiifier,stimul,43.0,680,dvoje,nom,my,3sg,SV
Belova_2023,Они шестеро приберётся в старых кладовках.,2.8,3.0,quantiifier,stimul,47.0,746,dvoje,nom,oni,3sg,SV
Belova_2023,Они семеро объявят о скорых отставках.,2.8181818181818183,3.0,quantiifier,stimul,36.0,569,dvoje,nom,oni,3pl,SV
Belova_2023,В столичные вузы поступят все из них.,4.444444444444445,4.0,quantiifier,stimul,17.0,269,vse,elect,oni,3pl,VS
Belova_2023,За выполненные задачи отчитаются они все.,4.666666666666667,5.0,quantiifier,stimul,43.0,688,vse,oni,nom,3pl,VS
Belova_2023,Все из нас отметимся на проходной завода.,2.2,2.0,quantiifier,stimul,38.0,603,vse,elect,my,1pl,SV
Belova_2023,С поставщиками продуктов созвонятся пятеро из них.,5.333333333333333,5.0,quantiifier,stimul,10.0,148,dvoje,elect,oni,3pl,VS
Belova_2023,Двое из нас победит на конкурсе чтецов.,1.6666666666666667,2.0,quantiifier,stimul,37.0,579,dvoje,elect,my,3sg,SV
Belova_2023,Они четверо извинится за допущенные ошибки.,2.0,2.0,quantiifier,stimul,45.0,714,dvoje,nom,oni,3sg,SV
Belova_2023,За новые проекты возьмутся они все.,4.555555555555555,5.0,quantiifier,stimul,42.0,672,vse,oni,nom,3pl,VS
Belova_2023,Пятеро из нас прикрепится к новым поликлиникам.,4.5,4.0,quantiifier,stimul,40.0,627,dvoje,elect,my,3sg,SV
Belova_2023,Все из нас переедут в соседние страны.,3.625,4.0,quantiifier,stimul,32.0,508,vse,elect,my,3pl,SV
Belova_2023,За первые парты сядет мы четверо.,1.625,2.0,quantiifier,stimul,39.0,616,dvoje,nom,my,3sg,VS
Belova_2023,Все из них придут на пятничную вечеринку.,3.6,4.0,quantiifier,stimul,1.0,13,vse,elect,oni,3pl,SV
Belova_2023,Мы трое вложатся в перспективные акции.,1.6666666666666667,2.0,quantiifier,stimul,44.0,695,dvoje,nom,my,3pl,SV
Belova_2023,Мы трое переедет в соседние страны.,2.0,2.0,quantiifier,stimul,32.0,504,dvoje,nom,my,3sg,SV
Belova_2023,В гостиничные номера вернутся все из нас.,4.333333333333333,4.0,quantiifier,stimul,15.0,236,vse,elect,my,3pl,VS
Belova_2023,В старых кладовках приберутся шестеро из них.,5.222222222222222,5.0,quantiifier,stimul,47.0,740,dvoje,elect,oni,3pl,VS
Belova_2023,За новые проекты возьмутся все из них.,4.555555555555555,5.0,quantiifier,stimul,42.0,669,vse,elect,oni,3pl,VS
Belova_2023,Все из нас познакомимся с артистами спектакля.,2.375,2.0,quantiifier,stimul,33.0,523,vse,elect,my,1pl,SV
Belova_2023,С нынешних позиций уволится семеро из них.,4.222222222222222,4.0,quantiifier,stimul,18.0,277,dvoje,elect,oni,3sg,VS
Belova_2023,Они двое свяжутся со свадебными фотографами.,4.666666666666667,5.0,quantiifier,stimul,25.0,393,dvoje,nom,oni,3pl,SV
Belova_2023,В учебных кабинетах подметёт они шестеро.,1.4444444444444444,1.0,quantiifier,stimul,41.0,650,dvoje,nom,oni,3sg,VS
Belova_2023,К поисковым отрядам присоединится пятеро из них.,4.0,4.0,quantiifier,stimul,28.0,437,dvoje,elect,oni,3sg,VS
Belova_2023,В соседние страны переедут они трое.,3.0,3.0,quantiifier,stimul,32.0,505,dvoje,nom,oni,3pl,VS
Belova_2023,В крещенской проруби искупаемся пятеро из нас.,2.6666666666666665,3.0,quantiifier,stimul,4.0,49,dvoje,elect,my,1pl,VS
Belova_2023,К поисковым отрядам присоединимся пятеро из нас.,2.4444444444444446,2.0,quantiifier,stimul,28.0,433,dvoje,elect,my,1pl,VS
Belova_2023,Мы все переночуют в больших палатках.,1.6666666666666667,2.0,quantiifier,stimul,19.0,303,vse,nom,my,3pl,SV
Belova_2023,Мы все женимся в течение месяца.,6.25,6.0,quantiifier,stimul,16.0,254,vse,nom,my,1pl,SV
Belova_2023,Все из их переночуют в больших палатках.,1.625,2.0,quantiifier,stimul,19.0,301,vse,elect,oni,3pl,SV
Belova_2023,Шестеро из нас справится с заменой лампочек.,5.5,6.0,quantiifier,stimul,11.0,163,dvoje,elect,my,3sg,SV
Belova_2023,С кредитными долгами рассчитаются все из нас.,3.4444444444444446,3.0,quantiifier,stimul,23.0,364,vse,elect,my,3pl,VS
Belova_2023,Вы с Костей построите крепость из снегом.,2.9071729957805905,3.0,bad,filler,,797,,,,,
Belova_2023,Мы пятеро побеседует с очевидцами аварии.,2.1,2.0,quantiifier,stimul,34.0,536,dvoje,nom,my,3sg,SV
Belova_2023,Двое из нас сыграют на акустической гитаре.,6.0,6.0,quantiifier,stimul,13.0,194,dvoje,elect,my,3pl,SV
Belova_2023,Все из нас разберёмся со сломанными телефонами.,2.25,2.0,quantiifier,stimul,9.0,139,vse,elect,my,1pl,SV
Belova_2023,В лесных озёрах порыбачит двое из нас.,4.388888888888889,4.0,quantiifier,stimul,31.0,483,dvoje,elect,my,3sg,VS
Belova_2023,В течение месяца женится пятеро из них.,3.7777777777777777,4.0,quantiifier,stimul,16.0,245,dvoje,elect,oni,3sg,VS
Belova_2023,Все из нас переночуем в больших палатках.,1.5,2.0,quantiifier,stimul,19.0,299,vse,elect,my,1pl,SV
Belova_2023,В разные аэропорты прилетят мы трое.,1.9,2.0,quantiifier,stimul,8.0,119,dvoje,nom,my,3pl,VS
Belova_2023,В разные аэропорты прилетят мы все.,2.375,2.0,quantiifier,stimul,8.0,127,vse,nom,my,3pl,VS
Belova_2023,Вдвоём мы сможем переправиться на другом берега.,2.3375527426160336,2.0,bad,filler,,805,,,,,
Belova_2023,В гостиничные номера вернутся мы все.,2.625,3.0,quantiifier,stimul,15.0,239,vse,nom,my,3pl,VS
Belova_2023,В дешёвых хостелах остановится мы двое.,1.875,2.0,quantiifier,stimul,7.0,104,dvoje,nom,my,3sg,VS
Belova_2023,Семеро из нас уволится с нынешних позиций.,3.0,3.0,quantiifier,stimul,18.0,275,dvoje,elect,my,3sg,SV
Belova_2023,Мы все приедут на утренних поездах.,1.25,1.0,quantiifier,stimul,5.0,79,vse,nom,my,3pl,SV
Belova_2023,В дешёвых хостелах остановятся мы все.,2.625,3.0,quantiifier,stimul,7.0,111,vse,nom,my,3pl,VS
Belova_2023,За допущенные ошибки извинимся четверо из нас.,2.555555555555556,3.0,quantiifier,stimul,45.0,705,dvoje,elect,my,1pl,VS
Belova_2023,Шестеро из нас подметут в учебных кабинетах.,4.5,4.0,quantiifier,stimul,41.0,642,dvoje,elect,my,3pl,SV
Belova_2023,На утренних поездах приедем мы шестро.,2.875,3.0,quantiifier,stimul,5.0,70,dvoje,nom,my,1pl,VS
Belova_2023,В старых кладовках приберётся шестеро из них.,4.0,4.0,quantiifier,stimul,47.0,741,dvoje,elect,oni,3sg,VS
Belova_2023,Мы все ответят за поломанные инструменты.,2.333333333333333,2.0,quantiifier,stimul,35.0,559,vse,nom,my,3pl,SV
Belova_2023,Они все отправятся в байдарочные походы.,5.75,6.0,quantiifier,stimul,27.0,432,vse,oni,nom,3pl,SV
Belova_2023,Мы четверо вернутся в гостиничные номера.,1.75,2.0,quantiifier,stimul,15.0,231,dvoje,nom,my,3pl,SV
Belova_2023,В дешёвых хостелах остановится двое из них.,4.0,4.0,quantiifier,stimul,7.0,101,dvoje,elect,oni,3sg,VS
Belova_2023,В лесных озёрах порыбачим мы двое.,4.125,4.0,quantiifier,stimul,31.0,486,dvoje,nom,my,1pl,VS
Belova_2023,Мы семеро переоденется в карнавальные костюмы.,2.6,3.0,quantiifier,stimul,6.0,88,dvoje,nom,my,3sg,SV
Belova_2023,В научных журналах опубликуются все из нас.,2.7777777777777777,3.0,quantiifier,stimul,2.0,28,vse,elect,my,3pl,VS
Belova_2023,Они все прикрепятся к новым поликлиникам.,6.0,6.0,quantiifier,stimul,40.0,640,vse,oni,nom,3pl,SV
Belova_2023,Мы все согласятся на предложения конкурентов.,1.9,2.0,quantiifier,stimul,14.0,223,vse,nom,my,3pl,SV
Belova_2023,Трое из них согласится на предложения конкурентов.,4.2,4.0,quantiifier,stimul,14.0,213,dvoje,elect,oni,3sg,SV
Belova_2023,Пятеро из нас прикрепятся к новым поликлиникам.,6.0,6.0,quantiifier,stimul,40.0,626,dvoje,elect,my,3pl,SV
Belova_2023,Со свадебными фотографами свяжется они двое.,1.4444444444444444,1.0,quantiifier,stimul,25.0,394,dvoje,nom,oni,3sg,VS
Belova_2023,В дешёвых хостелах остановимся мы двое.,4.125,4.0,quantiifier,stimul,7.0,102,dvoje,nom,my,1pl,VS
Belova_2023,Четверо из них познакомятся с артистами спектакля.,6.75,7.0,quantiifier,stimul,33.0,516,dvoje,elect,oni,3pl,SV
Belova_2023,Мы двое переночует в больших палатках.,3.5,4.0,quantiifier,stimul,19.0,296,dvoje,nom,my,3sg,SV
Belova_2023,На конкурсе чтецов победят все из нас.,3.111111111111111,3.0,quantiifier,stimul,37.0,588,vse,elect,my,3pl,VS
Belova_2023,На южных курортах отдохнём мы все.,3.5,4.0,quantiifier,stimul,24.0,382,vse,nom,my,1pl,VS
Belova_2023,За первые парты сядет четверо из них.,3.555555555555556,4.0,quantiifier,stimul,39.0,613,dvoje,elect,oni,3sg,VS
Belova_2023,Вы с Любой испечёте шоколадное печенье.,5.5966386554621845,6.0,good,filler,,774,,,,,
Belova_2023,Трое из нас прилетит в разные аэропорты.,2.0,2.0,quantiifier,stimul,8.0,115,dvoje,elect,my,3sg,SV
Belova_2023,Мы семеро уволится с нынешних позиций.,1.4,1.0,quantiifier,stimul,18.0,280,dvoje,nom,my,3sg,SV
Belova_2023,Они двое придёт на пятничную вечеринку.,1.75,2.0,quantiifier,stimul,1.0,10,dvoje,nom,oni,3sg,SV
Belova_2023,В спортивные секции запишутся семеро из них.,4.777777777777778,5.0,quantiifier,stimul,12.0,180,dvoje,elect,oni,3pl,VS
Belova_2023,По незнакомым номерам перезвонит пятеро из них.,3.75,4.0,quantiifier,stimul,22.0,341,dvoje,elect,oni,3sg,VS
Belova_2023,Все из нас позаботимся о нужных продуктах.,1.6,2.0,quantiifier,stimul,30.0,475,vse,elect,my,1pl,SV
Belova_2023,О нужных продуктах позаботятся семеро из нас.,5.777777777777778,6.0,quantiifier,stimul,30.0,466,dvoje,elect,my,3pl,VS
Belova_2023,С проведением экзаменов поможем мы все.,3.5,4.0,quantiifier,stimul,3.0,46,vse,nom,my,1pl,VS
Belova_2023,Все из нас придём на пятничную вечеринку.,2.0,2.0,quantiifier,stimul,1.0,11,vse,elect,my,1pl,SV
Belova_2023,Все из них отправятся в байдарочные походы.,5.0,5.0,quantiifier,stimul,27.0,429,vse,elect,oni,3pl,SV
Belova_2023,Мы с Васей съездим на море в августе.,6.0423728813559325,6.0,good,filler,,769,,,,,
Belova_2023,Мы все вмешаемся в важные переговоры.,3.25,3.0,quantiifier,stimul,29.0,462,vse,nom,my,1pl,SV
Belova_2023,На курсы вождения пойдём мы все.,5.0,5.0,quantiifier,stimul,46.0,734,vse,nom,my,1pl,VS
Belova_2023,На курсы вождения пойдём все из нас.,2.6666666666666665,3.0,quantiifier,stimul,46.0,731,vse,elect,my,1pl,VS
Belova_2023,Они все женятся в течение месяца.,4.888888888888889,5.0,quantiifier,stimul,16.0,256,vse,oni,nom,3pl,SV
Belova_2023,В перспективные акции вложимся мы трое.,4.5,4.0,quantiifier,stimul,44.0,694,dvoje,nom,my,1pl,VS
Belova_2023,В соседние страны переедут все из нас.,3.2222222222222223,3.0,quantiifier,stimul,32.0,508,vse,elect,my,3pl,VS
Belova_2023,Со сломанными телефонами разберемся все из нас.,2.555555555555556,3.0,quantiifier,stimul,9.0,139,vse,elect,my,1pl,VS
Belova_2023,Все из них помогут с проведением экзаменов.,3.0,3.0,quantiifier,stimul,3.0,45,vse,elect,oni,3pl,SV
Belova_2023,Мы все остановятся в дешёвых хостелах.,1.9090909090909087,2.0,quantiifier,stimul,7.0,111,vse,nom,my,3pl,SV
Belova_2023,Мы шестеро ответят за поломанные инструменты.,1.6,2.0,quantiifier,stimul,35.0,551,dvoje,nom,my,3pl,SV
Belova_2023,Шестеро из нас справимся с заменой лампочек.,1.75,2.0,quantiifier,stimul,11.0,161,dvoje,elect,my,1pl,SV
Belova_2023,Все из нас отдохнём на южных курортах.,1.5,2.0,quantiifier,stimul,24.0,379,vse,elect,my,1pl,SV
Belova_2023,Четверо из нас помогут с проведением экзаменов.,6.5,6.0,quantiifier,stimul,3.0,34,dvoje,elect,my,3pl,SV
Belova_2023,Все из нас запишемся в спортивные секции.,2.5454545454545454,3.0,quantiifier,stimul,12.0,187,vse,elect,my,1pl,SV
Belova_2023,Все из них остановятся в дешёвых хостелах.,2.75,3.0,quantiifier,stimul,7.0,109,vse,elect,oni,3pl,SV
Belova_2023,Мы семеро поучаствуем в социальных опросах.,6.75,7.0,quantiifier,stimul,48.0,758,dvoje,nom,my,1pl,SV
Belova_2023,Они все побеседуют с очевидцами аварии.,5.333333333333333,5.0,quantiifier,stimul,34.0,544,vse,oni,nom,3pl,SV
Belova_2023,В столичные вузы поступит семеро из них.,3.555555555555556,4.0,quantiifier,stimul,17.0,261,dvoje,elect,oni,3sg,VS
Belova_2023,Мы четверо сядет за первые парты.,1.75,2.0,quantiifier,stimul,39.0,616,dvoje,nom,my,3sg,SV
Belova_2023,В важные переговоры вмешаются они все.,4.333333333333333,4.0,quantiifier,stimul,29.0,464,vse,oni,nom,3pl,VS
Belova_2023,В старых кладовках приберутся мы все.,2.5,2.0,quantiifier,stimul,47.0,751,vse,nom,my,3pl,VS
Belova_2023,В учебных кабинетах подметут они шестеро.,2.888888888888889,3.0,quantiifier,stimul,41.0,649,dvoje,nom,oni,3pl,VS
Belova_2023,Мы пятеро созвонимся с поставщиками продуктов.,3.7777777777777777,4.0,quantiifier,stimul,10.0,150,dvoje,nom,my,1pl,SV
Belova_2023,Мы все поучаствуют в социальных опросах.,2.0,2.0,quantiifier,stimul,48.0,767,vse,nom,my,3pl,SV
Belova_2023,За новые проекты возьмётся они семеро.,1.5555555555555556,2.0,quantiifier,stimul,42.0,666,dvoje,nom,oni,3sg,VS
Belova_2023,На курсы вождения пойдут все из них.,4.777777777777778,5.0,quantiifier,stimul,46.0,733,vse,elect,oni,3pl,VS
Belova_2023,Все из нас вложатся в перспективные акции.,6.0,6.0,quantiifier,stimul,44.0,700,vse,elect,my,3pl,SV
Belova_2023,О нужных продуктах позаботимся мы семеро.,4.625,5.0,quantiifier,stimul,30.0,470,dvoje,nom,my,1pl,VS
Belova_2023,В лесных озёрах порыбачат двое из них.,6.0,6.0,quantiifier,stimul,31.0,484,dvoje,elect,oni,3pl,VS
Belova_2023,Все из нас подметут в учебных кабинетах.,5.25,5.0,quantiifier,stimul,41.0,652,vse,elect,my,3pl,SV
Belova_2023,Четверо из нас отправимся в байдарочные походы.,1.875,2.0,quantiifier,stimul,27.0,417,dvoje,elect,my,1pl,SV
Belova_2023,Они все сыграют на акустической гитаре.,5.4,5.0,quantiifier,stimul,13.0,208,vse,oni,nom,3pl,SV
Belova_2023,В разные аэропорты прилетим мы все.,2.875,3.0,quantiifier,stimul,8.0,126,vse,nom,my,1pl,VS
Belova_2023,Мы семеро запишемся в спортивные секции.,4.666666666666667,5.0,quantiifier,stimul,12.0,182,dvoje,nom,my,1pl,SV
Belova_2023,Двое из них остановятся в дешёвых хостелах.,5.0,5.0,quantiifier,stimul,7.0,100,dvoje,elect,oni,3pl,SV
Belova_2023,Все из нас поможем с проведением экзаменов.,2.2,2.0,quantiifier,stimul,3.0,43,vse,elect,my,1pl,SV
Belova_2023,Четверо из нас познакомимся с артистами спектакля.,4.333333333333333,4.0,quantiifier,stimul,33.0,513,dvoje,elect,my,1pl,SV
Belova_2023,В дешёвых хостелах остановятся они все.,4.222222222222222,4.0,quantiifier,stimul,7.0,112,vse,oni,nom,3pl,VS
Belova_2023,На проходной завода отметимся мы все.,4.625,5.0,quantiifier,stimul,38.0,606,vse,nom,my,1pl,VS
Belova_2023,Четверо из нас познакомится с артистами спектакля.,3.8,4.0,quantiifier,stimul,33.0,515,dvoje,elect,my,3sg,SV
Belova_2023,Мы все съездят в отдалённые деревни.,2.333333333333333,2.0,quantiifier,stimul,20.0,319,vse,nom,my,3pl,SV
Belova_2023,Шестеро из нас вмешаемся в важные переговоры.,4.25,4.0,quantiifier,stimul,29.0,449,dvoje,elect,my,1pl,SV
Belova_2023,На проходной завода отметятся все из нас.,3.4444444444444446,3.0,quantiifier,stimul,38.0,604,vse,elect,my,3pl,VS
Belova_2023,На предложения конкурентов согласится трое из них.,4.333333333333333,4.0,quantiifier,stimul,14.0,213,dvoje,elect,oni,3sg,VS
Belova_2023,В байдарочные походы отправятся четверо из них.,6.0,6.0,quantiifier,stimul,27.0,420,dvoje,elect,oni,3pl,VS
Belova_2023,Мы все возьмёмся за новые проекты.,6.333333333333333,6.0,quantiifier,stimul,42.0,670,vse,nom,my,1pl,SV
Belova_2023,Все из них подметут в учебных кабинетах.,4.25,4.0,quantiifier,stimul,41.0,653,vse,elect,oni,3pl,SV
Belova_2023,Все из нас рассчитаемся с кредитными долгами.,2.0,2.0,quantiifier,stimul,23.0,363,vse,elect,my,1pl,SV
Belova_2023,На южных курортах отдохнут семеро из нас.,6.222222222222222,6.0,quantiifier,stimul,24.0,370,dvoje,elect,my,3pl,VS
Belova_2023,С артистами спектакля познакомятся мы все.,2.5,2.0,quantiifier,stimul,33.0,527,vse,nom,my,3pl,VS
Belova_2023,Они двое сыграет на акустической гитаре.,2.0,2.0,quantiifier,stimul,13.0,202,dvoje,nom,oni,3sg,SV
