author,sentence,response,response_round,subtype,type,lexicalization,condition,pronoun,strategy,verb
Belova_2023_2,В социальных опросах поучаствует они семеро.,2.2222222222222223,2.0,quantifier,stimul,48.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_2,На студенческих конференциях выступит четверо из нас.,5.777777777777778,6.0,quantifier,stimul,21.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_2,С очевидцами аварии побеседуют пятеро из нас.,5.888888888888889,6.0,quantifier,stimul,34.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,На утренних поездах приедем мы шестро.,2.875,3.0,quantifier,stimul,5.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,На южных курортах отдохнёт семеро из нас.,5.0,5.0,quantifier,stimul,24.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_2,За новые проекты возьмутся они все.,4.555555555555555,5.0,quantifier,stimul,42.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,С заменой лампочек справимся мы шестеро.,3.875,4.0,quantifier,stimul,11.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,С поставщиками продуктов созвонится мы пятеро.,1.625,2.0,quantifier,stimul,10.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_2,С проведением экзаменов поможем мы все.,3.5,4.0,quantifier,stimul,3.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,За выполненные задачи отчитаемся мы все.,4.428571428571429,4.0,quantifier,stimul,43.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,К поисковым отрядам присоединятся все из них.,4.555555555555555,5.0,quantifier,stimul,28.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,На утренних поездах приедут все из них.,3.625,4.0,quantifier,stimul,5.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В карнавальные костюмы переоденется семеро из нас.,4.888888888888889,5.0,quantifier,stimul,6.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_2,На предложения конкурентов согласятся мы трое.,1.8,2.0,quantifier,stimul,14.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,О нужных продуктах позаботятся все из нас.,3.333333333333333,3.0,quantifier,stimul,30.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,За допущенные ошибки извинятся мы четверо.,1.8,2.0,quantifier,stimul,45.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,По незнакомым номерам перезвоним мы пятеро.,3.625,4.0,quantifier,stimul,22.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,В лесных озёрах порыбачим все из нас.,2.7777777777777777,3.0,quantifier,stimul,31.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,В разные аэропорты прилетим все из нас.,2.333333333333333,2.0,quantifier,stimul,8.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,Со свадебными фотографами свяжутся двое из них.,5.333333333333333,5.0,quantifier,stimul,25.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В перспективные акции вложимся мы трое.,4.5,4.0,quantifier,stimul,44.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,В учебных кабинетах подметут все из них.,3.888888888888889,4.0,quantifier,stimul,41.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В гостиничные номера вернутся все из нас.,4.333333333333333,4.0,quantifier,stimul,15.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,В крещенской проруби искупаемся все из нас.,2.555555555555556,3.0,quantifier,stimul,4.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,В отдалённые деревни съездят они трое.,2.6666666666666665,3.0,quantifier,stimul,20.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,С нынешних позиций уволимся семеро из нас.,2.0,2.0,quantifier,stimul,18.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,На проходной завода отметимся мы трое.,4.625,5.0,quantifier,stimul,38.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,О скорых отставках объявит семеро из них.,3.888888888888889,4.0,quantifier,stimul,36.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_2,Четверо врачи соберётся на консилиум.,2.1773049645390072,2.0,bad,filler,,bad,,,
Belova_2023_2,В важные переговоры вмешаемся мы все.,3.7142857142857135,4.0,quantifier,stimul,29.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,В больших палатках переночуют они двое.,3.25,3.0,quantifier,stimul,19.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,О скорых отставках объявят мы семеро.,1.8,2.0,quantifier,stimul,36.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,В течение месяца женится пятеро из них.,3.7777777777777777,4.0,quantifier,stimul,16.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_2,За допущенные ошибки извинятся они четверо.,3.125,3.0,quantifier,stimul,45.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,К новым поликлиникам прикрепимся мы все.,4.25,4.0,quantifier,stimul,40.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,В социальных опросах поучаствует мы семеро.,2.0,2.0,quantifier,stimul,48.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_2,На двугорбых верблюдах покатается мы трое.,2.125,2.0,quantifier,stimul,26.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_2,На курсы вождения пойдут они пятеро.,3.2222222222222223,3.0,quantifier,stimul,46.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,В дешёвых хостелах остановятся все из нас.,3.4444444444444446,3.0,quantifier,stimul,7.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,В дешёвых хостелах остановятся мы двое.,2.2,2.0,quantifier,stimul,7.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,На проходной завода отметимся мы все.,4.625,5.0,quantifier,stimul,38.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,На пятничную вечеринку придём мы двое.,3.0,3.0,quantifier,stimul,1.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,За первые парты сядем мы четверо.,4.0,4.0,quantifier,stimul,39.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,О скорых отставках объявят они семеро.,2.6666666666666665,3.0,quantifier,stimul,36.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,С заменой лампочек справятся шестеро из них.,5.555555555555555,6.0,quantifier,stimul,11.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В течение месяца женятся они пятеро.,2.4444444444444446,2.0,quantifier,stimul,16.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,На студенческих конференциях выступим четверо из нас.,2.7777777777777777,3.0,quantifier,stimul,21.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,С поставщиками продуктов созвонятся мы пятеро.,1.7,2.0,quantifier,stimul,10.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,С заменой лампочек справимся все из нас.,2.555555555555556,3.0,quantifier,stimul,11.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,За первые парты сядут они четверо.,3.111111111111111,3.0,quantifier,stimul,39.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,На предложения конкурентов согласятся все из них.,4.333333333333333,4.0,quantifier,stimul,14.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,О нужных продуктах позаботятся семеро из нас.,5.777777777777778,6.0,quantifier,stimul,30.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,На конкурсе чтецов победят все из них.,4.555555555555555,5.0,quantifier,stimul,37.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,Трое истцов потребуют денежной компенсации.,5.388489208633094,5.0,good,filler,,good,,,
Belova_2023_2,В социальных опросах поучаствует семеро из нас.,5.666666666666667,6.0,quantifier,stimul,48.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_2,Со свадебными фотографами свяжутся они двое.,3.125,3.0,quantifier,stimul,25.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,В гостиничные номера вернутся они четверо.,3.333333333333333,3.0,quantifier,stimul,15.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,Со сломанными телефонами разберутся четверо из нас.,5.0,5.0,quantifier,stimul,9.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,К новым поликлиникам прикрепятся пятеро из них.,5.222222222222222,5.0,quantifier,stimul,40.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В столичные вузы поступят все из нас.,4.222222222222222,4.0,quantifier,stimul,17.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,На проходной завода отметятся все из них.,4.0,4.0,quantifier,stimul,38.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В крещенской проруби искупаемся мы все.,4.375,4.0,quantifier,stimul,4.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,Двое легкоатлетов будут сняты с соревнования.,5.884892086330935,6.0,good,filler,,good,,,
Belova_2023_2,В дешёвых хостелах остановятся мы все.,2.625,3.0,quantifier,stimul,7.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,В соседние страны переедут трое из нас.,5.777777777777778,6.0,quantifier,stimul,32.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,По незнакомым номерам перезвонит они пятеро.,1.6666666666666667,2.0,quantifier,stimul,22.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_2,Вы с Ульяной сделают все домашнего задания.,1.8333333333333333,2.0,bad,filler,,bad,,,
Belova_2023_2,В социальных опросах поучаствует семеро из них.,4.625,5.0,quantifier,stimul,48.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_2,С кредитными долгами рассчитаются шестеро из них.,5.555555555555555,6.0,quantifier,stimul,23.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,На двугорбых верблюдах покатаемся мы все.,4.5,4.0,quantifier,stimul,26.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,На конкурсе чтецов победят мы все.,2.5,2.0,quantifier,stimul,37.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,В карнавальные костюмы переоденется мы семеро.,2.875,3.0,quantifier,stimul,6.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_2,В байдарочные походы отправятся мы все.,2.5,2.0,quantifier,stimul,27.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,Со свадебными фотографами свяжемся все из нас.,2.333333333333333,2.0,quantifier,stimul,25.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,В крещенской проруби искупаются пятеро из нас.,5.777777777777778,6.0,quantifier,stimul,4.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,В учебных кабинетах подметут мы все.,2.2857142857142856,2.0,quantifier,stimul,41.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,С нынешних позиций уволимся все из нас.,2.4444444444444446,2.0,quantifier,stimul,18.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,Вы с Андреем оплатите ремонт карбюратора.,6.120567375886525,6.0,good,filler,,good,,,
Belova_2023_2,Мы с друзьями отправят стихи в районной газеты.,2.057142857142857,2.0,bad,filler,,bad,,,
Belova_2023_2,На конкурсе чтецов победим все из нас.,2.888888888888889,3.0,quantifier,stimul,37.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,О скорых отставках объявим все из нас.,2.6666666666666665,3.0,quantifier,stimul,36.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,В лесных озёрах порыбачат они все.,4.444444444444445,4.0,quantifier,stimul,31.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,За новые проекты возьмётся мы семеро.,2.142857142857143,2.0,quantifier,stimul,42.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_2,В социальных опросах поучаствуют все из них.,4.444444444444445,4.0,quantifier,stimul,48.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В больших палатках переночуют мы двое.,2.111111111111111,2.0,quantifier,stimul,19.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,Пятеро писателей выпустят сборником рассказов.,2.4,2.0,bad,filler,,bad,,,
Belova_2023_2,На акустической гитаре сыграют двое из них.,5.666666666666667,6.0,quantifier,stimul,13.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В старых кладовках приберутся шестеро из них.,5.222222222222222,5.0,quantifier,stimul,47.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,За выполненные задачи отчитаемся все из нас.,3.111111111111111,3.0,quantifier,stimul,43.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,В карнавальные костюмы переоденемся мы все.,4.125,4.0,quantifier,stimul,6.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,Трое шахматистов представят страну на чемпионате.,6.328467153284672,6.0,good,filler,,good,,,
Belova_2023_2,За выполненные задачи отчитается мы двое.,2.75,3.0,quantifier,stimul,43.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_2,О нужных продуктах позаботятся они все.,4.571428571428571,5.0,quantifier,stimul,30.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,С очевидцами аварии побеседуют они все.,4.444444444444445,4.0,quantifier,stimul,34.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,На студенческих конференциях выступят четверо из них.,5.666666666666667,6.0,quantifier,stimul,21.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,С кредитными долгами рассчитаемся мы все.,4.125,4.0,quantifier,stimul,23.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,Мы с Сашей вместе снимем комнату.,6.258992805755396,6.0,good,filler,,good,,,
Belova_2023_2,Со сломанными телефонами разберутся они все.,3.888888888888889,4.0,quantifier,stimul,9.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,В соседние страны переедут все из них.,4.222222222222222,4.0,quantifier,stimul,32.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,Со сломанными телефонами разберутся мы все.,2.571428571428572,3.0,quantifier,stimul,9.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,На студенческих конференциях выступим мы четверо.,4.625,5.0,quantifier,stimul,21.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,В байдарочные походы отправится четверо из них.,3.7777777777777777,4.0,quantifier,stimul,27.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_2,С поставщиками продуктов созвонятся пятеро из них.,5.333333333333333,5.0,quantifier,stimul,10.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В крещенской проруби искупается они пятеро.,1.3333333333333333,1.0,quantifier,stimul,4.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_2,За допущенные ошибки извинятся они все.,4.666666666666667,5.0,quantifier,stimul,45.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,В спортивные секции запишутся они семеро.,3.4444444444444446,3.0,quantifier,stimul,12.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,За выполненные задачи отчитаются двое из них.,6.0,6.0,quantifier,stimul,43.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,За допущенные ошибки извинятся четверо из них.,6.0,6.0,quantifier,stimul,45.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В байдарочные походы отправимся мы четверо.,4.5,4.0,quantifier,stimul,27.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,По незнакомым номерам перезвонят пятеро из нас.,5.444444444444445,5.0,quantifier,stimul,22.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,На акустической гитаре сыграет двое из них.,4.111111111111111,4.0,quantifier,stimul,13.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_2,С кредитными долгами рассчитаются все из них.,4.333333333333333,4.0,quantifier,stimul,23.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,Со свадебными фотографами свяжемся мы двое.,3.375,3.0,quantifier,stimul,25.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,С нынешних позиций уволятся все из нас.,3.375,3.0,quantifier,stimul,18.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,На двугорбых верблюдах покатаются мы трое.,1.8,2.0,quantifier,stimul,26.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,Со сломанными телефонами разберутся все из нас.,2.555555555555556,3.0,quantifier,stimul,9.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,На пятничную вечеринку придём двое из нас.,3.0,3.0,quantifier,stimul,1.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,Только две фигуристка исполнят этот прыжки.,2.628571428571429,3.0,bad,filler,,bad,,,
Belova_2023_2,В старых кладовках приберутся все из них.,3.4444444444444446,3.0,quantifier,stimul,47.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,На конкурсе чтецов победим двое из нас.,2.111111111111111,2.0,quantifier,stimul,37.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,За новые проекты возьмутся все из них.,4.555555555555555,5.0,quantifier,stimul,42.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В учебных кабинетах подметём все из нас.,2.6666666666666665,3.0,quantifier,stimul,41.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,С артистами спектакля познакомятся все из них.,4.25,4.0,quantifier,stimul,33.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В дешёвых хостелах остановятся они двое.,3.0,3.0,quantifier,stimul,7.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,В отдалённые деревни съездит они трое.,1.25,1.0,quantifier,stimul,20.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_2,На южных курортах отдохнут мы семеро.,1.9,2.0,quantifier,stimul,24.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,На пятничную вечеринку придёт мы двое.,1.75,2.0,quantifier,stimul,1.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_2,С заменой лампочек справятся они шестеро.,3.2222222222222223,3.0,quantifier,stimul,11.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,На курсы вождения пойдут мы все.,2.4285714285714284,2.0,quantifier,stimul,46.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,На акустической гитаре сыграют мы двое.,1.8,2.0,quantifier,stimul,13.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,В учебных кабинетах подметут шестеро из них.,5.666666666666667,6.0,quantifier,stimul,41.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В научных журналах опубликуется трое из нас.,4.666666666666667,5.0,quantifier,stimul,2.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_2,На курсы вождения пойдут пятеро из них.,5.888888888888889,6.0,quantifier,stimul,46.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В социальных опросах поучаствуют они все.,5.25,5.0,quantifier,stimul,48.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_2,О нужных продуктах позаботятся все из них.,4.111111111111111,4.0,quantifier,stimul,30.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,В гостиничные номера вернутся четверо из нас.,5.5,6.0,quantifier,stimul,15.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,На двугорбых верблюдах покатаемся трое из нас.,2.6666666666666665,3.0,quantifier,stimul,26.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,По незнакомым номерам перезвонят мы все.,1.875,2.0,quantifier,stimul,22.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,Со свадебными фотографами свяжутся все из нас.,3.6666666666666665,4.0,quantifier,stimul,25.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,Двое грабителей предстанут перед судом.,6.428571428571429,6.0,good,filler,,good,,,
Belova_2023_2,С очевидцами аварии побеседуют пятеро из них.,5.444444444444445,5.0,quantifier,stimul,34.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_2,С проведением экзаменов поможет четверо из них.,3.0,3.0,quantifier,stimul,3.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_2,В учебных кабинетах подметёт шестеро из них.,3.555555555555556,4.0,quantifier,stimul,41.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_2,К новым поликлиникам прикрепимся мы пятеро.,4.625,5.0,quantifier,stimul,40.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,В гостиничные номера вернёмся четверо из нас.,2.333333333333333,2.0,quantifier,stimul,15.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,О нужных продуктах позаботятся мы все.,2.5,2.0,quantifier,stimul,30.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_2,К новым поликлиникам прикрепимся все из нас.,2.7777777777777777,3.0,quantifier,stimul,40.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_2,В соседние страны переедет трое из нас.,6.111111111111111,6.0,quantifier,stimul,32.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_2,На двугорбых верблюдах покатаются трое из нас.,5.444444444444445,5.0,quantifier,stimul,26.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,На конкурсе чтецов победим мы все.,5.25,5.0,quantifier,stimul,37.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_2,На студенческих конференциях выступят они четверо.,2.888888888888889,3.0,quantifier,stimul,21.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_2,На студенческих конференциях выступят все из нас.,4.222222222222222,4.0,quantifier,stimul,21.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_2,В столичные вузы поступим мы семеро.,4.0,4.0,quantifier,stimul,17.0,"we, nom, 1pl",we,nom,1pl
