author,sentence,response,response_round,subtype,type,lexicalization,condition,pronoun,strategy,verb
Belova_2023_1,Пятеро из нас созвонится с поставщиками продуктов.,2.5454545454545454,3.0,quantifier,stimul,10.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_1,Все из них побеседуют с очевидцами аварии.,3.8,4.0,quantifier,stimul,34.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Мы семеро поучаствуем в социальных опросах.,6.75,7.0,quantifier,stimul,48.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Мы все отчитаются за выполненные задачи.,1.5,2.0,quantifier,stimul,43.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Все из нас отметимся на проходной завода.,2.2,2.0,quantifier,stimul,38.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Пятеро писателей выпустят сборником рассказов.,2.083333333333333,2.0,bad,filler,,bad,,,
Belova_2023_1,Они все вложатся в перспективные акции.,5.875,6.0,quantifier,stimul,44.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Мы все поучаствуем в социальных опросах.,6.5,6.0,quantifier,stimul,48.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Мы двое сыграет на акустической гитаре.,1.25,1.0,quantifier,stimul,13.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_1,Все из нас свяжемся со свадебными фотографами.,1.6,2.0,quantifier,stimul,25.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Трое шахматистов представят страну на чемпионате.,6.26595744680851,6.0,good,filler,,good,,,
Belova_2023_1,Мы пятеро искупается в крещенской проруби.,2.0,2.0,quantifier,stimul,4.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_1,Пятеро из нас присоединимся к поисковым отрядам.,2.727272727272727,3.0,quantifier,stimul,28.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Четверо из нас отправятся в байдарочные походы.,5.2727272727272725,5.0,quantifier,stimul,27.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Они четверо извинятся за допущенные ошибки.,4.75,5.0,quantifier,stimul,45.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_1,Трое из нас отметимся на проходной завода.,3.0,3.0,quantifier,stimul,38.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Мы с Сашей вместе снимем комнату.,6.357142857142857,6.0,good,filler,,good,,,
Belova_2023_1,Шестеро из них приедут на утренних поездах.,5.6,6.0,quantifier,stimul,5.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Мы все искупаются в крещенской проруби.,4.0,4.0,quantifier,stimul,4.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Шестеро из них приберётся в старых кладовках.,3.5,4.0,quantifier,stimul,47.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_1,Они трое покатается на двугорбых верблюдах.,2.6,3.0,quantifier,stimul,26.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_1,Все из нас возьмутся за новые проекты.,5.5,6.0,quantifier,stimul,42.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Четверо из них отправится в байдарочные походы.,4.666666666666667,5.0,quantifier,stimul,27.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_1,Все из них выступят на студенческих конференциях.,3.6666666666666665,4.0,quantifier,stimul,21.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Мы семеро возьмётся за новые проекты.,2.333333333333333,2.0,quantifier,stimul,42.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_1,Мы все пойдём на курсы вождения.,6.375,6.0,quantifier,stimul,46.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Мы пятеро побеседуем с очевидцами аварии.,5.666666666666667,6.0,quantifier,stimul,34.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Мы семеро запишутся в спортивные секции.,1.3333333333333333,1.0,quantifier,stimul,12.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Все из нас вернёмся в гостиничные номера.,1.5,2.0,quantifier,stimul,15.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Семеро из нас отдохнёт на южных курортах.,5.75,6.0,quantifier,stimul,24.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_1,Мы шестеро рассчитается с кредитными долгами.,1.2,1.0,quantifier,stimul,23.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_1,Трое из нас покатаются на двугорбых верблюдах.,6.125,6.0,quantifier,stimul,26.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Шестеро из нас поступит в столичные вузы.,4.5,4.0,quantifier,stimul,17.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_1,Трое из них переедет в соседние страны.,3.25,3.0,quantifier,stimul,32.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_1,Они все переедут в соседние страны.,5.75,6.0,quantifier,stimul,32.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Шестеро из них поступят в столичные вузы.,5.75,6.0,quantifier,stimul,17.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Они семеро уволятся с нынешних позиций.,3.25,3.0,quantifier,stimul,18.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_1,Только две фигуристка исполнят этот прыжки.,2.237113402061856,2.0,bad,filler,,bad,,,
Belova_2023_1,Мы все поможем с проведением экзаменов.,5.333333333333333,5.0,quantifier,stimul,3.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Они все подметут в учебных кабинетах.,3.0,3.0,quantifier,stimul,41.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Мы семеро объявит о скорых отставках.,1.375,1.0,quantifier,stimul,36.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_1,Мы двое порыбачит в лесных озёрах.,1.6363636363636365,2.0,quantifier,stimul,31.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_1,Семеро из нас уволится с нынешних позиций.,3.0,3.0,quantifier,stimul,18.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_1,Все из нас рассчитаемся с кредитными долгами.,2.0,2.0,quantifier,stimul,23.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Двое из нас отчитается за выполненные задачи.,5.0,5.0,quantifier,stimul,43.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_1,Они шестеро приберётся в старых кладовках.,2.8,3.0,quantifier,stimul,47.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_1,Они трое отметится на проходной завода.,2.2222222222222223,2.0,quantifier,stimul,38.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_1,Трое из нас вложится в перспективные акции.,3.2,3.0,quantifier,stimul,44.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_1,Они все свяжутся со свадебными фотографами.,4.8,5.0,quantifier,stimul,25.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Они все возьмутся за новые проекты.,6.2,6.0,quantifier,stimul,42.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Мы двое порыбачим в лесных озёрах.,5.5,6.0,quantifier,stimul,31.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Все из них присоединятся к поисковым отрядам.,4.4,4.0,quantifier,stimul,28.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Они все сыграют на акустической гитаре.,5.4,5.0,quantifier,stimul,13.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Мы все перезвоним по незнакомым номерам.,4.0,4.0,quantifier,stimul,22.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Пятеро из нас прикрепимся к новым поликлиникам.,2.2,2.0,quantifier,stimul,40.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Все из нас покатаемся на двугорбых верблюдах.,1.75,2.0,quantifier,stimul,26.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Они все объявят о скорых отставках.,6.0,6.0,quantifier,stimul,36.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Семеро из нас объявит о скорых отставках.,3.090909090909091,3.0,quantifier,stimul,36.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_1,Шестеро из нас приедем на утренних поездах.,2.636363636363636,3.0,quantifier,stimul,5.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Двое грабителей предстанут перед судом.,6.448979591836735,6.0,good,filler,,good,,,
Belova_2023_1,Четверо из нас познакомятся с артистами спектакля.,5.833333333333333,6.0,quantifier,stimul,33.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Шестеро из нас подметут в учебных кабинетах.,4.5,4.0,quantifier,stimul,41.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Мы двое сыграем на акустической гитаре.,4.166666666666667,4.0,quantifier,stimul,13.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Мы четверо извинятся за допущенные ошибки.,2.6,3.0,quantifier,stimul,45.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Все из нас порыбачим в лесных озёрах.,1.8888888888888888,2.0,quantifier,stimul,31.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Пятеро из нас прикрепится к новым поликлиникам.,4.5,4.0,quantifier,stimul,40.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_1,Мы четверо извинимся за допущенные ошибки.,4.5,4.0,quantifier,stimul,45.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Мы все извинимся за допущенные ошибки.,5.75,6.0,quantifier,stimul,45.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Они все переоденутся в карнавальные костюмы.,6.636363636363637,7.0,quantifier,stimul,6.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Они все позаботятся о нужных продуктах.,5.0,5.0,quantifier,stimul,30.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Они четверо выступят на студенческих конференциях.,6.5,6.0,quantifier,stimul,21.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_1,Они трое съездит в отдалённые деревни.,1.5,2.0,quantifier,stimul,20.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_1,Мы все прилетим в разные аэропорты.,6.0,6.0,quantifier,stimul,8.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Мы все согласятся на предложения конкурентов.,1.9,2.0,quantifier,stimul,14.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Мы пятеро перезвонит по незнакомым номерам.,1.5,2.0,quantifier,stimul,22.0,"we, nom, 3sg",we,nom,3sg
