sentence,response,group,filler_type,type,sentence_id,lexicalization,condition,quant,strategy,pronoun,verb,author,response_round
Все из нас отметятся на проходной завода.,3.333333333333333,P,,stimul,604,38.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,3.0
Все из нас отправимся в байдарочные походы.,1.5,D,,stimul,427,27.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас отправятся в байдарочные походы.,5.545454545454546,E,,stimul,428,27.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,6.0
Все из нас отчитаемся за выполненные задачи.,3.25,D,,stimul,683,43.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,3.0
Все из нас отчитаются за выполненные задачи.,5.818181818181818,E,,stimul,684,43.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,6.0
Все из нас переедем в соседние страны.,2.25,I,,stimul,507,32.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас переедут в соседние страны.,3.625,J,,stimul,508,32.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,4.0
Все из нас перезвоним по незнакомым номерам.,1.3333333333333333,O,,stimul,347,22.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,1.0
Все из нас перезвонят по незнакомым номерам.,4.333333333333333,P,,stimul,348,22.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,4.0
Все из нас переночуем в больших палатках.,1.5,L,,stimul,299,19.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас переночуют в больших палатках.,4.0,M,,stimul,300,19.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,4.0
Все из нас переоденемся в карнавальные костюмы.,2.333333333333333,P,,stimul,91,6.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас переоденутся в карнавальные костюмы.,4.666666666666667,A,,stimul,92,6.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас победим на конкурсе чтецов.,1.2222222222222223,N,,stimul,587,37.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,1.0
Все из нас победят на конкурсе чтецов.,4.0,O,,stimul,588,37.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,4.0
Все из нас побеседуем с очевидцами аварии.,2.3,K,,stimul,539,34.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас побеседуют с очевидцами аварии.,6.5,L,,stimul,540,34.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,6.0
Все из нас подметут в учебных кабинетах.,5.25,C,,stimul,652,41.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас подметём в учебных кабинетах.,1.25,B,,stimul,651,41.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,1.0
Все из нас позаботимся о нужных продуктах.,1.6,G,,stimul,475,30.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас позаботятся о нужных продуктах.,4.9,H,,stimul,476,30.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас познакомимся с артистами спектакля.,2.375,J,,stimul,523,33.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас познакомятся с артистами спектакля.,5.545454545454546,K,,stimul,524,33.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,6.0
Все из нас пойдут на курсы вождения.,5.6,H,,stimul,732,46.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,6.0
Все из нас пойдём на курсы вождения.,1.2,G,,stimul,731,46.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,1.0
Все из нас покатаемся на двугорбых верблюдах.,1.75,C,,stimul,411,26.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас покатаются на двугорбых верблюдах.,5.0,D,,stimul,412,26.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас помогут с проведением экзаменов.,3.4444444444444446,N,,stimul,44,3.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,3.0
Все из нас поможем с проведением экзаменов.,2.2,M,,stimul,43,3.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас порыбачат в лесных озёрах.,3.0,I,,stimul,492,31.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,3.0
Все из нас порыбачим в лесных озёрах.,1.8888888888888888,H,,stimul,491,31.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас поступим в столичные вузы.,2.0,J,,stimul,267,17.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас поступят в столичные вузы.,5.8,K,,stimul,268,17.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,6.0
Все из нас поучаствуем в социальных опросах.,2.5,I,,stimul,763,48.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас поучаствуют в социальных опросах.,4.5,J,,stimul,764,48.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,4.0
Все из нас приберутся в старых кладовках.,2.75,I,,stimul,748,47.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,3.0
Все из нас приберёмся в старых кладовках.,1.7777777777777777,H,,stimul,747,47.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас придут на пятничную вечеринку.,5.5,L,,stimul,12,1.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,6.0
Все из нас придём на пятничную вечеринку.,2.0,K,,stimul,11,1.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас приедем на утренних поездах.,1.3333333333333333,O,,stimul,75,5.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,1.0
Все из нас приедут на утренних поездах.,2.333333333333333,P,,stimul,76,5.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,2.0
Все из нас прикрепимся к новым поликлиникам.,1.5,A,,stimul,635,40.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас прикрепятся к новым поликлиникам.,6.2,B,,stimul,636,40.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,6.0
Все из нас прилетим в разные аэропорты.,2.4,B,,stimul,123,8.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас прилетят в разные аэропорты.,5.0,C,,stimul,124,8.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас присоединимся к поисковым отрядам.,2.272727272727273,E,,stimul,443,28.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас присоединятся к поисковым отрядам.,5.666666666666667,F,,stimul,444,28.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,6.0
Все из нас разберутся со сломанными телефонами.,4.25,D,,stimul,140,9.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,4.0
Все из нас разберёмся со сломанными телефонами.,2.25,C,,stimul,139,9.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас рассчитаемся с кредитными долгами.,2.0,P,,stimul,363,23.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас рассчитаются с кредитными долгами.,5.2,A,,stimul,364,23.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас свяжемся со свадебными фотографами.,1.6,B,,stimul,395,25.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас свяжутся со свадебными фотографами.,3.0,C,,stimul,396,25.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,3.0
Все из нас согласимся на предложения конкурентов.,2.0,G,,stimul,219,14.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас согласятся на предложения конкурентов.,4.7,H,,stimul,220,14.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас созвонимся с поставщиками продуктов.,1.25,C,,stimul,155,10.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,1.0
Все из нас созвонятся с поставщиками продуктов.,4.5,D,,stimul,156,10.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,4.0
Все из нас справимся с заменой лампочек.,1.25,D,,stimul,171,11.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,1.0
Все из нас справятся с заменой лампочек.,4.727272727272728,E,,stimul,172,11.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,5.0
Все из нас съездим в отдалённые деревни.,1.2,M,,stimul,315,20.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,1.0
Все из нас съездят в отдалённые деревни.,2.125,N,,stimul,316,20.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,2.0
Все из нас сыграем на акустической гитаре.,2.0,F,,stimul,203,13.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас сыграют на акустической гитаре.,2.4,G,,stimul,204,13.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,2.0
Все из нас сядем за первые парты.,2.333333333333333,P,,stimul,619,39.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас сядут за первые парты.,3.6666666666666665,A,,stimul,620,39.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,4.0
Все из нас уволимся с нынешних позиций.,2.0,K,,stimul,283,18.0,"we, elect, 1pl",vse,elect,we,1pl,Belova_2023_1,2.0
Все из нас уволятся с нынешних позиций.,6.25,L,,stimul,284,18.0,"we, elect, 3pl",vse,elect,we,3pl,Belova_2023_1,6.0
Все из них вернутся в гостиничные номера.,5.0,J,,stimul,237,15.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,5.0
Все из них вложатся в перспективные акции.,3.4,G,,stimul,701,44.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,3.0
Все из них вмешаются в важные переговоры.,3.333333333333333,H,,stimul,461,29.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,3.0
Все из них возьмутся за новые проекты.,5.727272727272728,E,,stimul,669,42.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,6.0
Все из них выступят на студенческих конференциях.,3.6666666666666665,P,,stimul,333,21.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них женятся в течение месяца.,5.090909090909091,K,,stimul,253,16.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,5.0
Все из них запишутся в спортивные секции.,3.4,G,,stimul,189,12.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,3.0
Все из них извинятся за допущенные ошибки.,5.7,H,,stimul,717,45.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,6.0
Все из них искупаются в крещенской проруби.,3.6666666666666665,P,,stimul,61,4.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них объявят о скорых отставках.,4.333333333333333,O,,stimul,573,36.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них опубликуются в научных журналах.,3.555555555555556,N,,stimul,29,2.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них остановятся в дешёвых хостелах.,2.75,C,,stimul,109,7.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,3.0
Все из них ответят за поломанные инструменты.,3.888888888888889,N,,stimul,557,35.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них отдохнут на южных курортах.,4.0,C,,stimul,381,24.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них отметятся на проходной завода.,4.5,A,,stimul,605,38.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них отправятся в байдарочные походы.,5.0,F,,stimul,429,27.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,5.0
Все из них отчитаются за выполненные задачи.,4.0,F,,stimul,685,43.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них переедут в соседние страны.,5.454545454545454,K,,stimul,509,32.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,5.0
Все из них перезвонят по незнакомым номерам.,2.833333333333333,A,,stimul,349,22.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,3.0
Все из них переоденутся в карнавальные костюмы.,5.0,B,,stimul,93,6.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,5.0
Все из них победят на конкурсе чтецов.,3.333333333333333,P,,stimul,589,37.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,3.0
Все из них побеседуют с очевидцами аварии.,3.8,M,,stimul,541,34.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них подметут в учебных кабинетах.,4.25,D,,stimul,653,41.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них позаботятся о нужных продуктах.,3.75,I,,stimul,477,30.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них познакомятся с артистами спектакля.,6.25,L,,stimul,525,33.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,6.0
Все из них пойдут на курсы вождения.,6.5,I,,stimul,733,46.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,6.0
Все из них покатаются на двугорбых верблюдах.,5.5,E,,stimul,413,26.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,6.0
Все из них помогут с проведением экзаменов.,3.0,O,,stimul,45,3.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,3.0
Все из них порыбачат в лесных озёрах.,3.375,J,,stimul,493,31.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,3.0
Все из них поступят в столичные вузы.,6.25,L,,stimul,269,17.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,6.0
Все из них поучаствуют в социальных опросах.,5.727272727272728,K,,stimul,765,48.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,6.0
Все из них приберутся в старых кладовках.,3.5,J,,stimul,749,47.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них придут на пятничную вечеринку.,3.6,M,,stimul,13,1.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них приедут на утренних поездах.,3.8333333333333335,A,,stimul,77,5.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них прикрепятся к новым поликлиникам.,4.25,C,,stimul,637,40.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них прилетят в разные аэропорты.,4.75,D,,stimul,125,8.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,5.0
Все из них присоединятся к поисковым отрядам.,4.4,G,,stimul,445,28.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них разберутся со сломанными телефонами.,4.9,E,,stimul,141,9.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,5.0
Все из них рассчитаются с кредитными долгами.,4.4,B,,stimul,365,23.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них свяжутся со свадебными фотографами.,4.25,D,,stimul,397,25.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них согласятся на предложения конкурентов.,4.25,I,,stimul,221,14.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них созвонятся с поставщиками продуктов.,5.545454545454546,E,,stimul,157,10.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,6.0
Все из них справятся с заменой лампочек.,5.333333333333333,F,,stimul,173,11.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,5.0
Все из них съездят в отдалённые деревни.,3.6666666666666665,O,,stimul,317,20.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Все из них сыграют на акустической гитаре.,5.3,H,,stimul,205,13.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,5.0
Все из них сядут за первые парты.,5.0,B,,stimul,621,39.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,5.0
Все из них уволятся с нынешних позиций.,4.2,M,,stimul,285,18.0,"they, elect, 3pl",vse,elect,they,3pl,Belova_2023_1,4.0
Двое из нас остановимся в дешёвых хостелах.,1.6,G,,stimul,97,7.0,"we, elect, 1pl",dvoje,elect,we,1pl,Belova_2023_1,2.0
Двое из нас остановится в дешёвых хостелах.,3.25,I,,stimul,99,7.0,"we, elect, 3sg",dvoje,elect,we,3sg,Belova_2023_1,3.0
Двое из нас остановятся в дешёвых хостелах.,6.1,H,,stimul,98,7.0,"we, elect, 3pl",dvoje,elect,we,3pl,Belova_2023_1,6.0
Двое из нас отчитаемся за выполненные задачи.,2.25,J,,stimul,673,43.0,"we, elect, 1pl",dvoje,elect,we,1pl,Belova_2023_1,2.0
Двое из нас отчитается за выполненные задачи.,5.0,L,,stimul,675,43.0,"we, elect, 3sg",dvoje,elect,we,3sg,Belova_2023_1,5.0
Двое из нас отчитаются за выполненные задачи.,6.0,K,,stimul,674,43.0,"we, elect, 3pl",dvoje,elect,we,3pl,Belova_2023_1,6.0
Двое из нас переночуем в больших палатках.,2.2222222222222223,B,,stimul,289,19.0,"we, elect, 1pl",dvoje,elect,we,1pl,Belova_2023_1,2.0
Двое из нас переночуют в больших палатках.,6.5,C,,stimul,290,19.0,"we, elect, 3pl",dvoje,elect,we,3pl,Belova_2023_1,6.0
Двое из нас победим на конкурсе чтецов.,2.75,D,,stimul,577,37.0,"we, elect, 1pl",dvoje,elect,we,1pl,Belova_2023_1,3.0
Двое из нас победит на конкурсе чтецов.,1.6666666666666667,F,,stimul,579,37.0,"we, elect, 3sg",dvoje,elect,we,3sg,Belova_2023_1,2.0
Двое из нас победят на конкурсе чтецов.,6.0,E,,stimul,578,37.0,"we, elect, 3pl",dvoje,elect,we,3pl,Belova_2023_1,6.0
Двое из нас порыбачим в лесных озёрах.,1.6666666666666667,N,,stimul,481,31.0,"we, elect, 1pl",dvoje,elect,we,1pl,Belova_2023_1,2.0
Двое из нас порыбачит в лесных озёрах.,3.0,P,,stimul,483,31.0,"we, elect, 3sg",dvoje,elect,we,3sg,Belova_2023_1,3.0
Двое из нас порыбочат в лесных озёрах.,3.0,O,,stimul,482,31.0,"we, elect, 3pl",dvoje,elect,we,3pl,Belova_2023_1,3.0
Двое из нас придут на пятничную вечеринку.,5.8,B,,stimul,2,1.0,"we, elect, 3pl",dvoje,elect,we,3pl,Belova_2023_1,6.0
Двое из нас придём на пятничную вечеринку.,1.8333333333333333,A,,stimul,1,1.0,"we, elect, 1pl",dvoje,elect,we,1pl,Belova_2023_1,2.0
Двое из нас придёт на пятничную вечеринку.,3.5,C,,stimul,3,1.0,"we, elect, 3sg",dvoje,elect,we,3sg,Belova_2023_1,4.0
Двое из нас свяжемся со свадебными фотографами.,2.0,H,,stimul,385,25.0,"we, elect, 1pl",dvoje,elect,we,1pl,Belova_2023_1,2.0
Двое из нас свяжется со свадебными фотографами.,2.75,J,,stimul,387,25.0,"we, elect, 3sg",dvoje,elect,we,3sg,Belova_2023_1,3.0
Двое из нас свяжутся со свадебными фотографами.,6.25,I,,stimul,386,25.0,"we, elect, 3pl",dvoje,elect,we,3pl,Belova_2023_1,6.0
Двое из нас сыграем на акустической гитаре.,3.75,L,,stimul,193,13.0,"we, elect, 1pl",dvoje,elect,we,1pl,Belova_2023_1,4.0
Двое из нас сыграет на акустической гитаре.,2.583333333333333,N,,stimul,195,13.0,"we, elect, 3sg",dvoje,elect,we,3sg,Belova_2023_1,3.0
Двое из нас сыграют на акустической гитаре.,6.0,M,,stimul,194,13.0,"we, elect, 3pl",dvoje,elect,we,3pl,Belova_2023_1,6.0
Двое из них остановится в дешёвых хостелах.,2.7,K,,stimul,101,7.0,"they, elect, 3sg",dvoje,elect,they,3sg,Belova_2023_1,3.0
Двое из них остановятся в дешёвых хостелах.,5.0,J,,stimul,100,7.0,"they, elect, 3pl",dvoje,elect,they,3pl,Belova_2023_1,5.0
Двое из них отчитается за выполненные задачи.,3.2222222222222223,N,,stimul,677,43.0,"they, elect, 3sg",dvoje,elect,they,3sg,Belova_2023_1,3.0
Двое из них отчитаются за выполненные задачи.,5.8,M,,stimul,676,43.0,"they, elect, 3pl",dvoje,elect,they,3pl,Belova_2023_1,6.0
Двое из них переночует в больших палатках.,5.5,F,,stimul,293,19.0,"they, elect, 3sg",dvoje,elect,they,3sg,Belova_2023_1,6.0
Двое из них переночуют в больших палатках.,6.181818181818182,E,,stimul,292,19.0,"they, elect, 3pl",dvoje,elect,they,3pl,Belova_2023_1,6.0
Двое из них победит на конкурсе чтецов.,2.9,H,,stimul,581,37.0,"they, elect, 3sg",dvoje,elect,they,3sg,Belova_2023_1,3.0
Двое из них победят на конкурсе чтецов.,5.8,G,,stimul,580,37.0,"they, elect, 3pl",dvoje,elect,they,3pl,Belova_2023_1,6.0
Двое из них порыбачат в лесных озёрах.,6.0,A,,stimul,484,31.0,"they, elect, 3pl",dvoje,elect,they,3pl,Belova_2023_1,6.0
Двое из них порыбачит в лесных озёрах.,3.4,B,,stimul,485,31.0,"they, elect, 3sg",dvoje,elect,they,3sg,Belova_2023_1,3.0
Двое из них придут на пятничную вечеринку.,6.75,D,,stimul,4,1.0,"they, elect, 3pl",dvoje,elect,they,3pl,Belova_2023_1,7.0
Двое из них придёт на пятничную вечеринку.,3.1818181818181817,E,,stimul,5,1.0,"they, elect, 3sg",dvoje,elect,they,3sg,Belova_2023_1,3.0
Двое из них свяжется со свадебными фотографами.,1.25,L,,stimul,389,25.0,"they, elect, 3sg",dvoje,elect,they,3sg,Belova_2023_1,1.0
Двое из них свяжутся со свадебными фотографами.,5.090909090909091,K,,stimul,388,25.0,"they, elect, 3pl",dvoje,elect,they,3pl,Belova_2023_1,5.0
Двое из них сыграют на акустической гитаре.,6.333333333333333,O,,stimul,196,13.0,"they, elect, 3pl",dvoje,elect,they,3pl,Belova_2023_1,6.0
Мы все вернутся в гостиничные номера.,3.0,L,,stimul,239,15.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,3.0
Мы все вернёмся в гостиничные номера.,6.0,K,,stimul,238,15.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все вложатся в перспективные акции.,2.0,I,,stimul,703,44.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все вложимся в перспективные акции.,6.6,H,,stimul,702,44.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,7.0
Мы все вмешаемся в важные переговоры.,3.25,I,,stimul,462,29.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,3.0
Мы все вмешаются в важные переговоры.,1.25,J,,stimul,463,29.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
