sentence,response,group,filler_type,type,sentence_id,lexicalization,condition,quant,strategy,pronoun,verb,author,response_round
В дешёвых хостелах остановится мы двое.,1.875,H,,stimul,104,7.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В дешёвых хостелах остановится они двое.,1.5555555555555556,J,,stimul,106,7.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
В дешёвых хостелах остановятся все из нас.,3.4444444444444446,L,,stimul,108,7.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
В дешёвых хостелах остановятся все из них.,4.111111111111111,M,,stimul,109,7.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В дешёвых хостелах остановятся двое из нас.,5.222222222222222,B,,stimul,98,7.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
В дешёвых хостелах остановятся двое из них.,5.222222222222222,D,,stimul,100,7.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,5.0
В дешёвых хостелах остановятся мы все.,2.625,O,,stimul,111,7.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
В дешёвых хостелах остановятся мы двое.,2.2,G,,stimul,103,7.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В дешёвых хостелах остановятся они все.,4.222222222222222,P,,stimul,112,7.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
В дешёвых хостелах остановятся они двое.,3.0,I,,stimul,105,7.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В карнавальные костюмы переоденемся все из нас.,2.555555555555556,K,,stimul,91,6.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В карнавальные костюмы переоденемся мы все.,4.125,N,,stimul,94,6.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
В карнавальные костюмы переоденемся мы семеро.,4.625,F,,stimul,86,6.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,5.0
В карнавальные костюмы переоденемся семеро из нас.,3.0,A,,stimul,81,6.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
В карнавальные костюмы переоденется мы семеро.,2.875,H,,stimul,88,6.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,3.0
В карнавальные костюмы переоденется они семеро,1.2222222222222223,J,,stimul,90,6.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,1.0
В карнавальные костюмы переоденется семеро из нас.,4.888888888888889,C,,stimul,83,6.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
В карнавальные костюмы переоденется семеро из них.,4.333333333333333,E,,stimul,85,6.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
В карнавальные костюмы переоденутся все из нас.,4.555555555555555,L,,stimul,92,6.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,5.0
В карнавальные костюмы переоденутся все из них.,4.111111111111111,M,,stimul,93,6.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В карнавальные костюмы переоденутся мы все.,2.857142857142857,O,,stimul,95,6.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
В карнавальные костюмы переоденутся мы семеро.,2.0,G,,stimul,87,6.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В карнавальные костюмы переоденутся они все.,4.555555555555555,P,,stimul,96,6.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
В карнавальные костюмы переоденутся они семеро.,3.111111111111111,I,,stimul,89,6.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В карнавальные костюмы переоденутся семеро из нас.,5.333333333333333,B,,stimul,82,6.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
В карнавальные костюмы переоденутся семеро из них.,5.444444444444445,D,,stimul,84,6.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,5.0
В крещенской проруби искупаемся все из нас.,2.555555555555556,K,,stimul,59,4.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В крещенской проруби искупаемся мы все.,4.375,N,,stimul,62,4.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
В крещенской проруби искупаемся мы пятеро.,4.125,F,,stimul,54,4.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В крещенской проруби искупаемся пятеро из нас.,2.6666666666666665,A,,stimul,49,4.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
В крещенской проруби искупается мы пятеро.,2.0,H,,stimul,56,4.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В крещенской проруби искупается они пятеро.,1.3333333333333333,J,,stimul,58,4.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,1.0
В крещенской проруби искупается пятеро из нас.,5.625,C,,stimul,51,4.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,6.0
В крещенской проруби искупается пятеро из них.,4.666666666666667,E,,stimul,53,4.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,5.0
В крещенской проруби искупаются все из нас.,3.2222222222222223,L,,stimul,60,4.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
В крещенской проруби искупаются все из них.,4.222222222222222,M,,stimul,61,4.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В крещенской проруби искупаются мы все.,2.625,O,,stimul,63,4.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
В крещенской проруби искупаются мы пятеро.,1.4,G,,stimul,55,4.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,1.0
В крещенской проруби искупаются они все.,4.555555555555555,P,,stimul,64,4.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
В крещенской проруби искупаются они пятеро.,2.625,I,,stimul,57,4.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В крещенской проруби искупаются пятеро из нас.,5.777777777777778,B,,stimul,50,4.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
В крещенской проруби искупаются пятеро из них.,6.0,D,,stimul,52,4.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
В лесных озёрах порыбачат все из нас.,3.6666666666666665,L,,stimul,492,31.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
В лесных озёрах порыбачат все из них.,4.444444444444445,M,,stimul,493,31.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В лесных озёрах порыбачат двое из нас.,5.111111111111111,B,,stimul,482,31.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
В лесных озёрах порыбачат двое из них.,6.0,D,,stimul,484,31.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
В лесных озёрах порыбачат мы все.,2.125,O,,stimul,495,31.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
В лесных озёрах порыбачат мы двое.,2.2,G,,stimul,487,31.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В лесных озёрах порыбачат они все.,4.444444444444445,P,,stimul,496,31.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
В лесных озёрах порыбачат они двое.,3.0,I,,stimul,489,31.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В лесных озёрах порыбачим все из нас.,2.7777777777777777,K,,stimul,491,31.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В лесных озёрах порыбачим двое из нас.,2.4444444444444446,A,,stimul,481,31.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
В лесных озёрах порыбачим мы все.,4.375,N,,stimul,494,31.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
В лесных озёрах порыбачим мы двое.,4.125,F,,stimul,486,31.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В лесных озёрах порыбачит двое из нас.,4.388888888888889,C,,stimul,483,31.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,4.0
В лесных озёрах порыбачит мы двое.,1.875,H,,stimul,488,31.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В лесных озёрах порыбачит она двое.,1.5555555555555556,J,,stimul,490,31.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
В научных журналах опубликется мы трое.,1.875,H,,stimul,24,2.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В научных журналах опубликуемся все из нас.,2.555555555555556,K,,stimul,27,2.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В научных журналах опубликуемся мы все.,3.375,N,,stimul,30,2.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,3.0
В научных журналах опубликуемся мы трое.,3.75,F,,stimul,22,2.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В научных журналах опубликуемся трое из нас.,2.555555555555556,A,,stimul,17,2.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
В научных журналах опубликуется они трое.,1.8888888888888888,J,,stimul,26,2.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
В научных журналах опубликуется трое из нас.,4.666666666666667,C,,stimul,19,2.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
В научных журналах опубликуется трое из них.,4.333333333333333,E,,stimul,21,2.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
В научных журналах опубликуются все из нас.,2.7777777777777777,L,,stimul,28,2.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
В научных журналах опубликуются все из них.,4.222222222222222,M,,stimul,29,2.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В научных журналах опубликуются мы все.,2.5,O,,stimul,31,2.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
В научных журналах опубликуются мы трое.,2.7,G,,stimul,23,2.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,3.0
В научных журналах опубликуются они все.,4.111111111111111,P,,stimul,32,2.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
В научных журналах опубликуются они трое.,3.2222222222222223,I,,stimul,25,2.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В научных журналах опубликуются трое из нас.,4.555555555555555,B,,stimul,18,2.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
В научных журналах опубликуются трое из них.,5.555555555555555,D,,stimul,20,2.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
В отдалённые деревни съездим все из нас.,2.4444444444444446,K,,stimul,315,20.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,2.0
В отдалённые деревни съездим мы все.,4.0,N,,stimul,318,20.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
В отдалённые деревни съездим мы трое.,4.714285714285714,F,,stimul,310,20.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,5.0
В отдалённые деревни съездим трое из нас.,2.6666666666666665,A,,stimul,305,20.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
В отдалённые деревни съездит мы трое.,1.75,H,,stimul,312,20.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В отдалённые деревни съездит они трое.,1.25,J,,stimul,314,20.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,1.0
В отдалённые деревни съездит трое из нас.,4.333333333333333,C,,stimul,307,20.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,4.0
В отдалённые деревни съездит трое из них.,3.2222222222222223,E,,stimul,309,20.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,3.0
В отдалённые деревни съездят все из нас.,3.6666666666666665,L,,stimul,316,20.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
В отдалённые деревни съездят мы все.,2.7142857142857144,O,,stimul,319,20.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
В отдалённые деревни съездят мы трое.,2.5,G,,stimul,311,20.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В отдалённые деревни съездят они все.,3.6666666666666665,P,,stimul,320,20.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
В отдалённые деревни съездят они трое.,2.6666666666666665,I,,stimul,313,20.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В отдалённые деревни съездят трое из нас.,4.888888888888889,B,,stimul,306,20.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
В отдалённые деревни съездят трое из них.,6.0,D,,stimul,308,20.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
В перспективные акции вложатся все из нас.,3.555555555555556,L,,stimul,700,44.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
В перспективные акции вложатся все из них.,4.222222222222222,M,,stimul,701,44.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В перспективные акции вложатся мы все.,2.571428571428572,O,,stimul,703,44.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
В перспективные акции вложатся мы трое.,2.1,G,,stimul,695,44.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В перспективные акции вложатся они все.,4.444444444444445,P,,stimul,704,44.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
В перспективные акции вложатся они трое.,3.333333333333333,I,,stimul,697,44.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В перспективные акции вложатся трое из нас.,5.333333333333333,B,,stimul,690,44.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
В перспективные акции вложатся трое из них.,5.888888888888889,D,,stimul,692,44.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
В перспективные акции вложимся все из нас.,2.6666666666666665,K,,stimul,699,44.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В перспективные акции вложимся мы все.,5.375,N,,stimul,702,44.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,5.0
В перспективные акции вложимся мы трое.,4.5,F,,stimul,694,44.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В перспективные акции вложимся трое из нас.,2.2222222222222223,A,,stimul,689,44.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
В перспективные акции вложится мы трое.,2.25,H,,stimul,696,44.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В перспективные акции вложится они трое.,1.8888888888888888,J,,stimul,698,44.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
В перспективные акции вложится трое из нас.,5.111111111111111,C,,stimul,691,44.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
В перспективные акции вложится трое из них.,3.7777777777777777,E,,stimul,693,44.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
В разные аэропорты прилетим все из нас.,2.333333333333333,K,,stimul,123,8.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,2.0
В разные аэропорты прилетим мы все.,2.875,N,,stimul,126,8.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,3.0
В разные аэропорты прилетим мы трое.,4.0,F,,stimul,118,8.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
