experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,conjuncts,agreement,conjunction,order
Davidjuk_2023,Я или Лёва произнесут эту торжественную речь.,3.9,4.0,coordination,stimul,30,236,I_noun,3pl,or,SV
Davidjuk_2023,"И я, и Гриша сыграем шахматную партию.",4.5,4.0,coordination,stimul,29,230,I_noun,1pl,and_and,SV
Davidjuk_2023,Я и Миша сдадут вступительный экзамен.,3.3,3.0,coordination,stimul,8,60,I_noun,3pl,and,SV
Davidjuk_2023,"Или Паша, или я посетят этот научный семинар.",3.9,4.0,coordination,stimul,16,128,noun_I,3pl,or_or,SV
Davidjuk_2023,Вася придумает фантастические повесть.,2.670886075949367,3.0,bad,filler,33,285,,,,
Davidjuk_2023,Я и Яша приготовит вкусный обед.,2.4,2.0,coordination,stimul,30,235,I_noun,3sg,and,SV
Davidjuk_2023,Игорь или я совершат это далёкое путешествие.,4.2,4.0,coordination,stimul,13,100,noun_I,3pl,or,SV
Davidjuk_2023,"Или я, или Миша исправит эту случайную ошибку.",3.3,3.0,coordination,stimul,31,247,I_noun,3sg,or_or,SV
Davidjuk_2023,"Или я, или Андрей увидит этот кукольный спектакль.",3.5,4.0,coordination,stimul,2,15,I_noun,3sg,or_or,SV
Davidjuk_2023,"Или Игорь, или я совершим это далёкое путешествие.",5.3,5.0,coordination,stimul,13,102,noun_I,1pl,or_or,SV
Davidjuk_2023,Гриша сварит овсяную кашу.,6.560509554140127,7.0,good,filler,33,259,,,,
Davidjuk_2023,"Или я, или Влад покрасит этот новый забор.",3.2,3.0,coordination,stimul,21,167,I_noun,3sg,or_or,SV
Davidjuk_2023,Миша и я сдадут вступительный экзамен.,2.7,3.0,coordination,stimul,8,60,noun_I,3pl,and,SV
Davidjuk_2023,Я или Гриша переведу эту английскую фразу.,3.2,3.0,coordination,stimul,25,193,I_noun,1sg,or,SV
Davidjuk_2023,"Или я, или Стёпа исполнит эту оперную арию.",2.7,3.0,coordination,stimul,4,31,I_noun,3sg,or_or,SV
Davidjuk_2023,"И Никита, и я внесу небольшой аванс.",2.0,2.0,coordination,stimul,31,245,noun_I,1sg,and_and,SV
Davidjuk_2023,"Или Олег, или я подпишем это деловое соглашение.",4.181818181818182,4.0,coordination,stimul,17,134,noun_I,1pl,or_or,SV
Davidjuk_2023,Кирилл взвесит посылку или бандероль.,6.2625,6.0,good,filler,33,267,,,,
Davidjuk_2023,"Или я, или Вадим соберут этот нужный материал.",3.3,3.0,coordination,stimul,9,72,I_noun,3pl,or_or,SV
Davidjuk_2023,Юра или я устроим этот детский праздник.,3.8,4.0,coordination,stimul,12,90,noun_I,1pl,or,SV
Davidjuk_2023,"Или Вова, или я споём эту весёлую песню.",5.0,5.0,coordination,stimul,3,22,noun_I,1pl,or_or,SV
Davidjuk_2023,"Или я, или Максим приобретём этот старинный дом.",4.6,5.0,coordination,stimul,22,174,I_noun,1pl,or_or,SV
Davidjuk_2023,Олег и я уточню необходимую информацию.,2.9,3.0,coordination,stimul,14,105,noun_I,1sg,and,SV
Davidjuk_2023,Я и Паша посещу исторический музей.,1.9,2.0,coordination,stimul,11,81,I_noun,1sg,and,SV
Davidjuk_2023,"И я, и Илья выполнит срочное поручение.",2.2222222222222223,2.0,coordination,stimul,19,151,I_noun,3sg,and_and,SV
Davidjuk_2023,Ваня и я возьму краткосрочный отпуск.,2.6,3.0,coordination,stimul,6,41,noun_I,1sg,and,SV
Davidjuk_2023,"Или Стёпа, или я исполним эту оперную арию.",4.4,4.0,coordination,stimul,4,30,noun_I,1pl,or_or,SV
Davidjuk_2023,Лёва или я решим эту сложную задачу.,4.8,5.0,coordination,stimul,11,82,noun_I,1pl,or,SV
Davidjuk_2023,Олег и я уточнят необходимую информацию.,3.3,3.0,coordination,stimul,14,108,noun_I,3pl,and,SV
Davidjuk_2023,"Или Митя, или я составлю этот длинный список.",3.6,4.0,coordination,stimul,29,229,noun_I,1sg,or_or,SV
Davidjuk_2023,Я и Максим прогуляют последний урок.,2.333333333333333,2.0,coordination,stimul,32,252,I_noun,3pl,and,SV
Davidjuk_2023,"И Максим, и я прогуляем последний урок.",5.3,5.0,coordination,stimul,32,254,noun_I,1pl,and_and,SV
Davidjuk_2023,"И я, и Вова спою весёлую песню.",2.0,2.0,coordination,stimul,7,53,I_noun,1sg,and_and,SV
Davidjuk_2023,Кирилл или я прополем эту капустную грядку.,5.555555555555555,6.0,coordination,stimul,10,74,noun_I,1pl,or,SV
Davidjuk_2023,"Или Лёва, или Кирилл изучим эту научную статью.",3.2884615384615383,3.0,bad,filler,33,276,,,,
Davidjuk_2023,"Или Митя, или я составим этот длинный список.",5.3,5.0,coordination,stimul,29,230,noun_I,1pl,or_or,SV
Davidjuk_2023,Я или Илья выполним это срочное задание.,4.9,5.0,coordination,stimul,7,50,I_noun,1pl,or,SV
Davidjuk_2023,Дима и я послушаем праздничный концерт.,5.8,6.0,coordination,stimul,17,130,noun_I,1pl,and,SV
Davidjuk_2023,Я и Вадим соберут нужный материал.,2.7,3.0,coordination,stimul,23,180,I_noun,3pl,and,SV
Davidjuk_2023,"И Денис, и я пропущу финальный матч.",3.6,4.0,coordination,stimul,12,93,noun_I,1sg,and_and,SV
Davidjuk_2023,Юра и я устроят детский праздник.,3.5,4.0,coordination,stimul,26,204,noun_I,3pl,and,SV
Davidjuk_2023,Яша или я закажем этот дорогой десерт.,4.4,4.0,coordination,stimul,24,186,noun_I,1pl,or,SV
Davidjuk_2023,Я и Лёва решим сложную задачу.,5.5,6.0,coordination,stimul,25,194,I_noun,1pl,and,SV
Davidjuk_2023,Я и Влад покажу короткую дорогу.,1.9,2.0,coordination,stimul,13,97,I_noun,1sg,and,SV
Davidjuk_2023,"И я, и Костя расскажет интересную историю.",1.6,2.0,coordination,stimul,22,174,I_noun,1pl,and_and,SV
Davidjuk_2023,Я и Вова споют весёлую песню.,3.3,3.0,coordination,stimul,7,52,I_noun,3pl,and,SV
Davidjuk_2023,Максим и я прогуляет последний урок.,1.5,2.0,coordination,stimul,32,251,noun_I,3sg,and,SV
Davidjuk_2023,"Или я, или Яша закажу этот дорогой десерт.",3.1,3.0,coordination,stimul,24,189,I_noun,1sg,or_or,SV
Davidjuk_2023,"И я, и Никита внесут небольшой аванс.",2.9,3.0,coordination,stimul,31,248,I_noun,3pl,and_and,SV
Davidjuk_2023,Денис и я пропустим финальный матч.,5.5,6.0,coordination,stimul,12,90,noun_I,1pl,and,SV
Davidjuk_2023,Я или Кирилл прополет эту капустную грядку.,4.1,4.0,coordination,stimul,10,75,I_noun,3sg,or,SV
Davidjuk_2023,"И Володя, и я приобрету ценный опыт.",3.1,3.0,coordination,stimul,16,125,noun_I,1sg,and_and,SV
Davidjuk_2023,Я и Стёпа попробую яблочный пирог.,2.333333333333333,2.0,coordination,stimul,9,65,I_noun,1sg,and,SV
Davidjuk_2023,"И я, и Ваня возьмут краткосрочный отпуск.",2.8,3.0,coordination,stimul,6,48,I_noun,3pl,and_and,SV
Davidjuk_2023,Я или Илья выполнят это срочное задание.,3.25,3.0,coordination,stimul,7,52,I_noun,3pl,or,SV
Davidjuk_2023,Я или Андрей увижу этот кукольный спектакль.,2.3,2.0,coordination,stimul,2,9,I_noun,1sg,or,SV
Davidjuk_2023,Я или Кирилл прополют эту капустную грядку.,4.0,4.0,coordination,stimul,10,76,I_noun,3pl,or,SV
Davidjuk_2023,Я и Володя приобретут ценный опыт.,3.1,3.0,coordination,stimul,16,124,I_noun,3pl,and,SV
Davidjuk_2023,Влад или я покрасит этот новый забор.,2.8,3.0,coordination,stimul,21,163,noun_I,3sg,or,SV
Davidjuk_2023,"И Вадим, и я соберёт нужный материал.",2.7,3.0,coordination,stimul,23,183,noun_I,3sg,and_and,SV
Davidjuk_2023,"И я, и Володя приобрету ценный опыт.",2.2,2.0,coordination,stimul,16,125,I_noun,1sg,and_and,SV
Davidjuk_2023,Я и Володя приобретёт ценный опыт.,3.7,4.0,coordination,stimul,16,123,I_noun,3sg,and,SV
Davidjuk_2023,"Или Вова, или я спою эту весёлую песню.",4.4,4.0,coordination,stimul,3,21,noun_I,1sg,or_or,SV
Davidjuk_2023,"Или Кирилл, или я прополю эту капустную грядку.",3.5454545454545454,4.0,coordination,stimul,10,77,noun_I,1sg,or_or,SV
Davidjuk_2023,Илья или я выполнят это срочное задание.,3.7,4.0,coordination,stimul,7,52,noun_I,3pl,or,SV
Davidjuk_2023,Вадим и я соберу нужный материал.,2.2222222222222223,2.0,coordination,stimul,23,177,noun_I,1sg,and,SV
Davidjuk_2023,Я или Олег подпишем это деловое соглашение.,4.5,4.0,coordination,stimul,17,130,I_noun,1pl,or,SV
Davidjuk_2023,"Или Дима, или я послушаем это голосовое сообщение.",4.1,4.0,coordination,stimul,5,38,noun_I,1pl,or_or,SV
Davidjuk_2023,"Или я, или Лёва произнесут эту торжественную речь.",4.666666666666667,5.0,coordination,stimul,30,240,I_noun,3pl,or_or,SV
Davidjuk_2023,"И Кирилл, и я прополют капустную грядку.",2.7,3.0,coordination,stimul,24,192,noun_I,3pl,and_and,SV
Davidjuk_2023,Я и Илья выполнит срочное поручение.,2.0,2.0,coordination,stimul,19,147,I_noun,3sg,and,SV
Davidjuk_2023,Никита покрасит эту дубовую дверь.,6.48125,6.0,good,filler,33,259,,,,
Davidjuk_2023,Я или Гоша начнёт этот непростой разговор.,2.6666666666666665,3.0,coordination,stimul,28,219,I_noun,3sg,or,SV
Davidjuk_2023,Я и Гена продолжат заочное обучение.,3.5,4.0,coordination,stimul,15,116,I_noun,3pl,and,SV
Davidjuk_2023,Гена или я раскроем это подлое преступление.,5.6,6.0,coordination,stimul,23,178,noun_I,1pl,or,SV
Davidjuk_2023,Денис и я пропустят финальный матч.,3.1,3.0,coordination,stimul,12,92,noun_I,3pl,and,SV
Davidjuk_2023,Яша и я приготовит вкусный обед.,2.3,2.0,coordination,stimul,30,235,noun_I,3sg,and,SV
Davidjuk_2023,"И Илья, и я выполнит срочное поручение.",2.8,3.0,coordination,stimul,19,151,noun_I,3sg,and_and,SV
Davidjuk_2023,Стёпа или я исполним эту оперную арию.,4.2,4.0,coordination,stimul,4,26,noun_I,1pl,or,SV
Davidjuk_2023,Я и Боря подготовлю промежуточный отчёт.,2.2222222222222223,2.0,coordination,stimul,21,161,I_noun,1sg,and,SV
Davidjuk_2023,"И Олег, и я уточнят необходимую информацию.",3.3,3.0,coordination,stimul,14,112,noun_I,3pl,and_and,SV
Davidjuk_2023,"Или Боря, или я закончу эту шахматную партию.",3.4444444444444446,3.0,coordination,stimul,27,213,noun_I,1sg,or_or,SV
Davidjuk_2023,"И я, и Паша посещу исторический музей.",2.2,2.0,coordination,stimul,11,85,I_noun,1sg,and_and,SV
Davidjuk_2023,"Или я, или Кирилл прополю эту капустную грядку.",2.5,2.0,coordination,stimul,10,77,I_noun,1sg,or_or,SV
Davidjuk_2023,Вася получит медаль или кубок.,6.48125,6.0,good,filler,33,272,,,,
Davidjuk_2023,"И Максим, и я прогуляю последний урок.",2.9,3.0,coordination,stimul,32,253,noun_I,1sg,and_and,SV
Davidjuk_2023,"Или Ваня, или я отправит это заказное письмо.",3.7,4.0,coordination,stimul,18,143,noun_I,3sg,or_or,SV
Davidjuk_2023,"Или Гриша, или я переведут эту английскую фразу.",3.9,4.0,coordination,stimul,25,200,noun_I,3pl,or_or,SV
Davidjuk_2023,"И Максим, и я прогуляет последний урок.",2.1,2.0,coordination,stimul,32,255,noun_I,3sg,and_and,SV
Davidjuk_2023,Володя и я приобретёт ценный опыт.,2.1,2.0,coordination,stimul,16,123,noun_I,3sg,and,SV
Davidjuk_2023,"Или я, или Паша посещу этот научный семинар.",2.8,3.0,coordination,stimul,16,125,I_noun,1sg,or_or,SV
Davidjuk_2023,Андрей наденет эту тёплую куртку.,6.40625,6.0,good,filler,33,258,,,,
Davidjuk_2023,"Или я, или Вова спою эту весёлую песню.",2.9,3.0,coordination,stimul,3,21,I_noun,1sg,or_or,SV
Davidjuk_2023,Слава и я получим двойную зарплату.,4.1,4.0,coordination,stimul,5,34,noun_I,1pl,and,SV
Davidjuk_2023,Я или Вася проведу это экстренное совещание.,4.0,4.0,coordination,stimul,1,1,I_noun,1sg,or,SV
Davidjuk_2023,"И я, и Денис пропустит финальный матч.",3.0,3.0,coordination,stimul,12,95,I_noun,3sg,and_and,SV
Davidjuk_2023,Саша или я отнесёт это тяжёлое ведро.,3.6,4.0,coordination,stimul,32,251,noun_I,3sg,or,SV
Davidjuk_2023,Рома скачает детективный сериал.,6.40251572327044,6.0,good,filler,33,268,,,,
Davidjuk_2023,Я и Никита внесут небольшой аванс.,2.9,3.0,coordination,stimul,31,244,I_noun,3pl,and,SV
Davidjuk_2023,Я и Илья выполнят срочное поручение.,2.2,2.0,coordination,stimul,19,148,I_noun,3pl,and,SV
Davidjuk_2023,"Или Гена, или я раскрою это подлое преступление.",3.333333333333333,3.0,coordination,stimul,23,181,noun_I,1sg,or_or,SV
Davidjuk_2023,"Или я, или Кирилл прополют эту капустную грядку.",4.1,4.0,coordination,stimul,10,80,I_noun,3pl,or_or,SV
Davidjuk_2023,"Или я, или Вадим соберу этот нужный материал.",2.9,3.0,coordination,stimul,9,69,I_noun,1sg,or_or,SV
Davidjuk_2023,"Или Петя, или я поднимем этот важный вопрос.",4.8,5.0,coordination,stimul,15,118,noun_I,1pl,or_or,SV
Davidjuk_2023,"Или я, или Илья выполню это срочное задание.",3.3,3.0,coordination,stimul,7,53,I_noun,1sg,or_or,SV
Davidjuk_2023,"И я, и Слава получим двойную зарплату.",3.6,4.0,coordination,stimul,5,38,I_noun,1pl,and_and,SV
Davidjuk_2023,Лёва или я произнесёт эту торжественную речь.,4.4,4.0,coordination,stimul,30,235,noun_I,3sg,or,SV
Davidjuk_2023,Я или Егор прочитаем эту вводную лекцию.,5.2,5.0,coordination,stimul,6,42,I_noun,1pl,or,SV
Davidjuk_2023,Я и Андрей увидит кукольный спектакль.,1.8,2.0,coordination,stimul,4,27,I_noun,3sg,and,SV
Davidjuk_2023,"Или Гена, или я раскроют это подлое преступление.",3.090909090909091,3.0,coordination,stimul,23,184,noun_I,3pl,or_or,SV
Davidjuk_2023,Максим и я сделаем домашнее задание.,4.7,5.0,coordination,stimul,3,18,noun_I,1pl,and,SV
Davidjuk_2023,"И я, и Вадим соберу нужный материал.",1.8,2.0,coordination,stimul,23,181,I_noun,1sg,and_and,SV
Davidjuk_2023,"И Яша, и я приготовлю вкусный обед.",1.7,2.0,coordination,stimul,30,237,noun_I,1sg,and_and,SV
Davidjuk_2023,"Или Никита, или я побелит этот высокий потолок.",3.2,3.0,coordination,stimul,20,159,noun_I,3sg,or_or,SV
Davidjuk_2023,"Или Игорь, или я совершат это далёкое путешествие.",3.0,3.0,coordination,stimul,13,104,noun_I,3pl,or_or,SV
Davidjuk_2023,Володя спрячет подарок и цветы.,5.839743589743589,6.0,good,filler,33,261,,,,
Davidjuk_2023,"Или Боря, или я закончит эту шахматную партию.",2.3,2.0,coordination,stimul,27,215,noun_I,3sg,or_or,SV
Davidjuk_2023,"И я, и Кирилл прополет капустную грядку.",2.4,2.0,coordination,stimul,24,191,I_noun,3sg,and_and,SV
Davidjuk_2023,"И я, и Игорь совершат далёкое путешествие.",2.4,2.0,coordination,stimul,28,224,I_noun,3pl,and_and,SV
Davidjuk_2023,"И Данила, и я найдёт верный ответ.",1.4,1.0,coordination,stimul,20,159,noun_I,3sg,and_and,SV
Davidjuk_2023,"И Петя, и я нарисует подробную схему.",2.1,2.0,coordination,stimul,1,7,noun_I,3sg,and_and,SV
Davidjuk_2023,"Ваня напишет и реферат, и курсовую.",5.373417721518988,5.0,good,filler,33,257,,,,
Davidjuk_2023,Вадим или я соберёт этот нужный материал.,3.2,3.0,coordination,stimul,9,67,noun_I,3sg,or,SV
Davidjuk_2023,Слава и я получат двойную зарплату.,3.8,4.0,coordination,stimul,5,36,noun_I,3pl,and,SV
Davidjuk_2023,"И Боря, и я подготовлю промежуточный отчёт.",2.8,3.0,coordination,stimul,21,165,noun_I,1sg,and_and,SV
Davidjuk_2023,Влад и я покажем короткую дорогу.,4.0,4.0,coordination,stimul,13,98,noun_I,1pl,and,SV
Davidjuk_2023,Саша или я отнесём это тяжёлое ведро.,4.8,5.0,coordination,stimul,32,250,noun_I,1pl,or,SV
Davidjuk_2023,"И я, и Ваня возьмёт краткосрочный отпуск.",2.1,2.0,coordination,stimul,6,47,I_noun,3sg,and_and,SV
Davidjuk_2023,"Или Федя, или я выиграем этот теннисный турнир.",4.3,4.0,coordination,stimul,26,206,noun_I,1pl,or_or,SV
Davidjuk_2023,"Или я, или Вася проведём это экстренное совещание.",4.7,5.0,coordination,stimul,1,6,I_noun,1pl,or_or,SV
Davidjuk_2023,Я или Егор прочитает эту вводную лекцию.,3.7777777777777777,4.0,coordination,stimul,6,43,I_noun,3sg,or,SV
Davidjuk_2023,"И Слава, и я получу двойную зарплату.",3.2222222222222223,3.0,coordination,stimul,5,37,noun_I,1sg,and_and,SV
Davidjuk_2023,Андрей и я увидят кукольный спектакль.,2.555555555555556,3.0,coordination,stimul,4,28,noun_I,3pl,and,SV
Davidjuk_2023,Я и Лёва решит сложную задачу.,2.0,2.0,coordination,stimul,25,195,I_noun,3sg,and,SV
Davidjuk_2023,"Или Никита, или я внесу этот небольшой аванс.",3.4444444444444446,3.0,coordination,stimul,14,109,noun_I,1sg,or_or,SV
Davidjuk_2023,Я или Слава купим эту известную картину.,5.9,6.0,coordination,stimul,19,146,I_noun,1pl,or,SV
Davidjuk_2023,Кеша заправит грузовые автомобиль.,2.948051948051948,3.0,bad,filler,33,282,,,,
Davidjuk_2023,Никита улучшит основные показатель.,2.729559748427673,3.0,bad,filler,33,283,,,,
Davidjuk_2023,"И я, и Игорь совершим далёкое путешествие.",5.777777777777778,6.0,coordination,stimul,28,222,I_noun,1pl,and_and,SV
Davidjuk_2023,Я или Лёва решим эту сложную задачу.,5.1,5.0,coordination,stimul,11,82,I_noun,1pl,or,SV
Davidjuk_2023,Влад или я покрасим этот новый забор.,4.181818181818182,4.0,coordination,stimul,21,162,noun_I,1pl,or,SV
Davidjuk_2023,Вова и я спою весёлую песню.,1.7,2.0,coordination,stimul,7,49,noun_I,1sg,and,SV
Davidjuk_2023,"И я, и Гриша сыграет шахматную партию.",2.1,2.0,coordination,stimul,29,231,I_noun,3sg,and_and,SV
Davidjuk_2023,"И я, и Никита внесём небольшой аванс.",5.5,6.0,coordination,stimul,31,246,I_noun,1pl,and_and,SV
Davidjuk_2023,Гриша проверит этот математический расчёт.,6.062893081761007,6.0,good,filler,33,261,,,,
Davidjuk_2023,"И Гриша, и я сыграет шахматную партию.",2.0,2.0,coordination,stimul,29,231,noun_I,3sg,and_and,SV
Davidjuk_2023,"Или Юра, или я устроит этот детский праздник.",3.3,3.0,coordination,stimul,12,95,noun_I,3sg,or_or,SV
Davidjuk_2023,Я или Кирилл прополю эту капустную грядку.,2.333333333333333,2.0,coordination,stimul,10,73,I_noun,1sg,or,SV
Davidjuk_2023,"И я, и Гена продолжат заочное обучение.",2.9,3.0,coordination,stimul,15,120,I_noun,3pl,and_and,SV
Davidjuk_2023,"Или Саша, или я отнесут это тяжёлое ведро.",3.6,4.0,coordination,stimul,32,256,noun_I,3pl,or_or,SV
Davidjuk_2023,"И я, и Игорь совершу далёкое путешествие.",2.6,3.0,coordination,stimul,28,221,I_noun,1sg,and_and,SV
Davidjuk_2023,"И Костя, и я расскажем интересную историю.",4.6,5.0,coordination,stimul,22,175,noun_I,3sg,and_and,SV
Davidjuk_2023,Я или Игорь совершит это далёкое путешествие.,3.7777777777777777,4.0,coordination,stimul,13,99,I_noun,3sg,or,SV
Davidjuk_2023,"Или Гена, или я раскроет это подлое преступление.",3.0,3.0,coordination,stimul,23,183,noun_I,3sg,or_or,SV
Davidjuk_2023,Игорь и я совершат далёкое путешествие.,2.4,2.0,coordination,stimul,28,220,noun_I,3pl,and,SV
Davidjuk_2023,Я или Слава купит эту известную картину.,3.1,3.0,coordination,stimul,19,147,I_noun,3sg,or,SV
Davidjuk_2023,"И я, и Яша приготовят вкусный обед.",2.9,3.0,coordination,stimul,30,240,I_noun,3pl,and_and,SV
Davidjuk_2023,Вова и я споёт весёлую песню.,3.0,3.0,coordination,stimul,7,51,noun_I,3sg,and,SV
Davidjuk_2023,"И я, и Денис пропустим финальный матч.",5.222222222222222,5.0,coordination,stimul,12,94,I_noun,1pl,and_and,SV
Davidjuk_2023,Вова или я спою эту весёлую песню.,3.3,3.0,coordination,stimul,3,17,noun_I,1sg,or,SV
Davidjuk_2023,"И я, и Вадим соберёт нужный материал.",2.888888888888889,3.0,coordination,stimul,23,183,I_noun,3sg,and_and,SV
Davidjuk_2023,Артём построит садовую беседку.,6.531645569620253,7.0,good,filler,33,271,,,,
Davidjuk_2023,"И я, и Максим сделаем домашнее задание.",4.9,5.0,coordination,stimul,3,22,I_noun,1pl,and_and,SV
Davidjuk_2023,"Или я, или Андрей увидим этот кукольный спектакль.",3.8,4.0,coordination,stimul,2,14,I_noun,1pl,or_or,SV
Davidjuk_2023,"Или Егор, или я прочитаю эту вводную лекцию.",4.2,4.0,coordination,stimul,6,45,noun_I,1sg,or_or,SV
Davidjuk_2023,Стёпа и я попробуют яблочный пирог.,4.1,4.0,coordination,stimul,9,68,noun_I,3pl,and,SV
Davidjuk_2023,"Или я, или Никита побелим этот высокий потолок.",4.8,5.0,coordination,stimul,20,158,I_noun,1pl,or_or,SV
Davidjuk_2023,Я или Гена раскроет это подлое преступление.,4.2,4.0,coordination,stimul,23,179,I_noun,3sg,or,SV
Davidjuk_2023,"И Егор, и я прочитает вводную лекцию.",2.9,3.0,coordination,stimul,18,143,noun_I,3sg,and_and,SV
Davidjuk_2023,Я и Никита попросят дополнительный отгул.,3.4,3.0,coordination,stimul,10,76,I_noun,3pl,and,SV
Davidjuk_2023,"И я, и Максим сделаю домашнее задание.",2.0,2.0,coordination,stimul,3,21,I_noun,1sg,and_and,SV
Davidjuk_2023,Я и Гриша сыграю шахматную партию.,2.333333333333333,2.0,coordination,stimul,29,225,I_noun,1sg,and,SV
Davidjuk_2023,"Или я, или Яша закажут этот дорогой десерт.",3.4,3.0,coordination,stimul,24,192,I_noun,3pl,or_or,SV
Davidjuk_2023,"И я, и Денис пропущу финальный матч.",2.6,3.0,coordination,stimul,12,93,I_noun,1sg,and_and,SV
Davidjuk_2023,Я или Паша посетим этот научный семинар.,6.111111111111111,6.0,coordination,stimul,16,122,I_noun,1pl,or,SV
Davidjuk_2023,"Или Илья, или я выполню это срочное задание.",4.2,4.0,coordination,stimul,7,53,noun_I,1sg,or_or,SV
Davidjuk_2023,Никита или я внесёт этот небольшой аванс.,5.0,5.0,coordination,stimul,14,107,noun_I,3sg,or,SV
Davidjuk_2023,Я или Никита побелим этот высокий потолок.,6.2,6.0,coordination,stimul,20,154,I_noun,1pl,or,SV
Davidjuk_2023,"И Слава, и я получит двойную зарплату.",2.2,2.0,coordination,stimul,5,39,noun_I,3sg,and_and,SV
Davidjuk_2023,Максим продаст шкаф или кровать.,6.298136645962733,6.0,good,filler,33,265,,,,
Davidjuk_2023,"Яша составит или письмо, или телеграмму.",5.24223602484472,5.0,good,filler,33,269,,,,
Davidjuk_2023,Андрей и я увидит кукольный спектакль.,1.7777777777777777,2.0,coordination,stimul,4,27,noun_I,3sg,and,SV
Davidjuk_2023,Юра или я устроят этот детский праздник.,3.7777777777777777,4.0,coordination,stimul,12,92,noun_I,3pl,or,SV
Davidjuk_2023,"Или я, или Дима послушаем это голосовое сообщение.",4.5,4.0,coordination,stimul,5,38,I_noun,1pl,or_or,SV
