sentence,response,group,sentence_id,lexicalization,conjunction,agreement,filler_type,type,response_round,condition
"И я, и Гриша сыграю шахматную партию.",2.333333333333333,A,229,29,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Гриша сыграют шахматную партию.",2.6,D,232,29,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Данила найду верный ответ.",2.8,H,157,20,and_and,1sg,,stimul,3.0,"1sg, and_and"
"И я, и Данила найдут верный ответ.",2.6666666666666665,C,160,20,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Данила найдём верный ответ.",5.444444444444445,A,158,20,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Данила найдёт верный ответ.",2.5,B,159,20,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Денис пропустим финальный матч.",5.222222222222222,A,94,12,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Денис пропустит финальный матч.",3.0,B,95,12,and_and,3sg,,stimul,3.0,"3sg, and_and"
"И я, и Денис пропустят финальный матч.",2.4,C,96,12,and_and,3pl,,stimul,2.0,"3pl, and_and"
"И я, и Денис пропущу финальный матч.",2.6,H,93,12,and_and,1sg,,stimul,3.0,"1sg, and_and"
"И я, и Дима послушаем праздничный концерт.",4.0,F,134,17,and_and,1pl,,stimul,4.0,"1pl, and_and"
"И я, и Дима послушает праздничный концерт.",2.1,G,135,17,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Дима послушаю праздничный концерт.",2.1,E,133,17,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Дима послушают праздничный концерт.",2.4,H,136,17,and_and,3pl,,stimul,2.0,"3pl, and_and"
"И я, и Егор прочитаем вводную лекцию.",4.7,G,142,18,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Егор прочитает вводную лекцию.",2.3,H,143,18,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Егор прочитаю вводную лекцию.",1.8,F,141,18,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Егор прочитают вводную лекцию.",2.6666666666666665,A,144,18,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Игорь совершат далёкое путешествие.",2.4,C,224,28,and_and,3pl,,stimul,2.0,"3pl, and_and"
"И я, и Игорь совершим далёкое путешествие.",5.777777777777778,A,222,28,and_and,1pl,,stimul,6.0,"1pl, and_and"
"И я, и Игорь совершит далёкое путешествие.",1.8,B,223,28,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Игорь совершу далёкое путешествие.",2.6,H,221,28,and_and,1sg,,stimul,3.0,"1sg, and_and"
"И я, и Илья выполним срочное поручение.",5.1,H,150,19,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Илья выполнит срочное поручение.",2.2222222222222223,A,151,19,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Илья выполню срочное поручение.",2.1,G,149,19,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Илья выполнят срочное поручение.",2.8,B,152,19,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Кирилл прополем капустную грядку.",4.5,E,190,24,and_and,1pl,,stimul,4.0,"1pl, and_and"
"И я, и Кирилл прополет капустную грядку.",2.4,F,191,24,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Кирилл прополю капустную грядку.",1.8,D,189,24,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Кирилл прополют капустную грядку.",3.2,G,192,24,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Костя расскажем интересную историю.",5.111111111111111,D,175,22,and_and,3sg,,stimul,5.0,"3sg, and_and"
"И я, и Костя расскажет интересную историю.",1.6,C,174,22,and_and,1pl,,stimul,2.0,"1pl, and_and"
"И я, и Костя расскажу интересную историю.",1.5,B,173,22,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Костя расскажут интересную историю.",3.1,E,176,22,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Лёва решат сложную задачу.",2.4,H,200,25,and_and,3pl,,stimul,2.0,"3pl, and_and"
"И я, и Лёва решим сложную задачу.",4.9,F,198,25,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Лёва решит сложную задачу.",2.2,G,199,25,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Лёва решу сложную задачу.",2.0,E,197,25,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Максим прогуляем последний урок.",4.7,E,254,32,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Максим прогуляет последний урок.",2.1,F,255,32,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Максим прогуляю последний урок.",1.9,D,253,32,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Максим прогуляют последний урок.",3.3,G,256,32,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Максим сделаем домашнее задание.",4.9,H,22,3,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Максим сделает домашнее задание.",2.4444444444444446,A,23,3,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Максим сделаю домашнее задание.",2.0,G,21,3,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Максим сделают домашнее задание.",2.2,B,24,3,and_and,3pl,,stimul,2.0,"3pl, and_and"
"И я, и Миша сдадим вступительный экзамен.",4.8,E,62,8,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Миша сдадут вступительный экзамен.",3.6,G,64,8,and_and,3pl,,stimul,4.0,"3pl, and_and"
"И я, и Миша сдам вступительный экзамен.",1.9,D,61,8,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Миша сдаст вступительный экзамен.",2.6,F,63,8,and_and,3sg,,stimul,3.0,"3sg, and_and"
"И я, и Никита внесу небольшой аванс.",3.0,C,245,31,and_and,1sg,,stimul,3.0,"1sg, and_and"
"И я, и Никита внесут небольшой аванс.",2.9,F,248,31,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Никита внесём небольшой аванс.",5.5,D,246,31,and_and,1pl,,stimul,6.0,"1pl, and_and"
"И я, и Никита внесёт небольшой аванс.",2.6,E,247,31,and_and,3sg,,stimul,3.0,"3sg, and_and"
"И я, и Никита попросим дополнительный отгул.",5.5,G,78,10,and_and,1pl,,stimul,6.0,"1pl, and_and"
"И я, и Никита попросит дополнительный отгул.",3.0,H,79,10,and_and,3sg,,stimul,3.0,"3sg, and_and"
"И я, и Никита попросят дополнительный отгул.",3.25,A,80,10,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Никита попрошу дополнительный отгул.",2.888888888888889,F,77,10,and_and,1sg,,stimul,3.0,"1sg, and_and"
"И я, и Олег уточним необходимую информацию.",4.7,C,110,14,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Олег уточнит необходимую информацию.",2.2,D,111,14,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Олег уточню необходимую информацию.",2.1,B,109,14,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Олег уточнят необходимую информацию.",4.5,E,112,14,and_and,3pl,,stimul,4.0,"3pl, and_and"
"И я, и Паша посетим исторический музей.",4.8,H,86,11,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Паша посетит исторический музей.",3.0,A,87,11,and_and,3sg,,stimul,3.0,"3sg, and_and"
"И я, и Паша посетят исторический музей.",2.3,B,88,11,and_and,3pl,,stimul,2.0,"3pl, and_and"
"И я, и Паша посещу исторический музей.",2.2,G,85,11,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Петя нарисуем подробную схему.",5.2,F,6,1,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Петя нарисует подробную схему.",2.5,G,7,1,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Петя нарисую подробную схему.",2.4,E,5,1,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Петя нарисуют подробную схему.",2.7,H,8,1,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Слава получат двойную зарплату.",4.0,D,40,5,and_and,3pl,,stimul,4.0,"3pl, and_and"
"И я, и Слава получим двойную зарплату.",3.6,B,38,5,and_and,1pl,,stimul,4.0,"1pl, and_and"
"И я, и Слава получит двойную зарплату.",2.7,C,39,5,and_and,3sg,,stimul,3.0,"3sg, and_and"
"И я, и Слава получу двойную зарплату.",2.6666666666666665,A,37,5,and_and,1sg,,stimul,3.0,"1sg, and_and"
"И я, и Стёпа попробуем яблочный пирог.",5.3,F,70,9,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Стёпа попробует яблочный пирог.",2.1,G,71,9,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Стёпа попробую яблочный пирог.",2.4,E,69,9,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Стёпа попробуют яблочный пирог.",3.0,H,72,9,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Федя разработаем детальный план.",5.1,H,214,27,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Федя разработает детальный план.",2.555555555555556,A,215,27,and_and,3sg,,stimul,3.0,"3sg, and_and"
"И я, и Федя разработаю детальный план.",1.9,G,213,27,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Федя разработают детальный план.",2.1,B,216,27,and_and,3pl,,stimul,2.0,"3pl, and_and"
"И я, и Юра устроим детский праздник.",5.3,G,206,26,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Юра устроит детский праздник.",2.4,H,207,26,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Юра устрою детский праздник.",2.0,F,205,26,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Юра устроят детский праздник.",2.6666666666666665,A,208,26,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Яша приготовим вкусный обед.",5.0,C,238,30,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Яша приготовит вкусный обед.",1.9,D,239,30,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Яша приготовлю вкусный обед.",1.8,B,237,30,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Яша приготовят вкусный обед.",2.9,E,240,30,and_and,3pl,,stimul,3.0,"3pl, and_and"
Я и Андрей увидим кукольный спектакль.,4.8,E,26,4,and,1pl,,stimul,5.0,"1pl, and"
Я и Андрей увидит кукольный спектакль.,1.8,F,27,4,and,3sg,,stimul,2.0,"3sg, and"
Я и Андрей увидят кукольный спектакль.,4.0,G,28,4,and,3pl,,stimul,4.0,"3pl, and"
Я и Андрей увижу кукольный спектакль.,1.6666666666666667,D,25,4,and,1sg,,stimul,2.0,"1sg, and"
Я и Боря подготовим промежуточный отчёт.,4.9,F,162,21,and,1pl,,stimul,5.0,"1pl, and"
Я и Боря подготовит промежуточный отчёт.,2.0,G,163,21,and,3sg,,stimul,2.0,"3sg, and"
Я и Боря подготовлю промежуточный отчёт.,2.2222222222222223,E,161,21,and,1sg,,stimul,2.0,"1sg, and"
Я и Боря подготовят промежуточный отчёт.,2.8,H,164,21,and,3pl,,stimul,3.0,"3pl, and"
Я и Вадим соберу нужный материал.,2.1,G,177,23,and,1sg,,stimul,2.0,"1sg, and"
Я и Вадим соберут нужный материал.,2.7,B,180,23,and,3pl,,stimul,3.0,"3pl, and"
Я и Вадим соберём нужный материал.,5.4,H,178,23,and,1pl,,stimul,5.0,"1pl, and"
Я и Вадим соберёт нужный материал.,2.333333333333333,A,179,23,and,3sg,,stimul,2.0,"3sg, and"
Я и Ваня возьму краткосрочный отпуск.,2.6,F,41,6,and,1sg,,stimul,3.0,"1sg, and"
Я и Ваня возьмут краткосрочный отпуск.,2.2222222222222223,A,44,6,and,3pl,,stimul,2.0,"3pl, and"
Я и Ваня возьмём краткосрочный отпуск.,6.0,G,42,6,and,1pl,,stimul,6.0,"1pl, and"
Я и Ваня возьмёт краткосрочный отпуск.,2.8,H,43,6,and,3sg,,stimul,3.0,"3sg, and"
Я и Вася посмотрим документальный фильм.,4.9,C,10,2,and,1pl,,stimul,5.0,"1pl, and"
Я и Вася посмотрит документальный фильм.,2.3,D,11,2,and,3sg,,stimul,2.0,"3sg, and"
Я и Вася посмотрю документальный фильм.,2.9,B,9,2,and,1sg,,stimul,3.0,"1sg, and"
Я и Вася посмотрят документальный фильм.,4.3,E,12,2,and,3pl,,stimul,4.0,"3pl, and"
Я и Влад покажем короткую дорогу.,5.1,F,98,13,and,1pl,,stimul,5.0,"1pl, and"
Я и Влад покажет короткую дорогу.,3.0,G,99,13,and,3sg,,stimul,3.0,"3sg, and"
Я и Влад покажу короткую дорогу.,1.9,E,97,13,and,1sg,,stimul,2.0,"1sg, and"
Я и Влад покажут короткую дорогу.,2.6,H,100,13,and,3pl,,stimul,3.0,"3pl, and"
Я и Вова спою весёлую песню.,2.2,G,49,7,and,1sg,,stimul,2.0,"1sg, and"
Я и Вова споют весёлую песню.,3.3,B,52,7,and,3pl,,stimul,3.0,"3pl, and"
Я и Вова споём весёлую песню.,5.6,H,50,7,and,1pl,,stimul,6.0,"1pl, and"
Я и Вова споёт весёлую песню.,2.555555555555556,A,51,7,and,3sg,,stimul,3.0,"3sg, and"
Я и Володя приобрету ценный опыт.,2.9,H,121,16,and,1sg,,stimul,3.0,"1sg, and"
Я и Володя приобретут ценный опыт.,3.1,C,124,16,and,3pl,,stimul,3.0,"3pl, and"
Я и Володя приобретём ценный опыт.,5.777777777777778,A,122,16,and,1pl,,stimul,6.0,"1pl, and"
Я и Володя приобретёт ценный опыт.,3.7,B,123,16,and,3sg,,stimul,4.0,"3sg, and"
Я и Гена продолжат заочное обучение.,3.5,B,116,15,and,3pl,,stimul,4.0,"3pl, and"
Я и Гена продолжим заочное обучение.,5.9,H,114,15,and,1pl,,stimul,6.0,"1pl, and"
Я и Гена продолжит заочное обучение.,3.0,A,115,15,and,3sg,,stimul,3.0,"3sg, and"
Я и Гена продолжу заочное обучение.,2.5,G,113,15,and,1sg,,stimul,2.0,"1sg, and"
Я и Гриша сыграем шахматную партию.,4.7,F,226,29,and,1pl,,stimul,5.0,"1pl, and"
Я и Гриша сыграет шахматную партию.,2.1,G,227,29,and,3sg,,stimul,2.0,"3sg, and"
Я и Гриша сыграю шахматную партию.,2.333333333333333,E,225,29,and,1sg,,stimul,2.0,"1sg, and"
Я и Гриша сыграют шахматную партию.,2.5,H,228,29,and,3pl,,stimul,2.0,"3pl, and"
Я и Данила найду верный ответ.,1.9,D,153,20,and,1sg,,stimul,2.0,"1sg, and"
Я и Данила найдут верный ответ.,3.3,G,156,20,and,3pl,,stimul,3.0,"3pl, and"
Я и Данила найдём верный ответ.,4.8,E,154,20,and,1pl,,stimul,5.0,"1pl, and"
Я и Данила найдёт верный ответ.,2.5,F,155,20,and,3sg,,stimul,2.0,"3sg, and"
Я и Денис пропустим финальный матч.,4.6,E,90,12,and,1pl,,stimul,5.0,"1pl, and"
Я и Денис пропустит финальный матч.,2.0,F,91,12,and,3sg,,stimul,2.0,"3sg, and"
Я и Денис пропустят финальный матч.,2.8,G,92,12,and,3pl,,stimul,3.0,"3pl, and"
Я и Денис пропущу финальный матч.,2.0,D,89,12,and,1sg,,stimul,2.0,"1sg, and"
Я и Дима послушаем праздничный концерт.,6.2,B,130,17,and,1pl,,stimul,6.0,"1pl, and"
Я и Дима послушает праздничный концерт.,1.6,C,131,17,and,3sg,,stimul,2.0,"3sg, and"
Я и Дима послушаю праздничный концерт.,3.2222222222222223,A,129,17,and,1sg,,stimul,3.0,"1sg, and"
Я и Дима послушают праздничный концерт.,3.6,D,132,17,and,3pl,,stimul,4.0,"3pl, and"
Я и Егор прочитаем вводную лекцию.,5.5,C,138,18,and,1pl,,stimul,6.0,"1pl, and"
Я и Егор прочитает вводную лекцию.,2.1,D,139,18,and,3sg,,stimul,2.0,"3sg, and"
Я и Егор прочитаю вводную лекцию.,2.7,B,137,18,and,1sg,,stimul,3.0,"1sg, and"
Я и Егор прочитают вводную лекцию.,3.1,E,140,18,and,3pl,,stimul,3.0,"3pl, and"
Я и Игорь совершат далёкое путешествие.,2.9,G,220,28,and,3pl,,stimul,3.0,"3pl, and"
Я и Игорь совершим далёкое путешествие.,4.7,E,218,28,and,1pl,,stimul,5.0,"1pl, and"
Я и Игорь совершит далёкое путешествие.,2.1,F,219,28,and,3sg,,stimul,2.0,"3sg, and"
Я и Игорь совершу далёкое путешествие.,1.9,D,217,28,and,1sg,,stimul,2.0,"1sg, and"
Я и Илья выполним срочное поручение.,6.0,D,146,19,and,1pl,,stimul,6.0,"1pl, and"
Я и Илья выполнит срочное поручение.,2.0,E,147,19,and,3sg,,stimul,2.0,"3sg, and"
Я и Илья выполню срочное поручение.,2.0,C,145,19,and,1sg,,stimul,2.0,"1sg, and"
Я и Илья выполнят срочное поручение.,2.2,F,148,19,and,3pl,,stimul,2.0,"3pl, and"
Я и Кирилл прополем капустную грядку.,5.0,A,186,24,and,1pl,,stimul,5.0,"1pl, and"
Я и Кирилл прополет капустную грядку.,3.2,B,187,24,and,3sg,,stimul,3.0,"3sg, and"
Я и Кирилл прополю капустную грядку.,3.2,H,185,24,and,1sg,,stimul,3.0,"1sg, and"
Я и Кирилл прополют капустную грядку.,2.5,C,188,24,and,3pl,,stimul,2.0,"3pl, and"
Я и Костя расскажем интересную историю.,4.2,G,170,22,and,1pl,,stimul,4.0,"1pl, and"
Я и Костя расскажет интересную историю.,2.9,H,171,22,and,3sg,,stimul,3.0,"3sg, and"
Я и Костя расскажу интересную историю.,2.1,F,169,22,and,1sg,,stimul,2.0,"1sg, and"
Я и Костя расскажут интересную историю.,3.125,A,172,22,and,3pl,,stimul,3.0,"3pl, and"
Я и Лёва решат сложную задачу.,2.888888888888889,D,196,25,and,3pl,,stimul,3.0,"3pl, and"
Я и Лёва решим сложную задачу.,5.5,B,194,25,and,1pl,,stimul,6.0,"1pl, and"
Я и Лёва решит сложную задачу.,2.0,C,195,25,and,3sg,,stimul,2.0,"3sg, and"
Я и Лёва решу сложную задачу.,2.333333333333333,A,193,25,and,1sg,,stimul,2.0,"1sg, and"
Я и Максим прогуляем последний урок.,5.777777777777778,A,250,32,and,1pl,,stimul,6.0,"1pl, and"
Я и Максим прогуляет последний урок.,2.555555555555556,B,251,32,and,3sg,,stimul,3.0,"3sg, and"
Я и Максим прогуляю последний урок.,3.1,H,249,32,and,1sg,,stimul,3.0,"1sg, and"
Я и Максим прогуляют последний урок.,2.333333333333333,C,252,32,and,3pl,,stimul,2.0,"3pl, and"
Я и Максим сделаем домашнее задание.,4.9,D,18,3,and,1pl,,stimul,5.0,"1pl, and"
Я и Максим сделает домашнее задание.,2.4,E,19,3,and,3sg,,stimul,2.0,"3sg, and"
Я и Максим сделаю домашнее задание.,2.0,C,17,3,and,1sg,,stimul,2.0,"1sg, and"
Я и Максим сделают домашнее задание.,2.8,F,20,3,and,3pl,,stimul,3.0,"3pl, and"
Я и Миша сдадим вступительный экзамен.,4.777777777777778,A,58,8,and,1pl,,stimul,5.0,"1pl, and"
Я и Миша сдадут вступительный экзамен.,3.3,C,60,8,and,3pl,,stimul,3.0,"3pl, and"
Я и Миша сдам вступительный экзамен.,3.1,H,57,8,and,1sg,,stimul,3.0,"1sg, and"
Я и Миша сдаст вступительный экзамен.,2.8,B,59,8,and,3sg,,stimul,3.0,"3sg, and"
Я и Никита внесу небольшой аванс.,3.0,G,241,31,and,1sg,,stimul,3.0,"1sg, and"
Я и Никита внесут небольшой аванс.,2.9,B,244,31,and,3pl,,stimul,3.0,"3pl, and"
Я и Никита внесём небольшой аванс.,5.1,H,242,31,and,1pl,,stimul,5.0,"1pl, and"
Я и Никита внесёт небольшой аванс.,2.888888888888889,A,243,31,and,3sg,,stimul,3.0,"3sg, and"
Я и Никита попросим дополнительный отгул.,6.2,C,74,10,and,1pl,,stimul,6.0,"1pl, and"
Я и Никита попросит дополнительный отгул.,3.2,D,75,10,and,3sg,,stimul,3.0,"3sg, and"
Я и Никита попросят дополнительный отгул.,3.4,E,76,10,and,3pl,,stimul,3.0,"3pl, and"
Я и Никита попрошу дополнительный отгул.,3.3,B,73,10,and,1sg,,stimul,3.0,"1sg, and"
Я и Олег уточним необходимую информацию.,4.7,G,106,14,and,1pl,,stimul,5.0,"1pl, and"
Я и Олег уточнит необходимую информацию.,2.8,H,107,14,and,3sg,,stimul,3.0,"3sg, and"
Я и Олег уточню необходимую информацию.,1.8,F,105,14,and,1sg,,stimul,2.0,"1sg, and"
Я и Олег уточнят необходимую информацию.,3.333333333333333,A,108,14,and,3pl,,stimul,3.0,"3pl, and"
Я и Паша посетим исторический музей.,6.1,D,82,11,and,1pl,,stimul,6.0,"1pl, and"
Я и Паша посетит исторический музей.,2.111111111111111,E,83,11,and,3sg,,stimul,2.0,"3sg, and"
Я и Паша посетят исторический музей.,2.5,F,84,11,and,3pl,,stimul,2.0,"3pl, and"
Я и Паша посещу исторический музей.,1.9,C,81,11,and,1sg,,stimul,2.0,"1sg, and"
Я и Петя нарисуем подробную схему.,6.0,B,2,1,and,1pl,,stimul,6.0,"1pl, and"
Я и Петя нарисует подробную схему.,1.9,C,3,1,and,3sg,,stimul,2.0,"3sg, and"
Я и Петя нарисую подробную схему.,2.888888888888889,A,1,1,and,1sg,,stimul,3.0,"1sg, and"
Я и Петя нарисуют подробную схему.,3.5,D,4,1,and,3pl,,stimul,4.0,"3pl, and"
Я и Слава получат двойную зарплату.,3.7,H,36,5,and,3pl,,stimul,4.0,"3pl, and"
Я и Слава получим двойную зарплату.,5.2,F,34,5,and,1pl,,stimul,5.0,"1pl, and"
Я и Слава получит двойную зарплату.,2.3,G,35,5,and,3sg,,stimul,2.0,"3sg, and"
Я и Слава получу двойную зарплату.,2.7777777777777777,E,33,5,and,1sg,,stimul,3.0,"1sg, and"
Я и Стёпа попробуем яблочный пирог.,6.4,B,66,9,and,1pl,,stimul,6.0,"1pl, and"
Я и Стёпа попробует яблочный пирог.,2.3,C,67,9,and,3sg,,stimul,2.0,"3sg, and"
Я и Стёпа попробую яблочный пирог.,2.333333333333333,A,65,9,and,1sg,,stimul,2.0,"1sg, and"
Я и Стёпа попробуют яблочный пирог.,2.1,D,68,9,and,3pl,,stimul,2.0,"3pl, and"
Я и Федя разработаем детальный план.,5.7,D,210,27,and,1pl,,stimul,6.0,"1pl, and"
Я и Федя разработает детальный план.,2.4,E,211,27,and,3sg,,stimul,2.0,"3sg, and"
Я и Федя разработаю детальный план.,1.8,C,209,27,and,1sg,,stimul,2.0,"1sg, and"
Я и Федя разработают детальный план.,2.2,F,212,27,and,3pl,,stimul,2.0,"3pl, and"
Я и Юра устроим детский праздник.,6.0,C,202,26,and,1pl,,stimul,6.0,"1pl, and"
Я и Юра устроит детский праздник.,1.9,D,203,26,and,3sg,,stimul,2.0,"3sg, and"
Я и Юра устрою детский праздник.,2.7,B,201,26,and,1sg,,stimul,3.0,"1sg, and"
Я и Юра устроят детский праздник.,2.7,E,204,26,and,3pl,,stimul,3.0,"3pl, and"
Я и Яша приготовим вкусный обед.,5.6,G,234,30,and,1pl,,stimul,6.0,"1pl, and"
