sentence,response,author,group,sentence_id,lexicalization,conjunction_strategy,pron_person,subtype,type,response_round,condition
Завтра он и Лиза измеряют скорость чтения.,4.25,Manina_2022_1,E,126,14,conjunction,3rd person pronoun,coordination,stimul,4.0,"conjunction, 3rd person pronoun"
Завтра он и Никита заполняют бумаги дедушки.,4.3,Manina_2022_1,H,243,27,conjunction,3rd person pronoun,coordination,stimul,4.0,"conjunction, 3rd person pronoun"
Завтра он с Борей исполняет вариации Баха.,5.0,Manina_2022_1,C,3,1,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Завтра он с Лизой измеряет скорость чтения.,3.272727272727273,Manina_2022_1,H,120,14,comitative,3rd person pronoun,coordination,stimul,3.0,"comitative, 3rd person pronoun"
Завтра он с Никитой заполняет бумаги дедушки.,4.066666666666666,Manina_2022_1,B,237,27,comitative,3rd person pronoun,coordination,stimul,4.0,"comitative, 3rd person pronoun"
Завтра они с Борей исполняют вариации Баха.,5.8,Manina_2022_1,F,6,1,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Завтра они с Лизой измеряют скорость чтения.,4.933333333333334,Manina_2022_1,B,123,14,inclusory comitative,3rd person pronoun,coordination,stimul,5.0,"inclusory comitative, 3rd person pronoun"
Завтра они с Никитой заполняют бумаги дедушки.,5.375,Manina_2022_1,E,240,27,inclusory comitative,3rd person pronoun,coordination,stimul,5.0,"inclusory comitative, 3rd person pronoun"
Завтра ты и Боря исполняете вариации Баха.,4.636363636363637,Manina_2022_1,H,8,1,conjunction,2nd person pronoun,coordination,stimul,5.0,"conjunction, 2nd person pronoun"
Завтра ты и Лиза измеряете скорость чтения.,5.5,Manina_2022_1,D,125,14,conjunction,2nd person pronoun,coordination,stimul,6.0,"conjunction, 2nd person pronoun"
Завтра ты и Никита заполняешь бумаги дедушки.,2.75,Manina_2022_1,G,242,27,conjunction,2nd person pronoun,coordination,stimul,3.0,"conjunction, 2nd person pronoun"
Завтра ты с Борей исполняешь вариации Баха.,5.133333333333334,Manina_2022_1,B,2,1,comitative,2nd person pronoun,coordination,stimul,5.0,"comitative, 2nd person pronoun"
Завтра ты с Лизой измеряешь скорость чтения.,4.375,Manina_2022_1,G,119,14,comitative,2nd person pronoun,coordination,stimul,4.0,"comitative, 2nd person pronoun"
Завтра ты с Никитой заполняешь бумаги дедушки.,5.142857142857143,Manina_2022_1,A,236,27,comitative,2nd person pronoun,coordination,stimul,5.0,"comitative, 2nd person pronoun"
Завтра я и Лиза измеряем скорость чтения.,4.857142857142857,Manina_2022_1,C,124,14,conjunction,1st person pronoun,coordination,stimul,5.0,"conjunction, 1st person pronoun"
Завтра я и Никита заполняем бумаги дедушки.,4.555555555555555,Manina_2022_1,F,241,27,conjunction,1st person pronoun,coordination,stimul,5.0,"conjunction, 1st person pronoun"
Завтра я с Борей исполняю вариации Баха.,5.0,Manina_2022_1,A,1,1,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Завтра я с Лизой измеряю скорость чтения.,5.0,Manina_2022_1,F,118,14,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Завтра я с Никитой заполняем бумаги дедушки.,3.8333333333333335,Manina_2022_1,I,235,27,comitative,1st person pronoun,coordination,stimul,4.0,"comitative, 1st person pronoun"
Зимой вы с Сашей пропиваете курс витаминов.,4.909090909090909,Manina_2022_1,H,32,4,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Зимой вы со Светой читаете рассказы Брэдбери.,5.0,Manina_2022_1,H,185,21,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Зимой мы с Сашей пропиваем курс витаминов.,6.125,Manina_2022_1,G,31,4,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Зимой мы со Светой читаем рассказы Брэдбери.,6.125,Manina_2022_1,G,184,21,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Зимой он и Саша пропивают курс витаминов.,4.142857142857143,Manina_2022_1,C,36,4,conjunction,3rd person pronoun,coordination,stimul,4.0,"conjunction, 3rd person pronoun"
Зимой он и Света читают рассказы Брэдбери.,4.0,Manina_2022_1,C,189,21,conjunction,3rd person pronoun,coordination,stimul,4.0,"conjunction, 3rd person pronoun"
Зимой он с Сашей пропивает курс витаминов.,4.8,Manina_2022_1,F,30,4,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Зимой он со Светой читает рассказы Брэдбери.,4.777777777777778,Manina_2022_1,F,183,21,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Зимой они с Сашей пропивают курс витаминов.,5.666666666666667,Manina_2022_1,I,33,4,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Зимой они со Светой читают рассказы Брэдбери.,6.333333333333333,Manina_2022_1,I,186,21,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Зимой ты и Саша пропиваете курс витаминов.,3.615384615384616,Manina_2022_1,B,35,4,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Зимой ты и Света читаете рассказы Брэдбери.,4.4,Manina_2022_1,B,188,21,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Зимой ты с Сашей пропиваешь курс витаминов.,4.0,Manina_2022_1,E,29,4,comitative,2nd person pronoun,coordination,stimul,4.0,"comitative, 2nd person pronoun"
Зимой ты со Светой читаешь рассказы Брэдбери.,4.285714285714286,Manina_2022_1,E,182,21,comitative,2nd person pronoun,coordination,stimul,4.0,"comitative, 2nd person pronoun"
Зимой я и Саша пропиваем курс витаминов.,5.428571428571429,Manina_2022_1,A,34,4,conjunction,1st person pronoun,coordination,stimul,5.0,"conjunction, 1st person pronoun"
Зимой я и Света читаем рассказы Брэдбери.,5.142857142857143,Manina_2022_1,A,187,21,conjunction,1st person pronoun,coordination,stimul,5.0,"conjunction, 1st person pronoun"
Зимой я с Сашей пропиваю курс витаминов.,4.666666666666667,Manina_2022_1,D,28,4,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Зимой я со Светой читаю рассказы Брэдбери.,5.333333333333333,Manina_2022_1,D,181,21,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Летом вы с Дианой проверяете состояние водоёмов.,5.25,Manina_2022_1,I,113,13,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Летом вы с Настей делаете холодные коктейли.,5.0,Manina_2022_1,A,203,23,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Летом мы с Дианой проверяем состояние водоёмов.,6.4,Manina_2022_1,H,112,13,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Летом мы с Настей делаем холодные коктейли.,5.666666666666667,Manina_2022_1,I,202,23,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Летом он и Диана проверяют состояние водоёмов.,5.833333333333333,Manina_2022_1,D,117,13,conjunction,3rd person pronoun,coordination,stimul,6.0,"conjunction, 3rd person pronoun"
Летом он и Настя делают холодные коктейли.,4.375,Manina_2022_1,E,207,23,conjunction,3rd person pronoun,coordination,stimul,4.0,"conjunction, 3rd person pronoun"
Летом он с Дианой проверяет состояние водоёмов.,4.0,Manina_2022_1,G,111,13,comitative,3rd person pronoun,coordination,stimul,4.0,"comitative, 3rd person pronoun"
Летом он с Настей делает холодные коктейли.,5.090909090909091,Manina_2022_1,H,201,23,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Летом они с Дианой проверяют состояние водоёмов.,6.285714285714286,Manina_2022_1,A,114,13,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Летом они с Настей делают холодные коктейли.,4.733333333333333,Manina_2022_1,B,204,23,inclusory comitative,3rd person pronoun,coordination,stimul,5.0,"inclusory comitative, 3rd person pronoun"
Летом ты и Диана проверяете состояние водоёмов.,3.2857142857142856,Manina_2022_1,C,116,13,conjunction,2nd person pronoun,coordination,stimul,3.0,"conjunction, 2nd person pronoun"
Летом ты и Настя делаете холодные коктейли.,4.333333333333333,Manina_2022_1,D,206,23,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Летом ты с Дианой проверяешь состояние водоёмов.,3.875,Manina_2022_1,F,110,13,comitative,2nd person pronoun,coordination,stimul,4.0,"comitative, 2nd person pronoun"
Летом ты с Настей делаешь холодные коктейли.,3.375,Manina_2022_1,G,200,23,comitative,2nd person pronoun,coordination,stimul,3.0,"comitative, 2nd person pronoun"
Летом я и Диана проверяем состояние водоёмов.,5.666666666666667,Manina_2022_1,B,115,13,conjunction,1st person pronoun,coordination,stimul,6.0,"conjunction, 1st person pronoun"
Летом я и Настя делаем холодные коктейли.,5.285714285714286,Manina_2022_1,C,205,23,conjunction,1st person pronoun,coordination,stimul,5.0,"conjunction, 1st person pronoun"
Летом я с Дианой проверяю состояние водоёмов.,5.571428571428571,Manina_2022_1,E,109,13,comitative,1st person pronoun,coordination,stimul,6.0,"comitative, 1st person pronoun"
Летом я с Настей делаю холодные коктейли.,5.2,Manina_2022_1,F,199,23,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Обычно вы с Люсей находите верное решение.,6.166666666666667,Manina_2022_1,D,68,8,inclusory comitative,2nd person pronoun,coordination,stimul,6.0,"inclusory comitative, 2nd person pronoun"
Обычно вы с Соней осознаёте возможные риски.,5.733333333333333,Manina_2022_1,B,131,15,inclusory comitative,2nd person pronoun,coordination,stimul,6.0,"inclusory comitative, 2nd person pronoun"
Обычно мы с Люсей находим верное решение.,6.428571428571429,Manina_2022_1,C,67,8,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Обычно мы с Соней осознаём возможные риски.,6.166666666666667,Manina_2022_1,A,130,15,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Обычно он и Люся находят верное решение.,5.909090909090909,Manina_2022_1,H,72,8,conjunction,3rd person pronoun,coordination,stimul,6.0,"conjunction, 3rd person pronoun"
Обычно он и Соня осознают возможные риски.,5.1,Manina_2022_1,F,135,15,conjunction,3rd person pronoun,coordination,stimul,5.0,"conjunction, 3rd person pronoun"
Обычно он с Люсей находит верное решение.,4.333333333333333,Manina_2022_1,B,66,8,comitative,3rd person pronoun,coordination,stimul,4.0,"comitative, 3rd person pronoun"
Обычно он с Соней осознаёт возможные риски.,4.583333333333333,Manina_2022_1,I,129,15,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Обычно они с Люсей находят верное решение.,6.25,Manina_2022_1,E,69,8,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Обычно они с Соней осознают возможные риски.,5.666666666666667,Manina_2022_1,C,132,15,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Обычно ты и Люся находите верное решение.,4.125,Manina_2022_1,G,71,8,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Обычно ты и Соня осознаёте возможные риски.,4.875,Manina_2022_1,E,134,15,conjunction,2nd person pronoun,coordination,stimul,5.0,"conjunction, 2nd person pronoun"
Обычно ты с Люсей находишь верное решение.,5.142857142857143,Manina_2022_1,A,65,8,comitative,2nd person pronoun,coordination,stimul,5.0,"comitative, 2nd person pronoun"
Обычно ты с Соней осознаёшь возможные риски.,5.0,Manina_2022_1,H,128,15,comitative,2nd person pronoun,coordination,stimul,5.0,"comitative, 2nd person pronoun"
Обычно я и Люся находим верное решение.,5.6,Manina_2022_1,F,70,8,conjunction,1st person pronoun,coordination,stimul,6.0,"conjunction, 1st person pronoun"
Обычно я и Соня осознаём возможные риски.,6.5,Manina_2022_1,D,133,15,conjunction,1st person pronoun,coordination,stimul,6.0,"conjunction, 1st person pronoun"
Обычно я с Люсей нахожу верное решение.,5.25,Manina_2022_1,I,64,8,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Обычно я с Соней осознаю возможные риски.,4.5,Manina_2022_1,G,127,15,comitative,1st person pronoun,coordination,stimul,4.0,"comitative, 1st person pronoun"
Осенью вы с Женей разбираете пыльные антресоли.,5.454545454545454,Manina_2022_1,I,194,22,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Осенью вы с Костей засушиваете кленовые листья.,5.5,Manina_2022_1,F,86,10,inclusory comitative,2nd person pronoun,coordination,stimul,6.0,"inclusory comitative, 2nd person pronoun"
Осенью мы с Женей разбираем пыльные антресоли.,6.0,Manina_2022_1,H,193,22,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Осенью мы с Костей засушиваем кленовые листья.,5.625,Manina_2022_1,E,85,10,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Осенью он и Женя разбирают пыльные антресоли.,6.333333333333333,Manina_2022_1,D,198,22,conjunction,3rd person pronoun,coordination,stimul,6.0,"conjunction, 3rd person pronoun"
Осенью он и Костя засушивают кленовые листья.,5.285714285714286,Manina_2022_1,A,90,10,conjunction,3rd person pronoun,coordination,stimul,5.0,"conjunction, 3rd person pronoun"
Осенью он с Женей разбирает пыльные антресоли.,4.5,Manina_2022_1,G,192,22,comitative,3rd person pronoun,coordination,stimul,4.0,"comitative, 3rd person pronoun"
Осенью он с Костей засушивает кленовые листья.,6.166666666666667,Manina_2022_1,D,84,10,comitative,3rd person pronoun,coordination,stimul,6.0,"comitative, 3rd person pronoun"
Осенью они с Женей разбирают пыльные антресоли.,5.285714285714286,Manina_2022_1,A,195,22,inclusory comitative,3rd person pronoun,coordination,stimul,5.0,"inclusory comitative, 3rd person pronoun"
Осенью они с Костей засушивают кленовые листья.,5.75,Manina_2022_1,G,87,10,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Осенью ты и Женя разбираете пыльные антресоли.,4.0,Manina_2022_1,C,197,22,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Осенью ты и Костя засушиваете кленовые листья.,4.416666666666667,Manina_2022_1,I,89,10,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Осенью ты с Женей разбираешь пыльные антресоли.,5.0,Manina_2022_1,F,191,22,comitative,2nd person pronoun,coordination,stimul,5.0,"comitative, 2nd person pronoun"
Осенью ты с Костей засушиваешь кленовые листья.,4.857142857142857,Manina_2022_1,C,83,10,comitative,2nd person pronoun,coordination,stimul,5.0,"comitative, 2nd person pronoun"
Осенью я и Женя разбираем пыльные антресоли.,5.461538461538462,Manina_2022_1,B,196,22,conjunction,1st person pronoun,coordination,stimul,5.0,"conjunction, 1st person pronoun"
Осенью я и Костя засушиваем кленовые листья.,5.7,Manina_2022_1,H,88,10,conjunction,1st person pronoun,coordination,stimul,6.0,"conjunction, 1st person pronoun"
Осенью я с Женей разбираю пыльные антресоли.,5.25,Manina_2022_1,E,190,22,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Осенью я с Костей засушиваю кленовые листья.,4.714285714285714,Manina_2022_1,B,82,10,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Сегодня вы с Дашей празднуете рождение дочери.,5.2,Manina_2022_1,B,212,24,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Сегодня вы с Максимом рисуете эскизы костюмов.,5.285714285714286,Manina_2022_1,C,230,26,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Сегодня мы с Дашей празднуем рождение дочери.,6.285714285714286,Manina_2022_1,A,211,24,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Сегодня мы с Максимом рисуем эскизы костюмов.,6.266666666666667,Manina_2022_1,B,229,26,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Сегодня он и Даша празднуют рождение дочери.,5.4,Manina_2022_1,F,216,24,conjunction,3rd person pronoun,coordination,stimul,5.0,"conjunction, 3rd person pronoun"
Сегодня он и Максим рисуют эскизы костюмов.,5.375,Manina_2022_1,G,234,26,conjunction,3rd person pronoun,coordination,stimul,5.0,"conjunction, 3rd person pronoun"
Сегодня он с Дашей празднуют рождение дочери.,3.6666666666666665,Manina_2022_1,I,210,24,comitative,3rd person pronoun,coordination,stimul,4.0,"comitative, 3rd person pronoun"
Сегодня он с Максимом рисует эскизы костюмов.,5.428571428571429,Manina_2022_1,A,228,26,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Сегодня они с Дашей празднуют рождение дочери.,6.0,Manina_2022_1,C,213,24,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Сегодня они с Максимом рисуют эскизы костюмов.,6.666666666666667,Manina_2022_1,D,231,26,inclusory comitative,3rd person pronoun,coordination,stimul,7.0,"inclusory comitative, 3rd person pronoun"
Сегодня ты и Даша празднуете рождение дочери.,4.142857142857143,Manina_2022_1,E,215,24,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Сегодня ты и Максим рисуете эскизы костюмов.,3.9,Manina_2022_1,F,233,26,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Сегодня ты с Дашей празднуешь рождение дочери.,5.363636363636363,Manina_2022_1,H,209,24,comitative,2nd person pronoun,coordination,stimul,5.0,"comitative, 2nd person pronoun"
Сегодня ты с Максимом рисует эскизы костюмов.,1.8333333333333333,Manina_2022_1,I,227,26,comitative,2nd person pronoun,coordination,stimul,2.0,"comitative, 2nd person pronoun"
Сегодня я и Даша празднуем рождение дочери.,5.666666666666667,Manina_2022_1,D,214,24,conjunction,1st person pronoun,coordination,stimul,6.0,"conjunction, 1st person pronoun"
Сегодня я и Максим рисуем эскизы костюмов.,5.142857142857143,Manina_2022_1,E,232,26,conjunction,1st person pronoun,coordination,stimul,5.0,"conjunction, 1st person pronoun"
Сегодня я с Дашей праздную рождение дочери.,3.7142857142857135,Manina_2022_1,G,208,24,comitative,1st person pronoun,coordination,stimul,4.0,"comitative, 1st person pronoun"
Сегодня я с Максимом рисую эскизы костюмов.,5.818181818181818,Manina_2022_1,H,226,26,comitative,1st person pronoun,coordination,stimul,6.0,"comitative, 1st person pronoun"
Сейчас вы с Викой готовите маленький сюрприз.,5.133333333333334,Manina_2022_1,B,59,7,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Сейчас вы с Димой снимаете скромную квартиру.,5.545454545454546,Manina_2022_1,H,104,12,inclusory comitative,2nd person pronoun,coordination,stimul,6.0,"inclusory comitative, 2nd person pronoun"
Сейчас мы с Викой готовим маленький сюрприз.,6.142857142857143,Manina_2022_1,A,58,7,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Сейчас мы с Димой снимаем скромную квартиру.,6.75,Manina_2022_1,G,103,12,inclusory comitative,1st person pronoun,coordination,stimul,7.0,"inclusory comitative, 1st person pronoun"
Сейчас он и Вика готовят маленький сюрприз.,5.2,Manina_2022_1,F,63,7,conjunction,3rd person pronoun,coordination,stimul,5.0,"conjunction, 3rd person pronoun"
