level_0,index,author,sentence,response,group,sentence_id,lexicalization,conj_order,verb_agreement,filler_type,type,response_round,condition
224,49,Belova_2022_2,Ты и я встречаю рассвет у озера.,2.642857142857143,D,54,7.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
90,38,Belova_2022_2,Ты и я варят гречку на костре.,2.923076923076923,C,104,13.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
203,39,Belova_2022_2,Ты и я вкладываем деньги в акции.,5.066666666666666,F,157,20.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
262,169,Belova_2022_2,Я и ты вкладываю деньги в акции.,2.8461538461538463,C,154,20.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
175,195,Belova_2022_2,Я и ты забираем машину из сервиса.,4.6923076923076925,B,225,29.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
92,97,Belova_2022_2,Ты и я передаю подарок для подруги.,2.363636363636364,G,14,2.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
6,264,Belova_2022_2,Я и ты снимаешь комнату у метро.,2.090909090909091,G,35,5.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
126,74,Belova_2022_2,Ты и я ищем ключи от квартиры.,4.727272727272728,G,93,12.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
255,63,Belova_2022_2,Ты и я готовлю реквизит для спектакля.,2.083333333333333,H,22,3.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
271,149,Belova_2022_2,Ты и я читаешь письмо от ректора.,1.5,H,87,11.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
269,191,Belova_2022_2,Я и ты готовлю перекус из овощей.,2.7,E,242,31.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
25,93,Belova_2022_2,Ты и я отмываем духовку от жира.,3.7,E,77,10.0,you_I,1pl,,stimul,4.0,"you_I, 1pl"
86,182,Belova_2022_2,Я и ты выкупают цепочку у ломбарда.,2.3076923076923075,C,60,8.0,I_you,3pl,,stimul,2.0,"I_you, 3pl"
144,142,Belova_2022_2,Ты и я чинишь шкафчик для посуды.,2.1538461538461537,B,31,4.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
137,65,Belova_2022_2,Ты и я готовят реквизит для спектакля.,2.75,B,24,3.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
256,243,Belova_2022_2,Я и ты подбираем галстук под пиджак.,5.6,E,177,23.0,I_you,1pl,,stimul,6.0,"I_you, 1pl"
19,33,Belova_2022_2,Ты и я берём билет на самолёт.,4.357142857142857,A,109,14.0,you_I,1pl,,stimul,4.0,"you_I, 1pl"
177,122,Belova_2022_2,Ты и я проводишь вечер у соседей.,2.5,D,47,6.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
139,85,Belova_2022_2,Ты и я намечают переезд за границу.,3.090909090909091,G,208,26.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
15,217,Belova_2022_2,Я и ты отвозишь диван в гараж.,2.1666666666666665,B,131,17.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
10,46,Belova_2022_2,Ты и я вношу аванс за квартиру.,3.0,D,198,25.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
101,227,Belova_2022_2,Я и ты передаю подарок для подруги.,2.333333333333333,C,10,2.0,I_you,1sg,,stimul,2.0,"I_you, 1sg"
37,82,Belova_2022_2,Ты и я намечаем переезд за границу.,4.857142857142857,D,205,26.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
16,230,Belova_2022_2,Я и ты передаёшь подарок для подруги.,2.2857142857142856,D,11,2.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
113,104,Belova_2022_2,Ты и я пишут заявление на увольнение.,2.6,E,120,15.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
283,270,Belova_2022_2,Я и ты строят крепость из снега.,3.933333333333333,F,236,30.0,I_you,3pl,,stimul,4.0,"I_you, 3pl"
114,76,Belova_2022_2,Ты и я ищу ключи от квартиры.,1.9166666666666667,H,94,12.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
211,201,Belova_2022_2,Я и ты закрываю долги за семестр.,2.6153846153846154,B,210,27.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
164,98,Belova_2022_2,Ты и я передают подарок для подруги.,2.357142857142857,A,16,2.0,you_I,3pl,,stimul,2.0,"you_I, 3pl"
111,125,Belova_2022_2,Ты и я ровняем стены под покраску.,5.6,G,165,21.0,you_I,1pl,,stimul,6.0,"you_I, 1pl"
200,238,Belova_2022_2,Я и ты планируют поездку на дачу.,2.3076923076923075,B,124,16.0,I_you,3pl,,stimul,2.0,"I_you, 3pl"
237,129,Belova_2022_2,Ты и я сдаю коробки в макулатуру.,3.533333333333333,F,150,19.0,you_I,1sg,,stimul,4.0,"you_I, 1sg"
124,118,Belova_2022_2,Ты и я покупаешь телевизор для бабушки.,2.1818181818181817,G,7,1.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
216,219,Belova_2022_2,Я и ты отдаю книги в библиотеку.,2.6923076923076925,B,138,18.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
84,152,Belova_2022_2,Ты и я чищу сапоги от грязи.,3.0,F,70,9.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
152,239,Belova_2022_2,Я и ты платим штрафы за парковку.,4.785714285714286,A,217,28.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
274,99,Belova_2022_2,Ты и я передаём подарок для подруги.,4.8,F,13,2.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
182,226,Belova_2022_2,Я и ты отмывают духовку от жира.,3.3076923076923075,D,76,10.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
55,255,Belova_2022_2,Я и ты ровняем стены под покраску.,4.384615384615385,C,161,21.0,I_you,1pl,,stimul,4.0,"I_you, 1pl"
38,179,Belova_2022_2,Я и ты выкупаем цепочку у ломбарда.,4.727272727272728,H,57,8.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
231,171,Belova_2022_2,Я и ты вносим аванс за квартиру.,4.545454545454546,G,193,25.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
97,146,Belova_2022_2,Ты и я чистишь сапоги от грязи.,2.363636363636364,G,71,9.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
57,269,Belova_2022_2,Я и ты строю крепость из снега.,2.642857142857143,D,234,30.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
282,106,Belova_2022_2,Ты и я планируешь поездку на дачу.,1.9,E,127,16.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
147,51,Belova_2022_2,Ты и я выкупаем цепочку у ломбарда.,3.7857142857142856,D,61,8.0,you_I,1pl,,stimul,4.0,"you_I, 1pl"
197,233,Belova_2022_2,Я и ты пишу заявление на увольнение.,2.636363636363636,G,114,15.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
146,148,Belova_2022_2,Ты и я читаем письмо от ректора.,5.066666666666666,F,85,11.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
31,158,Belova_2022_2,Я и ты арендуют участок под огород.,2.727272727272727,G,172,22.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
263,58,Belova_2022_2,Ты и я готовим перекус из овощей.,5.333333333333333,H,245,31.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
78,200,Belova_2022_2,Я и ты закрываешь долги за семестр.,1.8461538461538465,C,211,27.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
227,205,Belova_2022_2,Я и ты ищу ключи от квартиры.,2.7857142857142856,D,90,12.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
268,160,Belova_2022_2,Я и ты берут билет на самолёт.,2.833333333333333,H,108,14.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
251,258,Belova_2022_2,Я и ты ровняют стены под покраску.,3.533333333333333,F,164,21.0,I_you,3pl,,stimul,4.0,"I_you, 3pl"
119,96,Belova_2022_2,Ты и я отмывают духовку от жира.,2.5,H,80,10.0,you_I,3pl,,stimul,2.0,"you_I, 3pl"
165,36,Belova_2022_2,Ты и я варишь гречку на костре.,2.3076923076923075,B,103,13.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
116,120,Belova_2022_2,Ты и я покупают телевизор для бабушки.,2.25,H,8,1.0,you_I,3pl,,stimul,2.0,"you_I, 3pl"
280,188,Belova_2022_2,Я и ты готовим реквизит для спектакля.,5.307692307692308,C,17,3.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
117,155,Belova_2022_2,Я и ты арендуем участок под огород.,5.357142857142857,D,169,22.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
172,281,Belova_2022_2,Я и ты читают письмо от ректора.,2.3,E,84,11.0,I_you,3pl,,stimul,2.0,"I_you, 3pl"
69,37,Belova_2022_2,Ты и я варю гречку на костре.,2.142857142857143,A,102,13.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
125,277,Belova_2022_2,Я и ты чистят сапоги от грязи.,3.071428571428572,D,68,9.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
2,157,Belova_2022_2,Я и ты арендую участок под огород.,2.6,E,170,22.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
104,119,Belova_2022_2,Ты и я покупаю телевизор для бабушки.,3.066666666666667,F,6,1.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
76,164,Belova_2022_2,Я и ты варишь гречку на костре.,3.066666666666667,F,99,13.0,I_you,2sg,,stimul,3.0,"I_you, 2sg"
115,115,Belova_2022_2,Ты и я подбираю галстук под пиджак.,2.5,B,182,23.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
120,127,Belova_2022_2,Ты и я ровняю стены под покраску.,2.5,H,166,21.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
96,197,Belova_2022_2,Я и ты забираю машину из сервиса.,2.5384615384615383,C,226,29.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
127,181,Belova_2022_2,Я и ты выкупаю цепочку у ломбарда.,2.0,A,58,8.0,I_you,1sg,,stimul,2.0,"I_you, 1sg"
194,156,Belova_2022_2,Я и ты арендуешь участок под огород.,3.2,F,171,22.0,I_you,2sg,,stimul,3.0,"I_you, 2sg"
215,190,Belova_2022_2,Я и ты готовишь реквизит для спектакля.,1.7,E,19,3.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
265,235,Belova_2022_2,Я и ты планируем поездку на дачу.,5.0,G,121,16.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
118,159,Belova_2022_2,Я и ты беру билет на самолёт.,3.0,F,106,14.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
277,121,Belova_2022_2,Ты и я проводим вечер у соседей.,4.333333333333333,B,45,6.0,you_I,1pl,,stimul,4.0,"you_I, 1pl"
74,114,Belova_2022_2,Ты и я подбираешь галстук под пиджак.,2.076923076923077,C,183,23.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
181,185,Belova_2022_2,Я и ты вырезаю снежинки из бумаги.,3.333333333333333,F,250,32.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
29,108,Belova_2022_2,Ты и я планируют поездку на дачу.,3.533333333333333,F,128,16.0,you_I,3pl,,stimul,4.0,"you_I, 3pl"
236,83,Belova_2022_2,Ты и я намечаешь переезд за границу.,3.2,F,207,26.0,you_I,2sg,,stimul,3.0,"you_I, 2sg"
213,43,Belova_2022_2,Ты и я вносим аванс за квартиру.,4.384615384615385,C,197,25.0,you_I,1pl,,stimul,4.0,"you_I, 1pl"
107,280,Belova_2022_2,Я и ты читаю письмо от ректора.,2.769230769230769,C,82,11.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
173,250,Belova_2022_2,Я и ты покупают телевизор для бабушки.,2.357142857142857,D,4,1.0,I_you,3pl,,stimul,2.0,"I_you, 3pl"
183,138,Belova_2022_2,Ты и я строишь крепость из снега.,2.2857142857142856,A,239,30.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
220,133,Belova_2022_2,Ты и я снимаем комнату у метро.,5.285714285714286,A,37,5.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
247,166,Belova_2022_2,Я и ты варят гречку на костре.,3.1818181818181817,G,100,13.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
192,44,Belova_2022_2,Ты и я вносишь аванс за квартиру.,2.3,E,199,25.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
65,139,Belova_2022_2,Ты и я строю крепость из снега.,2.6666666666666665,H,238,30.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
229,259,Belova_2022_2,Я и ты сдаю коробки в макулатуру.,2.769230769230769,B,146,19.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
85,274,Belova_2022_2,Я и ты чинят шкафчик для посуды.,2.5454545454545454,G,28,4.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
204,210,Belova_2022_2,Я и ты копают грядку под редис.,2.857142857142857,A,188,24.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
12,143,Belova_2022_2,Ты и я чиню шкафчик для посуды.,2.142857142857143,A,30,4.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
35,208,Belova_2022_2,Я и ты копаешь грядку под редис.,2.833333333333333,H,187,24.0,I_you,2sg,,stimul,3.0,"I_you, 2sg"
28,273,Belova_2022_2,Я и ты чиню шкафчик для посуды.,2.0,E,26,4.0,I_you,1sg,,stimul,2.0,"I_you, 1sg"
142,35,Belova_2022_2,Ты и я варим гречку на костре.,5.75,H,101,13.0,you_I,1pl,,stimul,6.0,"you_I, 1pl"
222,245,Belova_2022_2,Я и ты подбираю галстук под пиджак.,3.6666666666666665,F,178,23.0,I_you,1sg,,stimul,4.0,"I_you, 1sg"
148,95,Belova_2022_2,Ты и я отмываю духовку от жира.,3.6666666666666665,F,78,10.0,you_I,1sg,,stimul,4.0,"you_I, 1sg"
51,175,Belova_2022_2,Я и ты встречаем рассвет у озера.,5.454545454545454,G,49,7.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
95,147,Belova_2022_2,Ты и я чистят сапоги от грязи.,2.75,H,72,9.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
184,62,Belova_2022_2,Ты и я готовлю перекус из овощей.,2.230769230769231,A,246,31.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
196,123,Belova_2022_2,Ты и я проводят вечер у соседей.,2.2,E,48,6.0,you_I,3pl,,stimul,2.0,"you_I, 3pl"
239,89,Belova_2022_2,Ты и я отвозят диван в гараж.,2.8181818181818183,G,136,17.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
193,206,Belova_2022_2,Я и ты ищут ключи от квартиры.,3.4,F,92,12.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
136,192,Belova_2022_2,Я и ты готовлю реквизит для спектакля.,2.857142857142857,D,18,3.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
26,77,Belova_2022_2,Ты и я ищут ключи от квартиры.,2.3846153846153846,B,96,12.0,you_I,3pl,,stimul,2.0,"you_I, 3pl"
253,272,Belova_2022_2,Я и ты чинишь шкафчик для посуды.,3.4,F,27,4.0,I_you,2sg,,stimul,3.0,"I_you, 2sg"
100,78,Belova_2022_2,Ты и я копаем грядку под редис.,4.846153846153846,B,189,24.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
266,252,Belova_2022_2,Я и ты проводишь вечер у соседей.,2.1666666666666665,H,43,6.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
223,103,Belova_2022_2,Ты и я пишу заявление на увольнение.,2.230769230769231,C,118,15.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
98,31,Belova_2022_2,Ты и я беру билет на самолёт.,2.4615384615384617,B,110,14.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
36,66,Belova_2022_2,Ты и я забираем машину из сервиса.,4.733333333333333,F,229,29.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
61,137,Belova_2022_2,Ты и я строим крепость из снега.,5.090909090909091,G,237,30.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
150,196,Belova_2022_2,Я и ты забираешь машину из сервиса.,2.357142857142857,D,227,29.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
207,47,Belova_2022_2,Ты и я встречаем рассвет у озера.,5.307692307692308,C,53,7.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
178,32,Belova_2022_2,Ты и я берут билет на самолёт.,2.857142857142857,D,112,14.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
212,161,Belova_2022_2,Я и ты берём билет на самолёт.,4.7,E,105,14.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
11,267,Belova_2022_2,Я и ты строим крепость из снега.,4.615384615384615,C,233,30.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
281,71,Belova_2022_2,Ты и я закрываешь долги за семестр.,2.4545454545454546,G,215,27.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
250,134,Belova_2022_2,Ты и я снимаешь комнату у метро.,1.9230769230769231,C,39,5.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
27,276,Belova_2022_2,Я и ты чистишь сапоги от грязи.,2.230769230769231,C,67,9.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
195,40,Belova_2022_2,Ты и я вкладываешь деньги в акции.,2.4166666666666665,H,159,20.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
4,75,Belova_2022_2,Ты и я ищешь ключи от квартиры.,2.2142857142857144,A,95,12.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
122,215,Belova_2022_2,Я и ты отвожу диван в гараж.,2.142857142857143,A,130,17.0,I_you,1sg,,stimul,2.0,"I_you, 1sg"
32,167,Belova_2022_2,Я и ты вкладываем деньги в акции.,4.461538461538462,B,153,20.0,I_you,1pl,,stimul,4.0,"I_you, 1pl"
180,162,Belova_2022_2,Я и ты берёшь билет на самолёт.,2.090909090909091,G,107,14.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
162,266,Belova_2022_2,Я и ты снимают комнату у метро.,2.333333333333333,H,36,5.0,I_you,3pl,,stimul,2.0,"I_you, 3pl"
185,135,Belova_2022_2,Ты и я снимаю комнату у метро.,2.3846153846153846,B,38,5.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
226,80,Belova_2022_2,Ты и я копаю грядку под редис.,2.3076923076923075,C,190,24.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
138,229,Belova_2022_2,Я и ты передаём подарок для подруги.,4.0,B,9,2.0,I_you,1pl,,stimul,4.0,"I_you, 1pl"
62,256,Belova_2022_2,Я и ты ровняешь стены под покраску.,2.1,E,163,21.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
135,247,Belova_2022_2,Я и ты покупаем телевизор для бабушки.,4.285714285714286,A,1,1.0,I_you,1pl,,stimul,4.0,"I_you, 1pl"
128,29,Belova_2022_2,Ты и я арендую участок под огород.,2.7142857142857144,A,174,22.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
275,87,Belova_2022_2,Ты и я отвозим диван в гараж.,5.0,D,133,17.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
244,88,Belova_2022_2,Ты и я отвозишь диван в гараж.,2.7333333333333334,F,135,17.0,you_I,2sg,,stimul,3.0,"you_I, 2sg"
64,177,Belova_2022_2,Я и ты встречаю рассвет у озера.,2.0,H,50,7.0,I_you,1sg,,stimul,2.0,"I_you, 1sg"
44,73,Belova_2022_2,Ты и я закрывают долги за семестр.,3.083333333333333,H,216,27.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
156,278,Belova_2022_2,Я и ты читаем письмо от ректора.,4.230769230769231,B,81,11.0,I_you,1pl,,stimul,4.0,"I_you, 1pl"
40,30,Belova_2022_2,Ты и я арендуют участок под огород.,2.8461538461538463,C,176,22.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
123,265,Belova_2022_2,Я и ты снимаю комнату у метро.,2.9285714285714284,F,34,5.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
233,261,Belova_2022_2,Я и ты сдаём коробки в макулатуру.,4.785714285714286,A,145,19.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
153,193,Belova_2022_2,Я и ты готовят перекус из овощей.,2.909090909090909,G,244,31.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
23,218,Belova_2022_2,Я и ты отвозят диван в гараж.,2.1538461538461537,C,132,17.0,I_you,3pl,,stimul,2.0,"I_you, 3pl"
238,52,Belova_2022_2,Ты и я выкупаешь цепочку у ломбарда.,2.6666666666666665,F,63,8.0,you_I,2sg,,stimul,3.0,"you_I, 2sg"
234,110,Belova_2022_2,Ты и я платишь штрафы за парковку.,2.272727272727273,G,223,28.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
81,124,Belova_2022_2,Ты и я провожу вечер у соседей.,1.9230769230769231,C,46,6.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
39,186,Belova_2022_2,Я и ты вырезают снежинки из бумаги.,3.1666666666666665,H,252,32.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
210,260,Belova_2022_2,Я и ты сдают коробки в макулатуру.,2.857142857142857,D,148,19.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
47,246,Belova_2022_2,Я и ты подбирают галстук под пиджак.,3.25,H,180,23.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
94,282,Belova_2022_2,Я и ты чищу сапоги от грязи.,2.3076923076923075,B,66,9.0,I_you,1sg,,stimul,2.0,"I_you, 1sg"
