author,sentence,response,group,sentence_id,lexicalization,conjunction,case,number,filler_type,type,response_round,condition
Borisova_2024,В пятницу Коля перекрасил спальную и детскую комнаты.,5.153846153846154,F,172,12,and,accusative,plural,,stimul,5.0,"plural, and"
Borisova_2024,"Во вторник Тася постирала рукава и фиолетовой, и желтой водолазок.",5.125,C,84,20,and…and,genitive,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,В среду Сеня выучил алгебраическую и геометрическую теоремы.,5.363636363636363,G,197,5,and,accusative,plural,,stimul,5.0,"plural, and"
Borisova_2024,"На празднике Катя прочитала строки и латинской, и древнегреческой од.",5.0,C,68,4,and…and,genitive,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,За два часа Леша починил деревянный и пластмассовый стол.,4.5,C,75,11,and,accusative,singular,,stimul,4.0,"singular, and"
Borisova_2024,Перед концертом Аня настроила струны классической и гавайской гитар.,5.909090909090909,E,135,7,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,За выходные Вика заштопала лыжную и охотничью куртки.,5.833333333333333,A,23,23,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,На концерте Степа спел дореволюционную и советскую песни.,5.636363636363637,G,213,21,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,"На занятии Вася повредил и стационарный, и портативный компьютеры.",5.571428571428571,D,113,17,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,На концерте Степа спел дореволюционную и советскую песню.,3.4166666666666665,E,149,21,and,accusative,singular,,stimul,3.0,"singular, and"
Borisova_2024,"На каникулах Света перешила и шелковую, и ситцевую блузку.",5.769230769230769,F,189,29,and…and,accusative,singular,,stimul,6.0,"singular, and…and"
Borisova_2024,Во время прогулки Дима нашел сибирскую и китайскую ели.,5.857142857142857,D,98,2,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,"При переезде Даня помял стенки и картонной, и жестяной коробок.",5.181818181818182,F,191,31,and…and,genitive,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,При переезде Даня помял стенки картонной и жестяной коробки.,5.222222222222222,C,95,31,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,"После отпуска Маша подлатала и замшевую, и холщовую сумку.",4.636363636363637,F,173,13,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,В четверг Леня посмотрел итальянский и немецкий фильм.,4.2727272727272725,H,232,8,and,accusative,singular,,stimul,4.0,"singular, and"
Borisova_2024,Во вторник Тася постирала фиолетовую и желтую водолазки.,6.25,F,180,20,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,"После поломки Витя отремонтировал колесики и большого, и маленького чемодана.",5.0,C,94,30,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"Во вторник Тася постирала и фиолетовую, и желтую водолазки.",5.909090909090909,G,212,20,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,"За каникулы Варя вспомнила и английский, и французский языки.",6.0,F,179,19,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,"Во время звонка Эля сломала кнопки и старого, и нового телефонов.",6.181818181818182,H,233,9,and…and,genitive,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,"Во время ужина Поля разбила предметы и чайного, и кофейного сервизов.",6.333333333333333,H,249,25,and…and,genitive,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,Перед спектаклем Петя вымыл ступени черной и парадной лестницы.,5.333333333333333,C,79,15,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,"На прошлой неделе Ксюша прослушала части и фортепианного, и скрипичного концерта.",5.0,E,160,32,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"За выходные Вика заштопала и лыжную, и охотничью куртки.",6.2727272727272725,B,55,23,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,"В марте Лиза посадила саженцы и русского, и американского кленов.",4.583333333333333,G,208,16,and…and,genitive,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,"На прошлой неделе Ксюша прослушала и фортепианный, и скрипичный концерты.",5.444444444444445,C,96,32,and…and,accusative,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,"За выходные Вика заштопала карманы и лыжной, и охотничьей куртки.",4.571428571428571,D,119,23,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,В командировке Даша посетила музеи столичного и провинциального городов.,5.0,D,118,22,and,genitive,plural,,stimul,5.0,"plural, and"
Borisova_2024,Перед уроком Настя испачкала страницы толстой и тонкой книги.,5.230769230769231,F,186,26,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,Во время похода Гриша сфотографировал берега глубокой и мелкой рек.,5.2,H,242,18,and,genitive,plural,,stimul,5.0,"plural, and"
Borisova_2024,После отпуска Маша подлатала замшевую и холщовую сумки.,6.0,G,205,13,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,При переезде Даня помял картонную и жестяную коробки.,5.545454545454546,A,31,31,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,"В четверг Леня посмотрел и итальянский, и немецкий фильмы.",5.666666666666667,C,72,8,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,Во время прогулки Дима нашел иголки сибирской и китайской елей.,6.181818181818182,H,226,2,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,"На каникулах Света перешила пуговицы и шелковой, и ситцевой блузки.",5.2727272727272725,B,61,29,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"Во время звонка Эля сломала и старый, и новый телефоны.",5.428571428571429,D,105,9,and…and,accusative,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,"В июне Гоша украл шины и рейсового, и экскурсионного автобусов.",5.75,E,142,14,and…and,genitive,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,Во время ужина Поля разбила предметы чайного и кофейного сервиза.,4.666666666666667,E,153,25,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,Во время ужина Поля разбила чайный и кофейный сервиз.,4.416666666666667,A,25,25,and,accusative,singular,,stimul,4.0,"singular, and"
Borisova_2024,На прошлой неделе Ксюша прослушала фортепианный и скрипичный концерты.,6.0,B,64,32,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,"Перед спектаклем Петя вымыл и черную, и парадную лестницы.",6.181818181818182,B,47,15,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,"За выходные Вика заштопала и лыжную, и охотничью куртку.",5.416666666666667,H,247,23,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,При переезде Даня помял стенки картонной и жестяной коробок.,5.454545454545454,E,159,31,and,genitive,plural,,stimul,5.0,"plural, and"
Borisova_2024,В командировке Даша посетила музеи столичного и провинциального города.,5.0,B,54,22,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,"Во время прогулки Дима нашел и сибирскую, и китайскую ель.",5.444444444444445,C,66,2,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"В декабре Юра включил лампочки и белой, и разноцветной гирлянд.",4.428571428571429,C,92,28,and…and,genitive,plural,,stimul,4.0,"plural, and…and"
Borisova_2024,"В среду Сеня выучил следствия и алгебраической, и геометрической теорем.",5.785714285714286,D,101,5,and…and,genitive,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,"Перед уроком Настя испачкала и толстую, и тонкую книгу.",5.333333333333333,C,90,26,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,На каникулах Света перешила шелковую и ситцевую блузку.,4.916666666666667,E,157,29,and,accusative,singular,,stimul,5.0,"singular, and"
Borisova_2024,За выходные Вика заштопала карманы лыжной и охотничьей куртки.,5.125,C,87,23,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,Перед уроком Настя испачкала толстую и тонкую книги.,5.428571428571429,D,122,26,and,accusative,plural,,stimul,5.0,"plural, and"
Borisova_2024,"В июне Гоша украл шины и рейсового, и экскурсионного автобуса.",4.75,C,78,14,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,На прошлой неделе Ксюша прослушала части фортепианного и скрипичного концертов.,6.363636363636363,F,192,32,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,После теста Люба порвала листы черновой и чистовой тетрадей.,6.2727272727272725,H,234,10,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,"В среду Сеня выучил и алгебраическую, и геометрическую теоремы.",5.916666666666667,H,229,5,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,За два часа Леша починил ножки деревянного и пластмассового стола.,4.75,G,203,11,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,В декабре Юра включил лампочки белой и разноцветной гирлянд.,5.9,B,60,28,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,"Перед уходом Ира закрыла дверцы и книжного, и платяного шкафов.",6.2,B,35,3,and…and,genitive,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,В среду Сеня выучил следствия алгебраической и геометрической теорем.,6.285714285714286,C,69,5,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,Перед уходом Ира закрыла книжный и платяной шкафы.,6.363636363636363,E,131,3,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,"Перед уроком Настя испачкала и толстую, и тонкую книги.",5.5,E,154,26,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,"После поломки Витя отремонтировал колесики и большого, и маленького чемоданов.",5.636363636363637,E,158,30,and…and,genitive,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,Во время похода Гриша сфотографировал глубокую и мелкую реку.,4.909090909090909,B,50,18,and,accusative,singular,,stimul,5.0,"singular, and"
Borisova_2024,"Перед концертом Аня настроила и классическую, и гавайскую гитары.",5.909090909090909,B,39,7,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,"После отпуска Маша подлатала ручки и замшевой, и холщовой сумок.",5.307692307692308,D,109,13,and…and,genitive,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,"На занятии Вася повредил динамики и стационарного, и портативного компьютера.",5.538461538461538,F,177,17,and…and,genitive,singular,,stimul,6.0,"singular, and…and"
Borisova_2024,В марте Лиза посадила саженцы русского и американского клена.,6.0,D,112,16,and,genitive,singular,,stimul,6.0,"singular, and"
Borisova_2024,На занятии Вася повредил динамики стационарного и портативного компьютеров.,5.727272727272728,G,209,17,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,"В пятницу Коля перекрасил стены и спальной, и детской комнаты.",4.363636363636363,A,12,12,and…and,genitive,singular,,stimul,4.0,"singular, and…and"
Borisova_2024,За каникулы Варя вспомнила правила английского и французского языков.,6.5,A,19,19,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,"В среду Сеня выучил и алгебраическую, и геометрическую теорему.",5.384615384615385,F,165,5,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"При переезде Даня помял и картонную, и жестяную коробки.",6.0,B,63,31,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,За обедом Костя съел остатки капустного и яблочного пирогов.,6.0,A,27,27,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,"Во время уборки Таня почистила и кожаный, и плюшевый диваны.",5.166666666666667,A,6,6,and…and,accusative,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,В среду Сеня выучил следствия алгебраической и геометрической теоремы.,4.909090909090909,A,5,5,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,"После отпуска Маша подлатала ручки и замшевой, и холщовой сумки.",4.818181818181818,B,45,13,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"В марте Лиза посадила саженцы и русского, и американского клена.",5.0,E,144,16,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,Перед уходом Ира закрыла дверцы книжного и платяного шкафов.,6.083333333333333,A,3,3,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,На каникулах Света перешила пуговицы шелковой и ситцевой блузки.,4.416666666666667,A,29,29,and,genitive,singular,,stimul,4.0,"singular, and"
Borisova_2024,В декабре Юра включил лампочки белой и разноцветной гирлянды.,5.833333333333333,H,252,28,and,genitive,singular,,stimul,6.0,"singular, and"
Borisova_2024,В командировке Даша посетила столичный и провинциальный города.,5.25,H,246,22,and,accusative,plural,,stimul,5.0,"plural, and"
Borisova_2024,Во время звонка Эля сломала кнопки старого и нового телефона.,4.4,E,137,9,and,genitive,singular,,stimul,4.0,"singular, and"
Borisova_2024,Перед концертом Аня настроила струны классической и гавайской гитары.,5.888888888888889,C,71,7,and,genitive,singular,,stimul,6.0,"singular, and"
Borisova_2024,При переезде Даня помял картонную и жестяную коробку.,5.166666666666667,G,223,31,and,accusative,singular,,stimul,5.0,"singular, and"
Borisova_2024,"При переезде Даня помял стенки и картонной, и жестяной коробки.",5.0,D,127,31,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,На каникулах Света перешила пуговицы шелковой и ситцевой блузок.,6.25,C,93,29,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,Во время уборки Таня почистила кожаный и плюшевый диван.,4.0,F,166,6,and,accusative,singular,,stimul,4.0,"singular, and"
Borisova_2024,После аварии Миша поменял колеса личного и рабочего автомобилей.,5.0,G,193,1,and,genitive,plural,,stimul,5.0,"plural, and"
Borisova_2024,После теста Люба порвала черновую и чистовую тетради.,5.769230769230769,D,106,10,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,В четверг Леня посмотрел итальянский и немецкий фильмы.,6.6,B,40,8,and,accusative,plural,,stimul,7.0,"plural, and"
Borisova_2024,"За каникулы Варя вспомнила правила и английского, и французского языка.",5.833333333333333,H,243,19,and…and,genitive,singular,,stimul,6.0,"singular, and…and"
Borisova_2024,После отпуска Маша подлатала ручки замшевой и холщовой сумок.,6.25,C,77,13,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,"За два часа Леша починил и деревянный, и пластмассовый столы.",6.166666666666667,F,171,11,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,Во вторник Тася постирала рукава фиолетовой и желтой водолазки.,4.909090909090909,H,244,20,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,"За обедом Костя съел и капустный, и яблочный пирог.",5.785714285714286,D,123,27,and…and,accusative,singular,,stimul,6.0,"singular, and…and"
Borisova_2024,"В четверг Леня посмотрел отрывки и итальянского, и немецкого фильмов.",5.333333333333333,G,200,8,and…and,genitive,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,"За два часа Леша починил ножки и деревянного, и пластмассового столов.",6.2727272727272725,B,43,11,and…and,genitive,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,После поломки Витя отремонтировал большой и маленький чемоданы.,6.416666666666667,H,254,30,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,На концерте Степа спел куплеты дореволюционной и советской песен.,5.222222222222222,C,85,21,and,genitive,plural,,stimul,5.0,"plural, and"
Borisova_2024,После поломки Витя отремонтировал большой и маленький чемодан.,5.307692307692308,F,190,30,and,accusative,singular,,stimul,5.0,"singular, and"
Borisova_2024,Во время похода Гриша сфотографировал глубокую и мелкую реки.,5.785714285714286,D,114,18,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,В марте Лиза посадила русский и американский клены.,4.909090909090909,B,48,16,and,accusative,plural,,stimul,5.0,"plural, and"
Borisova_2024,Во время звонка Эля сломала кнопки старого и нового телефонов.,5.083333333333333,G,201,9,and,genitive,plural,,stimul,5.0,"plural, and"
Borisova_2024,"За обедом Костя съел остатки и капустного, и яблочного пирога.",6.166666666666667,H,251,27,and…and,genitive,singular,,stimul,6.0,"singular, and…and"
Borisova_2024,"После аварии Миша поменял и личный, и рабочий автомобиль.",4.636363636363637,B,33,1,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"В декабре Юра включил лампочки и белой, и разноцветной гирлянды.",5.181818181818182,A,28,28,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,За два часа Леша починил деревянный и пластмассовый столы.,6.166666666666667,E,139,11,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,Во время уборки Таня почистила подлокотники кожаного и плюшевого дивана.,4.181818181818182,B,38,6,and,genitive,singular,,stimul,4.0,"singular, and"
Borisova_2024,"После поломки Витя отремонтировал и большой, и маленький чемодан.",4.916666666666667,G,222,30,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"В марте Лиза посадила и русский, и американский клен.",4.083333333333333,A,16,16,and…and,accusative,singular,,stimul,4.0,"singular, and…and"
Borisova_2024,После отпуска Маша подлатала замшевую и холщовую сумку.,3.8,E,141,13,and,accusative,singular,,stimul,4.0,"singular, and"
Borisova_2024,За выходные Вика заштопала лыжную и охотничью куртку.,5.166666666666667,G,215,23,and,accusative,singular,,stimul,5.0,"singular, and"
Borisova_2024,В июне Гоша украл шины рейсового и экскурсионного автобуса.,4.4,B,46,14,and,genitive,singular,,stimul,4.0,"singular, and"
Borisova_2024,На занятии Вася повредил стационарный и портативный компьютеры.,5.75,C,81,17,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,"В четверг Леня посмотрел отрывки и итальянского, и немецкого фильма.",4.0,E,136,8,and…and,genitive,singular,,stimul,4.0,"singular, and…and"
Borisova_2024,Во вторник Тася постирала фиолетовую и желтую водолазку.,5.428571428571429,D,116,20,and,accusative,singular,,stimul,5.0,"singular, and"
Borisova_2024,"На каникулах Света перешила и шелковую, и ситцевую блузки.",6.636363636363637,H,253,29,and…and,accusative,plural,,stimul,7.0,"plural, and…and"
Borisova_2024,Перед спектаклем Петя вымыл ступени черной и парадной лестниц.,5.416666666666667,E,143,15,and,genitive,plural,,stimul,5.0,"plural, and"
Borisova_2024,В июне Гоша угнал рейсовый и экскурсионный автобусы.,6.166666666666667,H,238,14,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,"За обедом Костя съел остатки и капустного, и яблочного пирогов.",5.909090909090909,B,59,27,and…and,genitive,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,На празднике Катя прочитала строки латинской и древнегреческой од.,6.444444444444445,B,36,4,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,"Во время ужина Поля разбила предметы и чайного, и кофейного сервиза.",4.363636363636363,F,185,25,and…and,genitive,singular,,stimul,4.0,"singular, and…and"
Borisova_2024,После отпуска Маша подлатала ручки замшевой и холщовой сумки.,4.636363636363637,A,13,13,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,"На концерте Степа спел куплеты и дореволюционной, и советской песни.",4.0,B,53,21,and…and,genitive,singular,,stimul,4.0,"singular, and…and"
Borisova_2024,"В командировке Даша посетила музеи и столичного, и провинциального городов.",5.636363636363637,E,150,22,and…and,genitive,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,За два часа Леша починил ножки деревянного и пластмассового столов.,6.090909090909091,A,11,11,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,"В декабре Юра включил и белую, и разноцветную гирлянды.",5.0,G,220,28,and…and,accusative,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,В марте Лиза посадила саженцы русского и американского кленов.,5.538461538461538,F,176,16,and,genitive,plural,,stimul,6.0,"plural, and"
Borisova_2024,"После теста Люба порвала листы и черновой, и чистовой тетради.",5.2727272727272725,G,202,10,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"В июне Гоша угнал и рейсовый, и экскурсионный автобус.",4.727272727272728,G,206,14,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,В среду Сеня выучил алгебраическую и геометрическую теорему.,3.9,E,133,5,and,accusative,singular,,stimul,4.0,"singular, and"
Borisova_2024,"Во время звонка Эля сломала и старый, и новый телефон.",4.727272727272728,B,41,9,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,Во время уборки Таня почистила кожаный и плюшевый диваны.,6.333333333333333,H,230,6,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,"На занятии Вася повредил динамики и стационарного, и портативного компьютеров.",6.583333333333333,H,241,17,and…and,genitive,plural,,stimul,7.0,"plural, and…and"
Borisova_2024,"На занятии Вася повредил и стационарный, и портативный компьютер.",4.636363636363637,B,49,17,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"Перед уходом Ира закрыла дверцы и книжного, и платяного шкафа.",5.25,H,227,3,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,За каникулы Варя вспомнила английский и французский язык.,6.0,C,83,19,and,accusative,singular,,stimul,6.0,"singular, and"
Borisova_2024,"В марте Лиза посадила и русский, и американский клены.",5.222222222222222,C,80,16,and…and,accusative,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,За выходные Вика заштопала карманы лыжной и охотничьей курток.,5.454545454545454,E,151,23,and,genitive,plural,,stimul,5.0,"plural, and"
Borisova_2024,"Перед концертом Аня настроила струны и классической, и гавайской гитар.",5.615384615384615,F,167,7,and…and,genitive,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,На прошлой неделе Ксюша прослушала фортепианный и скрипичный концерт.,4.545454545454546,H,256,32,and,accusative,singular,,stimul,5.0,"singular, and"
Borisova_2024,"На концерте Степа спел куплеты и дореволюционной, и советской песен.",4.714285714285714,D,117,21,and…and,genitive,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,В декабре Юра включил белую и разноцветную гирлянды.,5.5,F,188,28,and,accusative,plural,,stimul,6.0,"plural, and"
Borisova_2024,После поломки Витя отремонтировал колесики большого и маленького чемодана.,4.6,B,62,30,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,"Во время похода Гриша сфотографировал и глубокую, и мелкую реку.",5.666666666666667,C,82,18,and…and,accusative,singular,,stimul,6.0,"singular, and…and"
Borisova_2024,После аварии Миша поменял личный и рабочий автомобиль.,4.181818181818182,A,1,1,and,accusative,singular,,stimul,4.0,"singular, and"
Borisova_2024,"Во время похода Гриша сфотографировал берега и глубокой, и мелкой реки.",5.090909090909091,G,210,18,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"На празднике Катя прочитала и латинскую, и древнегреческую оду.",4.583333333333333,E,132,4,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,Перед уроком Настя испачкала страницы толстой и тонкой книг.,5.416666666666667,H,250,26,and,genitive,plural,,stimul,5.0,"plural, and"
Borisova_2024,"Во время похода Гриша сфотографировал берега и глубокой, и мелкой рек.",5.333333333333333,A,18,18,and…and,genitive,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,"Перед спектаклем Петя вымыл ступени и черной, и парадной лестницы.",5.307692307692308,D,111,15,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,"Во время прогулки Дима нашел иголки и сибирской, и китайской елей.",5.0,A,2,2,and…and,genitive,plural,,stimul,5.0,"plural, and…and"
Borisova_2024,"Во время ужина Поля разбила и чайный, и кофейный сервизы.",5.642857142857143,D,121,25,and…and,accusative,plural,,stimul,6.0,"plural, and…and"
Borisova_2024,"В среду Сеня выучил следствия и алгебраической, и геометрической теоремы.",5.0,B,37,5,and…and,genitive,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,Во время прогулки Дима нашел иголки сибирской и китайской ели.,5.384615384615385,F,162,2,and,genitive,singular,,stimul,5.0,"singular, and"
Borisova_2024,"Во время ужина Поля разбила и чайный, и кофейный сервиз.",5.2,B,57,25,and…and,accusative,singular,,stimul,5.0,"singular, and…and"
Borisova_2024,На празднике Катя прочитала латинскую и древнегреческую оду.,5.642857142857143,D,100,4,and,accusative,singular,,stimul,6.0,"singular, and"
