author,sentence,response,group,sentence_id,lexicalization,conj_number,second_conj,numeral,subtype,type,response_round,condition
Studenikina_2023,Филипп оценил парадные и бытовой портрет в картинной галерее.,2.555555555555556,I,163,17.0,different,singular,numeral_no,coordination,stimul,3.0,"different, singular, numeral_no"
Studenikina_2023,Иван примерил синий и коричневые костюмы в магазине одежды.,5.555555555555555,C,194,20.0,different,plural,numeral_no,coordination,stimul,6.0,"different, plural, numeral_no"
Studenikina_2023,Валерий заполнил пять электронных и бумажные журналы в конце четверти.,2.7142857142857144,D,259,26.0,different-in-numeral,plural,numeral_no,coordination,stimul,3.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Андрей установил аналоговые и цифровые приборы для замера показаний.,6.5,G,52,6.0,same,plural,numeral_no,coordination,stimul,6.0,"same, plural, numeral_no"
Studenikina_2023,Валерий заполнил электронный и бумажные журналы в конце четверти.,3.888888888888889,I,254,26.0,different,plural,numeral_no,coordination,stimul,4.0,"different, plural, numeral_no"
Studenikina_2023,Захар прочитал детективные и шесть фантастических рассказов по моей просьбе.,3.4444444444444446,H,90,9.0,different-in-numeral,plural,numeral_yes,coordination,stimul,3.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Федор приготовил два холодных и три горячих соуса для праздничного ужина.,6.5,G,225,23.0,same,singular,numeral_yes,coordination,stimul,6.0,"same, singular, numeral_yes"
Studenikina_2023,Иван примерил пять синих и коричневые костюмы в магазине одежды.,2.2222222222222223,H,199,20.0,different-in-numeral,plural,numeral_no,coordination,stimul,2.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Глеб открыл пять спортивных и три компьютерных магазина в соседних городах.,6.0,F,297,30.0,different,singular,numeral_yes,coordination,stimul,6.0,"different, singular, numeral_yes"
Studenikina_2023,Антон положил красные и зеленый карандаш в новый пенал.,3.111111111111111,I,263,27.0,different,singular,numeral_no,coordination,stimul,3.0,"different, singular, numeral_no"
Studenikina_2023,Никита повесил напечатанные и нарисованные плакаты в актовом зале.,5.142857142857143,D,122,13.0,same,plural,numeral_no,coordination,stimul,5.0,"same, plural, numeral_no"
Studenikina_2023,Филипп оценил два парадных и шесть бытовых портретов в картинной галерее.,4.285714285714286,D,168,17.0,different,plural,numeral_yes,coordination,stimul,4.0,"different, plural, numeral_yes"
Studenikina_2023,Евгений спроектировал автомобильные и пешеходные мосты в строительной фирме.,6.125,J,282,29.0,same,plural,numeral_no,coordination,stimul,6.0,"same, plural, numeral_no"
Studenikina_2023,Евгений спроектировал пять пешеходных и автомобильные мосты в строительной фирме.,3.4,G,289,29.0,different-in-numeral,plural,numeral_no,coordination,stimul,3.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Владимир отправил карандашные и акварельный рисунок на конкурс талантов.,4.555555555555555,C,103,11.0,different,singular,numeral_no,coordination,stimul,5.0,"different, singular, numeral_no"
Studenikina_2023,Алексей похвалил квартальный и годовые отчеты на итоговом совещании.,4.888888888888889,F,24,3.0,different,plural,numeral_no,coordination,stimul,5.0,"different, plural, numeral_no"
Studenikina_2023,Виталий распланировал будние и выходные дни для совместного досуга.,6.333333333333333,F,42,5.0,same,plural,numeral_no,coordination,stimul,6.0,"same, plural, numeral_no"
Studenikina_2023,Евгений спроектировал два пешеходных и три автомобильных моста в строительной фирме.,6.444444444444445,C,285,29.0,same,singular,numeral_yes,coordination,stimul,6.0,"same, singular, numeral_yes"
Studenikina_2023,Александр посетил частные и шесть государственных музеев с налоговой проверкой.,4.3,G,280,28.0,different-in-numeral,plural,numeral_yes,coordination,stimul,4.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Виталий распланировал будние и выходной день для совместного досуга.,4.666666666666667,G,43,5.0,different,singular,numeral_no,coordination,stimul,5.0,"different, singular, numeral_no"
Studenikina_2023,Евгений спроектировал два пешеходных и шесть автомобильных мостов в строительной фирме.,6.333333333333333,F,288,29.0,different,plural,numeral_yes,coordination,stimul,6.0,"different, plural, numeral_yes"
Studenikina_2023,Сергей выставил тональный и солнцезащитные кремы на витрину магазина.,4.444444444444445,H,244,25.0,different,plural,numeral_no,coordination,stimul,4.0,"different, plural, numeral_no"
Studenikina_2023,Александр посетил пять частных и три государственных музея с налоговой проверкой.,5.0,D,277,28.0,different,singular,numeral_yes,coordination,stimul,5.0,"different, singular, numeral_yes"
Studenikina_2023,Захар прочитал пять детективных и шесть фантастических рассказов по моей просьбе.,5.428571428571429,D,86,9.0,same,plural,numeral_yes,coordination,stimul,5.0,"same, plural, numeral_yes"
Studenikina_2023,Захар прочитал пять детективных и фантастические рассказы по моей просьбе.,3.1,G,89,9.0,different-in-numeral,plural,numeral_no,coordination,stimul,3.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Павел позаимствовал два пихтовых и три пчелиных бальзама для лечения суставов.,5.875,A,65,7.0,same,singular,numeral_yes,coordination,stimul,6.0,"same, singular, numeral_yes"
Studenikina_2023,Валерий заполнил электронные и бумажные журналы в конце четверти.,6.0,G,252,26.0,same,plural,numeral_no,coordination,stimul,6.0,"same, plural, numeral_no"
Studenikina_2023,Семен отработал прямой и боковые удары в боксерском клубе.,4.444444444444445,I,154,16.0,different,plural,numeral_no,coordination,stimul,4.0,"different, plural, numeral_no"
Studenikina_2023,Алексей похвалил пять квартальных и годовые отчеты на итоговом совещании.,3.875,A,29,3.0,different-in-numeral,plural,numeral_no,coordination,stimul,4.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Анатолий настроил пять старых и новые датчикидля сверки измерений.,3.2222222222222223,B,139,14.0,different-in-numeral,plural,numeral_no,coordination,stimul,3.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Иван примерил синие и коричневый костюм в магазине одежды.,3.0,B,193,20.0,different,singular,numeral_no,coordination,stimul,3.0,"different, singular, numeral_no"
Studenikina_2023,Григорий завершил два региональных и три международных проекта с большим успехом.,6.571428571428571,E,205,21.0,same,singular,numeral_yes,coordination,stimul,7.0,"same, singular, numeral_yes"
Studenikina_2023,Николай рассмотрел два древних и шесть современных экспонатов в историческом музее.,6.0,B,148,15.0,different,plural,numeral_yes,coordination,stimul,6.0,"different, plural, numeral_yes"
Studenikina_2023,Глеб открыл два спортивных и три компьютерных магазина в соседних городах.,5.714285714285714,D,295,30.0,same,singular,numeral_yes,coordination,stimul,6.0,"same, singular, numeral_yes"
Studenikina_2023,Константин опубликовал простой и сложный рецепт в кулинарном блоге.,5.666666666666667,B,11,2.0,same,singular,numeral_no,coordination,stimul,6.0,"same, singular, numeral_no"
Studenikina_2023,Дмитрий сварил пять ягодных и травяные напитки для лечения простуды.,3.555555555555556,B,239,24.0,different-in-numeral,plural,numeral_no,coordination,stimul,4.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Глеб открыл спортивные и компьютерные магазины в соседних городах.,6.125,A,292,30.0,same,plural,numeral_no,coordination,stimul,6.0,"same, plural, numeral_no"
Studenikina_2023,Эдуард представил комедийные и драматический фильм на летнем фестивале.,2.4285714285714284,D,113,12.0,different,singular,numeral_no,coordination,stimul,2.0,"different, singular, numeral_no"
Studenikina_2023,Григорий завершил региональный и международные проекты с большим успехом.,3.7142857142857135,D,204,21.0,different,plural,numeral_no,coordination,stimul,4.0,"different, plural, numeral_no"
Studenikina_2023,Филипп оценил пять парадных и бытовые портреты в картинной галерее.,3.857142857142857,E,169,17.0,different-in-numeral,plural,numeral_no,coordination,stimul,4.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Глеб открыл спортивные и компьютерный магазин в соседних городах.,4.333333333333333,B,293,30.0,different,singular,numeral_no,coordination,stimul,4.0,"different, singular, numeral_no"
Studenikina_2023,Павел позаимствовал пихтовые и пчелиный бальзам для лечения суставов.,2.7777777777777777,I,63,7.0,different,singular,numeral_no,coordination,stimul,3.0,"different, singular, numeral_no"
Studenikina_2023,Анатолий настроил старый и новый датчик для сверки измерений.,5.142857142857143,D,131,14.0,same,singular,numeral_no,coordination,stimul,5.0,"same, singular, numeral_no"
Studenikina_2023,Никита повесил напечатанные и нарисованный плакат в актовом зале.,4.0,E,123,13.0,different,singular,numeral_no,coordination,stimul,4.0,"different, singular, numeral_no"
Studenikina_2023,Кирилл описал два московских и три петербургских театра в школьном докладе.,5.222222222222222,H,35,4.0,same,singular,numeral_yes,coordination,stimul,5.0,"same, singular, numeral_yes"
Studenikina_2023,Егор купил моющие и антисептические растворы для генеральной уборки.,6.444444444444445,I,172,18.0,same,plural,numeral_no,coordination,stimul,6.0,"same, plural, numeral_no"
Studenikina_2023,Никита повесил пять напечатанных и нарисованные плакаты в актовом зале.,4.375,A,129,13.0,different-in-numeral,plural,numeral_no,coordination,stimul,4.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Глеб открыл два спортивных и шесть компьютерных магазинов в соседних городах.,6.1,G,298,30.0,different,plural,numeral_yes,coordination,stimul,6.0,"different, plural, numeral_yes"
Studenikina_2023,Евгений спроектировал автомобильный и пешеходный мост в строительной фирме.,5.0,I,281,29.0,same,singular,numeral_no,coordination,stimul,5.0,"same, singular, numeral_no"
Studenikina_2023,Валерий заполнил пять электронных и шесть бумажных журналов в конце четверти.,6.375,A,256,26.0,same,plural,numeral_yes,coordination,stimul,6.0,"same, plural, numeral_yes"
Studenikina_2023,Глеб открыл спортивный и компьютерные магазины в соседних городах.,5.222222222222222,C,294,30.0,different,plural,numeral_no,coordination,stimul,5.0,"different, plural, numeral_no"
Studenikina_2023,Алексей похвалил квартальный и годовой отчет на итоговом совещании.,5.333333333333333,C,21,3.0,same,singular,numeral_no,coordination,stimul,5.0,"same, singular, numeral_no"
Studenikina_2023,Александр посетил частные и государственный музей с налоговой проверкой.,3.75,J,273,28.0,different,singular,numeral_no,coordination,stimul,4.0,"different, singular, numeral_no"
Studenikina_2023,Кирилл описал пять московских и петербургские театры в школьном докладе.,3.2222222222222223,B,39,4.0,different-in-numeral,plural,numeral_no,coordination,stimul,3.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Владимир отправил карандашный и акварельный рисунок на конкурс талантов.,5.75,A,101,11.0,same,singular,numeral_no,coordination,stimul,6.0,"same, singular, numeral_no"
Studenikina_2023,Анатолий настроил старый и новые датчики для сверки измерений.,4.8,G,134,14.0,different,plural,numeral_no,coordination,stimul,5.0,"different, plural, numeral_no"
Studenikina_2023,Анатолий настроил два старых и три новых датчика для сверки измерений.,5.888888888888889,H,135,14.0,same,singular,numeral_yes,coordination,stimul,6.0,"same, singular, numeral_yes"
Studenikina_2023,Семен отработал пять прямых и шесть боковых ударов в боксерском клубе.,6.5,A,156,16.0,same,plural,numeral_yes,coordination,stimul,6.0,"same, plural, numeral_yes"
Studenikina_2023,Павел позаимствовал пихтовый и пчелиные бальзамы для лечения суставов.,4.125,J,64,7.0,different,plural,numeral_no,coordination,stimul,4.0,"different, plural, numeral_no"
Studenikina_2023,Валерий заполнил два электронных и шесть бумажных журналов в конце четверти.,6.444444444444445,C,258,26.0,different,plural,numeral_yes,coordination,stimul,6.0,"different, plural, numeral_yes"
Studenikina_2023,Никита повесил два напечатанных и шесть нарисованных плакатов в актовом зале.,5.375,J,128,13.0,different,plural,numeral_yes,coordination,stimul,5.0,"different, plural, numeral_yes"
Studenikina_2023,Алексей похвалил два квартальных и три годовых отчета на итоговом совещании.,5.3,G,25,3.0,same,singular,numeral_yes,coordination,stimul,5.0,"same, singular, numeral_yes"
Studenikina_2023,Константин опубликовал простые и сложные рецепты в кулинарном блоге.,6.666666666666667,C,12,2.0,same,plural,numeral_no,coordination,stimul,7.0,"same, plural, numeral_no"
Studenikina_2023,Никита повесил два напечатанных и три нарисованных плаката в актовом зале.,6.6,G,125,13.0,same,singular,numeral_yes,coordination,stimul,7.0,"same, singular, numeral_yes"
Studenikina_2023,Виталий распланировал будний и выходные дни для совместного досуга.,4.0,H,44,5.0,different,plural,numeral_no,coordination,stimul,4.0,"different, plural, numeral_no"
Studenikina_2023,Родион продал российские и пять иностранных автомобилей по сниженной цене.,5.25,A,220,22.0,different-in-numeral,plural,numeral_yes,coordination,stimul,5.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Андрей установил пять аналоговых и три цифровых прибора для замера показаний.,6.111111111111111,B,57,6.0,different,singular,numeral_yes,coordination,stimul,6.0,"different, singular, numeral_yes"
Studenikina_2023,Никита повесил пять напечатанных и три нарисованных плаката в актовом зале.,6.222222222222222,I,127,13.0,different,singular,numeral_yes,coordination,stimul,6.0,"different, singular, numeral_yes"
Studenikina_2023,Вячеслав запланировал устные и шесть стендовых докладов по теме диссертации.,4.4,G,80,8.0,different-in-numeral,plural,numeral_yes,coordination,stimul,4.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Егор купил моющие и антисептический раствор для генеральной уборки.,4.375,J,173,18.0,different,singular,numeral_no,coordination,stimul,4.0,"different, singular, numeral_no"
Studenikina_2023,Эдуард представил комедийный и драматический фильм на летнем фестивале.,5.555555555555555,B,111,12.0,same,singular,numeral_no,coordination,stimul,6.0,"same, singular, numeral_no"
Studenikina_2023,Павел позаимствовал пять пихтовых и три пчелиных бальзама для лечения суставов.,6.555555555555555,C,67,7.0,different,singular,numeral_yes,coordination,stimul,7.0,"different, singular, numeral_yes"
Studenikina_2023,Захар прочитал детективные и фантастический рассказ по моей просьбе.,3.375,A,83,9.0,different,singular,numeral_no,coordination,stimul,3.0,"different, singular, numeral_no"
Studenikina_2023,Егор купил пять моющих и антисептические растворы для генеральной уборки.,3.0,F,179,18.0,different-in-numeral,plural,numeral_no,coordination,stimul,3.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Василий использовал два длинных и шесть коротких шлангов для полива огорода.,6.222222222222222,H,8,1.0,different,plural,numeral_yes,coordination,stimul,6.0,"different, plural, numeral_yes"
Studenikina_2023,Кирилл описал пять московских и три петербургских театра в школьном докладе.,6.125,J,37,4.0,different,singular,numeral_yes,coordination,stimul,6.0,"different, singular, numeral_yes"
Studenikina_2023,Алексей похвалил пять квартальных и три годовых отчета на итоговом совещании.,5.555555555555555,I,27,3.0,different,singular,numeral_yes,coordination,stimul,6.0,"different, singular, numeral_yes"
Studenikina_2023,Филипп оценил парадные и шесть бытовых портретов в картинной галерее.,4.777777777777778,F,170,17.0,different-in-numeral,plural,numeral_yes,coordination,stimul,5.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Олег составил финансовые и хозяйственный договор для своих клиентов.,4.0,B,93,10.0,different,singular,numeral_no,coordination,stimul,4.0,"different, singular, numeral_no"
Studenikina_2023,Алексей похвалил пять квартальных и шесть годовых отчетов на итоговом совещании.,5.111111111111111,H,26,3.0,same,plural,numeral_yes,coordination,stimul,5.0,"same, plural, numeral_yes"
Studenikina_2023,Захар прочитал два детективных и шесть фантастических рассказов по моей просьбе.,6.25,F,88,9.0,different,plural,numeral_yes,coordination,stimul,6.0,"different, plural, numeral_yes"
Studenikina_2023,Владимир отправил карандашный и акварельные рисунки на конкурс талантов.,4.571428571428571,D,104,11.0,different,plural,numeral_no,coordination,stimul,5.0,"different, plural, numeral_no"
Studenikina_2023,Виталий распланировал будние и шесть выходных дней для совместного досуга.,3.142857142857143,D,50,5.0,different-in-numeral,plural,numeral_yes,coordination,stimul,3.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Василий использовал длинные и шесть коротких шлангов для полива огорода.,3.25,J,10,1.0,different-in-numeral,plural,numeral_yes,coordination,stimul,3.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Егор купил пять моющих и три антисептических раствора для генеральной уборки.,4.857142857142857,D,177,18.0,different,singular,numeral_yes,coordination,stimul,5.0,"different, singular, numeral_yes"
Studenikina_2023,Кирилл описал московский и петербургский театр в школьном докладе.,5.428571428571429,D,31,4.0,same,singular,numeral_no,coordination,stimul,5.0,"same, singular, numeral_no"
Studenikina_2023,Василий использовал пять длинных и короткие шланги для полива огорода.,2.0,I,9,1.0,different-in-numeral,plural,numeral_no,coordination,stimul,2.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Владимир отправил пять карандашных и шесть акварельных рисунков на конкурс талантов.,5.888888888888889,F,106,11.0,same,plural,numeral_yes,coordination,stimul,6.0,"same, plural, numeral_yes"
Studenikina_2023,Вячеслав запланировал два устных и три стендовых доклада по теме диссертации.,6.333333333333333,B,75,8.0,same,singular,numeral_yes,coordination,stimul,6.0,"same, singular, numeral_yes"
Studenikina_2023,Филипп оценил парадный и бытовой портрет в картинной галерее.,5.8,G,161,17.0,same,singular,numeral_no,coordination,stimul,6.0,"same, singular, numeral_no"
Studenikina_2023,Василий использовал длинные и короткий шланг для полива огорода.,3.6666666666666665,C,3,1.0,different,singular,numeral_no,coordination,stimul,4.0,"different, singular, numeral_no"
Studenikina_2023,Анатолий настроил два старых и шесть новых датчиков для сверки измерений.,6.5,A,138,14.0,different,plural,numeral_yes,coordination,stimul,6.0,"different, plural, numeral_yes"
Studenikina_2023,Андрей установил два аналоговых и три цифровых прибора для замера показаний.,6.5,J,55,6.0,same,singular,numeral_yes,coordination,stimul,6.0,"same, singular, numeral_yes"
Studenikina_2023,Николай рассмотрел пять древних и шесть современных экспонатов в историческом музее.,6.125,J,146,15.0,same,plural,numeral_yes,coordination,stimul,6.0,"same, plural, numeral_yes"
Studenikina_2023,Василий использовал длинные и короткие шланги для полива огорода.,6.75,B,2,1.0,same,plural,numeral_no,coordination,stimul,7.0,"same, plural, numeral_no"
Studenikina_2023,Сергей выставил пять тональных и три солнцезащитных крема на витрину магазина.,5.75,A,247,25.0,different,singular,numeral_yes,coordination,stimul,6.0,"different, singular, numeral_yes"
Studenikina_2023,Илья нашел пять марлевых и эластичные бинты в дорожной аптечке.,3.5,G,189,19.0,different-in-numeral,plural,numeral_no,coordination,stimul,4.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Григорий завершил региональные и шесть международных проектов с большим успехом.,4.375,J,210,21.0,different-in-numeral,plural,numeral_yes,coordination,stimul,4.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Илья нашел пять марлевых и шесть эластичных бинтов в дорожной аптечке.,6.428571428571429,D,186,19.0,same,plural,numeral_yes,coordination,stimul,6.0,"same, plural, numeral_yes"
Studenikina_2023,Виталий распланировал пять будних и шесть выходных дней для совместного досуга.,5.375,J,46,5.0,same,plural,numeral_yes,coordination,stimul,5.0,"same, plural, numeral_yes"
Studenikina_2023,Семен отработал пять прямых и боковые удары в боксерском клубе.,3.857142857142857,D,159,16.0,different-in-numeral,plural,numeral_no,coordination,stimul,4.0,"different-in-numeral, plural, numeral_no"
Studenikina_2023,Семен отработал пять прямых и три боковых удара в боксерском клубе.,6.333333333333333,B,157,16.0,different,singular,numeral_yes,coordination,stimul,6.0,"different, singular, numeral_yes"
Studenikina_2023,Евгений спроектировал пешеходные и шесть автомобильных мостов в строительной фирме.,3.7777777777777777,H,290,29.0,different-in-numeral,plural,numeral_yes,coordination,stimul,4.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Олег составил пять финансовых и шесть хозяйственных договоров для своих клиентов.,6.428571428571429,E,96,10.0,same,plural,numeral_yes,coordination,stimul,6.0,"same, plural, numeral_yes"
Studenikina_2023,Евгений спроектировал пять пешеходных и три автомобильных моста в строительной фирме.,6.428571428571429,E,287,29.0,different,singular,numeral_yes,coordination,stimul,6.0,"different, singular, numeral_yes"
Studenikina_2023,Никита повесил напечатанные и шесть нарисованных плакатов в актовом зале.,4.0,B,130,13.0,different-in-numeral,plural,numeral_yes,coordination,stimul,4.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Егор купил моющий и антисептические растворы для генеральной уборки.,3.875,A,174,18.0,different,plural,numeral_no,coordination,stimul,4.0,"different, plural, numeral_no"
Studenikina_2023,Родион продал российские и иностранный автомобиль по сниженной цене.,2.571428571428572,D,213,22.0,different,singular,numeral_no,coordination,stimul,3.0,"different, singular, numeral_no"
Studenikina_2023,Андрей установил два аналоговых и шесть цифровых приборов для замера показаний.,6.444444444444445,C,58,6.0,different,plural,numeral_yes,coordination,stimul,6.0,"different, plural, numeral_yes"
Studenikina_2023,Сергей выставил тональные и солнцезащитный крем на витрину магазина.,4.222222222222222,G,243,25.0,different,singular,numeral_no,coordination,stimul,4.0,"different, singular, numeral_no"
Studenikina_2023,Кирилл описал московские и петербургские театры в школьном докладе.,6.142857142857143,E,32,4.0,same,plural,numeral_no,coordination,stimul,6.0,"same, plural, numeral_no"
Studenikina_2023,Никита повесил пять напечатанных и шесть нарисованных плакатов в актовом зале.,6.111111111111111,H,126,13.0,same,plural,numeral_yes,coordination,stimul,6.0,"same, plural, numeral_yes"
Studenikina_2023,Глеб открыл пять спортивных и шесть компьютерных магазинов в соседних городах.,6.714285714285714,E,296,30.0,same,plural,numeral_yes,coordination,stimul,7.0,"same, plural, numeral_yes"
Studenikina_2023,Кирилл описал два московских и шесть петербургских театров в школьном докладе.,5.5,A,38,4.0,different,plural,numeral_yes,coordination,stimul,6.0,"different, plural, numeral_yes"
Studenikina_2023,Глеб открыл спортивный и компьютерный магазин в соседних городах.,5.0,J,291,30.0,same,singular,numeral_no,coordination,stimul,5.0,"same, singular, numeral_no"
Studenikina_2023,Федор приготовил холодные и пять горячих соусов для праздничного ужина.,4.0,B,230,23.0,different-in-numeral,plural,numeral_yes,coordination,stimul,4.0,"different-in-numeral, plural, numeral_yes"
Studenikina_2023,Федор приготовил два холодных и шесть горячих соусов для праздничного ужина.,5.625,J,228,23.0,different,plural,numeral_yes,coordination,stimul,6.0,"different, plural, numeral_yes"
